FOAA002,"J.C. Ford","The Microwave Electron Linac in the Treatment of Cancer  (Invited)",
FOAA003,"M. Weiss, U. Amaldi, P. Berra, C. Cicardi, K.R. Crandall, D. Davino, C. De Martinis, D. Giove, M.R. Masullo, E. Rosso, B. Szeless, D. Toet, V.G. Vaccaro, M. Vretenar, R. Zennaro","Successful High Power Test of a Proton Linac Booster (LIBO) Prototype for Hadrontherapy",
FOAA004,"J. Katuin, C. Nelson, N. Schreuder, D.L. Friesel, V.A. Anferov, M. Ball, G. Berg, B. Broderick, J. Collins, G. East, D. Jenner, W.P. Jones, S. Klein, J. Self, W. Starks","The Indiana University Midwest Proton Radiation Institute",
FOAA005,"M. Umezawa, K. Hiramoto, N. Kosugi, S. Machida, A. Maruhashi, K. Matsuda, A. Molodojentsev, Y. Mori, H. Nishiuchi, A. Nohtomi, H. Ootsuka, K. Saito, T. Sakae, H. Sakurabata, M. Tadokoro, Y. Takada, K. Yasuoka","Beam Commissioning of the New Proton Therapy System for University of Tsukuba",
FOAA006,"G.V. Dolbilov","Two Beam Proton Accelerator for Neutron Generators and Electronuclear Industry",
FOAA009,"R. Rossmanith, G. Dattoli, A. Doria, G.P. Gallerano, L. Giannessi, K. Hesch, H.O. Moser, P.L. Ottaviani, E. Pellegrin, V. Saile, R. Steininger, J. Wuest","Extreme Ultraviolet (EUV) Sources Based on Synchrotron Radiation",
FOAA010,"V.N. Litvinenko","Performance of High Intensity [gamma]-Rays Source Driven by the Duke Storage Ring FEL",
FOAA011,"Y.J. Pei, S. Dong, X. Dong, G.Y. Feng, S. Fu, H. Gao, Y. Hong, G. Li, Y.X. Li, L. Shang, L.S. Sheng, Y.C. Tian, X.Q. Wang, Y. Wang, W. Wei, Y.W. Zhang, H.J. Zhou","A Low Cost and High Efficient Facility for Removal of SO2 and NOx in the Flue Gas from Coal Fire Power Plant",
FOAA012,"V. Pirozhenko, A. Korolev, K. Simonov","Compact 200-keV Electron Beam Systems",
FOAB001,"F. Zimmermann","The Electron Cloud Instability: Summary of Measurements and Understanding  (Invited)",
FOAB002,"K.C. Harkay, Z.Y. Guo, Q. Qin, R.A. Rosenberg","Survey of Recent Results on Electron Cloud Effects in Photon Machines  (Invited)",
FOAB003,"Z.Y. Guo, J.S. Cao, H. Fukuma, K.C. Harkay, H. Huang, E. Kikutani, L. Ma, Q. Qin, M. Tejima, J.Q. Wang, J. Xing, G. Xu, C. Zhang, Z.T. Zhao","Experiment to Measure the Electron Cloud at BEPC",
FOAB004,"M.A. Furman, K.C. Harkay, M. Pivi, R.A. Rosenberg","Electron-Cloud Measurements and Simulations for the APS",
FOAB005,"E. Metral, R. Cappi, M. Giovannozzi, G. Metral, F. Zimmermann","Electron Cloud Effects in the CERN PS",
FOAB006,"J.M. Jimenez, G. Arduini, K. Weiss","The SPS as a Vacuum Test Bench for Electron Cloud Studies with LHC Type Beams",
FOAB007,"R.J. Macek, A. Browman, D. Fitzgerald, J.E. Griffin, K.C. Harkay, R. Kustom, R.C. McCrady, F.E. Merrill, K.Y. Ng, M.A. Plum, R.A. Rosenberg, T. Spickermann, T.-S. Wang, D. Wildman","Electron Proton Two-Stream Instability at the PSR  (Invited)",
FOAB008,"H. Qin, R.C. Davidson, W.W. Lee, E.A. Startsev","3D Simulation Studies of the Two-Stream Instability in Intense Particle Beams Based on the Vlasov-Maxwell Equations  (Invited)",
FOAB009,"M.A. Furman, Y. Cai, S. Heifets, M. Pivi, J.T. Seeman","New Simulation Results for the Electron-Cloud Effect at the PEP-II Positron Ring",
FOAB010,"L.F. Wang, H. Fukuma, K. Ohmi, Y. Suetsugu","3D Simulation of Photoelectron Cloud",
FOAB011,"T.-S. Wang, P.J. Channell, R.C. Davidson, R. Macek","Transverse Electron-Proton Two-Stream Instability in a Bunched Beam",
FOAB012,"M.A. Furman, M. Pivi","Simulation Results for the Electron-Cloud at the PSR",
FOAC001,"T. Roser","Production of High Brightness Proton Bunches (Invited)",
FOAC002,"S. Nagaitsev","Progress Toward High Energy Electron Cooling  (Invited)",
FOAC003,"H. Trautner, E. Bente, H.H. Braun, E. Chevallay, S. Hutchins, P. Legros, I.N. Ross, G. Suberlucq","The Photo-Injector Option for CLIC: Past Experiments and Future Developments",
FOAC004,"A. Zholents, W. Wan, M. Zolotorev","Generation of Attosecond Electron Bunches",
FOAC005,"L.E. Ahle, E. Chacon-Golcher, R.P. Hall, J.W. Kwan, K.-N. Leung, A.W. Molvik, J. Reijonen","Initial Experiments of RF Gas Plasma Source for Heavy Ion Fusion",
FOAC006,"M.J.L. De Hoon, J.J. Barnard, E.P. Lee","Drift Compression of Space Charge Dominated Beams",
FOAC007,"R.B. Palmer, S. Ozaki, M.S. Zisman","2nd Feasibility Study of a Muon Storage Ring [nu] Factory  (Invited)",
FOAC008,"B.W. Riemer, T.A. Gabriel, J.R. Haines, T.J. McManamy, P.T. Spampinato","Targets for High-Intensity Particle Production  (Invited)",
FOAC009,"A. Mosnier, E. Klein","Feasibility Study of a Combined Neutron Centre for European Research and Technology",
