,
,"I.L. Morgan","Impact of Accelerators on Technology",36 40,
,"W.A. Wallenmeyer","Support of Research on and with Accelerators",40 44,
,"L.R. SuelzleL","Progress on RF Electron Superconducting Accelerators",44 49,
,"M. Kuntze","Progress Report on Superconducting Proton Linacs",49 54,
,"I. Ben-Zvi, J.F. Crawford, J.P. Turneaure","Electron Multiplication in Cavities",54 59,
,"W. Bauer, A. Citron, G. Dammertz, H. Diepers, H.C. Eschelbacher, H. Lengeler, H. Miller, E. Rathgeber","RF-Tests on Deflecting Cavities for a Superconducting Particle Separator",59 63,
,"P. Kneisel, J. Halbritter, O. Stoltz","Investigations of a Superconducting Beam Tube Niobium Cavity at S-Band",63 68,
,"H. Diepers, H. Martens, O. Schmidt, K. Schnitzke, Y. Uzel","Superconducting Niobium Cavities Prepared by Electropolishing and Anodizing",68 71,
,"O.D. Despe, K.W. Johnson, T.K. Khoe","Vibration-RF Control of Superconducting-Helix Resonators for Heavy-Ion Acceleration",71 76,
,"J. Aron, R. Benaroya, L.M. Bollinger, K.E. Gray, A.H. Jaffey, K.W. Johnson, T.K. Khoe, J.J. Livingood, F.J. Lynch, J.M. Nixon, G.W. Parker, W. J. Ramler, W.A. Wesolowski","Development and Operation of a Prototype Superconducting Linac for Heavy-Ion Acceleration",76 81,
,"L.M. Young","",81 86,
,"K. Mittag, H.D. Schwarz, H.A. Schwettman","Beam Breakup in a 55-Cell Superconductring Accelerator Structure",86 91,
,"R.A. Byrns, J.T. Tanabe","The Bevatron Cryopump",91 95,
,"J.R. Aggus, W. Bauer, S. Giordano, H. Hahn, H.J. Halama","Superconducting Niobium Deflectors",95 98,
,"R. Sundelin, J. Kirchgessner, D. Rice, M. Tigner, E. von Borstel","3 GHz Superconducting Accelerator Cavity for Use in an Electron Synchrotron",98 101,
,"C. Lyneis, Y. Kojima, J.P. Turnesure, N.T. Viet","Electron Loading in L- and S- Band Superconducting Niobium Cavities",101 104,
,"P.B. Wilson, Z.D. Farkas,  H.A. Hogg, E.W. Hoyt","Recent Measurements at SLAC on Superconducting Niobium X-Band Cavities",104 108,
,"B. Piosczyk, J. Halbritter, P. Kneisel, O. Stoltz","Investigations of Additional Losses in Superconducting Niobium Cavities Due to Frozen-In Flux",108 113,
,"P.Z. Peebles, Jr.","Resonant Frequency Control of Superconducter RF Cavities",113 116,
,"P.C. Vander Arend, W.B. Fowler","Superconducting Accelerator Magnet Cooling Systems",119 122,
,"F.F. Hall","Quick Approximations for the HE <sub>3</sub> Points of State",122 125,
,"J.E. Walter","Large Rectangular Vacuum Windows",125 127,
,"A. J. Gorka, K.D. Kellogg, J.S. Moenich","Rapid Cycling Valve For 30-HZ Pulsed H <sup> -</sup> Ion Source",127 130,
,"J.S. Moenich, J.J. Peerson","Pressure Differential Gate Valve",130 131,
,"J. L. Kirchgessner","Titanium Vacuum Chamber Liners in the Cornell Electron Synchrotron",131 133,
,"C.T.M. Chang","Dielectric-Lined Circular Deflectors for Ultrahigh-Energy Beam Separators",133 136,
,"K.H. Purser","Some Advances in Negative Ion Technology",136 142,
