,"J.B. Adams","The Start Up of the European 400 GeV Proton Synchrotron",966 969,
,"J.B. Ball","A New Generation of Heavy Ion Facilities",969 975,
,"G.W. Kuswa","Inertial Confinement Fusion Energy with Particle Beams",975 981,
,"S.A. Werner","Applications of Pulsed Neutrons from a Spallation Source",981 986,
,"Ch. Leemann, J. Alonso, D. Clark, H. Grunder, E. Hoyer, K. Lou, J. Staples, F. Voelker","A Heavy Ion Facility for Radiation Therapy",986 989,
," Rutherford Laboratory Spallation Group, G. Rees","A Pulsed Spallation Source for Neutron Scattering Research",989 993,
,"G.R. Lambertson, L.J. Laslett, L. Smith","Transport of Intense Ion Beams",993 996,
,"R. Burke, S. Fenster, S. Grammel","Systems Analysis of Accelerator and Storage Ring Systems for Inertial Fusion",996 999,
,"J. Ferrer, R. Ho, B. Maglich, M. Mazarakis, S. Mensian, J. Nering, C. Powell, J. Sandberg, J. Treglio","Migma IV High Energy Fusion Apparatus",999 1003,
,"J. Cerino, A. Garren, A. Golde, J. Hastings, M. Lee, I. Lindau, P. Morton, B. Salsburg, H. Winick","A Study of SPEAR as a Dedicated Source of Synchrotron Radiation",1003 1006,
,"G.A. Loew, K.L. Brown, R.H. Miller, D.A. Pistenma, D.R. Walz","Electron Linac Design for Pion Radiotherapy",1006 1009,
,"M. Reiser","On the Generation and Focusing of Intense Ion Beams for Pellet Fusion",1009 1012,
,"R. Burke, Y. Cho, J. Fasolo, S. Fenster, M. Foss, T. Khoe, A. Langsdorf, R. Martin","Pellet Fusion by High Energy Heavy Ions",1012 1015,
,"J. Alonso, R. Force, H. Grunder, M. Tekawa","Acceleration of Partially Stripped Ions at the Bevalac",1015 1018,
,"S.R. Channon, J.E. Golden, B.C. Maglich, R.A. Miller, J.R. Treglio","Design Considerations for a Migma Advanced Fuel Fusion Reactor",1018 1020,
,"S.R. Channon","More Properties of Migma Orbits",1020 1022,
,"H.R. Froelich","Design of a Shuttle Microtron for Radiation Therapy",1022 1025,
,"T.K. Khoe, R.L. Martin","Longitudinal and Transverse Space Charge Limitations on Transport of Maximum Power Beams",1025 1028,
,"D. Berley, G.T. Danby","Limitations of Heavy Ion Synchrotron Accelerators for Inertial Fusion",1028 1031,
,"J. M. Haughian, W.S. Cooper, J.A. Paterson","The Design and Development of Multi-Megawatt Beam Dumps",1031 1034,
,"J. M. Haughian, W.R. Baker, L.A. Biagi, D.B. Hopkins, H.M. Owren, J.A. Paterson","Update on the Development of 120-keV Multi-Megawatt Neutral Beam Source",1034 1037,
,"R.K. Cooper, G.P. Lawrence","The Design of the WNR Proton Storage Ring Lattice",1037 1040,
