frca02,"J. Antony, T.S. Datta, D.S. Mathuria [IUAC, New Delhi, India] ","Status Report, Future Plans and Maintenance Issues of VME Based Cryogenic Control System at IUAC",245 247,
frca03,"M. Tanigaki, Y. Kobayashi, R. Okumua, N. Sato, K. Takamiya, H. Yoshinaga, H. Yoshino [Kyoto University, Research Reactor Institute, Osaka, Japan] ","Development of the Car-borne Survey System KURAMA",248 250,
frca04,"S. Singh, J.A. Gore, S. Kulkarni, P. Singh [BARC, Mumbai, India] ","Control System for BARC-TIFR Pelletron",251 253,
frcb01,"O. Holme, D.R.S. Di Calafiori, G. Dissertori, W. Lustermann [ETH, Zurich, Switzerland] S. Zelepoukine [UW-Madison/PD, Madison, Wisconsin, USA] ","Maintaining an Effective and Efficient Control System for the Electromagnetic Calorimeter of the Compact Muon Solenoid Experiment During Long-term CERN Large Hadron Collider Operations",254 256,
frcb02,"Y.-G. Song, Y.-S. Cho, J.-H. Jang, H.-J. Kwon [KAERI, Daejon, Republic of Korea] ","Development of the Control System for PEFP 100-MeV Proton Linear Accelerator",257 259,
frcb03,"G. Joshi, T. Ananthkrishnan, S.K. Bharade, P. M. Paresh, C.K. Pithawa, C.I. Sujo [BARC, Trombay, Mumbai, India] ","RF Control System for 400 keV RFQ",260 262,
frcb04,"A.I. Senchenko, D.E. Berkaev, A.S. Kasaev, I. Koop, V.R. Kozak, A.N. Kyrpotin, A.P. Lysenko, Yu. A. Rogovsky, A.L. Romanov, P.Yu. Shatunov, Y.M. Shatunov, A.S. Stankevich [BINP SB RAS, Novosibirsk, Russia] ","VEPP-2000 Collider Control System",263 267,
frcc01,"P. Dhara, P. Maity, A. Roy, P.S. Roy, P. Singhai [VECC, Kolkata, India] ","Design of the Data Acquisition System for the Nuclear Physics Experiments at VECC",268 270,
frcc02,"J.A. Gore, P. V. Bhagwat, A. Chatterjee, S. Kailas, S. Kulkarni, K. Mahata, S.K. Pandit, V.V. Parkar, A. Shrivastava [BARC, Mumbai, India] ","A FPGA Based High Speed Data Acquisition Card",271 273,
frcc03,"S. Sahoo, T. Bhattacharjee, S. Pal [VECC, Kolkata, India] ","Development and Performance Analysis of EPICS Channel Access Server on FPGA based Soft-core Processor",274 278,
frcc04,"P. Singhai, P. Dhara, A. Roy [VECC, Kolkata, India] S. Chatterjee [HITK, Kolkata, India] ","Digital Pulse Processing Techniques for High Resolution Amplitude Measurement of Radiation Detector",279 281,
frcd02,"S. Pal, U. Panda [VECC, Kolkata, India] R. Basak [WBSEDCL, India] ","Process Control for Parallel Run of Two Helium Liquefiers at VEC Centre, Kolkata",285 288,
fria01,"D.H. Beck, R. Baer (R. Bär), M. Kreider, C. Prados, S. Rauch, W.W. Terpstra, M. Zweig [GSI, Darmstadt, Germany] ","The New White Rabbit Based Timing System for the FAIR Facility",242 244,
frid01,"L. Catani, F. Zani [INFN-Roma II, Roma, Italy] C. Bisegni, D. Di Giovenale, G. Di Pirro, L.G. Foggetta, G. Mazzitelli, A. Stecchi [INFN/LNF, Frascati (Roma), Italy] ","Introducing the !CHAOS Control Systems Framework",282 284,
thca04,"T. Worm, J.S. Nielsen [ISA, Aarhus, Denmark] ","An Update on ConSys Including a New LabVIEW FPGA Based LLRF System",97 99,
thca05,"A.S. Chachondia, B.B. Biswas, D.P. Chakravarthy, G. Ganesh, L.M. Gantayet, K.C. Mittal, M.K. Mukesh Kumar, M.B. Patil, R.K. Patil [BARC, Mumbai, India] ","PLC-based Control System for 10 MeV Linear Accelerator at EBC Kharghar, BARC",100 102,
