frfmplco01,"C. Marques, F. Gao, B. Holub, J. Rose, N.A. Towne, G.M. Wang [BNL, Upton, Long Island, New York, USA] ","Status of the NSLS-II LLRF System",129 131,
frfmplco05,"G.B. Christian, N. Blaskovic Kraljevic, R.M. Bodenstein, T. Bromwich, P. Burrows, C. Perry, R.L. Ramjiawan, J. Roberts [JAI, Oxford, United Kingdom] P. Burrows, C. Perry [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] J. Roberts [CERN, Geneva, Switzerland] ","A Fast, Custom FPGA-Based Signal Processor and Its Applications to Intra-Train Beam Stabilisation",137 140,
frfmplco06,"X. Serra-Gallifa, J.A. Avila-Abellan, M. Broseta, G. Cuni (G. Cuní), D. Fernandez-Carreiras (D. Fernández-Carreiras), O. Matilla, A. Ruz [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Harmony: A Generic FPGA Based Solution for Flexible Feedback Systems",141 144,
frfmplio03,"C. Engblom, Y.-M. Abiven, F. Blache, D.C. Corruble, A. Dawiec, M. Diop, N. Hubert, N. Jobert, S.K. Kubsky, F. Langlois, P. Marchand, G. Renaud [SOLEIL, Gif-sur-Yvette, France] T. Stankevic [MAX IV Laboratory, Lund University, Lund, Sweden] ","Overview of Some Feedback & Control Systems at Synchrotron Soleil",132 136,
fritplco01,"M.G. Konrad, D.G. Maxwell, G. Shen [FRIB, East Lansing, USA] ","Continuous Integration and Continuous Delivery at FRIB",145 147,
fritplco04,"S. Karabekyan, S. Abeghyan, J. Pflueger (J. Pflüger), M. Yakopov [XFEL.EU, Hamburg, Germany] ","Experience Gained during the Commissioning of the Undulator Control System at the European XFEL",148 150,
thdaplco01,"M. Broseta, J.A. Avila-Abellan, S. Blanch-Torné, G. Cuni (G. Cuní), D. Fernandez-Carreiras (D. Fernández-Carreiras), O. Matilla, J. Moldes, M. Rodriguez, S. Rubio-Manrique, J. Salabert, X. Serra-Gallifa [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Embedded Control System for Programmable Multi-Purpose Instruments",80 83,
thdaplco03,"L.M. Russo, J.V. Ferreira Filho [LNLS, Campinas, Brazil] ","Gateware and Software Frameworks for Sirius BPM Electronics",84 87,
thdaplco06,"M. Vaz, A.M. Cascadan, V.F. Ferreira, T. Paiva, L.A. Ramalho, A.A. Shinoda [NCC UNESP, São Paulo, Brazil] ","A Framework for Development and Test of xTCA Modules With FPGA Based Systems for Particle Detectors",88 90,
thhwplco02,"T. Straumann, R. Claus, J.M. D'Ewart, J.C. Frisch, G. Haller, R.T. Herbst, B. Hong, U. Legat, L. Ma, J.J. Olsen, B.A. Reese, R. Ruckman, L. Sapozhnikov, S.R. Smith, J.A. Vasquez (J.A. Vásquez), M. Weaver, E. Williams, C. Xu, A. Young [SLAC, Menlo Park, California, USA] ","New Controls Platform for SLAC High-Performance Systems",72 74,
thhwplco04,"G.B.M. Bruno, J.L. Brito Neto, S.R. Marques, L.A. Martins, L.M. Russo, F.C. Sant'Anna, H.A. Silva, D.O. Tavares [LNLS, Campinas, Brazil] ","Open Hardware Experience on LNLS' Beam Diagnostics",75 79,
thhwplio01,"Y.-M. Abiven, J. Bisou, G. Renaud, F. Ta [SOLEIL, Gif-sur-Yvette, France] M.G. Abbott, T.M. Cobb, A.M. Cousins, I.S. Uzun [DLS, Oxfordshire, United Kingdom] ","PandABox: A Multipurpose Platform Adapted for Multi-technique Scanning and Feedback",67 71,
thktplk01,"J. Serrano [CERN, Geneva, Switzerland] ","Open Hardware and Collaboration",61 66,
thpoprpo03,"S. Lescano [INSA Lyon, Villeurbanne, France] E.P. Coelho, J.G.R.S. Franco, P.H. Nallin, G.C. Pinton, A.R.D. Rodrigues [LNLS, Campinas, Brazil] ","UVX Control System: An Approach with Beaglebone Black",91 93,
thpoprpo04,"H.A. Silva, G.B.M. Bruno [LNLS, Campinas, Brazil] ","openMMC: An Open Source Modular Firmware for Board Management",94 96,
thpoprpo05,"W.R. Araujo, M.B. Errada, D. Galante [LNLS, Campinas, Brazil] G. Paulino [UNICAMP, Campinas, São Paulo, Brazil] ","Implementation of a Precision Logarithmic Ammeter",97 100,
thpoprpo09,"N. Kamikubota [KEK, Ibaraki, Japan] T. Aoyama, T. Iitsuka, S.Y. Yoshida [Kanto Information Service (KIS), Accelerator Group, Ibaraki, Japan] H. Nemoto [ACMOS INC., Tokai-mura, Ibaraki, Japan] K.C. Sato, S. Yamada, N. Yamamoto [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Operation Experience and Migration of I/O Controllers for J-PARC Main Ring",101 104,
thpoprpo10,"M.G. Konrad [FRIB, East Lansing, USA] ","Timing and Synchronization at FRIB",105 107,
thpoprpo11,"D.B. Beniz [LNLS, Campinas, Brazil] ","Processing SPE Files from Princeton Instruments during Data Acquisition in LNLS",108 109,
thpoprpo13,"L. Froehlich (L. Fröhlich), C. Behrens, B. Beutner, M.E. Castro Carballo, W. Decking, O. Hensler, R. Kammering, T. Limberg, S.M. Meykopff, M. Scholz, J. Szczesny, J. Wilgen [DESY, Hamburg, Germany] E. Allaria, G. Penco [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","High Level Software for the Commissioning of the European XFEL",110 113,
thpoprpo14,"M. Yakopov, S. Abeghyan, S. Karabekyan, J. Pflueger (J. Pflüger) [XFEL.EU, Hamburg, Germany] Z. Zhao [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Automation of the Magnetic Field Measurements of the Air Coils by Means of the Moving Wire System",114 116,
thpoprpo16,"M.A. Nozdrin, N. Balalykin, V.F. Minashkin, G. Shirkov [JINR, Dubna, Moscow Region, Russia] S. Weisse [DESY Zeuthen, Zeuthen, Germany] ","Diagnostics at JINR LHEP Photogun Bench",117 119,
thpoprpo22,"G.K. Sahoo, F. Brinker, F. Wedtstein [DESY, Hamburg, Germany] ","Orbitkorrektur, a Java Client for Transverse Orbit Correction in PETRA-III",120 122,
thpoprpo23,"P. Hartmann, A. Althaus, S. Khan, D. Rohde, D. Schirmer, G. Schuenemann (G. Schünemann), P. Towalski, T. Weis [DELTA, Dortmund, Germany] ","Fast Orbit Feedback at DELTA",123 125,
thpoprpo27,"E. Tikhomolov, I.V. Bylinskii, J. Lee, T. Planche, T.M. Tateyama [TRIUMF, Vancouver, Canada] P. Jung [UW/Physics, Waterloo, Ontario, Canada] A.C. Morton [FRIB, East Lansing, USA] ","High-Level Application Development and Production Infrastructure at TRIUMF",126 128,
wecsplco02,"P. Duval, M. Lomperski [DESY, Hamburg, Germany] J. Bobnar [Cosylab, Ljubljana, Slovenia] ","Control System Evolution and the Importance of Trial and Error",6 9,
wecsplco03,"M. Hierholzer, M. Killenberg, T. Kozak, N. Shehzad, G. Varghese, M. Viti [DESY, Hamburg, Germany] ","Software Tests and Simulations for Control Applications Based on Virtual Time",10 12,
wecsplco04,"M. Tanigaki, Y. Kobayashi, R. Okumura, N. Sato, K. Takamiya, H. Yoshinaga, H. Yoshino [Kyoto University, Research Reactor Institute, Osaka, Japan] ","Development and Current Status of a Carborne Gamma-Ray Survey System, Kurama-II",13 15,
wecsplio01,"M.P. Donadio, F.P. Figueiredo, J.R. Piton, H.D. de Almeida [LNLS, Campinas, Brazil] ","The Sirius Motion Control Report",99 98,
wepoprpo03,"T. Kosuge, H. Ishii, Y. Nagatani, H. Nitani, Y. Saito [KEK, Ibaraki, Japan] ","Recent Beamline Interlock System and STARS at the Photon Factory",25 27,
wepoprpo10,"A.A. Abbadi, A. Hamad, I. Saleh [SESAME, Allan, Jordan] ","Personal Safety System in Sesame",28 30,
wepoprpo11,"M. Komiyama, N. Fukunishi, A. Uchiyama [RIKEN Nishina Center, Wako, Japan] M. Hamanaka, T. Nakamura [SHI Accelerator Service Ltd., Tokyo, Japan] ","Recent Improvements to the RIKEN RI Beam Factory Control System",31 34,
wepoprpo12,"A. Uchiyama, M. Fujimaki, N. Fukunishi, M. Komiyama [RIKEN Nishina Center, Wako, Japan] ","Integration of Standalone Control Systems into EPICS-Based System at RIKEN RIBF",35 37,
wepoprpo18,"P. Duval, H. Ehrlichmann, M. Lomperski [DESY, Hamburg, Germany] J. Bobnar [Cosylab, Ljubljana, Slovenia] ","Automated Availability Statistics",38 40,
wepoprpo20,"R.M. Caliari, G.L.M.P. Rodrigues, C.H. Tho, H.G.P. de Oliveira [LNLS, Campinas, Brazil] ","Multipurpose Vacuum Chamber - Automation, Interlock-System and Self-Operating Vacuum Routines",41 44,
wepoprpo21,"X.R. Resende, A.H.C. Mukai, I. Stevani, L.N.P. Vilela [LNLS, Campinas, Brazil] ","Development of a Virtual Accelerator for Sirius",45 46,
wepoprpo22,"I. Stevani, N. Milas, X.R. Resende, L.N.P. Vilela [LNLS, Campinas, Brazil] ","High Level Applications for Sirius",47 49,
wepoprpo23,"G.T. Semissatto, H.F. Canova, F.H. Cardoso, J. Souza [LNLS, Campinas, Brazil] ","Beamline Supervisory System Using a Low-Cost Single-Board Computer",50 52,
wepoprpo24,"H.F. Canova, D.H.C. Araujo, M.P. Donadio, R.R. Geraldes [LNLS, Campinas, Brazil] ","VDE - Virtual Documentation Environment",53 55,
wepoprpo25,"D.B. Beniz, A.M. Espindola [LNLS, Campinas, Brazil] ","Using Tkinter of Python to Create Graphical User Interface (GUI) for Scripts in LNLS",56 58,
wepoprpo26,"D.A. Pepler, R.C. Bickerton, A.J. Tylee [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","Developments of the 'Cerberus' Laser Interlock and Hazard Display System and Associated Design Tool",59 60,
weuiplco04,"J.T.M. Chrin [PSI, Villigen PSI, Switzerland] ","A Cython Interface to EPICS Channel Access for High-level Python Applications",21 24,
weuiplio01,"R. Bacher [DESY, Hamburg, Germany] ","Augmented User Interaction",16 20,
