FRJI06,"Yu.I. Golubenko, N.K. Kuksanov, P.I. Nemytov, R.A. Salimov, S.N. Fadeev, M.E. Veis, V.V. Prudnikov","DC HIGH POWER ELV ACCELERATORS FOR INDUSTRIAL AND RESEARCH APPLICATION",
FRJO02,"S.V.Akulinichev, L.V.Kravchuk, V.A.Matveev","RADIOLOGICAL CENTRE BASED ON INR PROTON LINAC",
FRJO04,"M.F. Vorogushin, V.A. Shishov, S.F. Naumov, A.V. Sidorov, O.M. Anouchin, S. V. Kanaev","MAIN TENDENCIES OF DEVELOPMENT OF RUSSIAN ONCOLOGY RADIOTHERAPY SYSTEM EFARAD",
MOAI02,"M.F. Vorogushin","ELECTROPHYSICAL SYSTEMS BASED on CHARGED PARTICLE ACCELERATORS",
THAP01,"A.A. Glazov, V.V. Kalinichenko, G.A. Karamysheva, O.E. Lisenkova","PROGRAM COMPLEX FOR CYCLOTRON BEAM DYNAMIC",
THAP02,"S.V. Tolmachev, A.A. Varfolomeev, A. Varfolomeev Jr.","STRONG TAPERED UNDULATOR PROVIDING HIGH ENERGY GAIN",
THAP05,"A.V. Elzhov, E.V. Gorbachev, A.K. Kaminsky, V.V. Kosukhin, E.A. Perelstein, N.V. Pilyar, T.V. Rukoyatkina, S.N. Sedykh, A.P. Sergeev, A.I. Sidorov, V.V. Tarasov, N.S. Ginzburg, S.V. Kuzikov, N.Yu. Peskov, M.I. Petelin, A.S. Sergeev, N.I. Zaitsev"," STATUS OF 30 GHZ FACILITY FOR EXPERIMENTAL INVESTIGATION OF THE COPPER CAVITY LIFETIME (CLIC COLLIDER PROJECT)",
THAP06,"V.M.Barbashin, V.A.Kvardakov, E.V.Kremyanskaya, V.A.Kiselev, E.B.Levichev, S.I.Mishnev, A.N.Skrinsky, V.V.Smaluk"," A PROJECT OF THE 2.5 GEV BOOSTER-SYNCHROTRON IN BINP",
THBI02,"A.N. Lebedev","LASER COOLING IN ELECTRON STORAGE RING AND ITS LIMITS",
THBI03,"Yu.Korotaev, I.Meshkov, A.Sidorin, E.Syresin, J. Dietrich, V.Kamerdjiev, R.Maier, D.Prasuhn, H.J.Stein, H.Stockhorst, K.Noda, S.Sibuya, T.Uesugi"," INTENSIVE ION BEAM IN STORAGE RINGS WITH ELECTRON COOLING",
THBI04,"I. Meshkov, A. Sidorin, A. Smirnov, E. Syresin, G. Trubnikov, P. Zenkevich"," NUMERICAL SIMULATION OF PARTICLE DYNAMICS IN STORAGE RINGS USING BETACOOL CODE",
THBI07,"E.Boltushkin, V.Bykovsky, A.Ivanov, A.Kobets, Y.Korotaev, V.Lohmatov, V.Malakhov,","THE LEPTA COMMISSIONING",
THBO06,"G.A. Baranov, M.F. Vorogushin, A.A. Kuchinski, Yu.A. Svistunov, P.V. Tomashevich, A.A. Varfolomeev, S.V. Tolmachev, T.V. Yarovoi","IFEL PROJECT WITH HIGH ACCELERATING GRADIENT",
THBO09,"E.G. Bessonov","ON VIOLATION OF THE ROBINSON’S DAMPING CRITERION AND ENHANCED COOLING OF PARTICLE BEAMS IN STORAGE RINGS",
THBP01,"A.V.Agafonov, A.N.Lebedev, V.P.Tarakanov","NON-STATIONARY EFFECTS IN SPACE-CHARGE DOMINATED ELECTRON BEAMS",
THBP02,"O.N. Borisov, G.G. Gulbekyan, D.Solivajs","NUMERICAL SIMULATION OF BEAM EXTRACTION FROM DC-72 AND U-400R CYCLOTRON BY STRIPPING",
THBP03,"L. Cappetta, Th. Demma, S. Petracca","WAKEFIELDS OF BUNCHED BEAMS IN RINGS WITH RESISTIVE WALLS OF FINITE THICKNESS",
THBP04,"S. Petracca, Th. Demma, R.P. Croce","POWER LOSS IN THE COAXIAL REGION OF A LHC-LIKE RING",
THBP05,"A.V. Elzhov, E.A. Perelstein","INFLUENCE OF PHASE SHIFT OF ACCOMPANYING WAVE ON ELECTRON DYNAMICS IN TWO-BEAM ACCELERATOR DRIVER",
THBP06,"S. Ivanov, O. Lebedev"," A STOCHASTIC SLOW EXTRACTION SCHEME FOR U70 SYNCHROTRON",
THBP07,"Valery Kapin, Satoru Yamada","RFQ WITH AN INCREASED ENERGY GAIN",
THBP08,"G.A.Karamysheva, L.M.Onischenko","SPIRAL INFLECTOR FOR CUSTOMS CYCLOTRON",
THBP09,"V. Aleksandrov, N. Kazarinov, V. Shevtsov","MULTI-COMPONENT ION BEAM CODE − MCIB04",
THBP10,"P.N. Chirkov, Yu.I. Kirochkin","THE GEODESIC NETWORK CONSTRUCTION IN U-70 SYNCHROTRON BY EQUALIZATION VIA THE CORRELATES METHOD ",
THBP13,"V.A. Kalinin, V.G. Kudryavtsev, A.Ju. Malovitsky, K.P. Myznikov, I.I. Sulygin","INVESTIGATION AND CURES OF SELFBUNCHING AT SLOW EXTRACTION OF BEAM FROM PROTON SYNCHROTRON U-70",
THBP14,"P. T. Pashkov","MEASURING INDUCTIVE COMPONENT OF LONGITUDINAL COUPLING IMPEDANCE IN IHEP PS USING GAMMA-TRANSITION JUMP",
THBP16,"A.V.Poseryaev, V.I.Shvedunov, E.G.Bessonov","ELECTRON STORAGE RING FOR THE COMPACT X-RAY SOURCE ",
THBP17,"D.A.Zayarniy, Yu.K.Alekseev, A.A.Vetrov, B.S.Ishkhanov, A.A.Kosarev, N.I.Pakhomov, V.I.Shvedunov, Ya.K.Lukashevich, A.V.Lukin","STATUS OF WORK ON LASER ELECTRON ACCELERATOR WITH ENERGY GRADIENT 1 GEV/M ",
THBP20,"A.M. Gromov, G.V. Solodukhov, A.A. Vassiliev","MATHEMATICAL MODELING OF THE ACCELERATION PROCESS IN RACE-TRACK MICROTRON",
THBP22,"Yu.K. Alekseev, A.A. Vetrov, D.A. Zayarniy, B.S. Ishkhanov, A.A. Kosarev, A.V. Poseryaev, V.I. Shvedunov","DIFFRACTION ACCELERATOR OF CHARGED PARTICLES ",
THBP24,"E.S. Masunov, S.M. Polozov"," LOW ENERGY BEAM TRANSPORT FOR HEAVY IONS IN ELECTROSTATIC UNDULATOR",
THBP25,"Yu. A. Svistunov, S.A. Kozynchenko","SOLVING OF THE FIELD PROBLEM IN CASE OF CHARGED PARTICLE DYNAMICS OPTIMIZATION ",
THBP26,"N. I. Tarantin","NEW METHOD OF ELECTROSTATIC ACCELERATING AND STRONG QUADRUPOLE FOCUSING OF CHARGED PARTICLES ON HIGH VOLTAGE ACCELERATORS OF DIRECT ACTION AND ITS POSSIBLE APPLICATIONS",
THBP27,"Z. Parsa, V. Zadorozhny","ACCELERATION AND FOCUSING AS OPTIMAL CONTROL FOR DYNAMIC SYSTEMS",
THBP28,"S. Andrianov, A. Abramova","ANALYTICAL AND NUMERICAL METHODS IN BEAM PHYSICS",
