FRAAU02,"V. Bykovsky; I. Meshkov; V. Pavlov; R. Pivin; A. Rudakov; G. Trubnikov; S. Yakovenko; M.K. Eseev","DEVELOPMENT OF THE POSITRON INJECTOR FOR LEPTA FACILITY",
FRAAU03,"I.N. Meshkov; S.L. Yakovenko; A.V. Smirnov; D.A. Krestnikov; M.K. Eseev","DYNAMIC POSITRONIC BUNCH IN SURKO TRAP OF LEPTA FACILITY",
FRBAU01,"A.V. Stepanov; M.F. Vorogushin","SYSTEM FOR THE RADIONUCLIDE DIAGNOSTICS",
FRBAU02,"G. Timoshenko; M. Paraipan; B. Florko; L. Zaitsev","MONTE-CARLO SIMULATIONS FOR ESTIMATION OF THE RADIATION ENVIRONMENT AROUND THE MODERNIZED NUCLOTRON",
FRCAU02,"A. Anoshin; E. Fomin; V. Korchuganov; S. Tomin","ELECTRON BEAM DYNAMICS IN LINAC OF KURCHATOV SOURCE OF SYNCHROTRON RADIATION WITH ENERGY DOUBLING",
FRCAU03,"V.V. Kapin; A.Ye. Bolshakov; P.R. Zenkevich","INFLUENCE OF BEAM SPACE CHARGE ON DYNAMICAL APERTURE OF TWAC STORAGE RING",
MOAPH01,"A.V. Bondarenko; S.V. Miginsky; N.A. Vinokurov","A NEW BEAM EXTRACTION SCHEME FROM A SYNCHROTRON USING A MAGNETIC SHIELD AS A SEPTUM",
MOAPH03,"E.V. Gorbachev; N.I. Lebedev; V.M. Zhabitsky","IMPLEMENTING ELEMENTS OF DIGITAL TRANSVERSE FEEDBACK SYSTEM IN ALTERA FPGA",
MOAPH04,"A. Smirnov; A. Sidorin; D. Krestnikov; R. Pivin; D. Prasuhn; M. Wolke","SIMULATION OF PELLET TARGET EXPERIMENTS WITH BETACOOL DODE",
MOAPH05,"A. Lagutin","EXPERIMENTAL RESULTS OF THE BEAM DYNAMICS BY USING GLASS CAPILLARIES FOR THE ESA-2",
MOAPH06,"M.V. Lalayan; V.A. Makarov; N.P. Sobenin; V.I. Shvedunov; A.A. Krasnov; A.A. Zavadtsev","POWER  COUPLER FIELD ASYMMETRY INFLUENCE ON PARTICLE BEAMS DYNAMICS IN ACCELERATORS WITH SUPERCONDUCTING CAVITIES",
MOAPH07,"A. Larionov","NEW SCHEME FOR MAGNETIC COMPRESSION OF THE MULTIPLE BEAM AT THE POWERFUL MULTI-BEAM KLYSTRON",
MOAPH08,"O. Lebedev; S. Ivanov; N. Ignashin; S. Sytov","NARROW-BAND FEEDBACK SYSTEM TO DAMP TRANSVERSE COHERENT OSCILLATIONS OF BEAM IN THE U70",
MOAPH09,"N. Malitsky; R. Talman","UAL 3: ASPECT-ORIENTED APPROACH",
MOAPH10,"E.S. Masunov; A.V. Samoshin","ION BEAM ACCELERATION IN INDEPENDENTLY PHASED CAVITIES",
MOAPH12,"A. Opanasenko","ALTERNATING WAKE FORCE IN RECTANGULAR WAVEGUIDE WITH PERIODIC PERTURBED WALLS",
MOAPH13,"A. Opanasenko","CORRECTION TERMS TO PANOFSKY-WENZEL FORMULA AND WAKE POTENTIAL",
MOAPH14,"D. Denisenko; V. Paramonov","TRANSVERSE DEFLECTING STRUCTURE PARAMETERS STUDY",
MOAPH15,"E. Perepelkin; S. Vorozhtsov","CBDA - CYCLOTRON BEAM DYNAMICS ANALYSIS CODE",
MOAPH16,"A. Smirnov; A. Sidorin; D. Krestnikov; R. Pivin","SIMULATION STUDY OF STABLE AND MOVING BARRIER BUCKETS USING BETACOOL CODE",
MOAPH18,"O.E. Shishanin","ANALYTICAL DESCRIPTION OF BETATRON OSCILLATIONS IN LINEAR MACHINES",
MOAPH19,"V.A. Shklyaev; K.P.Artyomov; S.Ya. Belomyttsev; A.A. Grishkov; V.V. Ryzhov; I.Yu. Turchanovsky","THE FORMATION OF ELECTRONS BEAMS IN GAS UNDER ATMOSPHERIC PRESSURE",
MOAPH21,"S.B. Vorozhtsov; A.S. Vorozhtsov; E.E. Perepelkin; S. Watanabe; S. Kubono; T. Mitsumoto; A. Goto","CALCULATIONS OF THE BEAM TRANSMISSION AND QUALITY IN THE RIKEN AVF CYCLOTRON",
MOAPH22,"A.S. Gurevich; P.N. Chirkov","COMPUTATIONAL SIMULATION AND EXPERIMENTAL RESEARCH OF BEAM RF CAPTURE INTO IHEP BOOSTER",
MOAPH23,"V.A. Moiseev; S.E. Bragin","VARIOUS MATRIX FORMALISM TO DESIGN ION LINEAR ACCELERATORS",
MOAPH26,"A. Smirnov; E. Syresin","INCOHERENT VERTICAL ION LOSSES AT COOLING STACKING INJECTION",
MOAPH27,"A.L. Romanov; D.E. Berkaev; A.N. Kirpotin; I.A. Koop; E.A. Perevedentsev; Yu.A. Rogovsky; P. Yu. Shatunov; D.B. Shwartz","CORRECTING THE ROUND BEAM LATTICE OF VEPP-2000 COLLIDER USING ORBIT RESPONSE TECHNIQUE",
MOAPH28,"A. Drozdovskiy; A. Golubev; B. Sharkov; M. Basko; D. Iossiliani; A. Kantsyrev; A. Kuznetsov; Yu. Novozhilov; P. Sasorov; S. Savin; V. Yanenko; V. Abramenko; O. Pronin","TEST OF THE PLASMA LENS OF THE ITEP ION ACCELERATOR",
