frcamh01,"A.O. Sidorin, N.N. Agapov, A.V. Alfeev, V. Andreev, V. Batin, O.I. Brovko, V.V. Bugaev, A.V. Butenko, D.E. Donets, A.V. Eliseev, V.V. Fimushkin, E.V. Gorbachev, A. Govorov, A.Yu. Grebentsov, E.V. Ivanov, V. Karpinsky, H.G. Khodzhibagiyan, A. Kirichenko, V. Kobets, A.D. Kovalenko, O.S. Kozlov, K.A. Levterov, V.A. Mikhailov, V.A. Monchinsky, A. Nesterov, Yu.M. Nozhenko, A.L. Osipenkov, S. Romanov, P.A. Rukojatkin, A.A. Shurygin, I. Slepnev, V. Slepnev, A.V. Smirnov, E. Syresin, G.V. Trubnikov, A. Tuzikov, B. Vasilishin, V. Volkov [JINR, Dubna, Moscow Region, Russia] A. Belov [RAS/INR, Moscow, Russia] I.V. Gorelyshev, A.V. Philippov [JINR/VBLHEP, Dubna, Moscow region, Russia] A.O. Sidorin [St. Petersburg University, St. Petersburg, Russia] ","Status of the Nuclotron",151 153,
frcamh02,"A.V. Butenko, A.M. Bazanov, D.E. Donets, A.D. Kovalenko, K.A. Levterov, D.A. Lyuosev, A.A. Martynov, V.V. Mialkovskiy, D.O. Ponkin, R.G. Pushkar, V.V. Seleznev, K.V. Shevchenko, I.V. Shirikov, A.O. Sidorin [JINR/VBLHEP, Moscow, Russia] S.V. Barabin, A.V. Kozlov, G. Kropachev, T. Kulevoy, V.G. Kuzmichev [ITEP, Moscow, Russia] A. Belov [RAS/INR, Moscow, Russia] V.V. Fimushkin, B.V. Golovenskiy, A. Govorov, V. Kobets, V.A. Monchinsky, A.V. Smirnov, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] S.M. Polozov [MEPhI, Moscow, Russia] ","Commissioning of New Light Ion RFQ Linac and First Nuclotron Run with New Injector",154 156,
frcamh03,"A.V. Butenko, A.M. Bazanov, D.E. Donets, A.D. Kovalenko, K.A. Levterov, D.A. Lyuosev, A.A. Martynov, V.V. Mialkovskiy, V.V. Seleznev, K.V. Shevchenko, I.V. Shirikov, A.O. Sidorin [JINR/VBLHEP, Moscow, Russia] B.V. Golovenskiy, A. Govorov, V. Kobets, V.A. Monchinsky, A.V. Smirnov, E. Syresin, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] H. Hoeltermann, H. Podlech, U. Ratzinger, A. Schempp [BEVATECH, Frankfurt, Germany] D.A. Liakin [ITEP, Moscow, Russia] ","Commissioning of the New Heavy Ion Linac at the NICA Project",157 160,
frcamh05,"A. Tuzikov, O.I. Brovko, A.V. Butenko, A.V. Eliseev, A.A. Fateev, V. Karpinsky, H.G. Khodzhibagiyan, S.A. Kostromin, I.N. Meshkov, V.A. Mikhaylov, A.O. Sidorin, A.I. Sidorov, A.V. Smirnov, E. Syresin, G.V. Trubnikov, V. Volkov [JINR, Dubna, Moscow Region, Russia] O. Anchugov, V.A. Kiselev, D.A. Shvedov, A.N. Zhuravlev [BINP SB RAS, Novosibirsk, Russia] ","Booster Synchrotron at NICA Accelerator Complex",160 162,
frcamh06,"A.V. Smirnov [JINR, Dubna, Moscow Region, Russia] W.P. Chai, G.F. Qu, L.P. Yao [IMP/CAS, Lanzhou, People's Republic of China] ","Simulation of Two-Plane Painting Multiturn Injection into BRing with Space Charge Effect",164 166,
frcamh07,"O.S. Kozlov, A.V. Butenko, H.G. Khodzhibagiyan, S.A. Kostromin, I.N. Meshkov, A.O. Sidorin, E. Syresin, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] ","NICA Collider Lattice Optimization",166 168,
frcamh08,"S.A. Glukhov, E.B. Levichev [BINP SB RAS, Novosibirsk, Russia] ","Dynamic Aperture Optimization of the NICA Collider",170 173,
mozmh01,"J. Gao [IHEP, Beijing, People's Republic of China] ","CEPC-SppC Accelerator Status",99 98,
mozmh03,"Volker RW Schaa [GSI, Darmstadt, Germany] ","RuPAC2016 — 25th Russian Particle Accelerator Conference St. Petersburg, Russia November 21-25, 2016",99 98,
thcamh01,"S.A. Artamonov, D.A. Amerkanov, E.M. Ivanov, J.S. Lebedeva, G.F. Mikheev, G.A. Riabov, O.A. Shcherbakov, A.S. Vorobyev [PNPI, Gatchina, Leningrad District, Russia] V.S. Anashin, L.R. Bakirov, A.E. Koziukov [United Rocket and Space Corporation, Institute of Space Device Engineering, Moscow, Russia] P.A. Chubunov [ISDE, Moscow, Russia] ","Universal Proton and Neutron Centre for Radiation Resistance of Avionic, Space Electronics and Other Applications at 1 Gev Synchrocyclotron in PNPI",105 107,
thcamh02,"V.O. Tkachenko, V.V. Bezuglov, A.A. Bryazgin, B.L. Faktorovich, V.A. Gorbunov, M.V. Korobeynikov, V.E. Nekhaev, A.D. Panfilov, V.M. Radchenko, E.A. Shtarklev, A.V. Sidorov, A. YU. Vlasov, L.A. Voronin [BINP SB RAS, Novosibirsk, Russia] ","Electron Accelerators Series ILU and Prospects of Their Application in the Food Industry",108 110,
thcamh03,"S.A. Krotov, A.E. Barzakh, L.Kh. Batist, D.V. Fedorov, V.S. Ivanov, P.L. Molkanov, F.V. Moroz, S.Yu. Orlov, V.N. Panteleev, Yu.M. Volkov [PNPI, Gatchina, Leningrad District, Russia] ","The Target Development For Medical Radionuclides 67Cu and 82Sr Production",111 113,
thcamh04,"A.P. Strokach, Yu.N. Gavrish, S.V. Grigorenko, V.I. Grigoriev, M.L. Klopenkov, R.M. Klopenkov, V.G. Mudrolyubov, G.V. Muraviov, V.I. Nikishkin, V.I. Ponomarenko [NIIEFA, St. Petersburg, Russia] ","MCC-30/15 Cyclotron-based System for Production of Radionuclides Project.",115 117,
thcamh05,"R.M. Klopenkov, M.A. Emeljanov, A.V. Galchuck, Yu.N. Gavrish, P.A. Gnutov, S.V. Grigorenko, V.I. Grigoriev, M.L. Klopenkov, L.E. Korolev, A.N. Kuzhlev, A.G. Miroshnichenko, V.G. Mudrolyubov, G.V. Muraviov, V.I. Nikishkin, V.I. Ponomarenko, K.E. Smirnov, Yu.I. Stogov, A.P. Strokach, S.S. Tsygankov, O.L. Veresov [NIIEFA, St. Petersburg, Russia] I.A. Ashanin, I.P. Grigoryev, A.S. Guchkin [CHTD, Moscow, Russia] ","The CC-18/9M Cyclotron System for Production of Isotopes for PET",117 119,
thcamh06,"M.M. Kats [ITEP, Moscow, Russia] ","Gantry Free Transport Line for a Proton/Ion Therapy",120 122,
thcash01,"V.V. Paramonov [RAS/INR, Moscow, Russia] ","Effective RF Deflecting Structures for Bunch Rotation and Deflection",201 203,
thcbsh01,"S.A. Gavrilov, A. Feschenko, P.I. Reinhardt-Nickoulin [RAS/INR, Moscow, Russia] ","INR RAS Instrumentation for Bunch Shape and Beam Cross-Section Monitoring",204 206,
thcbsh02,"G.A. Fatkin, A.O. Baluev, A.M. Batrakov, E.A. Bekhtenev, A.G. Chupyra, E.S. Kotov, Ya.M. Macheret, V.R. Mamkin, A.V. Ottmar, A. Panov, A.V. Pavlenko, A.N. Selivanov, P.A. Selivanov, A.I. Senchenko, S.S. Serednyakov, K.S. Shtro, S.R. Singatulin, M.Yu. Vasilyev [BINP SB RAS, Novosibirsk, Russia] E.A. Bekhtenev, G.A. Fatkin, A.V. Pavlenko, A.I. Senchenko, S.S. Serednyakov [NSU, Novosibirsk, Russia] ","Structure and Hardware of LIA-20 Control System",207 209,
thcbsh04,"B. Di Girolamo, J. Gayde, D. Mergelkuhl, M. Schaumann, J. Wenninger [CERN, Geneva, Switzerland] N.S. Azaryan, Ju. Boudagov, V.V. Glagolev, M.V. Lyablin, G. Shirkov [JINR, Dubna, Moscow Region, Russia] G.V. Trubnikov [JINR/VBLHEP, Dubna, Moscow region, Russia] ","The Monitoring of the Effects of Earth Surface Inclination With the Precision Laser Inclinometer for High Luminosity Colliders",210 212,
thcdmh01,"S.T. Sanfilippo, A. Anghel, C. Calzolaio, A. Gerbershagen, J.M. Schippers [PSI, Villigen PSI, Switzerland] ","Conceptual Design of Superconducting Combined-Function Magnets for the Next Generation of Beam Cancer Therapy Gantry",139 141,
thcdmh02,"B.M. Sabirov [JINR, Dubna, Moscow Region, Russia] ","Recent Optimized Design of ILC Cryomodule With Explosion Welding Technology",141 143,
thcdmh03,"H.G. Khodzhibagiyan, N.N. Agapov, P.G. Akishin, V.V. Borisov, A.V. Bychkov, A.M. Donyagin, A.R. Galimov, O. Golubitsky, V. Karpinsky, B.Yu. Kondratiev, S.A. Korovkin, S.A. Kostromin, A.V. Kudashkin, G.L. Kuznetsov, D.N. Nikiforov, A.V. Shemchuk, S.A. Smirnov, A.Y. Starikov, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] ","The Progress on Manufacturing and Testing of the SC Magnets for the NICA Booster Synchrotron",145 147,
