mobh1,"K.X. Liu, J.E. Chen, L.W. Feng, J.K. Hao, S. Huang, L. Lin, S.W. Quan, F. Wang, H.M. Xie, L. Yang, F. Zhu [PKU, Beijing, People's Republic of China] ","Experimental Study on the Electron Superconducting Linac and its Application",99 98,
mobh2,"Y. Jiao, X. Cui, Z. Duan, Y.Y. Guo, D. Ji, J.L. Li, X.Y. Li, Y.M. Peng, Q. Qin, S.K. Tian, J.Q. Wang, N. Wang, Y. Wei, G. Xu, S.Y. Xu, F. Yan, C.H. Yu, Y.L. Zhao [IHEP, Beijing, People's Republic of China] ","Status of HEPS Lattice Design and Physics Studies",7 9,
mobh3,"D. Wang, T.J. Bian, X. Cui, J. Gao, H. Geng, B. Sha, N. Wang, Y. Wang, C.H. Yu, J.Y. Zhai, Y. Zhang [IHEP, Beijing, People's Republic of China] ","CEPC Parameter Choice",10 13,
moch1,"A. Chao [SLAC, Menlo Park, California, USA] ","Phase Space Gymnastics",14 18,
moch2,"X. Luo, T.H. He, C.L. Lao, M. Li, S.F. Lin, L.J. Shan, X.M. Shen, H. Wang, J. Wang, D. Wu, D.X. Xiao, X. Yang, K. Zhou [CAEP/IAE, Mianyang, Sichuan, People's Republic of China] F. Wang [PKU, Beijing, People's Republic of China] ","Fabrication, Assembly and Test of the 24-cell Superconducting Linac Module for the CAEP FEL-THz facility",19 21,
modh3,"Y.H. Xie, C.D. Hu [ASIPP, Hefei, People's Republic of China] ","Analysis of Beam Optics for a High Power Ion Source",22 24,
moph01,"S. An, L.C. Cao, F.P. Guan, L.Y. Ji, M. Li, X.T. Lu, C. Wang, Y. Wang, S.M. Wei, L.P. Wen, D.S. Zhang, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","The Acceleration and Extraction Simulation for Pulsed Beam with Different Phase Width for CYCIAE-100",25 27,
moph02,"M. Li, S. An, T. Cui, T. Ge, J.C. Qin, C. Wang, S.M. Wei, D.S. Zhang, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","Beam Extraction Design for a 230 MeV Superconducting Cyclotron",28 30,
moph03,"S.M. Wei, S. An, M. Li, P.Z. Li, G.F. Song, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","Envelope Control of the Extracted Beam From Compact Cyclotron",31 33,
moph04,"D.S. Zhang, S. An, F.P. Guan, X.L. Jia, M. Li, C. Wang, S.M. Wei, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","Some Initial Results of Central Region Orbit Tracking for Superconducting Cyclotron CYCIAE-230",34 36,
moph05,"Y.M. Peng, Z. Duan, Y.Y. Guo, D. Ji, Y. Jiao, J.L. Li, C. Meng, S.K. Tian, G. Xu, H.S. Xu [IHEP, Beijing, People's Republic of China] ","Design Study of the HEPS Booster Design",37 39,
moph07,"Y.S. Sun, D.J. Gong, N. Wang, J.Y. Zhai, Y. Zhang [IHEP, Beijing, People's Republic of China] ","Study of the Stability of Longitudinal Beam Dynamic of CEPC for Uneven Filling",40 42,
moph08,"J. Wu, Y.M. Peng, Y. Zhang [IHEP, Beijing, People's Republic of China] ","Multiobjective Optimization of Dynamic Aperture at Off-axis Injection Lattice of HEPS",43 46,
moph10,"P.L. Fan, X. He, J. Pang, L. Yang [CAEP/IFP, Mianyang, People's Republic of China] ","The Beam Dynamics Simulation of an L-band Electron Gun using Genetic Algorithm",47 48,
moph12,"R. Tang, X. Guan, C.-X. Tang, X.W. Wang, Q.Z. Xing, S.X. Zheng [TUB, Beijing, People's Republic of China] ","Beam Dynamics of a 325 MHz IH-DTL With KONUS",49 51,
moph13,"Z.H. Bai, L. Wang, D.R. Xu, P.H. Yang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Multi-bend Achromat Lattice with Interleaved Dispersion Bumps for a Diffraction-limited Storage Ring",52 54,
moph14,"D.R. Xu, Z.H. Bai, G. Liu, L. Wang, H. Xu [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Optimization of Closed Orbit Correction using Ant Colony Algorithm in HALS",55 58,
moph16,"J. Li, Y.J. Yuan [IMP/CAS, Lanzhou, People's Republic of China] ","RF Excitation Parameters in Resonant Extraction",59 62,
moph17,"J. Li, J.C. Yang [IMP/CAS, Lanzhou, People's Republic of China] ","Simulation of Beam Intensity Limitations under Space Charge Effects at BRing of HIAF",63 66,
moph18,"X.D. Yang, G.H. Li, J. Li, X.M. Ma, L.J. Mao, M.T. Tang, T.L. Yan, H. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Investigation on the Suppression of Intrabeam Scattering in the High Intensity Heavy Ion Beam with the Help of Double-bunch of Electron",67 69,
moph20,"H. Zhao, J. Li, L.J. Mao, M.T. Tang, J.C. Yang, X.D. Yang [IMP/CAS, Lanzhou, People's Republic of China] ","Simulation of Electron Cooling on Bunched Ion Beam",70 72,
moph21,"S. Hu, K. Fan [HUST, Wuhan, People's Republic of China] ","Radiation Effects Study for Beam Losses on the Electrostatic Deflector in HUST SCC250",73 75,
moph22,"J. Pang, S. Chen, X. He [CAEP/IFP, Mainyang, Sichuan, People's Republic of China] S. Pei, H. Shi, J.R. Zhang [IHEP, Beijing, People's Republic of China] ","Primary Design of 4 a S-band Linac using Slotted Iris Structure for Hom Damping",76 78,
moph23,"S. Pei, B. Gao [IHEP, Beijing, People's Republic of China] ","Studies on the S-band Bunching System with the Hybrid Accelerating Structure",79 82,
moph24,"D.Z. Cao, H.B. Chen, Y. C. Du, W. Gai, W.-H. Huang, J. Shi, C.-X. Tang, H. Zha [TUB, Beijing, People's Republic of China] ","Electromagnetic and Mechanical Design of High Gradient S-band Accelerating Structure in TTX",83 85,
moph25,"M.M. Peng, J. Shi, P. Wang [TUB, Beijing, People's Republic of China] Z. Sun. Sun, D. Zhang [HZCY Technologies Co., Ltd., Beijing, People's Republic of China] ","Deveopment of LLRF System for Tsinghua X-band High Power Test Facility",86 88,
moph26,"C. Meng, Y.L. Chi, X.P. Li, G. Pei, S. Pei, D. Wang, J.R. Zhang [IHEP, Beijing, People's Republic of China] ","CEPC Linac Design and Error Study",89 91,
moph27,"B. Gao, Y.L. Chi, S. Pei [IHEP, Beijing, People's Republic of China] ","Design Studies on an S-band Hybrid Accelerating Structure",92 95,
