FA001,"P. Ylä-Oijala, Rolf-Nevanlinna Institute, Helsinki; D. Proch, DESY, Hamburg","MultiPac - Maltipacting Simulation Package with 2D FEM Field Solver",
FA002,"F.L. Krawczyk, LANL, Los Alamos","Status of Multipacting Simulation Capabilities for SCRF Applications",
FA003,"C. Pagani, D. Barni, A. Bosotti, P. Pierini, INFN/LASA, Segrate, Milano; G. Ciovati, TJNAF, Newport News, Virginia","Design Criteria for Elliptical Cavities",
FA004,"G. Bisoffi, INFN/LNL, Legnaro, Padova","Superconducting Radiofrequency Quadrupoles",
FA005,"I.E. Campisi, TJNAF, Newport News, Virginia","Fundamental Power Couplers for Superconducting Cavities",
FA006,"D. Reschke, DESY, Hamburg","Final Cleaning and Assembly",
FA007,"J.R. Delayen, TJNAF, Newport News, Virginia","Medium-ß Superconducting Accelerating Structures",
FA008,"V. Palmieri, INFN/LNL, Legnaro, Padova","New Materials for Superconducting Radiofrequency Cavities",
FA009,"W. Singer, H. Kaiser, X. Singer, G. Weichert, DESY, Hamburg; I. Jelezov, T. Khabibuline, A. Skasyrskaia, RAS/INR, Moscow; P. Kneisel, TJNAF, Newport News, Virginia; T. Fujino, K. Saito, KEK, Ibaraki","Hydroforming of Superconducting TESLA Cavities",
FA010,"J. Sekutowicz, C. Albrecht, R. Bandelmann, B. Dwersteg, J. Eschke, B. Horst, N. Jakubowski, G. Kreps, R. Lange, M. Liepe, J. Lorkiewicz, A. Matheisen, W.-D. Möller, H.-B. Peters, D. Proch, D. Reschke, W. Singer, X. Singer, K. Twarowski, G. Weichert, H. Wenhui, G. Wojtkiewicz, DESY, Hamburg; M. Ferrario, INFN/LNF, Frascati (Roma); C. Pagani, INFN/LASA, Segrate, Milano","Status of the Superstructure",
FA011-1,"D. Proch, DESY, Hamburg","Cost Reduction in Cavity Fabrication",
MA001,"G. Olry, J.L. Biarrotte, H. Saugnac, J. Lesrel, IPN, Orsay","Study of a Spoke Cavity for Low-Beta Applications",
MA002,"C. Benvenuti, S. Calatroni, M. Hakovirta, H. Neupert, M. Prada, A.-M. Valente, CERN, Geneva","CERN Studies on Niobium-coated 1.5 GHz Copper Cavities",
MA003,"G. Wu, Virginia Tech, Blacksburg, Virginia; L. Phillips, R. Sundelin, T. Goodman, TJNAF, Newport News, Virginia","Energetic Deposition in Vacuum",
MA004,"T. Wang, C. Reece, R. Sundelin, TJNAF, Newport News, Virginia","DC Field Emission Studies on Nb",
MA005,"G.R. Werner, H. Padamsee, J.C. Betzwieser, Y.G. Liu, K.H.R. Rubin, J.E. Shipman, L.T. Ying, Cornell University, Ithaca, New York","Voltage Breakdown on Niobium and Copper Surfaces",
MA006,"J. Halbritter, FZK, Karlsruhe","Material Science of Nb RF Accelerator Cavities: Where Do We Stand 2001?",
MA007,"C. Antoine, A. Aspart, S. Regnault, CEA, Gif-sur-Yvette; A. Chincarini, INFN/Genova, Genoa","Surface Studies: Method of Analysis and Results",
MA008,"H. Safa, CEA, Gif-sur-Yvette","High Field Behavior of SCRF Cavities",
MA009,"L. Lilje, DESY, Hamburg","High Accelerating Gradients in 1.3 GHz Niobium Cavities",
PE001,"S. Takeuchi, M. Matsuda, N. Ishizaki, H. Tayama, A. Iijima, T. Yoshida, JAEA, Tokai-Mura, Ibaraki","Operational Status of Superconducting Resonators of the JAERI Tandem-Booster",
PE002,"W. Beinhauer, M. Brunken, H. Genz, M. Gopych, H.-D. Graef, T. Hartmann, M. Hertling, S. Khodyachykh, S. Kostial, U. Laier, O. Patalakha, M. Platz, A. Richter, B. Schweizer, A. Stascheck, O. Titze, S. Watzlawik, TU Darmstadt, Darmstadt","Latest Developments from the S-DALINAC",
PE003,"T. Furuya, K. Akai, K. Hara, K. Hosoyama, A. Kabe, G. Katano, Y. Kijima, Y. Kojima, S. Mitsunobu, Y. Morita, H. Nakai, T. Tajima, KEK, Ibaraki","Operation Status of the KEKB Superconducting Damped Cavity",
PH001,"O.M. Mamaev, L.M. Sevryukova, IHEP Protvino, Protvino, Moscow Region; N.A. Ivanov, Russian Ministry for Atomic Energy, Moscow","Study of the Thermomagnetic Instability for Superconducting RF Structure of SVAAP Accelerator on the Base of Nb/Cu",
PH002,"T. Tajima, K.C.D. Chan, R.L. Edwards, R.C. Gentzlinger, W.B. Haynes, J.P. Kelley, F.L. Krawczyk, J.E. Ledford, M.A. Madrid, D.I. Montoya, D.L. Schrage, A.H. Shapiro, LANL, Los Alamos; J. Mammosser, TJNAF, Newport News, Virginia","Test Results of ß=0.64, 700 MHz, 5-cell Elliptical Cavities",
PH003,"K. Saito, KEK, Ibaraki","Critical Field Limitation of the Niobium Superconducting RF Cavity",
PH004,"K. Saito, KEK, Ibaraki","Behavior of Air Exposure of Medium ß(=0.45) Niobium SC Cavity",
PR001,"I.A. Zvonarev, D. Philippov, L.M. Sevryukova, IHEP Protvino, Protvino, Moscow Region","Superconducting RF Cavity on the Base of Nb/Cu for the Accelerator SVAAP",
PR003,"P.D. Gall, A. Gössel, V. Gubarev, DESY, Hamburg","The Superconducting Cavity Database for the TESLA Test Facility",
PR004,"N.R. Lobanov, D.C. Weisser, S. Kalyanasundaram, J.M. Donnelly, Australian National University, Canberra","Thermal Modeling of Half Wave Acceleration Structures",
PR005,"R. Parodi, INFN/Genova, Genoa; E. Chiaveri, R. Losito, S. Calatroni, CERN, Geneva; R. Ballantini, A. Chincarini, G. Gemme, INFN/Genova, Genoa; D. Barni, A. Bosotti, C. Pagani, G. Varisco, INFN/LASA, Segrate, Milano","High Power Tests of the Prototype 352 MHz Beta 0.85 Five Cell Cavity for the TRASCO Project",
PR006,"R. Ballantini, A. Chincarini, G. Gemme, R. Parodi, A. Podesta, INFN/Genova, Genoa","Multipacting in 1400 MHz Beta=0.5 Cavities for Proton Acceleration",
PR007,"Q. Ma, R.A. Rosenberg, ANL, Argonne, Illinois","Thermal and Electron-beam irradiation Effects on the Surfaces of Niobium for RF Cavity Production",
PR008,"R. Ballantini, A. Chincarini, G. Gemme, R. Parodi, A. Podesta, INFN/Genova, Genoa","TWTRAJ, a Computer Code for MP Simulation in Superconducting Cavities",
PR009,"W. Weingarten, CERN, Geneva","The Dependence on the RF Frequency of the Field Dependent Part of the Surface Resistance of Niobium Sputter Coated Copper Cavities",
PR010,"A. Chincarini, G. Gemme, R. Parodi, INFN/Genova, Genoa; C. Antoine, CEA, Gif-sur-Yvette","Statistical Approach to XPS Analysis: Application to Niobium Surface Treatment",
PR011,"R. Stassen, W. Bräutigam, O. Felden, M. Glende, A. Lehrach, R. Maier, A. Schnase, G. Schug, Y. Senichev, R. Tölle, E. Zaplatin, FZJ, Jülich","Superconductive Activities at COSY FZJ",
PR012,"E. Zaplatin, W. Bräutigam, R. Stassen, FZJ, Jülich","Low-ß SC RF Cavity Investigations",
PR013,"O. Takeda, N. Ouchi, H. Ao, N. Akaoka, JAEA, Tokai-Mura, Ibaraki; S. Noguchi, K. Saito, E. Kako, KEK, Ibaraki; M. Matsuoka, Mitsubishi Heavy Industries, Yokohama; K. Mukugi, MELCO, Kobe; H. Asano, NAT, Tokai-Mura, Ibaraki-Ken","Performance of 600 MHz 5-cell Superconducting Cavities for Prototype Cryomodule at JAERI",
PR014,"R. Noer, Carleton College, Northfield, Minnesota; S. Mitsunobu, Y. Kijima, T. Higuchi, K. Saito, KEK, Ibaraki","Secondary Electron yield of Nb RF Cavity Surfaces",
PR015,"Y. Morita, K. Hara, K. Hosoyama, A. Kabe, Y. Kojima, H. Nakai, KEK, Ibaraki; M. Inoue, K. Ohkubo, Mitsubishi Heavy Industries, Kobe","Vertical Cold Test of the Crab Cavity with a Co-axial Beam Pipe",
PR016,"V. Palmieri, F. Stivanello, S.Y. Stark, INFN/LNL, Legnaro, Padova; C. Roncolato, INFM Research Unit of Padua, Padua; M. Valentino, INFM Research Unit of Naples, Naples","Besides the Standard Niobium Bath Chemical Polishing",
PR017,"A.L. Karuzskii, A.E. Krapivka, A.I. Golovashkin, A.V. Perestoronin, LPI, Moscow","Nonlinear Effects in He-filled Superconducting RF Systems",
PR018,"T. Carneiro, Reference Metals Company, Inc., Bridgeville, Pennsylvania; C. Klinkenberg, Niobium Products Company, GmbH, Düsseldorf; M. Imagumbai, CBMM Asia Co. Ltd., Tokyo; H.R.S. Moura, Comphania Brasileia de Metalurgia e Mineração, Araxa","High RRR Niobium Cost Reduction Program for SRF Linacs",
PR019,"K. Saito, KEK, Ibaraki","Experimental Formula of the ON-set Level of Two-point Multipacting Over the RF Frequency Range 500 MHz to 1300 MHz",
PR020,"K. Saito, KEK, Ibaraki","Basic Study for Degradation Free Final Horizontal Cavity Assembly with High Gradient Niobium SC Cavities",
PR021,"T. Higuchi, Grad. Univ. Advanced Studies and Nomura Plating Co. Ltd., Okazaki; K. Saito, Y. Yamazaki, KEK, Ibaraki; T. Ikeda, S. Ohgushi, Nomura Plating Co. Ltd., Osaka","Hydrogen Q-disease and Electropolishing",
PR022,"T. Higuchi, Grad. Univ. Advanced Studies and Nomura Plating Co. Ltd., Okazaki; K. Saito, Y. Yamazaki, KEK, Ibaraki; T. Ikeda, S. Ohgushi, Nomura Plating Co. Ltd., Osaka","Centrifugal Barrel Polishing of L-band Niobium cavities",
PR023,"M. Hakovirta, CERN, Geneva","Measurements of Hydrogen Content in Bulk Niobium by Thermal Desorption Spectroscopy",
PR024,"G. Olry, IPN, Orsay; B. Leluan, LAL, Orsay","Precise 3D Geometric Control of 700MHz SC Elliptical Cavities: RF Measurements vs. Theoretical Simulations",
PR025,"S. Calatroni, C. Benvenuti, V. Ruzinov, CERN, Geneva","Diffusion of Oxygen in Niobium during Bake-out",
PS001,"S. Bauer, B. Griep, P. vom Stein, M. Pekeler, H. Vogel, Accel Instruments GmbH, Bergisch Gladbach; S. Belomestnykh, J. Knobloch, H. Padamsee, J. Sears, Cornell University, Ithaca, New York","Latest Results from the Production of 500 MHz SRF Modules for Light Sources and CESR Upgrade",
PS003,"K. Hasegawa, N. Ouchi, JAEA, Tokai-Mura, Ibaraki; K. Mukugi, Mitsubishi Electric Co. Ltd., Hyogo-ken","System Design of a Superconducting Linac for the High-Intensity Proton Accelerator Project (KEK/JAERI Joint Project)",
PT001,"B. Dwersteg, D. Kostin, M. Lalayan, C. Martens, W.-D. Möller, DESY, Hamburg","TESLA RF Power Couplers Development at DESY",
PT002,"J. Lorkiewicz, The Andrzej Soltan Institute for Nuclear Studies, Otwock-Swierk; A. Brinkmann, B. Dwersteg, D. Kostin, W.-D. Möller, DESY, Hamburg; M. Layalan, Physical Engineering Institute, Moscow","Surface TiN Coating of TESLA Couplers at DESY as an Antimultipactor Remedy",
PT003,"N.R. Lobanov, D.C. Weisser, N.J. Welham, Australian National University, Canberra","Re-plating the ANU Linac",
PT004,"L.M. Sevryukova, V. Efremov, V. Malenko, M. Tchernov, I.A. Zvonarev, O.M. Mamaev, S. Pesterev, D. Philippov, V. Romanenko, IHEP Protvino, Protvino, Moscow Region","Superconducting RF Activities at Federate Problem Lab for Technology and Study of the SC Cavities of the Ministry of the Russian Federation for Atomic Energy at the Institute for High Energy Physics",
PT005,"D. Proch, D. Reschke, DESY, Hamburg; B. Günther, G. Müller, University of Wuppertal, Wuppertal; D. Werner, Frauhofer IPA, Stuttgart","Dry Ice Cleaning for SRF Applications",
PT006,"W. Singer, X. Singer, K. Twarowski, DESY, Hamburg; I. Jelezov, T. Khabibuline, A. Skasyrskaia, RAS/INR, Moscow; P. Kneisel, TJNAF, Newport News, Virginia","Hydro Forming of NbCu Clad Cavities at DESY",
PT007,"S. Bauer, B. Griep, M. Peiniger, M. Pekeler, C. Piel, P. vom Stein, H. Vogel, Accel Instruments GmbH, Bergisch Gladbach","SRF Technology at ACCEL for Worldwide Accelerator Projects",
PT008,"K. Mukugi, N. Ouchi, JAEA, Tokai-Mura, Ibaraki; A. Takemura, Kobe Steel Sinagawa-ku, ; Y. Morimoto, Kobe Steel Takasago-shi,","Low Temperature Mechanical Properties of Titanium and Weld Joints (Ti/Ti, Ti/Nb) for Helium Vessels",
PT009,"M. Böhnert, O. Hensler, D. Hoppe, K. Zapfe, DESY, Hamburg","Oil-free Pump Stations for Pumping of the Superconducting Cavities of the TESLA Test Facility",
PT010,"E. Schulz, R. Bandelmann, K. Escherich, D. Keese, M. Leenen, L. Lilje, A. Matheisen, H. Morales, P. Schmüser, M. Seidel, N. Steinhau-Kühl, J. Tiessen, DESY, Hamburg","Engineering Solutions for the Electro-polishing of Multi-cell Superconducting Accelerator Structures",
PT011,"F.L. Krawczyk, K.C.D. Chan, R. Garnett, R.C. Gentzlinger, R.P. LaFave, J.P. Kelley, D.L. Schrage, T. Tajima, LANL, Los Alamos; P.L. Roybal, Techsource, Santa Fe, New Mexico","Design of a ß=0.175, 2-gap Spoke Resonator",
PT012,"E.N. Schmierer, W.B. Haynes, F.L. Krawczyk, D.C. Gautier, J.G. Gioia, M.A. Madrid, R.E. Lujan, K.C.D. Chan, D.L. Schrage, B.G. Smith, J. Waynert, LANL, Los Alamos; B. Rusnak, LLNL, Livermore, California","Results of the APT RF Power Coupler Development for Superconducting Linacs",
PT013,"E.N. Schmierer, K.C.D. Chan, R.C. Gentzlinger, W.B. Haynes, F.L. Krawczyk, D.I. Montoya, P.L. Roybal, D.L. Schrage, T. Tajima, LANL, Los Alamos","Design of the Spoke Cavity EDD Input Coupler",
PT014,"J.R. Delayen, J. Mammosser, L. Phillips, A.T. Wu, TJNAF, Newport News, Virginia","Alternate Electrolyte Composition for Electropolishing of Niobium Surfaces",
PT015,"K. Escherich, R. Bandelmann, D. Keese, M. Leenen, L. Lilje, A. Matheisen, H. Morales, P. Schmüser, E. Schulz, M. Seidel, N. Steinhau-Kühl, J. Tiessen, DESY, Hamburg","Electro Polishing at DESY, A Set Up for Multi-cell Resonator Treatment",
