FR101,"I. Ben-Zvi, Brookhaven National Laboratory","Electron cooling and electron-ion colliders at BNL",
FR102,"G. R. Neil, S. Benson, D. Douglas, T. Powers, JLab","High average power ERL FELS",
FR103,"F. Gerigk, CERN","Future high-intensity proton accelerators",
FR104,"J. Preble, JLab","CEBAF energy upgrade program including re-work of CEBAF cavities",
MO101,"J. E. Chen, K. Zhao, IHIP,  Peking University","The growth of SRF in China",
MO102,"L. Lilje, DESY","XFEL: plans for 101 cryomodules",
MO202,"M. Liepe, S. Belomestnykh, E. Chojnacki, V. Medjidzade, H. Padamsee, P. Quigley, J. Sears, V. Shemelin, V. Veshcherevich, CLASSE,  Cornell University","Status of the Cornell ERL injector cryomodule",
MO204,"E. Vogel, DESY","FLASH progress report",
MO302,"S. Belomestnykh, CLASSE,  Cornell University","Superconducting RF in storage-ring-based light sources",
MO303,"A. Roy, Inter-University Accelerator Centre","SRF activities at IUAC, New Delhi and other laboratories in India",
MO304,"X. Wu, G. Bollen, M. Doleans, T. L. Grimm, W. Hartung, F. Marti, S. Schwarz, R. C. York, Q. Zhao, MSU/NSCL","MSU Re-accelerator - the re-acceleration of low energy RIBS at the NSCL",
MO401,"T. Junquera, GANIL","The SPIRAL 2 Project: Construction Progress and Recent Developments on the SC Linac Driver",
MO402,"R. E. Laxdal, K. Fong, M. Laverty, A. Mitra, Q. Zheng, V. Zvyagintsev, TRIUMF","Recent Progress in the Superconducting RF Program at TRIUMF/ISAC",
MO403,"H. Podlech, A. Bechtold, M. Busch, H. Klein, H. Liebermann, U. Ratzinger, IAP,  Frankfurt University","Development of the Superconducting CH-Cavity and Applications to Proton and Ion Acceleration",
MO404,"G. Bisoffi, G. Bassato, S. Canella, D. Carlucci, A. Facco, P. Modanese, A. Pisent, A. M. Porcellato, P. A. Posocco, INFN","ALPI QWR and S-RFQ Operating Experience",
MO405,"K. Hosoyama, K. Hara, A. Honma, A. Kabe, Y. Kojima, Y. Morita, H. Nakai, K. Nakanishi, K. Akai, K. Ebihara, T. Furuya, S. Mitsunobu, M. Ono, Y. Yamamoto, KEK; K. Okubo, K. Sennyu, H. Hara, T. Yanagisawa, MHI Kobe","Construction and Commissioning of KEKB Superconducting Crab Cavities",
TH102,"P. Kneisel, JLab","Progress on large grain and single grain niobium - ingots and sheet and review of progress on large grain and single grain niobium cavities",
TH202,"S. Prat, LAL,  Univ.  Paris-Sud and IN2P3/CNRS; W. -D. Moeller, D. Kostin, DESY","Industrialization process for XFEL power couplers and volume manufacturing",
TU102,"G. Ciovati, JLab","Review of High Field Q-Slope, Cavity Measurements",
TU103,"A. Romanenko, CLASSE,  Cornell University","Review of High Field Q-slope, Surface Measurements",
TU202,"K. Saito, KEK","Gradient Yield Improvement Efforts for Single and Multi-Cells And Progress for Very High Gradient Cavities",
TU204,"G. Wu, L. Cooley, H. Edwards, Fermilab; C. Antoine, CEA-Saclay","Review of SRF Materials Workshop",
TUP01,"G. Ciovati, P. Kneisel, G. R. Myneni, M. Morrone, R. Bundy, B. Clemens, T. Elliott, G. Slack, L. Turlington, JLab; J. Mondal, BARC","A Coaxial TE011 Cavity and a System to Measure DC and RF Properties of Superconductors",
TUP02,"P. D. Gall, A. Goessel, V. Gubarev, J. Iversen, DESY","A Database for Superconducting Cavities",
TUP04,"H. Nakai, K. Hara, T. Honma, K. Hosoyama, A. Kabe, Y. Kojima, Y. Morita, K. Nakanishi, KEK; T. Kanekiyo, Hitachi Co.  LTD; T. Yanagisawa, MHI Kobe","Cryogenic System for the KEKB Crab Cavities",
TUP05,"D. Baars, T. R. Bieler, A. Zamiri, F. Pourboghrat, C. Compton, Michigan State University","Crystal Orientation Effects During Fabrication of Single or Multi-Crystal NB SRF Cavities",
TUP07,"C. Y. Gao, A. Sun, Y. -S. Cho, B. -H. Choi, PEFP,  Korea Atomic Energy Research  Institute","Frequency and Length Adjustment of a Dumbbell for the PEFP Low-Beta SRF Cavity",
TUP08,"J. Norem, M. Pellin, ANL","Gradient Limits and SCRF Performance",
TUP09,"W. M. Pan, G. W. Wang, Y. Sun, Z. Q. Li, H. Y. Lin, B. Xu, Q. Ma, T. M. Huang, P. Sha, IHEP,  CAS","High Power Conditioning of the Input Coupler for BEPCII Superconductor Cavity",
TUP10,"F. Furuta, K. Saito, T. Saeki, H. Inoue, Y. Morozumi, Y. Higashi, T. Higo, KEK","High Reliable Surface Treatment Recipe of High Gradient Single Cell SRF Cavities at KEK",
TUP13,"G. Ciovati, JLab; A. Gurevich, NHMFL,  FSU","Measurement of RF Losses Due to Trapped Flux in a Large-Grain Niobium Cavity",
TUP14,"G. Ciovati, P. Kneisel, JLab; A. Gurevich, NHMFL,  FSU","Measurement of the High-Field Q-Drop in a Large-Grain Niobium Cavity for Different Oxidation Processes",
TUP15,"I. Hwang, E. -S. Kim, CHEP,  Kyoungpook National University; J. Hong, POSTECH; Y. Morozumi, K. Saito, KEK","Multipacting Study of ICHIRO End Cavity",
TUP16,"W. Weingarten, CERN","On the Dependence of the Q-Value on the Accelerating Gradient for Superconducting Cavities",
TUP17,"G. Ciovati, JLab; S. G. Corcoran, Virginia Tech; J. Halbritter, Forschungszentrum Karlsruhe","Preliminary Results on "Polarized" Buffered Chemical Polishing of a Large Grain Niobium Cavity",
TUP18,"H. Tian, B. Xiao, M. J. Kelley, JLab & College of William and Mary; C. E. Reece, JLab; A. DeMasi, L. Pipe, K. E. Smith, Boston University","Recent XPS Studies of the Effect of Processing on NB SRF Surfaces",
TUP19,"R. Eichhorn, A. Araz, M. Brunken, J. Conrad, H. D. Graef, M. Hertling, F. Hug, M. Konrad, T. Kuerzeder, M. Platz, A. Richter, S. Sievers, T. Weilbach, TU-Darmstadt S-DALINAC","Results from a 850 C Heat Treatment and Operational Findings from the 3 GHZ SRF Cavities at the S-DALINAC",
TUP21,"R. E. Laxdal, K. Fong, M. Laverty, A. Mitra, Q. Zheng, V. Zvyagintsev, TRIUMF","RF Cavity Performance for the ISAC-II Superconducting Linac",
TUP23,"S. Mitsunobu, T. Furuya, S. Takano, Y. Yamamoto, KEK","Status of KEKB Superconducting Cavities",
TUP24,"A. Romanenko, G. Eremeev, D. Meidlinger, H. Padamsee, CLASSE,  Cornell University","Studies of the high field anomalous losses in small and large grain niobium cavities",
TUP27,"J. Vines, Y. Xie, H. Padamsee, Cornell University","Systematic Trends for the Medium Field Q-Slope",
TUP28,"A. Schmidt, A. Matheisen, H. Kaiser, W. Menck, G. Weichert, DESY Hamburg","1.3 GHz Cavity Weld to Helium Vessel",
TUP30,"B. vanderHorst, A. Matheisen, B. Petersen, S. Saegebarth, P. Schilling, DESY Hamburg","Update on Cavity Preparation for High Gradient Superconducting Multicell Cavities at DESY",
TUP31,"M. Schmoekel, A. Matheisen, B. Petersen, N. Steinhau-Kuehl, H. Weitkamper, DESY Hamburg","Update on EP Experiences at DESY with the Electro Polishing Process at DESY 1.3 GHz",
TUP33,"N. Steinhau-Kuehl, R. Bandelmann, A. Matheisen, H. MoralesZimmermann, M. Schmoekel, DESY Hamburg; E. Palmieri, V. Rampazzo, INFN","Update on the JRA1 Project Results of Electro-Polishing of Multi-Cell Super Conducting Resonators",
TUP34,"M. Min, P. F. Fischer, Y. -C. Chae, ANL","Wake Fields in 9-Cell TESLA Accelerating Structures: Spectral Element Discontinuous Galerkin (SEDG) Simulations",
TUP35,"J. R. Shi, H. B. Chen, C. X. Tang, S. X. Zheng, Tsinghua University; D. Li, LBNL","Impedance Simulation and Waveguide Damping Study of a Superconducting Deflecting Cavity for ALS at LBNL",
TUP36,"S. M. Gerbick, M. P. Kelly, J. D. Fuerst, ANL","A New Electropolishing System at ANL for Superconducting Quarter-Wave Resonators",
TUP38,"S. Stark, A. M. Porcellato, A. Palmieri, V. Palmieri, P. Favaron, E. Bissiato, F. Stivanello, F. Chiurlotto, G. Dona, D. Giora, M. DeLazzari, INFN-LNL","A Novel Sputtered Medium Beta Cavity for ALPI",
