frxaa01,"C. Compton, H. Ao, J. Asciutto, B. Bird, W. Hartung, S.J. Miller, J.T. Popielarski, L. Popielarski, M.A. Reaume, K. Saito, M. Shuptar, S. Stark, B.P. Tousignant, T. Xu [FRIB, East Lansing, USA] ","Production Status of Superconducting Cryomodules for the Facility for Rare Isotope Beams",928 934,
frxaa02,"F. Furuta, N. Banerjee, A.C. Bartnik, J. Dobbins, R.G. Eichhorn, M. Ge, G.H. Hoffstaetter, M. Liepe, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","High-efficiency, High-current Optimized Main-linac ERL Cryomodule",935 940,
frxba01,"M. Omet, V. Ayvazyan, J. Branlard, L. Butkowski (Ł. Butkowski), M. Fenner, M.K. Grecki, M. Hierholzer, M. Hoffmann, M. Killenberg, D. Kuehn (D. Kühn), F. Ludwig, U. Mavric (U. Mavrič), S. Pfeiffer, H. Pryschelski, K.P. Przygoda, R. Rybaniec, H. Schlarb, Ch. Schmidt, B. Szczepanski, H.C. Weddig [DESY, Hamburg, Germany] W. Cichalewski, D.R. Makowski, F. Makowski, A. Mielczarek [TUL-DMCS, Lodz, Poland] K. Czuba, B. Gasowski (B. Gąsowski), S. Hanasz, P.K. Jatczak, D. Kolcz, T.P. Lesniak (T.P. Leśniak), D. Sikora [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] ","LLRF Commissioning at the European XFEL",941 943,
frxba02,"L.R. Doolittle, K.S. Campbell, Q. Du, G. Huang, J.A. Jones, C. Serrano, V.K. Vytla [LBNL, Berkeley, California, USA] S. Babel, A.L. Benwell, M. Boyes, G.W. Brown, D. Cha, J.H. De Long, J.A. Diaz Cruz, D.B. Greg, B. Hong, R.S. Kelly, A. McCollough, A. Ratti, C.H. Rivetta [SLAC, Menlo Park, California, USA] R. Bachimanchi, C. Hovater, D.J. Seidman [JLab, Newport News, Virginia, USA] B.E. Chase, E. Cullerton, J. Einstein, D.W. Klepec [Fermilab, Batavia, Illinois, USA] ","High Precision RF Control for SRF Cavities in LCLS-II",944 950,
mopb001,"P. Kolb, Y. Gao, D. Holmes, K.S. Smith, W. Xu [BNL, Upton, Long Island, New York, USA] Y. Gao [PKU, Beijing, People's Republic of China] ","Concepts and Design for Beamline HOM Dampers for eRHIC",39 42,
mopb002,"Q. Wu, I. Ben-Zvi, Y. Hao, S. Verdu-Andres (S. Verdú-Andrés), B. P. Xiao [BNL, Upton, Long Island, New York, USA] ","eRHIC Crab Cavity Choice for Ring-ring Design",43 46,
mopb003,"M. Schalwat, R. Bandelmann, A. Daniel, N. Krupka, A. Matheisen, S.T. Sievers [DESY, Hamburg, Germany] ","A New High Resolution Optical System for Inspection of Gun-and Multi-cell Resonators in ISO-4 Cleanrooms",47 50,
mopb004,"K. Papke, A. Grudiev [CERN, Geneva, Switzerland] ","Design of a RF Quadrupole Resonator for Landau Damping in HL-LHC",51 55,
mopb005,"M. Schwarz, M. Basten, M. Busch, H. Podlech, U. Ratzinger, R. Tiede [IAP, Frankfurt am Main, Germany] W.A. Barth, S. Yaramyshev [MEPhI, Moscow, Russia] W.A. Barth, M. Heilmann, S. Yaramyshev [GSI, Darmstadt, Germany] W.A. Barth, F.D. Dziuba, V. Gettmann, T. Kuerzeder (T. Kürzeder), M. Miski-Oglu [HIM, Mainz, Germany] ","Beam Dynamics Simulations for the New Superconducting CW Heavy Ion Linca at GSI",56 58,
mopb007,"C. Zhang, L. Chen, Q.W. Chu, H. Guo, Y. He, S.C. Huang, Y.L. Huang, T.C. Jiang, L. Li, Y.M. Li, F. Pan, T. Tan, R.X. Wang, A.D. Wu, Q.J. Wu, P.R. Xiong, W.M. Yue, S.H. Zhang, S.X. Zhang [IMP/CAS, Lanzhou, People's Republic of China] ","Design of the Superconducting Quarter Wave Resonators for HIAF",59 60,
