moiotio01,"M.S. Zisman, LBNL, Berkeley, California","Future Accelerator Challenges in Support of High-Energy Physics",8 16,
moiotio02,"J.C. Frisch, R. Akre, F.-J. Decker, Y.T. Ding, D. Dowell, P. Emma, A. Gilevich, G.R. Hays, P. Hering, Z. Huang, R.H. Iverson, R.G. Johnson, C. Limborg-Deprey, H. Loos, E. A. Medvedko, A. Miahnahri, H.-D. Nuhn, SLAC, Menlo Park, California; D.F. Ratner, Stanford University, Stanford, Califormia; J.L. Turner, J.J. Welch, G.R. White, J. Wu, SLAC, Menlo Park, California","Beam Measurements at LCLS",17 26,
mostfa01,"S.G. Arutunian, YerPhI, Yerevan","Vibrating Wire Sensors For Beam Instrumentation",99 98,
movtc02,"G. Decker, ANL, Argonne; S.G. Arutunian, M.R. Mailian, I.E. Vasiniuk, YerPhI, Yerevan","Hard X-Ray Synchrotron Radiation Measurements at the APS with Vibrating Wire Monitors",36 40,
movtc03,"J. Cao, IHEP Beijing, Beijing","The Progress Of BEPCII Storage Ring Diagnostics System",41 45,
movtc05,"S. De Santis, J.M. Byrd, LBNL, Berkeley, California; F. Caspers, CERN, Geneva; A. Krasnykh, SLAC, Menlo Park, California; T. Kroyer, CERN, Geneva; M.T.F. Pivi, SLAC, Menlo Park, California; K.G. Sonnad, LBNL, Berkeley, California","Measurements of the Electron Cloud Density in the PEP-II Low Energy Ring",46 49,
movtc06,"K. Wittenburg, DESY, Hamburg","The Beam Diagnostic Instrumentation of PETRA III",50 54,
movtio01,"B. Dehning, CERN, Geneva","LHC Machine Protection",27 35,
thttt01,"J. Serrano, CERN, Geneva","Digital Signal Processing Using Field Programmable Gate Arrays",346 355,
thvtio01,"F. Sannibale, LBNL, Berkeley, California","Recent Beam Measurements And New Instrumentation At The Advanced Light Source",356 362,
thvts02,"C.P. Welsch, KIP, Heidelberg; C.P. Welsch, GSI, Darmstadt","Development of Beyond State-of-the-art Diagnostic Techniques within the European Network DITANET",363 367,
tuiotio01,"J. van Tilborg, W. Leemans, N.H. Matlis, G.R.D. Plateau, C. Tóth, LBNL, Berkeley, California","Electro-Optic Techniques In Beam Diagnostics",65 74,
tuiotio02,"R.J. Lipton, Fermilab, Batavia","Radiation Damage in Detectors and Electronics",75 79,
tuptpf001,"H. Bui, G. Decker, R.M. Lill, W.E. Norum, A.F. Pietryla, ANL, Argonne","Performance of FPGA-based Data Acquisition for the APS Broadband Beam Position Monitor System",80 84,
tuptpf003,"M.J. Hagmann, NewPath, Salt Lake City, Utah","New Method to Monitor the Transverse Distribution of Current in Particle Beams",85 88,
tuptpf004,"M.J. Hagmann, NewPath Research L.L.C., Salt Lake City; M.J. Hagmann, NewPath, Salt Lake City, Utah","New Method to Monitor the Current and Position of One or Two Particle Beams",89 91,
tuptpf005,"J. Musson, T.L. Allison, JLAB, Newport News, Virginia; C. Hewitt, CNU, Newport News, Virginia","Injection of Direct-Sequence Spread Spectrum Pilot Tones into Beamline Components as a Means of Downconverter Stabilization and Real-Time Receiver Calibration",92 96,
tuptpf007,"Y. Zhao, J. Cao, IHEP Beijing, Beijing","The BEPCII DCCT System",97 99,
tuptpf008,"P. Forck, E. Guetlich, R. Haseitl, P. Kowina, GSI, Darmstadt","Scintillation Screen Investigations for High Current Ion Beams at GSI Linac",100 104,
tuptpf010,"T. Kamps, BESSY GmbH, Berlin; A. Arnold, FZD, Dresden; D. Böhlick, M. Dirsat, BESSY GmbH, Berlin; G. Klemz, MBI, Berlin; D. Lipka, T. Quast, J. Rudolph, M. Schenk, BESSY GmbH, Berlin; F. Staufenbiel, J. Teichert, FZD, Dresden; I. Will, MBI, Berlin","Commissioning of Electron Beam Diagnostics for a SRF Photoelectron Injector",105 109,
tuptpf013,"M.M. Dehler, G.J. Behrmann, PSI, Villigen; M. Siemens, S. Vilcins, DESY, Hamburg","Stripline Devices for FLASH and European XFEL",110 114,
tuptpf014,"T. Mastorides, J.D. Fox, C.H. Rivetta, D. Van Winkle, SLAC, Menlo Park, California","Measurements and Analysis of Longitudinal HOM Driven Coupled Bunch Modes in PEP-II Rings",115 119,
tuptpf015,"T. Obina, KEK, Ibaraki; W.X. Cheng, SLAC, Menlo Park, California; J.W. Flanagan, KEK, Ibaraki; J.D. Fox, SLAC, Menlo Park, California; T. Honda, T.M. Mitsuhashi, M. Tadano, KEK, Ibaraki; D. Teytelman, Dimtel, San Jose; M. Tobiyama, KEK, Ibaraki","Suppression of Longitudinal Coupled-bunch Instabilities at the KEK-PF",120 124,
tuptpf016,"X. Sun, G. Decker, ANL, Argonne","Localization of Noise Sources in the APS Storage Ring Using the Real-Time Feedback System",125 129,
tuptpf017,"J.M. Weber, M.J. Chin, LBNL, Berkeley, California","ALS FPGA-based Transverse Feedback Electronics",130 132,
tuptpf019,"W.X. Cheng, W.J. Corbett, A.S. Fisher, SLAC, Menlo Park, California","Streak-Camera Measurements with High Currents in PEP-II and Variable Optics in SPEAR3",133 137,
tuptpf020,"T.J. Maxwell, D. Mihalcea, P. Piot, Northern Illinois University, DeKalb, Illinois","Diffraction Effects in Coherent Transition Radiation Diagnostics for Sub-mm Bunch Length Measurement",138 142,
tuptpf021,"J. Pogge, D. Jeon, A.A. Menshov, I. Nesterenko, ORNL, Oak Ridge, Tennessee","Prototype Laser Emittance Scanner for Spallation Neutron Source (SNS) Accelerator",143 145,
tuptpf023,"J.D. Sedillo, J.D. Gilpatrick, F. Gonzales, J.F. Power, LANL, Los Alamos, New Mexico","LANSCE-R Investigation: Improving the Wire Scanner Motion Control",146 148,
tuptpf024,"J.C.T. Thangaraj, B.L. Beaudoin, S. Bernal, D.W. Feldman, R. Feldman, R.A. Kishek, P.G. O'Shea, C. F. Papadopoulos, M. Reiser, D. Stratakis, D.F. Sutter, UMD, College Park, Maryland","Space Charge Waves As A Diagnostic To Measure Transverse Beam Size Of Space Charge Dominated Beams",149 152,
tuptpf025,"R. Thurman-Keup, R.P. Fliller, G.M. Kazakevich, Fermilab, Batavia","Bunch Length Measurement at the Fermilab A0 Photoinjector using a Martin Puplett Interferometer",153 157,
tuptpf026,"M. Veronese, M.B. Danailov, M. Ferianis, ELETTRA, Basovizza","The Electro-Optic Sampling Stations for FERMI@Elettra, A Design Study",158 161,
tuptpf027,"C.P. Welsch, KIP, Heidelberg; E. Bravin, A.E. Dabrowski, T. Lefèvre, CERN, Geneva; C.P. Welsch, GSI, Darmstadt","Status of the CTF3 Synchrotron Light Monitoring System",162 166,
tuptpf028,"J. Xu, J.D. Fox, D. Van Winkle, SLAC, Menlo Park, California","Multi-Bunch Beam Signal Generator for Feedback Receiver Development",167 171,
tuptpf029,"G. Mazzitelli, INFN/LNF, Frascati (Roma); N. Arnaud, LAL, Orsay; M. Boscolo, F. Bossi, INFN/LNF, Frascati (Roma); P. Branchini, roma3, Rome; D. Breton, LAL, Orsay; B. Buonomo, INFN/LNF, Frascati (Roma); F. Iacoangeli, INFN-Roma, Roma; F. Murtas, P. Raimondi, INFN/LNF, Frascati (Roma); M. Schioppa, INFN Gruppo di Cosenza, Arcavacata di Rende (Cosenza); G. Sensolini, INFN/LNF, Frascati (Roma); A. Stocchi, LAL, Orsay; P. Valente, INFN-Roma, Roma; A. Variola, B.F. Viaud, LAL, Orsay","Crab Waist Scheme Luminosity and Background Diagnostic at DANE",172 176,
tuptpf030,"B. Buonomo, G. Mazzitelli, F. Murtas, L. Quintieri, INFN/LNF, Frascati (Roma); P. Valente, INFN-Roma, Roma","Beam Diagnostics For A Wide Range Beam Test Facility (Btf)",177 180,
tuptpf032,"T. Ieiri, H. Fukuma, Y. Funakoshi, K. Ohmi, M. Tobiyama, KEK, Ibaraki","A Gated Beam-Position Monitor and Its Application to Beam Dynamics Measurements at KEKB",181 185,
tuptpf033,"A. Kosicek, T. Karcnik, V. Poucki, I-Tech, Solkan; K.B. Scheidt, ESRF, Grenoble","Modified Digital Filtering Makes Possible "True & Pure" Turn-by-Turn Measurements",186 189,
tuptpf037,"E. A. Medvedko, R. Akre, D.E. Anderson, R.G. Johnson, J.J. Olsen, S.R. Smith, T. Straumann, A. Young, SLAC, Menlo Park, California","Stripline Beam Position Monitors for LCLS",190 193,
tuptpf038,"A. Olmos, F. Peréz, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Measurements on Libera Electron and Libera Brilliance BPM electronics",194 196,
tuptpf039,"J.F. Power, J.D. Gilpatrick, D. Martinez, LANL, Los Alamos, New Mexico","Comparisons of Selected COTS and Custom Hardware for Beam Position and Phase Measurements for LANSCE",197 199,
tuptpf040,"P.S. Prieto, C.I. Briegel, R. Dysert, N. Eddy, B.J. Fellenz, Fermilab, Batavia; J.C. Frisch, SLAC, Menlo Park, California; E. Gianfelice-Wendt, W. Haynes, Fermilab, Batavia; J. May, D.J. McCormick, J. Nelson, SLAC, Menlo Park, California; D.J. Nicklaus, R. Rechenmacher, Fermilab, Batavia; A. Seryi, SLAC, Menlo Park, California; D. Slimmer, Fermilab, Batavia; T.J. Smith, SLAC, Menlo Park, California; N. Terunuma, J. Urakawa, KEK, Ibaraki; D.C. Voy, M. Wendt, Fermilab, Batavia; M. Woodley, SLAC, Menlo Park, California","High Resolution Upgrade of the ATF Damping Ring BPM System",200 204,
tuptpf042,"M. Tobiyama, J.W. Flanagan, T. Obina, M. Tadano, KEK, Tsukuba","Development of Button Electrode with Improved Time Response",205 209,
tuptpf044,"T. Hoffmann, D. Ondreka, GSI, Darmstadt; A. Peters, HIT, Heidelberg; A. Reiter, M. Schwickert, GSI, Darmstadt","Beam Quality Measurements at the Synchrotron and HEBT of the Heidelberg Ion Therapy Center",210 212,
tuptpf047,"G.J. Portmann, K.M. Baptiste, W. Barry, M.P. Hertlein, J. Julian, S. Kwiatkowski, R. Low, D.W. Plate, D. Robin, LBNL, Berkeley, California","Creating a Pseudo Single Bunch at the ALS – First Results",213 217,
tuptpf048,"A.G. Shkvarunets, UMD, College Park, Maryland; M.E. Conde, ANL, Argonne; R.B. Fiorito, UMD, College Park, Maryland; W. Gai, J.G. Power, ANL, Argonne","Electron Beam Divergence Measurements at Low Energies Using a Novel Optical Diffraction Radiation Transmission Interferometer",218 221,
tuptpf049,"O. Singh, I. Pinayev, BNL, Upton, Long Island, New York","Overview of Beam Instrumentation and Diagnostics for the NSLS-II Project",222 226,
tuptpf050,"D.S. Todd, D. Leitner, M.M. Strohmeier, LBNL, Berkeley, California","Low Energy Ion Beam Diagnostics at the VENUS ECR Ion Source",227 231,
tuptpf051,"B.B. Baricevic, T. Karcnik, I-Tech, Solkan","Phase Measurements for GANIL and LANL",232 235,
