moap02,"M. Gasior [CERN, Geneva, Switzerland] ","Faraday Cup Award: High Sensitivity Tune Measurement using Direct Diode Detection",99 98,
mobp02,"J.C.T. Thangaraj, A.S. Johnson, A.H. Lumpkin, T.J. Maxwell, J. Ruan, J.K. Santucci, R.M. Thurman-Keup [Fermilab, Batavia, USA] G. Andonian, A.Y. Murokh, A.G. Ovodenko, M. Ruelas [RadiaBeam, Marina del Rey, USA] ","First Results from Commissioning the Real-Time Interferometer as a Bunch-Length Monitor for Sub-mm Electron Bunches",9 11,
mobp03,"M. Kuntzsch, A. Buechner (A. Büchner), M. Gensch, U. Lehnert, F. Roeser (F. Röser) [HZDR, Dresden, Germany] M. Bousonville, M.K. Czwalinna, M. Felber, T. Lamb, H. Schlarb, S. Schulz, C. Sydlo [DESY, Hamburg, Germany] ","Status of the Femtosecond Synchronization System at ELBE",12 14,
mocp03,"L. Panitzsch, S. Boettcher (S. Böttcher), M. Stalder, R.F. Wimmer-Schweingruber [IEAP, Kiel, Germany] ","A New System for Monitoring Transverse Beam Profiles",15 16,
mopg001,"F. Kurian, P. Hülsmann, P. Kowina, D.A. Liakin, H. Reeg, M. Schwickert [GSI, Darmstadt, Germany] R. Geithner, R. Neubert [FSU Jena, Jena, Germany] W. Vodel [HIJ, Jena, Germany] ","Field Attenuation of the Magnetic Shield for a Cryogenic Current Comparator",17 19,
mopg002,"N. Liu, A. Ibrahim, A. Semenov, M. Wendt [Fermilab, Batavia, USA] ","Digital Signal Processing for Bunched Beam Intensity Measurements",20 22,
mopg003,"M.M. Ali, M.E. Bevins, P. Degtiarenko, A. Freyberger, G.A. Krafft [JLAB, Newport News, Virginia, USA] ","Precision Absolute Beam Current Measurement of Low Power Electron Beam",23 25,
mopg004,"D. Padrazo, B. Bacha, Y. Hu, I. Pinayev, G.M. Wang [BNL, Upton, Long Island, New York, USA] ","NSLS-II Beam Intensity Measurement",26 28,
mopg005,"Y. Hu, P. Cameron, D. Chabot, L.R. Dalesio, S.L. Kramer [BNL, Upton, Long Island, New York, USA] ","Controls and Data Acquisition for NSLS-II Loss Control and Monitoring",29 31,
mopg006,"M. Panniello [MPI-K, Heidelberg, Germany] P. Finocchiaro [INFN/LNS, Catania, Italy] S. Mallows [CERN, Geneva, Switzerland] A. Pappalardo [Microsensor S.R.L., Catania, Italy] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Characterization of Detectors for Beam Loss Measurements",32 34,
mopg007,"A. Kaukher, I. Krouptchenkov, D. Noelle (D. Nölle), H. Tiessen, K. Wittenburg [DESY, Hamburg, Germany] ","XFEL Beam Loss Monitor System",35 37,
mopg008,"P. Leban, R. Hrovatin [I-Tech, Solkan, Slovenia] T. Obina [KEK, Ibaraki, Japan] ","First-turn and Stored Beam Measurements with Single Bunch Filling Patterns Using Time-domain Processing at KEK-PF",38 40,
mopg009,"P.L. Lemut, S. Zorzut [I-Tech, Solkan, Slovenia] B. Batagelj, J. Tratnik [University of Ljubljana, Faculty of Electrical Engineering, Ljubljana, Slovenia] P.L. Lemut, M. Leskovec [COBIK, Solkan, Slovenia] ","Evaluation of Short and Long-Term Stability of the 2998 MHz Reference-Clock Transfer System",41 43,
mopg010,"M. Gasior, J. Olexa, R.J. Steinhagen [CERN, Geneva, Switzerland] ","BPM Electronics Based on Compensated Diode Detectors - Results from Development Systems",44 46,
mopg011,"R.T. Keane, H. Bui, G. Decker, M. Hahne [ANL, Argonne, USA] P. Leban [I-Tech, Solkan, Slovenia] C. Wimmer [National Instruments, Austin, USA] ","Evaluation of a Variety of Photon Beam Position Monitor Data Acquisition Methodologies at the APS",47 49,
mopg012,"R.M. Lill, G. Decker, J.E. Hoyt, X. Sun, B.X. Yang [ANL, Argonne, USA] ","Design, Installation, and Commissioning Results for Suppressing Rogue TE Modes Impacting Vertical BPM Readings of the APS Storage Ring",50 52,
mopg013,"X. Sun, G. Decker, N. Sereno [ANL, Argonne, USA] ","Simulation Studies of Button Pickup Electrode Response to Longitudinally Tilted Beams",53 55,
mopg015,"J.D. Gilpatrick, V.G. Kutac, D. Martinez, R.C. McCrady, J.F. O'Hara, F.R. Olivas, R.B. Shurter, H.A. Watkins [LANL, Los Alamos, New Mexico, USA] ","Beam Position and Phase Monitors Characterized and Installed in the LANSCE CCL",56 58,
mopg016,"R.C. McCrady, J.D. Gilpatrick, H.A. Watkins [LANL, Los Alamos, New Mexico, USA] ","Beam Position and Phase Monitors for the LANSCE Linac",59 61,
mopg017,"H.A. Watkins, J.D. Gilpatrick, V.G. Kutac, D. Martinez, R.B. Shurter [LANL, Los Alamos, New Mexico, USA] ","Beam Position and Phase Monitor - Wire Mapping System",62 64,
mopg018,"J.J. Sebek, W.J. Corbett, S.M. Gierman, X. Huang, J.A. Safranek, K. Tian [SLAC, Menlo Park, California, USA] ","Diagnostics for Physics Applications at SPEAR3",65 67,
mopg019,"A. Young, J.C. Frisch, S.R. Smith, D. Van Winkle [SLAC, Menlo Park, California, USA] ","New Low Cost X-band Cavity BPM Receiver",68 70,
mopg020,"J. Musson, C. Seaton, M. Spata, J. Yan [JLAB, Newport News, Virginia, USA] ","Application of Neural Network Algorithms for BPM Linearization",71 73,
mopg021,"P.S. Friedman [Integrated Sensors, LLC, Ottawa Hills, USA] R. Ball, J.W. Chapman, C. Ferretti, D.S. Levin, C. Weaverdyck, B. Zhou [University of Michigan, Ann Arbor, USA] J.R. Beene, R.L. Varner Jr. [ORNL, Oak Ridge, Tennessee, USA] M. Ben-Moshe, Y. Benhammou, E. Etzion, N. Guttman, Y. Silver [University of Tel Aviv, Tel Aviv, Israel] ","Plasma Panel Detectors as Active Pixel Beam Monitors",74 76,
mopg022,"W.X. Cheng, B. Bacha, O. Singh [BNL, Upton, Long Island, New York, USA] ","NSLS2 Beam Position Monitor Calibration",77 79,
mopg023,"A.J. Della Penna [BNL, Upton, Long Island, New York, USA] ","NSLS-II Storage Ring and Booster Pilot Tone Combiner Lab Testing Results",80 82,
mopg024,"P. Thieberger, W.C. Dawson, W. Fischer, D.M. Gassner, R.L. Hulsart, K. Mernick, R.J. Michnoff, M.G. Minty [BNL, Upton, Long Island, New York, USA] ","Conceptual Design of a High Precision Dual Directional Beam Position Monitoring System for Beam Crosstalk Cancellation and Improved Output Pulse Shapes",83 85,
mopg025,"P. Thieberger, E.N. Beebe, W. Fischer, D.M. Gassner, X. Gu, K. Hamdi, J. Hock, T.A. Miller, M.G. Minty, C. Montag, A.I. Pikin [BNL, Upton, Long Island, New York, USA] ","Design of a Proton-Electron Beam Overlap Monitor for the New RHIC Electron Lens based on Detecting Energetic Backscattered Electrons",86 88,
mopg026,"R.J. Michnoff, C. Biscardi, P. Cerniglia, C. Degen, D.M. Gassner, L.T. Hoff, R.L. Hulsart [BNL, Upton, Long Island, New York, USA] ","A Wire Scanner System for Characterizing the BNL Energy Recovery Linac Beam Position Monitor System",89 91,
mopg027,"B.N. Kosciuk, M.A. Maggipinto, K. Vetter [BNL, Upton, Long Island, New York, USA] ","Optimizing the Thermal Management of NSLS-II RF BPM Electronics",92 94,
mopg031,"J.R. Piton, M.P. Donadio, D. Omitto, M.A. Raulik, H. Westfahl Jr. [LNLS, Campinas, Brazil] B.C. Yenikomochian [National Instruments Brasil, São Paulo-SP, Brazil] ","Hyppie: A Hypervisored PXI for Physics Instrumentation under EPICS",95 97,
mopg032,"T. Lensch, M. Werner [DESY, Hamburg, Germany] ","Synchronized Post Mortem Trigger of the PETRA III MPS",98 100,
mopg033,"M. Bousonville, M.K. Czwalinna, M. Felber, T. Ladwig, T. Lamb, H. Schlarb, S. Schulz, C. Sydlo [DESY, Hamburg, Germany] S. Hunziker [PSI, Villigen, Switzerland] S. Jablonski (S. Jabłoński), P. Kownacki [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] ","New Phase Stable Optical Fibre",101 103,
