frm1mcio01,"V.V. Parkhomchuk, BINP SB RAS, Novosibirsk; A.V. Bubley, BINP, Novosibirsk; V.M. Panasyuk, V.B. Reva, BINP SB RAS, Novosibirsk","Electron Cooling for the Therapy Accelerator Complex",168 172,
frm1mcio02,"X.D. Yang, Y.J. Yuan, IMP, Lanzhou","Commissioning of Electron Cooling in CSRe",173 177,
frm1mcio03,"J. Dietrich, FZJ, Jülich; M.I. Bryzgunov, A.D. Goncharov, BINP SB RAS, Novosibirsk; V. Kamerdzhiev, FZJ, Jülich; V.V. Parkhomchuk, V.B. Reva, D.N. Skorobogatov, BINP SB RAS, Novosibirsk","Status of the 2 MeV Electron Cooler for COSY Jülich",178 180,
frm2mcco01,"Y.S. Derbenev, JLAB, Newport News, Virginia","Electron Cooling for Future Electron-Ion Collide at JLAB",181 184,
frm2mcio02,"Y.J. Yuan, J.W. Xia, H.S. Xu, X.D. Yang, H.W. Zhao, IMP, Lanzhou","Status of HIRFL-CSR Project",185 189,
moa1mcco02,"V.A. Lebedev, R.J. Pasquinelli, S.J. Werkema, Fermilab, Batavia","Operation and Upgrade of Stacktail Cooling System",27 31,
moa1mcio01,"M.H. Bussmann, FZD, Dresden; G. Birkl, TU Darmstadt, Darmstadt; C. Dimopoulou, GSI, Darmstadt; Ch. Geppert, Johannes Gutenberg University Mainz, Mainz; C. Kozhuharov, T. Kühl, W. Nörtershäuser, GSI, Darmstadt; C. Novotny, Johannes Gutenberg University Mainz, Institut für Physik, Mainz; U. Schramm, FZD, Dresden; M. Steck, T. Stöhlker, GSI, Darmstadt; T. Walther, TU Darmstadt, Darmstadt; D.F.A. Winters, GSI, Darmstadt","All-Optical Ion Beam Cooling and Online Diagnostics at Relativistic Energies",22 26,
moa1mcio03,"F. Nolden, R. Hettrich, U. Jandewerth, C. Peschke, P. Petri, M. Steck, GSI, Darmstadt","Prototype Pick-up Tank for CR Stochastic Cooling at FAIR",32 35,
moa2mcio01,"R.J. Pasquinelli, Fermilab, Batavia","Twenty-five Years of Stochastic Cooling Experience at Fermilab",36 40,
moa2mcio02,"T. Katayama, A. Dolinskyy, B. Franzke, S.A. Litvinov, GSI, Darmstadt; D. Möhl, CERN, Geneva; F. Nolden, M. Steck, GSI, Darmstadt; L. Thorndahl, CERN, Geneva","Numerical Design Study of Stochastic Stacking of 3 GeV Anti-Proton Beam in the RESR for the FAIR Project",41 45,
mom1mcio01,"L.R. Prost, C.M. Bhat, D.R. Broemmelsiek, A.V. Burov, K. Carlson, J.L. Crisp, P. Derwent, N. Eddy, C. Gattuso, M. Hu, S.M. Pruss, A.V. Shemyakin, M. Sutherland, A. Warner, M. Xiao, Fermilab, Batavia","Status of Antiproton Accumulation and Cooling at Fermilab's Recycler",99 98,
