fr1pb01,"G.A. Karamysheva, I. Amirkhanov, I.N. Kiyan, N.A. Morozov, E. Samsonov [JINR, Dubna, Moscow Region, Russia] K. Daniel, K. Gugula, J. Sulikowski [IFJ-PAN, Kraków, Poland] ","Operation Mode of AIC-144 Multipurpose Isochronous Cyclotron for Eye Melanoma Treatment",461 463,
fr1pb02,"M. Ghergherehchi, J.-S. Chai [SKKU, Suwon, Republic of Korea] D.H. Shin [NCC, Goyang, Kyeonggi, Republic of Korea] ","Secondary Particle Dose and RBE Measurements Using High-Energy Proton Beams",464 466,
fr1pb03,"T. Baumann, D. Bazin, T.N. Ginter, E. Kwan, J. Pereira, C. Sumithrarachchi [NSCL, East Lansing, Michigan, USA] ","The Radio Frequency Fragment Separator: A Time-of-Flight Filter for Fast Fragmentation Beams",467 469,
fr1pb04,"O. Kamalou, O. Bajeat, F. Chautard, P. Delahaye, M. Dubois, P. Jardin, L. Maunoury [GANIL, Caen, France] ","GANIL Operation Status and Upgrade of SPIRAL1",470 472,
fr1pb05,"M.K. Craddock [UBC  TRIUMF, Vancouver, British Columbia, Canada] S.M. Austin, F. Marti [NSCL, East Lansing, Michigan, USA] ","In Memoriam: Henry G. Blosser",473 476,
fr2pb01,"M. Wakasugi [RIKEN Nishina Center, Wako, Japan] ","Construction of the Rare RI Ring at the RIKEN RI Beam Factory",477 481,
fr2pb02,"K.R. Buckley [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Cyclotron Production of Tc-99m",482 486,
mo1pb01,"N. Fukunishi, T. Dantsuka, M. Fujimaki, T. Fujinawa, H. Hasebe, Y. Higurashi, E. Ikezawa, H. Imao, T. Kageyama, O. Kamigaito, M. Kase, M. Kidera, M. Komiyama, H. Kuboki, K. Kumagai, T. Maie, M. Nagase, T. Nakagawa, M. Nakamura, J. Ohnishi, H. Okuno, K. Ozeki, N. Sakamoto, K. Suda, A. Uchiyama, T. Watanabe, Y. Watanabe, K. Yamada, H. Yamasawa [RIKEN Nishina Center, Wako, Japan] ","Acceleration of Intense Heavy Ion Beams in RIBF Cascaded-Cyclotrons",99 98,
mo1pb02,"A. Stolz, G. Bollen, A. Lapierre, D. Leitner, D.J. Morrissey, S. Schwarz, C. Sumithrarachchi, W. Wittmer [NSCL, East Lansing, Michigan, USA] ","New Developments and Capabilities at the Coupled Cyclotron Facility at Michigan State University",7 10,
mo1pb03,"J. Debnath, A. Chakrabarti, M.K. Dey [VECC, Kolkata, India] ","Current Status of the Superconducting Cyclotron Project at Kolkata",11 13,
mo2pb01,"S. Machida [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] ","What We Learned from EMMA",14 18,
mo2pb02,"D.S. Todd, J.Y. Benitez, K.Y. Franzen, M. Kireeff Covo, C.M. Lyneis, L. Phair, P. Pipersky, M.M. Strohmeier [LBNL, Berkeley, California, USA] ","High Current Beam Extraction from the 88-Inch Cyclotron at LBNL",19 21,
mo2pb03,"D.P. May, B.T. Roeder, R.E. Tribble [Texas Aamp;M University Cyclotron Institute, College Station, Texas, USA] F.P. Abegglen, G. Chubaryan, H.L. Clark, G.J. Kim, G. Tabacaru [Texas Aamp;M University, Cyclotron Institute, College Station, Texas, USA] J. Arje (J.E. Ärje) [JYFL, Jyvaskyla, Finland] ","Progress Toward the Facility Upgrade for Accelerated Radioactive Beams at Texas A&M",22 24,
mo2pb04,"M.A. Hofstee, S. Brandenburg, H. Post, R.A. Schellekens, J.E. de Jong [KVI, Groningen, The Netherlands] ","Improving the Energy Efficiency, Reliability and Performance of AGOR",25 27,
mo3pb01,"T.L. Hart, D.J. Summers [UMiss, University, Mississippi, USA] ","An Inverse Cyclotron for Muon Cooling",97 101,
mo3pb02,"H. Tsutsui, A. Hashimoto, Y. Mikami, H. Mitsubori, T. Mitsumoto, Y. Touchi, T. Ueda, K. Uno, K. Watazawa, S. Yajima, J.Y. Yoshida, K.U. Yumoto [SHI, Tokyo, Japan] ","Design Study of a Superconducting AVF Cyclotron for Proton Therapy",102 104,
mo3pb03,"S.V. Kutsaev, Z.A. Conway, P.N. Ostroumov [ANL, Argonne, USA] R.D. Ford, C. Johnstone [PAC, Batavia, Illinois, USA] ","High Gradient Superconducting Cavity Development for FFAG",105 107,
mo3pb04,"A. Garonna [CERN, Geneva, Switzerland] U. Amaldi, A. Laisné [TERA, Novara, Italy] L. Calabretta, D. Campo [INFN/LNS, Catania, Italy] ","Comparison of Superconducting 230 MeV/u Synchro- and Isochronous Cyclotron Designs for Therapy with Cyclinacs",108 110,
mo4pb01,"T. Uesugi [Kyoto University, Research Reactor Institute, Osaka, Japan] ","Experimental Study Towards High Beam Power FFAG",111 114,
mo4pb02,"W.J.G.M. Kleeven, M. Abs, E. Forton, S. Henrotin, Y. Jongen, V. Nuttens, Y. Paradis, E.E. Pearson, S. Quets, P. Verbruggen, S. Zaremba, J. van de Walle [IBA, Louvain-la-Neuve, Belgium] M. Conjat, J. Mandrillon, P. Mandrillon [AIMA, Nice, France] ","The IBA Superconducting Synchrocyclotron Project S2C2",115 119,
mo4pb03,"J.-B. Lagrange, Y. Mori [Kyoto University, Research Reactor Institute, Osaka, Japan] ","Advanced FFAG Optics, Design and Experiment",120 124,
moppt001,"F.M. Alrumayan, M.S. Shawoo, M. Vora [King Faisal Specialist Hospital and Research Centre, Riyadh 11211, Kingdom of Saudi Arabia] ","Status Report of the Cyclotrons C-30, CS-30 and RDS-111 at KFSHRC, Saudi Arabia",28 30,
moppt002,"A. Denker, J. Bundesmann, T. Damerow, T. Fanselow, W. Hahn, G. Heidenreich, D. Hildebrand, U. Hiller, U. Muller, C. Rethfeldt, J.R. Roehrich (J. Röhrich) [HZB, Berlin, Germany] D. Cordini, J. Heufelder, R. Stark, A. Weber [Charite, Berlin, Germany] ","Status of the HZB Cyclotron",31 33,
moppt003,"R. Gebel, R. Brings, O. Felden, R. Maier, S. Mey, D. Prasuhn [FZJ, Jülich, Germany] ","20 Years of JULIC Operation as COSY's Injector Cyclotron",34 36,
moppt004,"J. Grillenberger, J.M. Humbel, A.C. Mezger, M. Seidel, W. Tron [PSI, Villigen PSI, Switzerland] ","Status and Further Development of the PSI High Intensity Proton Facility",37 39,
moppt005,"K. Hatanaka, M. Fukuda, K. Kamakura, S. Morinobu, T. Saito, H. Tamura, H. Ueda, Y. Yasuda, T. Yorita [RCNP, Osaka, Japan] ","Present Status of the RCNP Cyclotron Facility",40 42,
moppt007,"P. M.T. Heikkinen [JYFL, Jyvaskyla, Finland] ","Recent Progress at the Jyväskylä Cyclotron Laboratory",43 45,
moppt008,"S. Hojo, T. Honma, K. Katagiri, M. Nakao, A. Noda, K. Noda, A. Sugiura [NIRS, Chiba-shi, Japan] A.K. Komiyama, T. Okada, Y. Takahashi [AEC, Chiba, Japan] ","Present Status of Cyclotrons (NIRS-930, HM-18) at NIRS",46 48,
moppt010,"F. Poirier, S. Girault, X. Goiziou, F. Gomez, C. Huet, L. Lamouric, E. Mace, J. Orsonneau, L. Perrigaud, D. Poyac, H. Trichet, N. Varmenot [Cyclotron ARRONAX, Saint-Herblain, France] S. Girault, F. Poirier [SUBATECH, Nantes, France] C. Huet [EMN, Nantes, France] E. Mace [INSERM, Nantes, France] N. Varmenot [ICO, Saint - Herblain, France] ","On-Going Operations with the Cyclotron C70 ARRONAX",49 51,
moppt011,"D. Rifuggiato, L. Calabretta, L. Cosentino, G. Cuttone [INFN/LNS, Catania, Italy] ","Variety of Beam Production at the INFN LNS Superconducting Cyclotron",52 54,
moppt012,"H. Röcken, M. Abdel-Bary, E.M. Akcoeltekin (E.M. Akcöltekin), P. Budz, M. Grewe, F. Klarner, A. Roth, T. Stephani, P. vom Stein [VMS-PT, Bergisch Gladbach, Germany] ","Progress at Varian's Superconducting Cyclotrons: A Base for the ProBeamTM Platform",55 57,
moppt013,"D. van Rooyen, B. Gålnander, M.E. Lindberg, T. Lofnes, T. Peterson, M. Pettersson [TSL, Uppsala, Sweden] ","Status Report on the Gustav Werner Cyclotron at TSL, Uppsala",58 60,
moppt014,"T.J. Zhang, Shizhong. An, F. Yang, H. Yi [CIAE, Beijing, People's Republic of China] ","Installation and Test Progress for CYCIAE-100",61 63,
moppt015,"J.-W. Kim, Y. Choi, S. Hong, J.H. Kim [IBS, Daejeon, Republic of Korea] ","Plan of a 70 MeV H- Cyclotron System for the ISOL Driver in the Rare Isotope Science Project",64 66,
moppt016,"F.S. Labrecque, F.S. Grillet, B.F. Milton, L. AC. Piazza, W. Stazyk, S.L. Tarrant [BCSI, Vancouver, BC, Canada] J.R. Alonso, D. Campo [MIT, Cambridge, Massachusetts, USA] L. Calabretta [INFN/LNS, Catania, Italy] M.M. Maggiore [INFN/LNL, Legnaro (PD), Italy] ","Configurable 1 MeV Test Stand Cyclotron for High Intensity Injection System Development",67 69,
moppt018,"F. Meot (F. Méot) [BNL, Upton, Long Island, New York, USA] D.J. Kelliher, S. Machida [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] B.J.A. Shepherd [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","End-to-End 6-D Tracking Using EMMA On-Line Model",70 72,
moppt019,"C. Johnstone [Fermilab, Batavia, Illinois, USA] M. Berz, K. Makino [MSU, East Lansing, Michigan, USA] P. Snopok [Illinois Institute of Technology, Chicago, Illinois, USA] ","A Compact, GeV, High-Intensity (CW) Racetrack FFAG",73 75,
moppt020,"M.M. Maggiore [INFN/LNL, Legnaro (PD), Italy] L. Bromberg, C.E. Miller, J.V. Minervini, A. Radovinsky [MIT/PSFC, Cambridge, Massachusetts, USA] ","Study of a Superconducting Compact Cyclotron for Delivering 20 MeV High Current Proton Beam",76 78,
moppt022,"J. Ohnishi, M. Nakamura, H. Okuno [RIKEN Nishina Center, Wako, Japan] ","Design of New Superconducting Ring Cyclotron for the RIBF",79 81,
moppt024,"M.K. Craddock [UBC  TRIUMF, Vancouver, British Columbia, Canada] ","Radial-Sector Cyclotrons with Different Hill and Valley Field Profiles",82 84,
moppt025,"S.R. Koscielniak [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Optimum Serpentine Acceleration in Scaling FFAG",85 87,
moppt030,"S.K. Hoeffgen, S. Metzger [FhG, Euskirchen, Germany] R. Brings, O. Felden, R. Gebel, R. Maier, D. Prasuhn [FZJ, Jülich, Germany] M. Brugger, R. Garcia Alia [CERN, Geneva, Switzerland] ","Past, Present and Future Activities for Radiation Effects Testing at JULIC/COSY",88 90,
moppt031,"A. Lombardi, A. Andrighetto, G. Bisoffi, M. Comunian, P. Favaron, F. Gramegna, M.M. Maggiore, L. AC. Piazza, G.P. Prete, D. Zafiropoulos [INFN/LNL, Legnaro (PD), Italy] ","SPES Project: A Neutron Rich ISOL Facility for Re-Accelerated RIBs",91 93,
moppt032,"J.L. Conradie, L.S. Anthony, R.A. Bark, J.C. Cornell, J.G. De Villiers, H. Du Plessis, J.S. Du Toit, W. Duckitt, D.T. Fourie, M.E. Hogan, I.H. Kohler, C. Lussi, R.H. McAlister, H.W. Mostert, J.V. Pilcher, P.F. Rohwer, M. Sakildien, N. Stodart, R.W. Thomae, M.J. Van Niekerk, P.A. van Schalkwyk [iThemba LABS, Somerset West, South Africa] ","Status Report and New Developments at iThemba LABS",94 96,
th1pb01,"G. Cojocaru, J.C. Lofvendahl [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Operational Experience at the Intensity Limit in Compact Cyclotrons",432 436,
th1pb02,"J.M. Humbel, C. Baumgarten, J. Grillenberger, W. Joho, H. Muller, H. Zhang [PSI, Villigen PSI, Switzerland] ","Tuning of the PSI 590 MeV Ring Cyclotron for Accepting and Accelerating a Rebunched 72 MeV Proton Beam",437 439,
th1pb03,"M.A. Chaudhri [Inst. of Biomaterials, Uni. of Erlangen-Nuernberg, Erlangen, Germany] ","Activation Analysis with Charged Particles: Theory, Practice and Potential",440 442,
th1pb04,"E.J. Lee, M.G. Hur, J.H. Park [KAERI, Daejon, Republic of Korea] Y.B. Kong, Y.D. Park, J.M. Son, S.D. Yang [Advanced Radiation Technology Institute, Korea Atomic Energy Research Institute, Jeongup-si, Jeollabuk-do, Republic of Korea] ","Fabrication of Hydrophobic Surfaces from Hydrophilic BeO by Alpha-Irradiation-Induced Nuclear Transmutation",443 445,
th2pb01,"M.K. Dey, A. Chakrabarti, A. Dutta Gupta [VECC, Kolkata, India] ","Design of Ultra-Light Superconducting Proton Cyclotron for Production of Isotopes for Medical Applications",446 450,
th2pb02,"J.W. Engle, E.R. Birnbaum, M.E. Fassbender, K.D. John, F.M. Nortier [LANL, Los Alamos, New Mexico, USA] ","Parasitic Isotope Production with Cyclotron Beam Generated Neutrons",451 453,
th2pb03,"E.F. Dorman, R.C. Emery [University of Washington Medical Center, Seattle, Washington, USA] ","The University of Washington Clinical Cyclotron a Summary of Current Particles and Energies Used in Therapy, Isotope Production, and Clinical Research",454 457,
th2pb04,"C.S.G. Kunert, J. Bundesmann, T. Damerow, A. Denker [HZB, Berlin, Germany] A. Weber [Charite, Berlin, Germany] ","A Multi-Leaf Faraday Cup Especially for Proton Therapy of Ocular Tumors",458 460,
tu1pb01,"L.T. Sun [IMP, Lanzhou, People's Republic of China] ","High Intensity Operation for Heavy Ion Cyclotron of Highly Charged ECR Ion Sources",125 129,
tu1pb02,"T. Thuillier [LBNL, Berkeley, California, USA] ","Electron Cyclotron Resonance Source Development",130 133,
tu1pb03,"V. Mironov, J.P.M. Beijers [KVI, Groningen, The Netherlands] ","PIC Simulations of Ion Dynamics in ECR Ion Sources",134 138,
tu1pb04,"Y. Higurashi, M. Kidera, T. Nakagawa, J. Ohnishi, K. Ozeki [RIKEN Nishina Center, Wako, Japan] ","Status of the RIKEN 28-GHz SC-ECRIS",139 141,
tu2pb01,"C. Wang, B. Ji, Y. Lei, P.Z. Li, J.S. Xing, Z.G. Yin, T.J. Zhang [CIAE, Beijing, People's Republic of China] A. Adelmann, A. Gsell, M. Seidel [PSI, Villigen PSI, Switzerland] ","A Study of Multipacting Effects in Large Cyclotron Cavities by Means of Fully 3-Dimensional Simulations",142 146,
tu2pb02,"A.C. Caruso, G. Gallo, A. Longhitano [INFN/LNS, Catania, Italy] F. Consoli [Associazione Euratom-ENEA sulla Fusione, Frascati (Rome), Italy] P.Z. Li [CIAE, Beijing, People's Republic of China] J. Sura [Warsaw University, Warsaw, Poland] ","The New Axial Buncher at INFN-LNS",147 149,
tu2pb03,"S. Saboonchi, H. Afarideh [AUT, Tehran, Iran] M.R. Asadi [PPRC, Tehran, Iran] J.-S. Chai, M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Heat Transfer Study and Cooling of 10 MeV Cyclotron Cavity",150 152,
tu2pb04,"V. Sabaiduc, G. Gold, B.A. Versteeg [BCSI, Vancouver, Canada] J. Panama [Best Theratronics Ltd., Ottawa, Ontario, Canada] ","Resonator System for the BEST 70 MeV Cyclotron",153 155,
tu3pb01,"R. Dölling [PSI, Villigen PSI, Switzerland] ","Bunch-Shape Measurements at PSI's High-power Cyclotrons and Proton Beam Lines",257 261,
tu3pb02,"M.M. Strohmeier, J.Y. Benitez, M.K. Covo, C.M. Lyneis, B. Ninemire, L. Phair, P. Pipersky, D.S. Todd [LBNL, Berkeley, California, USA] K.Y. Franzen [Mevion, Littleton, Massachusetts, USA] ","Development of a Scintillator Probe Based on Fiber Optics for Radial Beam Diagnostics of the Ion Beam of the 88-Inch Cyclotron",262 264,
