DIA00,"J. Thangaraj, N. Eddy, R. Zwaska, K. Seiya, I. Kourbanis, J. Crisp, Fermilab","Electron Cloud Studies in the Fermilab Main Injector Using Microwave Transmission",173 176,
DIA02,"C. Tan, R. Zwaska, M. Backfish, Fermilab","The Ecloud Measurement Setup in the Main Injector",177 183,
DIA03,"K. Kanazawa, H. Fukuma, KEK, ; P. Jain, The Graduate University for Advanced Studies","Analysis of the Electron Cloud Density Measurement With RFA in a Positron Ring",184 189,
DIA04,"S. Gerstl, T. Baumbach, Karlsruhe Institute of Technology, ; R. Cimino, M. Commisso, B. Spataro, INFN/LNF, ; J. Clarke, D. Scott, Science and Technology Facilities Council (STFC/DL/ASTeC) Daresbury Laboratory Accelerator Science and Technology Centre, ; M. Cox, J. Schouten, Diamond Light Source Ltd (Diamond), ; R. Jones, I. Shinton, Cockcroft Institute, ; A. Mostacci, INFN/LNF, ; S. Casalbuoni, Karlsruhe Institute of Technology, ; E. Wallen, Lund University - MAX-Lab, ; R. Weigel, Max-Planck Institute for Metal Research, Stuttgart, ; A. Grau, M. Hagelstein, D. Saez de Jauregui, Karlsruhe Institute of Technology, ; V. Baglin, CERN, ; C. Boffo, G. Sikler, Babcock Noell GmbH (BNG), ; T. Bradshaw, Science and Technology Facilities Council (STFC/RAL) Rutherford Appleton Laboratory","Status of COLDDIAG: a Cold Vacuum Chamber for Diagnostics",190 193,
DYN00,"C. Rivetta, A. Bullitt, J. Fox, T. Mastorides, G. Ndabashimiye, M. Pivi, O. Turgut, SLAC National Accelerator Laboratory, ; R. Secondo, J. Vay, LBNL, ; W. Hofle, B. Salvant, CERN","Feedback Control of SPS E-clouds / Transverse Mode Coupled Instabilities",50 55,
DYN02,"R. Secondo, J. Byrd, M. Furman, M. Venturini, LBNL, ; J. Fox, C. Rivetta, SLAC National Accelerator Laboratory, ; W. Hofle, CERN, ; J. Vay, LBNL","Simulated Performance of an FIR-Based Feedback System to Control the Electron Cloud Single-Bunch Transverse Instabilities in the CERN SPS",56 59,
dyn03,"G. Dugan, M. Billing, R. Meller, M. Palmer, G. Ramirez, J. Sikora, K. Sonnad, H. Williams, Cornell University - CLASSE, ; R. Holtzapple, California Polytechnic State University","Studies of the Electron-Cloud-Induced Beam Dynamics at CesrTA",60 75,
DYN05,"K. Ohmi, H. Jin, Y. Susaki, KEK","Electron Cloud Instability in Low Emittance Rings",76 78,
FTR00,"M. Furman, LBNL","ILC Damping Rings: Benefit of the Antechamber or: Antechamber vs. SEY",194 201,
FTR01,"M. Palmer, Cornell University - CLASSE","CesrTA Preliminary Recommendations for the ILC Positron Damping Ring",202 202,
FTR02,"M. Pivi, SLAC National Accelerator Laboratory, ; G. Dugan, M. Palmer, K. Sonnad, Cornell University - CLASSE","Simulation of Electron Cloud Induced Instabilities and Emittance Growth for CesrTA",203 207,
