mooamh01,"V. Toivanen, G. Bellodi, D. Kuchler (D. Küchler), A.M. Lombardi, R. Scrivens, J.T. Stafford-Haworth [CERN, Geneva, Switzerland] ","Simulation Of The CERN GTS-LHC ECR Ion Source Extraction System With Lead And Argon Ion Beams",23 29,
mooamh02,"V. Skalyga, S. Golubev, I. Izotov, S. Razin, V. Sidorov [IAP/RAS, Nizhny Novgorod, Russia] T. Kalvas, H. A. Koivisto, O.A. Tarvainen [JYFL, Jyvaskyla, Finland] A.V. Maslennikova, A. Volovecky [Nizhny Novgorod State Medical Academy, Nizhny Novgorod, Russia] ","High Current Proton and Deuteron Beams for Accelerators and Neutron Generators",30 32,
mooamh03,"H.R. Kremers, J.P.M. Beijers, S. Brandenburg [KVI, Groningen, The Netherlands] ","Optimization Of Low-Energy Beam Transport",33 37,
mooamh05,"S. Biri, R. Rácz [ATOMKI, Debrecen, Hungary] R. Lang, J. Maeder (J. Mäder), F. Maimone, B.R. Schlei, P. Spaedtke (P. Spädtke), K. Tinschert [GSI, Darmstadt, Germany] ","Combination of Two ECRIS Calculations: Plasma Electrons and Extracted Ions",38 44,
moobmh01,"O.A. Tarvainen, T. Kalvas, H. A. Koivisto, J.P.O. Komppula, R.J. Kronholm, J.P. Laulainen [JYFL, Jyvaskyla, Finland] I. Izotov, D. Mansfeld, V. Skalyga [IAP/RAS, Nizhny Novgorod, Russia] V. Toivanen [CERN, Geneva, Switzerland] ","Periodic Beam Burrent Oscillations Driven By Electron Cyclotron Instabilities In ECRIS Plasmas",5 9,
moobmh02,"Y. Higurashi, T. Nakagawa, J. Ohnishi, K. Ozeki [RIKEN Nishina Center, Wako, Japan] ","Emittance Measurements For RIKEN 28 GHz SC-ECRIS",10 14,
moobmh03,"G.O. Rodrigues, D. Kanjilal, N. Kumar, K. Mal, Y. Mathur [IUAC, New Delhi, India] A. Roy [VECC, Kolkata, India] ","Frequency Tuning Effect On The Bremsstrahlung Spectra, Beam Intensity And Shape In An ECR Ion Source",15 19,
moobmh04,"Y. Xu, J. Chen, J.E. Chen, Z.Y. Guo, S.X. Peng, H.T. Ren, J.F. Zhang, T. Zhang, J. Zhao [PKU, Beijing, People's Republic of China] A.L. Zhang [Graduate University, Chinese Academy of Sciences, Beijing, People's Republic of China] ","Emission Spectroscopy Diagnostic of Plasma Inside 2.45 GHz ECR Ion Source at PKU",20 22,
moommh03,"G. Machicoane, D.G. Cole, D.E. Neben, L. Tobos [NSCL, East Lansing, Michigan, USA] K. Holland, D. Leitner, D. Morris [FRIB, East Lansing, Michigan, USA] ","First Results At 24 GHz With The Superconducting Source For Ions (SuSI)",99 98,
mopph002,"F. Lemagnen, C. Barue, C. Canet, J.L. Flambard, R. Frigot, P. Jardin, L. Maunoury, O. Osmond, J. Piot [GANIL, Caen, France] B.J.P. Gall [IPHC, Strasbourg Cedex 2, France] T. Lamy, P. Sole, T. Thuillier [LPSC, Grenoble Cedex, France] C. Peaucelle [IN2P3 IPNL, Villeurbanne, France] ","Production Of Metallic Stable Ion Beams For GANIL And SPIRAL2",45 48,
