js104,"A. Mikhailichenko, Cornell University - CLASSE","The Production of Thermal Positrons at an ERL",72 81,
js203,"J. Crittenden, G. Hoffstaetter, M. Liepe, C. Mayes, D. Sagan, Cornell University - CLASSE","BBU Calculations for ERLs",82 84,
js205,"N. Nakamura, University of Tokyo","Effects of Longitudinal and Transverse Resistive-Wall Wakefields on ERLs",85 89,
plt20,"I. Bazarov, M. Lakshmanan, Cornell University - CLASSE, ; T. Miyajima, KEK","Maximum achievable beam brightness from photoinjectors",99 98,
wg102,"N. Nishimori, JAEA, ; I. Bazarov, B. Dunham, Cornell University - CLASSE, ; J. Grames, C. Hernandez-Garcia, TJNAF, ; L. Jones, B. Militsyn, ASTeC, STFC Daresbury Laboratory, ; M. Poelker, K. Surles-Law, TJNAF, ; M. Yamamoto, KEK","Report From Working Group 1 - Injectors, Guns, & Cathodes - DC Guns",6 23,
wg103,"J. Lewellen, Naval Postgraduate School, ; H. Bluem, Advanced Energy Systems, Inc., ; A. Burrill, Brookhaven National Lab, ; T. Grimm, Niowave, Inc., ; T. Kamps, Helmholtz-Zentrum Berlin, ; R. Legg, University of Wisconsin-Madison, ; K. Liu, Peking University, ; T. Rao, J. Smedley, Brookhaven National Lab, ; J. Teichert, FZD, ; S. Zhang, TJNAF","Report From Working Group 1 - Injectors, Guns, & Cathodes - RF and SRF Guns",24 36,
wg107,"C. Hernandez-Garcia, S. Benson, G. Biallas, J. Boyce, D. Bullard, J. Coleman, D. Douglas, P. Evtushenko, C. Gould, A. Grippo, J. Gubeli, F. Hannon, D. Hardy, M. Kelley, J. Kortze, K. Jordan, J. Klopf, M. Marchlik, W. Moore, G. Neil, T. Powers, D. Sexton, M. Shinn, C. Tennant, R. Walker, G. Williams, S. Zhang, TJNAF","JLab FEL DC Gun",37 39,
wg111,"Y. Li, Argonne National Lab","Laser Pulse Shaping",40 44,
wg118,"R. Legg, M. Allen, M. Fisher, A. Hjortland, K. Kleman, University of Wisconsin-Madison, ; T. Grimm, M. Pruitt, Niowave, Inc.","Wisconsin SRF Gun Development",45 49,
wg208,"M. Shimada, Y. Kobayashi, KEK","Design of a 2-Loop Compact ERL",50 52,
wg226,"R. Rossmanith, Research Center Karlsruhe, ; A. Bernhard, S. Ehlers, G. Fuchert, P. Peiffer, T. Baumbach, University Karlsruhe","Undulator Optimization for ERL Based Light Sources",53 56,
wg305,"H. Sakai, T. Furuya, E. Kako, S. Noguchi, M. Sato, S. Sakanaka, T. Shishido, T. Takahashi, K. Umemori, K. Watanabe, Y. Yamamoto, KEK, ; M. Sawamura, JAEA, ; K. Shinoe, University of Tokyo","KEK ERL Cryomodule Development",57 62,
wg316,"M. Sawamura, JAEA, ; T. Furuya, H. Sakai, K. Umemori, KEK, ; K. Shinoe, University of Tokyo","KEK ERL HOM Absorber Development",63 66,
wg317,"S. Shchelkunov, Yale University, ; S. Kazakov, KEK, ; V. Yakovlev, FNAL, ; A. Kanareykin, Euclid Concepts, LLC., ; E. Nenasheva, Ceramics Ltd., ; J. Hirshfield, Yale University","Fast Ferroelectric Phase Shifter Design for ERLs",67 71,
