fraau01,"K. Honkavaara, B. Faatz, S. Schreiber, DESY, Hamburg","Status of FLASH",533 536,
fraau02,"T. Tanaka, RIKEN Spring-8 Harima, Hyogo; T. Asaka, JASRI/SPring-8, Hyogo-ken; T. Fukui, T. Hara, RIKEN/SPring-8, Hyogo; T. Hasegawa, JASRI/SPring-8, Hyogo-ken; A. Higashiya, N. Hosoda, T. Inagaki, S. I. Inoue, T. Ishikawa, H. Kitamura, M. K. Kitamura, H. Maesaka, M. Nagasono, RIKEN/SPring-8, Hyogo; H. Ohashi, JASRI/SPring-8, Hyogo-ken; T. Ohshima, Y. Otake, T. Sakurai, T. Shintake, K. Shirasawa, RIKEN/SPring-8, Hyogo; S. Takahashi, JASRI/SPring-8, Hyogo-ken; H. Tanaka, RIKEN/SPring-8, Hyogo; S. Tanaka, JASRI/SPring-8, Hyogo-ken; T. Tanikawa, RIKEN Spring-8 Harima, Hyogo; K. Togawa, M. Yabashi, RIKEN/SPring-8, Hyogo","SASE Saturation at the SCSS Test Accelerator Ranging from 50 nm to 60 nm",537 542,
fraau03,"P. Michel, M. Justus, U. Lehnert, P. Michel, D. Proehl, R. Schurig, W. Seidel, J. Teichert, FZD, Dresden","Investigation and Improvement of Beam Stability at the ELBE FELs",543 547,
fraau04,"P. Emma, R. Akre, A. Brachmann, F.-J. Decker, Y. T. Ding, D. Dowell, J. C. Frisch, A. Gilevich, G. R. Hays, P. Hering, Z. Huang, R. H. Iverson, C. Limborg-Deprey, H. Loos, A. Miahnahri, S. Molloy, H.-D. Nuhn, SLAC, Menlo Park, California; D. F. Ratner, Stanford University, Stanford, Califormia; J. L. Turner, J. J. Welch, W. E. White, J. Wu, SLAC, Menlo Park, California","Commissioning of the LCLS Linac and Bunch Compressors",548 551,
fraau05,"S. Schreiber, DESY, Hamburg; J. H. Han, Diamond, Oxfordshire; S. Lederer, DESY, Hamburg; P. M. Michelato, L. Monaco, D. Sertore, INFN/LASA, Segrate (MI)","Cathode Issues at the FLASH Photoinjector",552 555,
fraau06,"S. Werin, MAX-lab, Lund; M. Abo-Bakr, J. Bahrdt, BESSY GmbH, Berlin; F. Curbis, N. Cutic, MAX-lab, Lund; K. Holldack, BESSY GmbH, Berlin; F. Lindau, S. Thorin, MAX-lab, Lund","Commissioning of the Test FEL at MAX-lab",556 559,
moaau01,"J. Rossbach, Uni HH, Hamburg","First Lasing below 7 nm Wavelength at FLASH/DESY, Hamburg",99 98,
moaau02,"H. Ohgaki, K. Higashimura, Kyoto IAE, Kyoto; Y. U. Jeong, KAERI, Daejon; T. Kii, R. Kinjo, K. Masuda, T. Yamazaki, K. Yoshikawa, H. Zen, Kyoto IAE, Kyoto","First Lasing of MIR-FEL at Kyoto University",4 7,
mobau01,"J. B. Rosenzweig, UCLA, Los Angeles, California","Real and Virtual Free-Electron Laser Experiments: From VISA to the Femtosecond Frontier",8 8,
mocau01,"E. Hemsing, UCLA, Los Angeles, California; A. Gover, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv; J. B. Rosenzweig, UCLA, Los Angeles, California","A Virtual Dielectric Eigenmode Expansion of High-Gain FEL Radiation for Study of Paraxial Wave Mode Coupling",167 171,
mocau02,"A. Gover, E. Dyunin, University of Tel-Aviv, Faculty of Engineering, Tel-Aviv","FEL Coherence below Shot Noise Limit, and Its Fundamental Limits",172 172,
