froa3,"Y.Z. Chen, Z.C. Chen, L.F. Han, Y.B. Leng, Y.C. Xu, K.R. Ye, L.Y. Yu, W.M. Zhou, SINAP, Shanghai","Beam Diagnostic at SDUV-FEL",711 713,
froa4,"Yu. Shvyd'ko, K.-J. Kim, R.R. Lindberg, D. Shu, ANL, Argonne; H. Sinn, European XFEL GmbH, Hamburg; S. Stoupin, ANL, Argonne","Feasibility of X-Ray Cavities for Hard X-Ray FEL Oscillators",714 714,
froai1,"J.J. Welch, SLAC, Menlo Park, California","X-Ray Diagnostics Commissioning at the LCLS",705 705,
froai2,"M. Zangrando, D. Cocco, ELETTRA, Basovizza","Non-Invasive Diagnostics on FEL Photon Beams: General Remarks and the Case of FERMI@Elettra",706 710,
frob3,"Y. Cerenius, MAX-lab, Lund","The MAX IV Project",717 717,
frobi1,"A. Barty, CFEL, Hamburg","Ultrafast Single-Shot Diffraction Imaging of Nanoscale Dynamics",715 715,
frobi2,"C. Callegari, ELETTRA, Basovizza; T. Möller, Technische Universität Berlin, Berlin; K.C. Prince, ELETTRA, Basovizza; F. Stienkemeier, Physikalisches Institut Albert-Ludwig, Freiburg; S. Stranges, Università di Roma "La Sapienza", Roma","The LDM Beamline at FERMI@Elettra",716 716,
mooai1,"D. Dowell, SLAC, Menlo Park, California","FEL Prize Lecture: The Limits of Beam Brightness from Photocathode RF Guns",99 98,
mooai2,"P. Emma, SLAC, Menlo Park, California","FEL Prize Lecture: Emittance Growth Mechanisms in Linac-Based Free-Electron Lasers",2 2,
mooai3,"S. Schreiber, DESY, Hamburg","First Lasing at FLASH with 4.45 nm",3 3,
mooai4,"L. Giannessi, ENEA C.R. Frascati, Frascati (Roma)","SPARC Operation in Seeded and Chirped Mode",4 11,
mooai5,"S. Werin, MAX-lab, Lund","MAX-Lab Test FEL",12 12,
mooai7,"T. Togashi, JASRI/SPring-8, Hyogo-ken; M. Aoyama, JAEA/Kansai, Kyoto; M.-E. Couprie, SOLEIL, Gif-sur-Yvette; K. Fukami, JASRI/SPring-8, Hyogo-ken; T. Hara, T. Hatsui, T. Ishikawa, RIKEN/SPring-8, Hyogo; A. Iwasaki, The University of Tokyo, Tokyo; T.K. Kameshima, RIKEN/SPring-8, Hyogo; F. Kannari, Keio University, Kanagawa-ken; H. Kitamura, N. Kumagai, RIKEN/SPring-8, Hyogo; S. Matsubara, JASRI/SPring-8, Hyogo-ken; K. Midorikawa, RIKEN, Saitama; M. Nagasono, RIKEN/SPring-8, Hyogo; H. Nakano, NTT Corp., Kanagawa-ken; H. Ohashi, JASRI/SPring-8, Hyogo-ken; T. Okino, The University of Tokyo, Tokyo; Y. Otake, RIKEN/SPring-8, Hyogo; S. Owada, T. Sato, The University of Tokyo, Tokyo; T. Shintake, RIKEN/SPring-8, Hyogo; E. Takahashi, RIKEN, Saitama; H. Tanaka, T. Tanaka, K. Togawa, RIKEN/SPring-8, Hyogo; H. Tomizawa, T. Watanabe, JASRI/SPring-8, Hyogo-ken; M. Yabashi, RIKEN/SPring-8, Hyogo; A. Yagishita, KEK, Tsukuba; K. Yamakawa, JAEA/Kansai, Kyoto; K. Yamanouchi, The University of Tokyo, Tokyo","First Observation of the 61.5 nm Seeded FEL at the SCSS Test Accelerator",13 13,
mooai8,"S.V. Benson, JLAB, Newport News, Virginia","First Lasing of the Jefferson Lab UV Demo Laser",14 14,
moob3,"T. Garvey, PSI, Villigen","Status of the PSI X-ray Free Electron Laser "SwissFEL"",21 24,
moob4,"J. Feldhaus, DESY, Hamburg","The EuroFEL Consortium of Free Electron Lasers in Europe",25 25,
moobi1,"Z.T. Zhao, SINAP, Shanghai","Progress in SDUV-FEL and Development of X-Ray FELs in Shanghai",15 19,
moobi2,"T. Shintake, RIKEN/SPring-8, Hyogo","XFEL/SPring-8 Construction and SCSS Operation Status",20 20,
