fra02,"F. Bencivenga, A. Battistoni, F. Capotondi, R. Cucini, M.B. Danailov, G. De Ninno, M. Kiskinova, C. Masciovecchio [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Wave-Mixing Experiments with Multi-colour Seeded FEL Pulses",985 989,
fra04,"A. Endo, K. Sakaue, M. Washio [Waseda University, Tokyo, Japan] H. Mizoguchi [Gigaphoton Inc, Hiratsuka, Kanagawa, Japan] ","Optimization of High Average Power FEL Beam for EUV Lithography Application",990 992,
frb02,"A. Zholents, W. Gai, R.R. Lindberg, J.G. Power, Y.-E. Sun [ANL, Argonne, Ilinois, USA] C.-J. Jing, A. Kanareykin [Euclid TechLabs, LLC, Solon, Ohio, USA] C. Li, C.-X. Tang [TUB, Beijing, People's Republic of China] D.Y. Shchegolkov, E.I. Simakov [LANL, Los Alamos, New Mexico, USA] ","A Collinear Wakefield Accelerator for a High Repetition Rate Multi-beamline Soft X-ray FEL Facility",993 998,
frb04,"A.R. Maier, I. Dornmair [CFEL, Hamburg, Germany] K. Floettmann (K. Flöttmann) [DESY, Hamburg, Germany] ","Divergence Reduction and Emittance Conservation in a Laser Plasma Acceleration Stage",999 1001,
moa01,"L.-H. Yu [BNL, Upton, Long Island, New York, USA] ","Remembering Samuel Krinsky",99 98,
moa03,"S. Schreiber, B. Faatz [DESY, Hamburg, Germany] ","First Lasing at FLASH2",7 8,
mob01,"L. Giannessi [ENEA C.R. Frascati, Frascati (Roma), Italy] ","Pulse Control in a Free Electron Laser Amplifier",9 13,
mob02,"Y.U. Jeong [KAERI, Daejon, Republic of Korea] ","Small-scale Accelerator-based Radiation Sources and Their Applications",14 15,
mob03,"D. Xiang [Shanghai Jiao Tong University, Shanghai, People's Republic of China] ","Phase Space Manipulations in Modern Accelerators",16 21,
moc01,"E. Schneidmiller, M.V. Yurkov [DESY, Hamburg, Germany] ","Circular Polarization Control by Reverse Undulator Tapering",297 299,
