frop01,"E. M̩tral, CERN, Geneva; G. Franchetti, GSI, Darmstadt","Summary of Working Group A on Beam Dynamics in High-Intensity Circular Machines",691 695,
frop02,"A.M. Lombardi, CERN, Geneva; J.-M. Lagniel, GANIL, Caen","WG B - Beam Dynamics in High Intenisty Linacs",696 698,
frop03,"D.E. Johnson, Fermilab, Batavia; S.M. Cousineau, ORNL, Oak Ridge, Tennessee","Summary of the Working Group on Accelerator System Design, Injection, and Extraction",699 702,
frop04,"J. Galambos, ORNL, Oak Ridge, Tennessee; H. Hotchi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; A.C. Mezger, PSI, Villigen","Summary of the Commissioning, Operations and Performance Working Group of the HB-2010 Workshop",703 705,
frop05,"G. P̦plau, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","Working Group Summary: Computational Challenges in High-Intensity Linacs, Rings including FFAGs and Cyclotrons",706 707,
frop06,"M. Wendt, Fermilab, Batavia; T. Toyama, J-PARC, KEK & JAEA, Ibaraki-ken","Closing Plenary Summary of Working Group F, Diagnostics and Instrumentation for High-Intensity Beams",708 710,
frop07,"D.C. Kiselev, PSI, Villigen; N.V. Mokhov, Fermilab, Batavia; R. Schmidt, CERN, Geneva","Working Group Summary G: Beam Material Interaction",711 712,
moia01,"R.L. Sheffield, LANL, Los Alamos, New Mexico","Utilization of Accelerators for Transmutation and Energy Production",99 98,
moia02,"C.R. Prior, STFC/RAL/ASTeC, Chilton, Didcot, Oxon","Overview of High Intensity Accelerator Projects",6 10,
moib01,"J. Galambos, ORNL, Oak Ridge, Tennessee","SNS High Power Operation - Expectations and Experience",11 15,
moib02,"T. Koseki, KEK, Ibaraki","High Intensity Aspects of the J-PARC Facility",16 20,
moib03,"R.W. Assmann, CERN, Geneva","Collimation for the LHC High Intensity Beams",21 33,
moic01,"P.J. Spiller, GSI, Darmstadt","Towards the High Intensity Limit in the FAIR Project - Present Status and Future Challenges",34 37,
moic02,"J. Tang, S. Fu, L. Ma, IHEP Beijing, Beijing","High Intensity Aspects of the CSNS Proton Accelerators",38 42,
moic03,"W. Leemans, LBNL, Berkeley, California","Brief Report of the First Workshop of the Joint ICFA-ICUIL Taskforce on High Average Power Lasers for Future Accelerators",43 44,
