frt1a2,"C. Zhang [IHEP, Beijing, People's Republic of China] ","Parameter Optimization of Higgs Factory Design",59 62,
frt1a3,"E. Gianfelice-Wendt [Fermilab, Batavia, Illinois, USA] ","Polarization Issues in the ee FCC",63 66,
frt1b1,"Y. Cai [SLAC, Menlo Park, California, USA] ","Analysis of Beam Dynamics in a Circular Higgs Factory",67 72,
frt1b2,"Y. Ohnishi, H. Koiso, A. Morita, K. Ohmi, K. Oide, H. Sugimoto, D. Zhou [KEK, Ibaraki, Japan] ","Dynamic Aperture Optimization in SuperKEKB",73 78,
frt1b3,"H. Sugimoto [KEK, Ibaraki, Japan] ","The Effect of IR Imperfection on Dynamic Aperture in SuperKEKB / Dynamic Aperture Study of CEPC",79 84,
frt1b4,"X. Cui, H. Geng, Y.Y. Guo, G. Xu [IHEP, Beijing, People's Republic of China] ","Lifetime and Injection Considerations for CEPC",85 86,
frt2a1,"B. Haerer (B. Härer), W. Bartmann, M. Benedikt, B.J. Holzer, J.A. Osborne, D. Schulte, R. Tomas (R. Tomás), J. Wenninger, F. Zimmermann [CERN, Geneva, Switzerland] B. Haerer (B. Härer) [KIT, Karlsruhe, Germany] M.J. Syphers [MSU, East Lansing, Michigan, USA] U. Wienands [SLAC, Menlo Park, California, USA] ","Constraints on the FCC-ee Lattice from the Compatibility with the FCC Hadron Collider",87 90,
frt2a2,"I. Koop [BINP SB RAS, Novosibirsk, Russia] ","Polarization Issues and Schemes for Energy Calibration",91 94,
frt2a3,"W. Chou [Fermilab, Batavia, Illinois, USA] ","Cost Consideration and a Possible Construction Timeline of the CEPC-SPPC",95 98,
frt2b2,"R. Martin, L.E. Medina Medrano, R. Tomas (R. Tomás) [CERN, Geneva, Switzerland] ","Status of the FCC-ee Interaction Region Design",99 103,
frt2b3,"A.V. Bogomyagkov, E.B. Levichev, P.A. Piminov [BINP SB RAS, Novosibirsk, Russia] ","Crab Waist Interaction Region for FCC-ee(TLEP)",104 109,
frt3a1,"H. Nakayama, Y. Funakoshi, T. Ishibashi, K. Kanazawa, Y. Ohnishi [KEK, Tsukuba, Japan] ","SuperKEKB Background Simulations, Including Issues for Detector Shielding",110 113,
frt3a2,"J. Gao, S. Bai, T.J. Bian, S. Jin, D. Wang, Y. Wang, M. Xiao [IHEP, Beijing, People's Republic of China] F. Su [Institute of High Energy Physics (IHEP), People's Republic of China] ","Analytical Estimation of Maximum Beam-beam Tune Shifts for Electron-positron and Hadron Circular Colliders",114 121,
frt3b1,"K. Ohmi [KEK, Ibaraki, Japan] ","Beam-beam Effects in CEPC and TLEP",122 129,
frt3b2,"E. Paoloni [University of Pisa and INFN, Pisa, Italy] ","Interaction Region Magnets",130 133,
