moa01,"P.G. Bricault, F. Ames, N. Bernier, M. Dombsky, P. Kunz, F.S. Labrecque, J. Lassen, A. Mjøs, M. Nozar, J. Wong [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Frontier Technologies and Future Directions in High Intensity ISOL RIB Production",99 98,
mob01,"J. Wei, E.C. Bernard, N.K. Bultman, F. Casagrande, S. Chouhan, C. Compton, K.D. Davidson, A. Facco, P.E. Gibson, T . Glasmacher, L.L. Harle, K. Holland, M.J. Johnson, S. Jones, D. Leitner, M. Leitner, G. Machicoane, F. Marti, D. Morris, J.A. Nolen, J.P. Ozelis, S. Peng, J. Popielarski, L. Popielarski, E. Pozdeyev, T. Russo, K. Saito, R.C. Webber, J. Weisend, M. Williams, Y. Yamazaki, A. Zeller, Y. Zhang, Q. Zhao [FRIB, East Lansing, USA] D. Arenius, V. Ganni [JLAB, Newport News, Virginia, USA] ","The FRIB Project – Accelerator Challenges and Progress",8 19,
mob02,"J.-W. Kim [NCC, Korea, Kyonggi, Republic of Korea] D.G. Kim, M. Kim, S.K. Kim, J. Song, C.C. Yun [IBS, Daejeon, Republic of Korea] W. Wan [LBNL, Berkeley, California, USA] ","Design Study of In-flight Fragment Separator for Rare Isotope Science Project in Korea",20 22,
mob03,"J.A. Nolen, S.L. Manikonda [ANL, Argonne, USA] M. Authier, A. Drouart, J. Payet [CEA/DSM/IRFU, France] O. Delferriere (O. Delferrière) [CEA/IRFU, Gif-sur-Yvette, France] J. Laune [IPN, Orsay, France] F. Lutton, H. Savajols, M. Souli, M.-H. Stodel [GANIL, Caen, France] ","Design and Status of the Super Separator Spectrometer for the GANIL SPIRAL2 Project",23 23,
mob04,"S.L. Manikonda, M. Alcorta, B. Back, J.A. Nolen, R.C. Pardo, E. Rehm, G. Savard, D. Seweryniak [ANL, Argonne, USA] B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","Argonne In-flight Radioactive Ion Separator",24 27,
mob05,"O. Kamigaito [RIKEN Nishina Center, Wako, Japan] ","Rare-Isotope Beam Facilities in Asia",28 32,
moc01,"M. Marchetto [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Progress and Plans for High Mass Beam Delivery at TRIUMF",33 39,
moc02,"E. Petit [GANIL, Caen, France] ","Progress of the SPIRAL2 Project",40 40,
moc03,"A.C. Morton [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Operational Considerations for Future Multi-user RIB Facilities",41 44,
moc04,"R.C. Vondrasek, S.I. Baker, P. Bertone, S. Caldwell, J.A. Clark, C.N. Davids, D. Lascar, A. Levand, K. Lister, R.C. Pardo, D. Peterson, D.R. Phillips, G. Savard, J.V. Schelt, M.G. Sternberg, T. Sun, B. Zabransky [ANL, Argonne, USA] ","Commissioning Experience with CARIBU",45 50,
po02,"F. Chautard, O. Bajeat, P. Delahaye, M. Dubois, P. Jardin, O. Kamalou, L. Maunoury, G. Senecal (Sénécal) [GANIL, Caen, France] ","GANIL Operation Status and Upgrade of SPIRAL1",51 53,
po03,"D. Boutin, F.R. Osswald [IPHC, Strasbourg Cedex 2, France] N.Yu. Kazarinov [JINR, Dubna, Moscow Region, Russia] C. Peaucelle [IN2P3 IPNL, Villeurbanne, France] T. Thuillier [LPSC, Grenoble, France] ","The RIB Dynamics of the SPIRAL 2 Transfer Line",54 57,
po04,"R. Eichhorn, U. Bonnes, C. Burandt, M. Konrad, P.N. Nonn [TU Darmstadt, Darmstadt, Germany] G. Schreiber, W. Vinzenz [GSI, Darmstadt, Germany] ","The Darmstadt Multi-Frequency Digital Low Level RF System in Pulsed Application",58 61,
po05,"S. Singh [BARC, Mumbai, India] J.N. Karande, V. Nanal, R.G. Pillay [TIFR, Mumbai, India] P. Singh [LEHIPA Project, Physics Group, Mumbai, India] ","Control and Information System for BARC – TIFR Superconducting LINAC Booster",62 64,
po06,"V. Nanal, R.D. Deshpande, P. Dhumal, J.N. Karande, R. Palit, R.G. Pillay, M.S. Pose, S.M. Powale, C. Rozario, S.K. Sarkar, M.E. Sawant, A.A. Shinde, S.R. Sinha, A.N. Takke [TIFR, Mumbai, India] S. Singh [LEHIPA Project, Physics Group, Mumbai, India] ","Extension of Superconducting LINAC Operation to Lighter Beams",65 67,
po09,"M.M. Maggiore, F. Chiurlotto, M. Comunian, A. Dainelli, M. De Lazzari, A. Galatà, A. Minarello, A.M. Porcellato, S. Stark [INFN/LNL, Legnaro (PD), Italy] ","Progress on the RFQ Beam Cooler Design for SPES Project",68 72,
po10,"A.M. Porcellato, F. Chiurlotto, M. De Lazzari, A. Palmieri, V. Palmieri, S. Stark, F. Stivanello [INFN/LNL, Legnaro (PD), Italy] ","Performance of ALPI New Medium Beta Resonators",73 79,
po12,"K. Sasa [UTTAC, Tsukuba, Ibaraki, Japan] ","Damage Situation of the 12UD Pelletron Tandem Accelerator at the University of Tsukuba by the Great East Japan Earthquake",80 82,
po13,"X. Liu [Department of Energy Sciences, Tokyo Institute of Technology, Yokohama, Japan] T. Adachi [Sokendai, Ibaraki, Japan] S. Harada [Tokyo City University, Tokyo, Japan] T. Iwashita [KEK, Ibaraki, Japan] K. Takayama, T. Yoshimoto [TIT, Yokohama, Japan] ","Longitudinal Beam Motion in the KEK Digital Accelerator: Tracking Simulation and Experimental Results",83 88,
po14,"J. Shi, W.P. Chai, J. Li, J.W. Xia, J.C. Yang, Y.J. Yuan [IMP, Lanzhou, People's Republic of China] ","Feedback of Slow Extraction in CSRm",89 91,
po16,"S.J. Miller, J. Binkowski, A. Facco, M.J. Johnson, Y. Xu [FRIB, East Lansing, Michigan, USA] ","MULTIPHYSICS AND PRESSURE CODE ANALYSIS FOR QUARTER WAVE =0.085 AND HALF WAVE =0.29 RESONATORS",92 96,
po17,"L. Zhao, E.G. Evstati, J.S. Kim [Far-Tech, Inc., San Diego, California, USA] E.N. Beebe, A.I. Pikin [BNL, Upton, Long Island, New York, USA] ","Simulation of Electron and Ion Dynamics in an EBIS",97 100,
po18,"A.I. Pikin, J.G. Alessi, E.N. Beebe, M. Okamura, D. Raparia, J. Ritter, L. Snydstrup [BNL, Upton, Long Island, New York, USA] ","Tandem EBIS",101 104,
tha01,"P.N. Ostroumov [ANL, Argonne, USA] ","Heavy Ion Superconducting Linacs: Status and Upgrade Projects",196 196,
tha02,"D. Jeon, Y. Chung, H.J. Kim, S.K. Kim [IBS, Daejeon, Republic of Korea] E.-S. Kim [KNU, Deagu, Republic of Korea] J.-W. Kim [NCC, Korea, Kyonggi, Republic of Korea] Y.Y. Lee [BNL, Upton, Long Island, New York, USA] ","Overview of the RISP Superconducting Linac",197 197,
tha03,"G.Q. Xiao, Y. He, X. Ma, M.T. Song, J.W. Xia, H.S. Xu, J.C. Yang, Y.J. Yuan, H.W. Zhao, X. Zhou [IMP, Lanzhou, People's Republic of China] ","Status and Upgrade Project of HIRFL",198 198,
thb01,"H. Okuno, N. Fukunishi, H. Hasebe, H. Imao, O. Kamigaito, M. Kase, H. Kuboki [RIKEN Nishina Center, Wako, Japan] ","New Developments in Low-Z Gas Stripper Sstem at RIKEN Radioactive Isotope Beam Factory (RIBF)",199 205,
thb02,"B. Mustapha, Z.A. Conway, M.P. Kelly, A. Kolomiets, S.V. Kutsaev, P.N. Ostroumov [ANL, Argonne, USA] J. Rodnizki [Soreq NRC, Yavne, Israel] ","New Design for the SARAF Phase II Linac",206 206,
thb03,"E.-S. Kim [KNU, Deagu, Republic of Korea] J. Bahng, J.G. Hwang, S.W. Jang [Kyungpook National University, Daegu, Republic of Korea] B. Choi, D. Jeon, B. Kim, H. Kim, S.K. Kim [IBS, Daejeon, Republic of Korea] ","Design Sudy for Front-End System at Rare Isotope Science Project (RISP)",207 210,
thb04,"L.A. Dahl, W.A. Barth, M.C. Bellachioma, L. Groening, O.K. Kester, M.M. Kirk, D. Ondreka, N. Pyka, P.J. Spiller, J. Stadlmann, H. Vormann, S.G. Yaramyshev [GSI, Darmstadt, Germany] L.H.J. Bozyk, Y. El-Hayek [FIAS, Frankfurt am Main, Germany] C. Xiao [IAP, Frankfurt am Main, Germany] ","Development of the Intensity and Quality of the Heavy Ion Beams at GSI",211 216,
thb05,"F. Herfurth, Z. Andjelkovic, W.A. Barth, K. Brantjes, G. Clemente, L.A. Dahl, S. Fedotova, P. Gerhard, M. Kaiser, O.K. Kester, H.J. Kluge, C. Kozhuharov, M.T. Maier, D. Neidherr, W. Quint, A. Reiter, T. Stoehlker (Stöhlker), G. Vorobjev, S.G. Yaramyshev [GSI, Darmstadt, Germany] U. Ratzinger, A. Schempp [IAP, Frankfurt am Main, Germany] ","The HITRAP Decelerator and Beam Instrumentation",217 221,
tua01,"D. Kanjilal [IUAC, New Delhi, India] ","Heavy Ion Accelerator Development at IUAC Delhi",105 105,
tua02,"G. Bisoffi, M. Comunian, A. Facco, A. Galatà, P. Modanese, R. Pengo, A. Pisent, A.M. Porcellato, S. Stark [INFN/LNL, Legnaro (PD), Italy] B.B. Chalykh [ITEP, Moscow, Russia] ","A Cost-Effective Energy Upgrade of the ALPI Linac at INFN-Legnaro",106 111,
tua03,"X. Guan [TUB, Beijing, People's Republic of China] ","The Compact Pulsed Hadron Source Status*",112 114,
