moal2,"H. Tomizawa, T. Ishikawa, K. Ogawa, H. Tanaka, M. Yabashi [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] S. Matsubara, Y. Okayasu, T. Togashi [JASRI/SPring-8, Hyogo, Japan] ","The First Demonstration of EOS 3D-BCD Monitor to Maximize 3D-Overlapping for HHG-Seeded FEL",99 98,
moal3,"D. Filippetto, S. De Santis, L.R. Doolittle, G. Huang, W.E. Norum, G.J. Portmann, H.J. Qian, F. Sannibale, R.P. Wells [LBNL, Berkeley, California, USA] ","Diagnostic for a High Repetition Rate Electron Photo-Gun and First Measurements",4 7,
moal4,"V.R. Arsov, M.M. Dehler, S. Hunziker, M.G. Kaiser, V. Schlott [PSI, Villigen PSI, Switzerland] ","First Results from the Bunch Arrival-Time Monitor at the SwissFEL Test Injector",8 11,
mobl1,"R. Ischebeck, V.R. Arsov, S. Bettoni, B. Beutner, M.M. Dehler, A. Falone, F. Frei, I. Gorgisyan, Ye. Ivanisenko, P.N. Juranic, B. Keil, F. Loehl (F. Löhl), G.L. Orlandi, M. Pedrozzi, P. Pollet, E. Prat, T. Schietinger, V. Schlott, B. Smit [PSI, Villigen PSI, Switzerland] P. Peier [DESY, Hamburg, Germany] ","Instrumentation and Results from the SwissFEL Injector Test Facility",12 18,
mobl2,"S.J. Williams, T. Baumann, K. Cooper, A. Lapierre, D. Leitner, D.J. Morrissey, G. Perdikakis, J.A. Rodriguez, S. Schwarz, A. Spyrou, M. Steiner, C. Sumithrarachchi [NSCL, East Lansing, Michigan, USA] W. Wittmer [FRIB, East Lansing, Michigan, USA] ","Thermalized and Reaccelerated Beams at the National Superconducting Cyclotron Laboratory",19 22,
mobl3,"M. Kuntzsch, S. Findeisen, M. Gensch, B.W. Green, J. Hauser, S. Kovalev, U. Lehnert, P. Michel, F. Roeser (F. Röser), Ch. Schneider, R. Schurig [HZDR, Dresden, Germany] A. Al-Shemmary, M. Bousonville, M.K. Czwalinna, T. Golz, H. Schlarb, B. Schmidt, S. Schulz, N. Stojanovic, S. Vilcins [DESY, Hamburg, Germany] E. Hass [Uni HH, Hamburg, Germany] ","Electron Bunch Diagnostic at the Upgraded ELBE Accelerator: Status and Challenges",23 25,
mocl1,"S.T. Boogert [JAI, Egham, Surrey, United Kingdom] S.T. Boogert [Royal Holloway, University of London, Surrey, United Kingdom] ","Beam Instrumentation at the Accelerator Test Facility 2",26 32,
mocl2,"S. Orfanelli, A.E. Dabrowski, M. Giunta [CERN, Geneva, Switzerland] M.J. Ambrose, A. Finkel, R. Rusack [University of Minnesota, Minneapolis, Minnesota, USA] D.P. Stickland [PU, Princeton, New Jersey, USA] ","Design of a Novel Cherenkov Detector System for Machine Induced Background Monitoring in the CMS Cavern",33 36,
mocl3,"M. Olvegaard (M. Olvegård), V.G. Ziemann [Uppsala University, Uppsala, Sweden] ","Emittance and Momentum Diagnostics for Beams with Large Momentum Spread",37 40,
mopc02,"V.V. Smaluk, E.A. Bekhtenev, S.E. Karnaev, G.V. Karpov, O.I. Meshkov [BINP SB RAS, Novosibirsk, Russia] D. Padrazo, O. Singh, V.V. Smaluk, K. Vetter, G.M. Wang [BNL, Upton, Long Island, New York, USA] ","Status of Beam Diagnostics for NSLS-II Booster",41 44,
