mocyb1,"K.B. Scheidt [ESRF, Grenoble, France] ","Non-Destructive Vertical Halo Monitor on the ESRF's 6GeV Electron Beam",2 6,
mocyb2,"R. Takai, T. Honda, T. Nogami, T. Obina, H. Sagehashi, Y. Tanimoto, M. Tobiyama [KEK, Ibaraki, Japan] ","Design and Initial Commissioning of Beam Diagnostics for the KEK Compact ERL",7 11,
mocyb3,"A.P. Zhukov, A.V. Aleksandrov, Y. Liu [ORNL, Oak Ridge, Tennessee, USA] ","Longitudinal Laser Wire at SNS",12 15,
moczb1,"C.M. Caselle, M. Brosi, S.A. Chilingaryan, T. Dritschler, N. Hiller, V. Judin, A. Kopmann, A.-S. Mueller (A.-S. Müller), L. Petzold, J. Raasch, L. Rota, M. Siegel, N.J. Smale, J.L. Steinmann, M. Vogelgesang, M. Weber, S. Wuensch [KIT, Eggenstein-Leopoldshafen, Germany] ","A Picosecond Sampling Electronic ``KAPTURE'' for Terahertz Synchrotron Radiation",24 28,
moczb2,"S. Hunziker, V.R. Arsov, F. Buechi, M.G. Kaiser, A. Romann, V. Schlott [PSI, Villigen PSI, Switzerland] P. Orel, S. Zorzut [I-Tech, Solkan, Slovenia] ","Reference Distribution and Synchronization System for SwissFEL: Concept and First Results",29 33,
moczb3,"M. Heuer, S. Pfeiffer, H. Schlarb [DESY, Hamburg, Germany] G. Lichtenberg [HAW, Hamburg, Germany] ","Comparison of Feedback Controller for Link Stabilizing Units of the Laser Based Synchronisation System used at the European XFEL",34 38,
moixb1,"S.R. Smith [SLAC, Menlo Park, California, USA] ","Welcome to the 2014 International Beam Instrumentation Conference",99 98,
moizb1,"W.X. Cheng, B. Bacha, K. Ha, Y. Hu, M.A. Maggipinto, J. Mead, D. Padrazo, O. Singh, H. Xu [BNL, Upton, Long Island, New York, USA] ","NSLS2 Diagnostic Systems Commissioning and Measurements",16 23,
mopd01,"H. Huang, E.C. Aschenauer, G. Atoian, A. Bazilevsky, O. Eyser, A. Fernando, D.M. Gassner, D. Kalinkin, J. Kewisch, G.J. Mahler, Y. Makdisi, S. Nemesure, A. Poblaguev, W.B. Schmidke, D. Steski, T. Tsang, K. Yip, A. Zelenski [BNL, Upton, Long Island, New York, USA] I.G. Alekseev, D. Svirida [ITEP, Moscow, Russia] ","RHIC p-Carbon Polarimeter Target Lifetime Issue",124 128,
mopd02,"P. Thieberger, Z. Altinbas, C. Carlson, C. Chasman, M.R. Costanzo, C. Degen, K.A. Drees, W. Fischer, D.M. Gassner, X. Gu, K. Hamdi, J. Hock, Y. Luo, A. Marusic, T.A. Miller, M.G. Minty, C. Montag, A.I. Pikin, S.M. White [BNL, Upton, Long Island, New York, USA] ","The Electron Backscattering Detector (eBSD), a New Tool for the Precise Mutual Alignment of the Electron and Ion Beams in Electron Lenses",129 133,
mopd03,"M. Hempel, H.M. Henschel, O. Karacheban, W. Lange, J.L. Leonard, M. Penno [DESY Zeuthen, Zeuthen, Germany] K. Afanaciev [NC PHEP BSU, Minsk, Belarus] A.I. Bell [DLS, Oxfordshire, United Kingdom] P.R. Burtowy, A.E. Dabrowski, R. Loos, V. Ryjov, A.A. Zagozdzinska [CERN, Geneva, Switzerland] W. Lohmann [BTU, Cottbus, Germany] W. Lohmann, R. Walsh [DESY, Hamburg, Germany] B.L. Pollack [NU, Evanston, Illinois, USA] D. Przyborowski [AGH, Cracow, Poland] S. Schuwalow [Uni HH, Hamburg, Germany] D.P. Stickland [PU, Princeton, New Jersey, USA] ","Performance and Upgrade of the Fast Beam Condition Monitor at CMS",134 138,
mopd04,"J. Olexa, M. Gasior (M. Gąsior) [CERN, Geneva, Switzerland] ","Synchronisation of the LHC Betatron Coupling and Phase Advance Measurement System",139 143,
mopd05,"M.T. Switka, F. Frommberger, P. Haenisch (P. Hänisch), W. Hillert, M. Schedler [ELSA, Bonn, Germany] ","Dual Transverse and Longitudinal Streak Camera Imaging at ELSA",144 146,
mopd06,"S. Spampinati, D. Newton [Cockcroft Institute, Warrington, Cheshire, United Kingdom] D. Newton [The University of Liverpool, Liverpool, United Kingdom] ","Electron Beam Diagnostics for Short Pulse FEL Schemes at CLARA",147 151,
mopd07,"M. Felber, M.K. Czwalinna, H.T. Duhme, M. Fenner, C. Gerth, M. Heuer, T. Lamb, U. Mavric (U. Mavrič), J.M. Mueller, P. Peier, H. Schlarb, S. Schulz, B. Steffen, C. Sydlo, M. Titberidze, T. Walter, R. Wedel, F. Zummack [DESY, Hamburg, Germany] E. Janas [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] T. Kozak, P. Predki (P. Prędki), K.P. Przygoda [TUL-DMCS, Lodz, Poland] J. Szewinski (J. Szewiński) [NCBJ, Swierk/Otwock, Poland] ","New MTCA.4-based Hardware Developments for the Control of the Optical Synchronization Systems at DESY",152 156,
