mobla01,"P.C. Chiu, J. Chen, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C. H. Huang, C.H. Kuo, D. Lee, C.Y. Liao, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","The Role of Beam Diagnostics in the Rapid Commissioning of the TPS Booster and Storage Ring",99 98,
mobla02,"A.V. Aleksandrov [ORNL, Oak Ridge, Tennessee, USA] ","SNS Beam Diagnostics: Ten Years After Commissioning",8 11,
mobla03,"V. Schlott [PSI, Villigen PSI, Switzerland] ","Overview and Status of SwissFEL Diagnostics",12 16,
mocla01,"E. Roussel, S. Bielawski, C. Evain, C. Szwaj [PhLAM/CERLA, Villeneuve d'Ascq, France] M. Adachi, M. Katoh, S.I. Kimura, T. Konomi [UVSOR, Okazaki, Japan] M. Hofherr, K.S. Ilin, J. Raasch, A. Scheuring, M. Siegel, P. Thoma, S. Wuensch [KIT, Karlsruhe, Germany] M. Hosaka, Y. Takashima, N. Yamamoto [Nagoya University, Nagoya, Japan] H. Zen [Kyoto University, Kyoto, Japan] ","Microbunching Instability in Relativistic Electron Bunches: Direct Observations of the Microstructures Using Ultrafast YBCO Detectors",17 21,
mocla02,"H. Maesaka, T. Asaka, T. Ohshima, Y. Otake, H. Tanaka [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] S. Matsubara [JASRI/SPring-8, Hyogo, Japan] ","Design of a Compact L-band Transverse Deflecting Cavity with Arbitrary Polarisations for the SACLA Injector",22 26,
mopb001,"D. Tsifakis, P. Linardakis, N.R. Lobanov [Research School of Physics and Engineering, Australian National University, Canberra, Australian Capitol Territory, Australia] ","Development of a Beam Pulse Monitor for the Heavy Ion Accelerator Facility",27 29,
mopb002,"S. Cunningham, R. Clarken, A. C. Starritt [ASCo, Clayton, Victoria, Australia] A. C. Starritt [SLSA, Clayton, Australia] ","A Compact Weather Station for Monitoring Environmental Effects on Beam Properties and Equipment",30 32,
mopb006,"E. Roussel, S. Bielawski [PhLAM/CERCLA, Villeneuve d'Ascq Cedex, France] A. Borysenko, N. Hiller, A.-S. Mueller (A.-S. Müller), P. Schönfeldt, J.L. Steinmann [KIT, Karlsruhe, Germany] C. Evain, C. Szwaj [PhLAM/CERLA, Villeneuve d'Ascq, France] ","Electro-Optical Measurements of the Longitudinal Bunch Profile in the Near-Field on a Turn-by-Turn Basis at the Anka Storage Ring",33 37,
mopb007,"E. Panofski, A. Jankowiak, T. Kamps [HZB, Berlin, Germany] P.N. Lu, J. Teichert [HZDR, Dresden, Germany] ","SRF Gun Beam Characterization - Phase Space and Dark Current Measurements at ELBE",38 42,
mopb009,"M. Kuntzsch, M. Gensch, U. Lehnert, P. Michel, R. Schurig, J. Teichert [HZDR, Dresden, Germany] ","Jitter Analysis at CW Repetition Rate With Large Spectral Range and High Resolution",43 45,
mopb011,"R. Steinbrück, M. Justus, M. Kuntzsch [HZDR, Dresden, Germany] T. Bergmann [BME, Murnau, Germany] A. Kessler [HIJ, Jena, Germany] ","Trigger Generator for the Superconducting Linear Accelerator ELBE",46 48,
mopb012,"V. Gharibyan, K. Floettmann (K. Flöttmann), G. Kube, K. Wittenburg [DESY, Hamburg, Germany] ","Vector Polarimeter for Photons in keV-MeV Energy Range",49 52,
mopb013,"R. Geithner, T. Stoehlker (T. Stöhlker) [IOQ, Jena, Germany] M.F. Fernandes [Cockcroft Institute, Warrington, Cheshire, United Kingdom] M.F. Fernandes [CERN, Geneva, Switzerland] M.F. Fernandes [The University of Liverpool, Liverpool, United Kingdom] R. Geithner, T. Stoehlker (T. Stöhlker) [HIJ, Jena, Germany] F. Kurian, H. Reeg, M. Schwickert, T. Sieber, T. Stoehlker (T. Stöhlker) [GSI, Darmstadt, Germany] R. Neubert, P. Seidel [FSU Jena, Jena, Germany] ","Cryogenic Current Comparator for Storage Rings and Accelerators",53 57,
mopb014,"C. Boehme (C. Böhme), A.J. Halama, V. Kamerdzhiev, F. Klehr, D. Prasuhn, K. Reimers, S. Srinivasan, D. Temme, R. Tölle [FZJ, Jülich, Germany] ","Beam Diagnostics for the High Energy Storage Ring at FAIR",58 61,
mopb015,"Y. Hara, T. Furukawa, K. Mizushima, K. Noda, N. S. Saotome, Y. Saraya, T. Shirai, R. Tansho [NIRS, Chiba-shi, Japan] ","A Patient-Specific QA Procedure for Moving Target Irradiation in Scanned Ion Therapy",62 65,
mopb016,"N. S. Saotome, T. Furukawa, Y. Hara, K. Mizushima, K. Noda, Y. Saraya, T. Shirai, R. Tansho [NIRS, Chiba-shi, Japan] ","Development of QA System for the Rotating Gantry for Carbon Ion Therapy at NIRS",66 69,
mopb017,"T. Suwada, K. Furukawa, F. Miyahara [KEK, Ibaraki, Japan] ","Development of FPBA-Based TDC With Wide Dynamic Range for Monitoring the Trigger Timing Distribution System at the KEKB Injector Linac",70 74,
mopb018,"M. Tobiyama, J.W. Flanagan, H. Ikeda [KEK, Ibaraki, Japan] ","Data Acquisition System for SuperKEKB Beam Loss Monitors",75 79,
mopb021,"K. Yamamoto [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","Signal Response of the Beam Loss Monitor as a Function of the Lost Beam Energy",80 84,
mopb022,"H. Al-Mohammad, K. Manukyan [SESAME, Allan, Jordan] ","Diagnostics During SESAME Booster Commissioning",85 88,
mopb023,"F.M. Alrumayan, A. Alghaith, A. Hendy [King Faisal Specialist Hospital and Research Centre, Riyadh 11211, Kingdom of Saudi Arabia] M.P. Dehnel [D-Pace, Nelson, British Columbia, Canada] ","A Comparative Study Between Simulated and Measured Beam's Quality of 30 MeV Cyclotron at KFSHRC",89 91,
mopb025,"Y. Zhao, J.S. Cao, J. He, Y.F. Sui, L. Wang [IHEP, Beijing, People's Republic of China] ","Heating Analysis and the Solutions of DCCT System for BEPCII",92 94,
mopb026,"J.H. Yue, Q.Y. Deng, J. Hu, S.J. Wei, Q. Ye [IHEP, People's Republic of China] ","Phase and Energy Measurement System for C-ADS Injector I",95 97,
mopb030,"Y. Yang, Y.B. Leng, Y.B. Yan [SSRF, Shanghai, People's Republic of China] ","Time Measurement Method Based on CPLD for Beam Loss Position Monitor",98 100,
mopb031,"L.G. Zhang, J. Huang, K.F. Liu, J. Yang, C. Zuo [HUST, Wuhan, People's Republic of China] ","Electron Beam Uniformity Detection Device for Irradiation Accelerators",101 103,
mopb032,"C. Zuo, J. Huang, J. Yang, L.G. Zhang [HUST, Wuhan, People's Republic of China] ","Design and Analysis of a Beam Uniformity Detector Based on Faraday Cup Array",104 107,
mopb034,"S. Jablonski (S. Jabłoński) [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] H. Schlarb, C. Sydlo [DESY, Hamburg, Germany] ","CW Laser Based Phase Reference Distribution for Particle Accelerators",108 112,
mopb035,"H.J. You, W.I. Choo, S.O. Jang [NFRI, Daejon, Republic of Korea] ","Beam Profile Measurements with a Slit-Faraday Cup and a Wire Scanner for a Newly Developed 18 GHz Superconducting ECR Ion Source and its LEBT",113 117,
mopb036,"H. J. Choi, J.H. Han, J.H. Hong, H.-S. Kang, S.H. Kim, B.R. Park, S.J. Park [PAL, Pohang, Kyungbuk, Republic of Korea] ","PAL-XFEL's Turbo-ICT for Beam Charge Monitoring",118 120,
mopb037,"J.G. Hwang, S.Y. Noh [KIRAMS/KHIMA, Seoul, Republic of Korea] P. Forck [GSI, Darmstadt, Germany] T.K. Yang [KIRAMS, Seoul, Republic of Korea] ","Development of High Precision Capacitive Beam Phase Probe for KHIMA Project",121 125,
mopb038,"T.K. Yang, D.H. An, G. Hahn, H. Yim [KIRAMS, Seoul, Republic of Korea] J.G. Hwang, C.H. Kim, S.Y. Noh, C.W. Park [KIRAMS/KHIMA, Seoul, Republic of Korea] ","Status of Beam Diagnostics at KHIMA Facility",126 130,
mopb040,"A. Källberg, M. Björkhage, M. Blom, H. Cederquist, G. Eklund, L. Liljeby, P. Löfgren, A. Paal, P. Reinhed, S. Rosén, H.T. Schmidt, S.B. Silverstein, A. Simonsson [Stockholm University, Stockholm, Sweden] H. Danared [ESS, Lund, Sweden] R.D. Thomas [Stockholm University, Department of Physics, Stockholm, Sweden] ","Instrumentation in DESIREE",131 133,
mopb041,"K.P. Nesteruk, M. Auger, S. Braccini, T.S. Carzaniga, A. Ereditato, P. Scampoli [LHEP, Bern, Switzerland] P. Scampoli [Naples University Federico II, Napoli, Italy] ","Study of the Transverse Beam Emittance of the Bern Medical Cyclotron",134 138,
mopb042,"M.R. Bartosik, A. Alexopoulos, B. Dehning, M. Sapinski [CERN, Geneva, Switzerland] V. Eremin, E. Verbitskaya [IOFFE, St. Petersburg, Russia] E. Griesmayer [CIVIDEC Instrumentation, Wien, Austria] ","Beam Loss Monitors for the Cryogenic LHC Magnets",139 142,
mopb043,"M.F. Fernandes, J. Tan [CERN, Geneva, Switzerland] M.F. Fernandes, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] M.F. Fernandes, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] R. Geithner, T. Stoehlker (T. Stöhlker) [IOQ, Jena, Germany] R. Geithner, T. Stoehlker (T. Stöhlker) [HIJ, Jena, Germany] R. Neubert [FSU Jena, Jena, Germany] M. Schwickert, T. Stoehlker (T. Stöhlker) [GSI, Darmstadt, Germany] ","A Cryogenic Current Comparator for the Low-Energy Antiproton Facilities at CERN",143 147,
mopb045,"M. Kastriotou, S. Doebert (S. Döbert), F.S. Domingues Sousa, E. Effinger, W. Farabolini, E.B. Holzer, E. Nebot Del Busto, W. Vigano (W. Viganò) [CERN, Geneva, Switzerland] W. Farabolini [CEA/DSM/IRFU, CEA/DSM/IRFU, France] M. Kastriotou, E. Nebot Del Busto, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] M. Kastriotou, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","BLM Crosstalk Studies on the CLIC Two-Beam Module",148 151,
mopb046,"M. Kuhn, V. Kain, A. Langner, R. Tomas (R. Tomás) [CERN, Geneva, Switzerland] ","First K-Modulation Measurements in the LHC During Run 2",152 155,
mopb048,"M.M. Dehler, F. Frei, R. Ischebeck, V. Schlott [PSI, Villigen PSI, Switzerland] J. Fabianska, T. Feurer, M. Hayati [Universität Bern, Institute of Applied Physics, Bern, Switzerland] ","Design Concept for a THz Driven Streak Camera With Ultra High Resolution",156 160,
mopb049,"T.G. Lucas, P.J. Giansiracusa, D.J. Peake, R.P. Rassool [The University of Melbourne, Melbourne, Victoria, Australia] M.J. Boland [ASCo, Clayton, Victoria, Australia] R.J. Steinhagen [GSI, Darmstadt, Germany] ","An Optical Intra-Bunch Instability Monitor for Short Electron Bunches",161 164,
mopb050,"W. Koprek, B. Keil, G. Marinkovic [PSI, Villigen PSI, Switzerland] ","Overview of Applications and Synergies of a Generic FPGA-Based Beam Diagnostics Electronics Platform at SwissFEL",165 169,
mopb051,"P. Pollet, R. Ischebeck, D. Llorente Sancho, G. Marinkovic, C. Ozkan Loch, V. Schlott [PSI, Villigen PSI, Switzerland] ","System Integration of SwissFEL Beam Loss Monitors",170 174,
mopb053,"C. H. Huang, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, K.H. Hu, D. Lee, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","The Beam Loss Monitoring System in Taiwan Photon Source",175 178,
mopb055,"A.P. Lee, M.C. Chou, N.Y. Huang, J.-Y. Hwang, W.K. Lau, C.C. Liang, M.T. Tsou [NSRRC, Hsinchu, Taiwan] P. Wang [NTHU, Hsinchu, Taiwan] ","The NSRRC Photo-injector Diagnostic Tools for Initial Beam Test",179 183,
mopb056,"S. Kongtawong, P. Klysubun, S. Krainara, P. Sudmuang [SLRI, Nakhon Ratchasima, Thailand] ","Improvement of Tune Measurement System at Siam Photon Source",184 186,
mopb057,"S. Krainara, G.G. Hoyes, P. Klysubun, S. Kongtawong, P. Sudmuang, N. Suradet, S. Teawphet [SLRI, Nakhon Ratchasima, Thailand] ","Observation of Beam Loss Signal at the SPS Storage Ring",187 189,
mopb058,"N. Suradet, G.G. Hoyes, P. Klysubun, S. Krainara, P. Sudmuang, S. Teawphet [SLRI, Nakhon Ratchasima, Thailand] ","Improvement of the Siam Photon Source Beam Loss Monitor System",190 192,
mopb063,"G.B. Christian, P. Burrows, C. Perry, J. Roberts [JAI, Oxford, United Kingdom] A. Andersson, R. Corsini, J. Roberts, P.K. Skowronski (P.K. Skowroński) [CERN, Geneva, Switzerland] P. Burrows, C. Perry [Oxford University, Physics Department, Oxford, Oxon, United Kingdom] A. Ghigo, F. Marcellini [INFN/LNF, Frascati (Roma), Italy] ","First Experimental Results with the CLIC Drive Beam Phase Feedforward Prototype at the CLIC Test Facility CTF3",193 196,
mopb064,"A.F.D. Morgan, G. Rehm [DLS, Oxfordshire, United Kingdom] ","Initial Work on the Design of a Longitudinal Bunch-by-Bunch Feedback Kicker at Diamond",197 201,
mopb065,"A.F.D. Morgan, G. Rehm [DLS, Oxfordshire, United Kingdom] ","Considerations and Improved Workflow for Simulation of Dissipated Power from Wake Losses",202 205,
mopb066,"L.M. Bobb, A.F.D. Morgan, G. Rehm [DLS, Oxfordshire, United Kingdom] ","Streak Camera PSF Optimisation and Dual Sweep Calibration for Sub-ps Bunch Length Measurement",206 210,
mopb067,"C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Optical Diagnostics within LA3NET",211 215,
mopb068,"C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Advanced Beam Diagnostics R&D within oPAC",216 220,
mopb070,"S.M. Lidia, M. Ikegami, Z. Li, Z. Liu, T. Russo, R.C. Webber, Y. Zhang, Q. Zhao [FRIB, East Lansing, Michigan, USA] ","FRIB Machine Protection System Design and Validation Studies",221 225,
mopb071,"S.M. Lidia, S. Cogan, D. Constan-Wahl, J.L. Crisp, M. Ikegami, Z. Liu, F. Marti, I.N. Nesterenko, G. Pozdeyev, T. Russo, R. Shane, R.C. Webber, Y. Zhang, Q. Zhao [FRIB, East Lansing, Michigan, USA] ","Overview of Beam Diagnostic Systems for FRIB",226 230,
mopb073,"Z. Zheng, Z.Q. He, S.M. Lidia, Z. Liu, R. Shane, Y. Zhang [FRIB, East Lansing, Michigan, USA] ","Cryogenic Thermometers as Slow Beam Loss Detectors",231 234,
mopb074,"R.C. McCrady, H.A. Watkins [LANL, Los Alamos, New Mexico, USA] ","Reference Signal Distribution for Beam Position and Phase Monitors at LANSCE",235 237,
mopb075,"C.I. Clarke, S.Z. Green, C. Hast, M.J. Hogan, N. Lipkowitz, G.R. White, V. Yakimenko, G. Yocky [SLAC, Menlo Park, California, USA] ","Diagnostics Challenges for FACET-II",238 242,
mopb081,"E.J. Curry, P. Musumeci [UCLA, Los Angeles, California, USA] B.T. Jacobson, A.Y. Murokh [RadiaBeam, Santa Monica, California, USA] ","Sub-Picosecond Shot-to-Shot Electron Beam and Laser Timing Using a Photoconductive THz Antenna",243 245,
mopb082,"W.X. Cheng, B. Bacha, Y. Hu, O. Singh, G.M. Wang [BNL, Upton, Long Island, New York, USA] ","NSLS2 Fill Pattern Monitor and Control",246 250,
mopb083,"W.X. Cheng, B. Bacha, A. Blednykh, Y. Li, O. Singh [BNL, Upton, Long Island, New York, USA] ","Longitudinal Bunch Profile Measurement at NSLS2 Storage Ring",251 255,
thala01,"H. Schmickler [CERN, Geneva, Switzerland] ","Beam Position Measurement System Design",618 624,
thala02,"W.X. Cheng, K. Ha, J. Mead, B. Podobedov, O. Singh, Y. Tian, L. Yu [BNL, Upton, Long Island, New York, USA] ","Characterization of NSLS2 Storage Ring Beam Orbit Stability",625 629,
thbla01,"A.S. Fisher [SLAC, Menlo Park, California, USA] ","Summary of the 2014 Beam-Halo Monitoring Workshop",630 636,
thbla02,"S.R. Smith [SLAC, Menlo Park, California, USA] ","IBIC 2014 Scientific Highlights",637 638,
tuala01,"J.C. Frisch [SLAC, Menlo Park, California, USA] ","Beam Arrival Time Monitors",256 262,
tuala02,"P. Krejcik [SLAC, Menlo Park, California, USA] ","Transverse Profiling of an Intense FEL X-Ray Beam Using a Probe Electron Beam",263 265,
tubla01,"M. Tejima [KEK, Ibaraki, Japan] ","Beam Based Calibration for Beam Position Monitors",266 272,
tubla04,"P. Burrows, D.R. Bett, N. Blaskovic Kraljevic, T. Bromwich, G.B. Christian, M.R. Davis, C. Perry [JAI, Oxford, United Kingdom] ","Progress Towards Electron-Beam Feedback at the Nanometre Level at the Accelerator Test Facility (ATF2) at KEK",273 277,
tucla01,"K.P. Wootton [SLAC, Menlo Park, California, USA] ","Direct Observation of Ultralow Vertical Emittance Using a Vertical Undulator",278 282,
tucla02,"S. Takano, M. Masaki [JASRI/SPring-8, Hyogo-ken, Japan] H. Sumitomo [SES, Hyogo-pref., Japan] ","Recent Progress in X-Ray Emittance Diagnostics at SPring-8",283 287,
tucla03,"T.M. Mitsuhashi [KEK, Ibaraki, Japan] E. Bravin, O.R. Jones, F. Roncarolo, H. Schmickler, G. Trad [CERN, Geneva, Switzerland] ","Design of Coronagraph for the Observation of Beam Halo at LHC",288 292,
tupb002,"Y.E. Tan, N.J. Basten, T.D. Cornall, E. Joseph Vettoor [SLSA, Clayton, Australia] A. Michalczyk [ASCo, Clayton, Victoria, Australia] D.J. Peake [The University of Melbourne, Melbourne, Victoria, Australia] ","Fast Orbit Feedback System at SLSA",293 297,
tupb005,"D.T. Button, D.B. Garton, M.C. Mann [ANSTO, Menai, New South Wales, Australia] S. Yan [NI, Macquarie Park, New South Wales, Australia] ","Advancements in the Management Measurements & Visualisation of NEC Beam Profile Monitors",298 301,
tupb006,"H.O.C. Duarte, S.R. Marques [LNLS, Campinas, Brazil] ","Impedance Optimization of Sirius Stripline Kicker",302 306,
tupb007,"T.A. Miller, M. Blaskiewicz, A.V. Fedotov, D.M. Gassner, D. Kayran, J. Kewisch, M.G. Minty, I. Pinayev, P. Thieberger, J.E. Tuozzolo [BNL, Upton, Long Island, New York, USA] ","Multifunction Instrument Designs with Low Impedance Structures for Profile, Energy, and Emittance Measurements for LEReC at BNL",307 312,
tupb008,"B. Bolzon, N. Chauvin, S. Chel, R. Gobin, F. Senee (F. Senée), M. Valette [CEA/IRFU, Gif-sur-Yvette, France] J. Knaster, Y. Okumura [IFMIF/EVEDA, Rokkasho, Japan] K. Shinto [Japan Atomic Energy Agency (JAEA), International Fusion Energy Research Center (IFERC), Rokkasho, Kamikita, Aomori, Japan] ","Beam Diagnostics of the LIPAC Injector With a Focus on the Algorithm Developed for Emittance Data Analysis of High Background Including Species Fraction Calculation",313 317,
tupb009,"N. Hubert, Y.-M. Abiven, L. Cassinari, L. Chapuis, F. Dohou, M.E. El Ajjouri, A. Loulergue, O. Marcouillé, P. Monteiro, L.S. Nadolski, D. Pedeau (D. Pédeau), P. Rommeluere (P. Rommeluère) [SOLEIL, Gif-sur-Yvette, France] ","A New Beam Angle Interlock at Soleil",318 320,
tupb010,"R. Singh, P. Forck, P. Kowina, A. Reiter [GSI, Darmstadt, Germany] ","Digital Processing of Pick-up Signals for Position and Tune Determination",321 326,
tupb011,"G. Kube, S. Bajt [DESY, Hamburg, Germany] I.A. Artyukov [LPI, Moscow, Russia] W. Lauth [IKP, Mainz, Germany] A. Potylitsyn, L.G. Sukhikh, A.V. Vukolov [TPU, Tomsk, Russia] ","Micron-Scale Vertical Beam Size Measurements Based on Transition Radiation Imaging With a Schwarzschild Objective",327 329,
tupb012,"G. Kube, S. Bajt [DESY, Hamburg, Germany] I.A. Artyukov [LPI, Moscow, Russia] W. Lauth [IKP, Mainz, Germany] A. Potylitsyn, L.G. Sukhikh, A.V. Vukolov [TPU, Tomsk, Russia] ","Transverse Beam Profile Imaging of Few-Micrometer Beam Sizes Based on a Scintillator Screen",330 334,
tupb014,"B. Lorbeer, N. Baboi, H.T. Duhme, F. Schmidt-Foehre (F. Schmidt-Föhre), K. Wittenburg [DESY, Hamburg, Germany] ","Development Status and Performance Studies of the New MicroTCA Based Button and Strip-line BPM Electronics at FLASH 2",335 338,
tupb015,"F. Hinder, H. Soltner, F. Trinkel [FZJ, Jülich, Germany] H.-J. Krause [Forschungszentrum Juelich, Peter Gruenberg Institut, Jülich, Germany] ","Development of New Beam Position Monitors at COSY",339 343,
tupb016,"K. Reimers, C. Boehme (C. Böhme), R. Gebel, V. Kamerdzhiev [FZJ, Jülich, Germany] J.L. Conradie, M.A. Crombie, H.W. Mostert [iThemba LABS, Somerset West, South Africa] ","Upgrade of the Beam Profile Monitoring System in the Injection Beam Line of COSY",344 346,
tupb017,"C. Boehme (C. Böhme), M. Bai, F. Hinder, V. Kamerdzhiev, F. Trinkel [FZJ, Jülich, Germany] ","Studies for a BPM Upgrade at COSY",347 350,
tupb018,"R.V. Hariwal, S. Kedia, R. Mehta [IUAC, New Delhi, India] H.K. Malik [Indian Institute of Technology, New Delhi, India] V.A. Verzilov [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Compact and Complete Beam Diagnostic System for HCI at IUAC",351 353,
