fraji1,"O. Frasciello, M. Zobov [INFN/LNF, Frascati (Roma), Italy] ","Numerical Calculations of Wake Fields and Impedances of LHC Collimators' Real Structures",178 182,
fraji3,"O. Kononenko, L. Ge, C. Ko, Z. Li, C.-K. Ng, L. Xiao [SLAC, Menlo Park, California, USA] ","Advances in Massively Parallel Electromagnetic Simulation Suite ACE3P",183 187,
frbji1,"O.I. Drivotin, D.A. Ovsyannikov [St. Petersburg State University, St. Petersburg, Russia] ","Space of Motion Integrals in Problems on Self-consistent Charged Particle Distributions",188 193,
mobji3,"Y. Hao [BNL, Upton, Long Island, New York, USA] ","Computation Requirement Towards the Future Electron Ion Collider, eRHIC",99 98,
modbc1,"Y. Li, W.X. Cheng, L. Yang [BNL, Upton, Long Island, New York, USA] ","Using Big Data in NSLS-II Storage Ring Commissioning",6 8,
modbc2,"H. Rafique, R.J. Barlow [University of Huddersfield, Huddersfield, United Kingdom] R.B. Appleby, S.C. Tygier [UMAN, Manchester, United Kingdom] R. Bruce, S. Redaelli, J.F. Wagner [CERN, Geneva, Switzerland] ","High Luminosity LHC Hollow Electron Lens Collimation using MERLIN",9 12,
modbc3,"R. Hipple, M. Berz [MSU, East Lansing, Michigan, USA] ","Implementation of Benchmarks for Precision Tracking in Storage Rings",13 16,
modbc4,"V. Senichev [FZJ, Jülich, Germany] S.N. Andrianov, A.N. Ivanov [St. Petersburg State University, St. Petersburg, Russia] M. Berz, E. Valetov [MSU, East Lansing, Michigan, USA] S. Chekmenev [RWTH, Aachen, Germany] ","Investigation of Lattice for Deuteron EDM Ring",17 19,
modwc3,"U. Locans [University of Latvia, Riga, Latvia] A. Adelmann, U. Locans, A. Suter [PSI, Villigen PSI, Switzerland] ","Dynamic Kernel Scheduler (DKS) - Accelerating the Object Oriented Particle Accelerator Library (OPAL)",20 22,
modwc4,"T. Zhang, J.H. Chen, B. Liu, D. Wang [SINAP, Shanghai, People's Republic of China] ","Python-Based High-Level Applications Development for Shanghai Soft X-Ray Free-Electron Laser",23 25,
thaji1,"A. Lehrach [FZJ, Jülich, Germany] ","Searching Electric Dipole Moments in Storage Rings - Challenges, Status and Computational Needs",128 131,
thaji2,"M. Gaisser, S. Haciomeroglu, Y.I. Kim, S. Lee, Y.K. Semertzidis [CAPP/IBS, Daejeon, Republic of Korea] Y.K. Semertzidis [KAIST, Daejeon, Republic of Korea] ","Precision Spin Tracking for Electric Dipole Moment Searches",132 135,
thbji1,"S. Russenschuck [CERN, Geneva, Switzerland] ","Establishing a Consistent Basis for Beam Physics, Accelerator Magnet Design, and Magnetic Measurements",136 141,
