frxaa02,"A. Tünnermann, J. Limpert [Friedrich Schiller Universität, Jena, Germany] T. Schreiber [Fraunhofer-Institute for Applied Optics and Precision Engineering, Jena, Germany] ","Advanced Solid State Lasers are Merging with Accelerators",4157 4159,
frxab01,"J. Bahrdt, G. Wuestefeld (G. Wüstefeld) [HZB, Berlin, Germany] ","Symplectic Tracking and Compensation of Dynamic Field Integrals in Complex Undulator Structures",4165 4169,
frxba01,"F. Sannibale [LBNL, Berkeley, California, USA] ","Overview of Recent Progress on High Repetition Rate, High Brightness Electron Guns",4160 4164,
frxbb01,"J. Yang, K. Kan, T. Kondoh, N. Naruse, K. Tanimura, Y. Yoshida [ISIR, Osaka, Japan] J. Urakawa [KEK, Ibaraki, Japan] ","Femtosecond Electron Guns for Ultrafast Electron Diffraction",4170 4174,
frxcb01,"R.J. Pasquinelli [Fermilab, Batavia, USA] ","Review of Microwave Schottky Beam Diagnostics",4175 4179,
fryap01,"H.-H. Braun [Paul Scherrer Institut, Villigen, Switzerland] ","The Future of X-ray FELs",4180 4184,
frybp01,"P. Derwent [Fermilab, Batavia, USA] ","Accelerators for Intensity Frontier Research",4185 4189,
frycp01,"R. Heuer [CERN, Geneva, Switzerland] ","Physics Results at the LHC and Implications for Future HEP Programmes",4190 4194,
moeppb001,"A. Palaia, M. Jacewicz, T. Muranaka, R.J.M.Y. Ruber, V.G. Ziemann [Uppsala University, Uppsala, Sweden] W. Farabolini [CEA/DSM/IRFU, France] ","RF-breakdown Kicks at the CTF3 Two-beam Test Stand",73 75,
moeppb002,"A.P. Blondel [DPNC, Genève, Switzerland] ","The MICE Experiment",76 78,
