frxaa01,"M. Takao [JASRI/SPring-8, Hyogo-ken, Japan] ","Beam Dynamics and Collective Effects in "Ultimate" Storage Rings",3981 3985,
frxab201,"S. Fu, H. Chen, Y.W. Chen, H. Dong, S.X. Fang, K.X. Huang, W. Kang, J. Li, H.C. Liu, L. Ma, H.F. Ouyang, H. Qu, H. Sun, J.Y. Tang, C.H. Wang, Q.B. Wang, S. Wang, T.G. Xu, Z.X. Xu, C. Zhang, J. Zhang [IHEP, Beijing, People's Republic of China] ","Status of CSNS Project",3995 3999,
frxba01,"A. Yamamoto [KEK, Ibaraki, Japan] ","Accelerator Technology - From Big Projects to Broad Application",3986 3989,
frxca01,"W. Höfle [CERN, Geneva, Switzerland] ","Progress in Transverse Feedbacks and Related Diagnostics for Hadron Machines",3990 3994,
frxcb201,"O. Kamigaito [RIKEN Nishina Center, Wako, Japan] ","Overview of the World-wide RIB Facilities",4000 4004,
fryaa01,"D. Wang [SINAP, Shanghai, People's Republic of China] ","An Overview of Light Source Development in Asia",4005 4009,
fryca01,"Y.F. Wang [IHEP, Bejing, People's Republic of China] ","Neutrino Physics and Requirements to Accelerators",4010 4014,
moodb101,"St. Sattler, W. Gaertner (W. Gärtner), Dr. Scheller, R. Schoenbein (R. Schönbein), W. Walter [BNG, Würzburg, Germany] E.S. Fischer, J.P. Meier, H. Mueller (H. Müller), P. Schnizer [GSI, Darmstadt, Germany] ","Manufacturing of the First of Series SIS100 Dipole Magnet",31 33,
moodb102,"F. Bødker, C.E. Hansen, N. Hauge, E.K. Krauthammer, D. Kristoffersen, G. Nielsen, C.W.O. Ostenfeld, C.G. Pedersen [Danfysik A/S, Taastrup, Denmark] ","Multiple Function Magnet Systems for MAX IV",34 36,
moodb103,"R. Schmidt, J. Blanco, F. Burkart, D. Grenier, D. Wollmann [CERN, Geneva, Switzerland] E. Griesmayer [CIVIDEC Instrumentation, Wien, Austria] N.A. Tahir [GSI, Darmstadt, Germany] ","Results of an Experiment on Hydrodynamic Tunnelling at the SPS HiRadMat High Intensity Proton Facility",37 39,
moodb201,"J.M. Jowett, R. Alemany-Fernandez, P. Baudrenghien, D. Jacquet, M. Lamont, D. Manglunki, S. Redaelli, M. Sapinski, M. Schaumann, M. Solfaroli Camillocci, R. Tomas (R. Tomás), J.A. Uythoven, D. Valuch, R. Versteegen, J. Wenninger [CERN, Geneva, Switzerland] ","Proton-nucleus Collisions in the LHC",49 51,
moodb202,"R. Bruce, R.W. Assmann (R.W. Aßmann), V. Boccone, C. Bracco, M. Cauchi, F. Cerutti, D. Deboy, A. Ferrari, L. Lari, A. Marsili, A. Mereghetti, S. Redaelli, G. Robert-Demolaize, A. Rossi, B. Salvachua, E. Skordis, G. Valentino, V. Vlachoudis, Th. Weiler, D. Wollmann [CERN, Geneva, Switzerland] E. Quaranta [Politecnico/Milano, Milano, Italy] ","Simulations and Measurements of Cleaning with 100 MJ Beams in the LHC",52 54,
moodb203,"A. Liu, A.D. Bross, D.V. Neuffer [Fermilab, Batavia, USA] S.-Y. Lee [Indiana University, Bloomington, Indiana, USA] ","vSTORM Facility Design and Simulation",55 57,
mopea001,"M.J. Boland, R.T. Dowd, G. LeBlanc, D.C. McGilvery, D. Morris, Y.E. Tan, J. Trewhella, D. Zhu, E.D. van Garderen [ASCo, Clayton, Victoria, Australia] ","Status of the Australian Synchrotron Top-Up Operations",58 60,
mopea002,"R. Clarken, M.J. Boland, Y.E. Tan [ASCo, Clayton, Victoria, Australia] J.S. Hughes, K.P. Wootton [The University of Melbourne, Melbourne, Australia] ","1.5 GeV Low Energy Mode for the Australian Synchrotron",61 63,
mopea003,"S.P. Møller, N. Hertel, J.S. Nielsen [ISA, Aarhus, Denmark] ","Status and Very First Commissioning of the ASTRID2 Synchrotron Light Source",64 66,
mopea004,"J.S. Nielsen, N. Hertel, S.P. Møller [ISA, Aarhus, Denmark] ","Beam Lifetime in the ASTRID and ASTRID2 Synchrotron Light Sources: Excitations and Vacuum Dependences",67 69,
mopea005,"H.D. Thomsen, A.I.S. Holm, S.P. Møller [ISA, Aarhus, Denmark] ","A Linear Beam Raster System for the European Spallation Source?",70 72,
mopea006,"A. Nadji, F. Bouvet, P. Brunelle, A. Buteau, L. Cassinari, M.-E. Couprie, N. Hubert, M. Labat, J.-F. Lamarre, P. Lebasque, A. Lestrade, A. Loulergue, P. Marchand, J.L. Marlats, L.S. Nadolski, R. Nagaoka, M.-A. Tordeux [SOLEIL, Gif-sur-Yvette, France] ","Operation and Performance Upgrade of the SOLEIL Storage Ring",73 75,
mopea007,"R. Nagaoka, P. Brunelle, X. Gavaldà, M. Klein, A. Loulergue, A. Nadji, L.S. Nadolski, M.-A. Tordeux [SOLEIL, Gif-sur-Yvette, France] ","Study of Lower Emittance Optics Using Multi-Bend-Achromat Lattice at SOLEIL",76 78,
mopea008,"L. Farvacque, N. Carmignani, J. Chavanne, A. Franchi, G. Le Bec, S.M. Liuzzo, B. Nash, T.P. Perron, P. Raimondi [ESRF, Grenoble, France] ","A Low-Emittance Lattice for the ESRF",79 81,
mopea009,"J.-L. Revol, J.C. Biasci, J-F. B. Bouteille, F. Ewald, L. Farvacque, A. Franchi, G. Gautier, L. Goirand, M. Hahn, L. Hardy, J. Jacob, J.M. Koch, M.L. Langlois, G. Lebec, J.M. Mercier, T.P. Perron, E. Plouviez, P. Raimondi, K.B. Scheidt, V. Serriere (V. Serrière) [ESRF, Grenoble, France] ","ESRF Operation and Upgrade Status",82 84,
mopea010,"F.R. Osswald, T. Adam, E. Bouquerel, D. Boutin, A. Dinkov, M. Rousseau, A. Sellam [IPHC, Strasbourg Cedex 2, France] N.Yu. Kazarinov [JINR, Dubna, Moscow Region, Russia] H. Weick, M. Winkler [GSI, Darmstadt, Germany] ","Transfer of RIB's between ISOL Target and Experiment Hall at SPIRAL 2",85 87,
mopea012,"T. Goetsch, J. Feikes, M. Ries, G. Wuestefeld (G. Wüstefeld) [HZB, Berlin, Germany] A.-S. Mueller (A.-S. Müller) [KIT, Karlsruhe, Germany] ","Lifetime Studies at Metrology Light Source and ANKA",88 90,
mopea013,"F. Nolden, C. Dimopoulou, R. Grisenti, C.M. Kleffner, S.A. Litvinov, W. Maier, C. Peschke, P. Petri, U. Popp, M. Steck, H. Weick, D.F.A. Winters, T. Ziglasch [GSI, Darmstadt, Germany] ","Radioactive Beam Accumulation for a Storage Ring Experiment with an Internal Target",91 93,
mopea014,"P. Ungelenk, H. Huck, M. Huck, M. Höner, S. Khan, R. Molo, A. Schick [DELTA, Dortmund, Germany] N. Hiller, V. Judin [KIT, Karlsruhe, Germany] ","Temporal and Spectral Observation of Laser-induced THz Radiation at DELTA",94 96,
mopea015,"S. Geyer, O. Meusel, D. Ries [IAP, Frankfurt am Main, Germany] O.K. Kester [GSI, Darmstadt, Germany] ","A Transverse Electron Target for Heavy Ion Storage Rings",97 99,
mopea016,"R. Stassen, R. Greven, R. Maier, G. Schug, H. Stockhorst [FZJ, Jülich, Germany] ","The Main Stochastic Cooling System of the HESR",100 102,
mopea017,"T. Katayama, M. Steck [GSI, Darmstadt, Germany] R. Maier, D. Prasuhn, H. Stockhorst [FZJ, Jülich, Germany] ","Electron Cooling of Heavy Ions Interacting with Internal Target at HESR of FAIR",103 105,
mopea018,"H. Stockhorst, R. Maier, D. Prasuhn, R. Stassen [FZJ, Jülich, Germany] T. Katayama [GSI, Darmstadt, Germany] ","Feasibility Study of Heavy Ion Storage and Acceleration in the HESR with Stochastic Cooling and Internal Targets",106 108,
mopea019,"A.-S. Mueller (A.-S. Müller), B.M. Balzer, C.M. Caselle, N. Hiller, M. Hofherr, K.S. Ilin, V. Judin, B. Kehrer, S. Marsching, S. Naknaimueang, M.J. Nasse, J. Raasch, A. Scheuring, M. Schuh, M. Schwarz, M. Siegel, N.J. Smale, J.L. Steinmann, P. Thoma, M. Weber, S. Wuensch [KIT, Karlsruhe, Germany] ","Studies of Bunch-bunch Interactions in the ANKA Storage Ring with Coherent Synchrotron Radiation using an Ultra-fast Terahertz Detection System",109 111,
mopea020,"P. Schönfeldt, N. Hiller, V. Judin, A.-S. Mueller (A.-S. Müller), M. Schwarz, J.L. Steinmann [KIT, Karlsruhe, Germany] ","Comparison of Different Approaches to Determine the Bursting Threshold at ANKA",112 114,
mopea021,"M.W. Bruker, K. Aulenbacher, J. Dietrich, S. Friederich, A. Hofmann, T. Weilbach [HIM, Mainz, Germany] ","Status of the HESR Electron Cooler Test Set-up",115 117,
mopea022,"T. Weilbach, K. Aulenbacher, M.W. Bruker [HIM, Mainz, Germany] ","Beam Profile Measurement for High Intensity Electron Beams",118 120,
mopea023,"E. Ahmadi, F. Saeidi [ILSF, Tehran, Iran] H. Ghasem [IPM, Tehran, Iran] ","Lattice Design for the ILSF Booster Synchrotron",121 123,
mopea024,"F. Saeidi, E. Ahmadi, H. Ghasem [ILSF, Tehran, Iran] ","Effects of Insertion Devices in the High Field Lattice Structure of ILSF Storage Ring",124 126,
mopea025,"H. Ghasem [IPM, Tehran, Iran] E. Ahmadi, F. Saeidi [ILSF, Tehran, Iran] ","Closed Orbit Correction in the High Field Lattice of ILSF Storage Ring",127 129,
mopea026,"H. Khosroabadi, S. Amiri, H. Ghasem, A. Gholampour [ILSF, Tehran, Iran] ","X-ray Powder Diffraction Beamline for the Iranian Light Source Facility",130 132,
mopea027,"Y. Shimosaki, K. Fukami, K.K. Kaneki, K. Kobayashi, M. Masaki, C. Mitsuda, T. Nakamura, T. Nakanishi, H. Ohkuma, M. Oishi, M. Shoji, K. Soutome, S. Takano, M. Takao [JASRI/SPring-8, Hyogo-ken, Japan] ","New Optics with Emittance Reduction at the SPring-8 Storage Ring",133 135,
mopea028,"K. Tsuchiya, S. Asaoka, K. Haga, K. Harada, T. Honda, Y. Honda, M. Isawa, Y. Kamiya, T. Miyajima, H. Miyauchi, S. Nagahashi, N. Nakamura, T. Nogami, T. Obina, T. Ozaki, H. Sagehashi, H. Sakai, S. Sakanaka, H. Sasaki, Y. Sato, M. Shimada, K. Shinoe, T. Shioya, M. Tadano, T. Tahara, T. Takahashi, R. Takai, Y. Tanimoto, T. Uchiyama, A. Ueda, K. Umemori, M. Yamamoto [KEK, Ibaraki, Japan] H. Takaki [ISSP/SRL, Chiba, Japan] ","Present Status of the KEK PF-Ring and PF-AR",136 138,
mopea029,"T. Konomi, M. Adachi, K. Hayashi, J. Yamazaki [UVSOR, Okazaki, Japan] M. Katoh [Sokendai - Okazaki, Okazaki, Aichi, Japan] ","Status of UVSOR III",139 141,
mopea030,"N. Yamamoto [Nagoya University, Nagoya, Japan] T. Konomi [UVSOR, Okazaki, Japan] ","Status of UVSOR-III",142 144,
mopea031,"T. Yorita, M. Fukuda, K. Hatanaka, K. Kamakura, S. Morinobu, A. Tamii, Y. Yasuda [RCNP, Osaka, Japan] ","Study of Extraction and Transport of Intense Highly Charged Ions for 18GHz SC-ECRIS at RCNP",145 147,
mopea032,"H. Shidara, J. Knaster [IFMIF/EVEDA, Rokkasho, Japan] D. Bogard, N. Chauvin, P. Girardot, R. Gobin, F. Harrault, D. Loiseau, P.A.P. Nghiem, A. Roger, F. Senee (F. Senée) [CEA/DSM/IRFU, France] L. Semeraro [F4E, Barcelona, Spain] ","Installation Status of Deuteron Injector of IFMIF Prototype Accelerator in Japan",148 150,
mopea033,"F. Hinode, H. Hama, S. Kashiwagi, T. Muto, I. Nagasawa, K. Nanbu, Y. Shibasaki, K. Takahashi [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] ","Status of Upgrade Project of the 1.2 GeV Booster Synchrotron at Tohoku University",151 153,
mopea036,"Y. Li, Y.W. An, Z.P. Li, W.B. Liu, S. Wang [IHEP, Beijing, People's Republic of China] ","Transport Line Orbit Correction for CSNS/RTBT",154 156,
mopea037,"N. Wang, S. Wang [IHEP, Beijing, People's Republic of China] ","Theoretical Study on the Two-stage Collimation System Design",157 159,
mopea038,"S. Huang, J.E. Chen, S. Chen, K.X. Liu, S.W. Quan, Zh.W. Wang, X.D. Wen, F. Zhu [PKU, Beijing, People's Republic of China] ","Coherent Wiggler Radiation of Picosecond CW Electron Beam Produced by DC-SRF Photoinjector",160 162,
mopea039,"Y.R. Lu, J. Chen, J.E. Chen, S.L. Gao, Z.Y. Guo, F.J. Jia, G. Liu, S.X. Peng, H.T. Ren, W.L. Xia, X.Q. Yan, K. Zhu [PKU, Beijing, People's Republic of China] S.Q. Liu, S. Wang, J. Zhao, B.Y. Zou [State Key Laboratory of Nuclear Physics and Technology, Beijing, Haidian District, People's Republic of China] ","Beam Commissioning and Neutron Radiography on a High Current Deuteron RFQ",163 165,
mopea040,"K. Zhou, X.Y. Lu, X. Luo, S.W. Quan, L. Yang, Z.Y. Yao [PKU, Beijing, People's Republic of China] ","Study of Geometry Dependent Multipacting of a Superconducting QWR",166 168,
mopea042,"X.J. Hu, H. Jia, Y.J. Yuan, X.H. Zhang [IMP, Lanzhou, People's Republic of China] ","Research on the Design and Simulation of the CSRE Stochastic Cooling System",169 171,
mopea043,"B.C. Jiang, M.Z. Zhang, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] G.X. Xia [UMAN, Manchester, United Kingdom] ","Transverse Instabilities of Two Twisted Beams in a Storage Ring",172 174,
mopea044,"J.J. Lu, P. Fei, G. Wang, X. Xia, J.Q. Xu, X.J. Xu [SINAP, Shanghai, People's Republic of China] ","Maintenance Experience for Personnel Safety System at SSRF",175 177,
mopea045,"Z.T. Zhao, B.C. Jiang, Y.B. Leng, S.Q. Tian, L. Yin, W.Z. Zhang [SINAP, Shanghai, People's Republic of China] ","Performance Optimization and Upgrade of the SSRF Storage Ring",178 180,
mopea046,"A.I. Wawrzyniak, C.J. Bocchetta, P.B. Borowiec, D. Einfeld, P.P. Goryl, M. Mlynarczyk (M. Młynarczyk), M.P. Nowak, W. Soroka, M.J. Stankiewicz, P. Szostak, P.S. Tracz, Ł. Walczak (Ł. Walczak), K. Wawrzyniak, J.J. Wiechecki, M. Zajac (M. Zając), L. Zytniak (Ł. Żytniak) [Solaris, Krakow, Poland] R. Nietubyc (R. Nietubyć) [NCBJ, Swierk/Otwock, Poland] ","Solaris Project Progress",181 183,
mopea047,"A.I. Wawrzyniak, C.J. Bocchetta, D. Einfeld [Solaris, Krakow, Poland] R. Nietubyc (R. Nietubyć) [NCBJ, Swierk/Otwock, Poland] ","Ramping of the Solaris Storage Ring Achromat",184 186,
mopea048,"M.-H. Chun, J.Y. Huang, Y.D. Joo, H.-G. Kim, S.H. Nam, C.D. Park, H.J. Park, I.S. Park, Y.U. Sohn, I.H. Yu [PAL, Pohang, Kyungbuk, Republic of Korea] ","Operation Status of RF System for the PLS-II Storage Ring",187 189,
mopea049,"S.H. Nam, M.-H. Cho, J.Y. Huang, C.D. Park, S. Shin [PAL, Pohang, Kyungbuk, Republic of Korea] ","The First Experience of PLS-II Operation",190 192,
mopea051,"S.I. Tomin, V. Korchuganov [NRC, Moscow, Russia] ","Insertion Devices Influence on the Beam Dynamics at Siberia-2 Storage Ring",193 195,
