fr101,"T. Inagaki, RIKEN/SPring-8, Hyogo","8-GeV C-Band Accelerator Construction for XFEL/SPring-8",1090 1094,
fr102,"H. Loos, R. Akre, A. Brachmann, F.-J. Decker, Y.T. Ding, D. Dowell, P. Emma, J.C. Frisch, A. Gilevich, G.R. Hays, P. Hering, Z. Huang, R.H. Iverson, C. Limborg-Deprey, A. Miahnahri, S. Molloy, H.-D. Nuhn, SLAC, Menlo Park, California; D.F. Ratner, Stanford University, Stanford, Califormia; J.L. Turner, J.J. Welch, W.E. White, J. Wu, SLAC, Menlo Park, California","Commissioning of the LCLS Linac",1095 1099,
fr103,"K. Honkavaara, DESY, Hamburg","Operation of FLASH as an FEL User Facility",1100 1104,
fr104,"H. Tomizawa, H. Dewa, H. Hanaki, A. Mizuno, T. Taniuchi, JASRI/SPring-8, Hyogo-ken","Review of Advanced Laser Technologies for Photocathode High-Brightness Guns",1105 1109,
fr105,"J. Qiang, R.D. Ryne, M. Venturini, A. Zholents, LBNL, Berkeley, California","Billion Particle Linac Simulations for Future Light Sources",1110 1113,
fr201,"A. Mosnier, CEA, Gif-sur-Yvette","The IFMIF 5 MW Linacs",1114 1118,
fr202,"S.A. Bogacz, JLAB, Newport News, Virginia; R.P. Johnson, Muons, Inc, Batavia","Linacs for Future Muon Facilities",1119 1123,
fr203,"W.G. Stirling, ESRF, Grenoble","Neutrons and Photons: Probes of Condensed Matter",1124 1124,
fr204,"N.S. Lockyer, TRIUMF, Vancouver","The Higgs Boson Holy Grail of Particle Physics",1125 1128,
mo101,"M. Marchetto, TRIUMF, Vancouver","ISAC-II Operation and Future Plans",99 98,
mo102,"R. Brinkmann, DESY, Hamburg","The European XFEL SC Linac Project",6 10,
mo103,"S.-H. Kim, ORNL, Oak Ridge, Tennessee","SNS Superconducting Linac Operational Experience and Upgrade Path",11 15,
mo201,"M. Ikegami, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Progress in the Beam Commissioning of J-PARC Linac and its Upgrade Path",16 20,
mo202,"S. Fu, Y. Cheng, J. Li, H.F. Ouyang, J. Peng, Z.R. Sun, X. Yin, IHEP Beijing, Beijing","Status of a High Current Linear Accelerator at CSNS",21 25,
mo203,"A. Nagler, D. Berkovits, Soreq NRC, Yavne; K. Dunkel, ACCEL, Bergisch Gladbach; I. Gertz, Soreq NRC, Yavne; F. Kremer, ACCEL, Bergisch Gladbach; I. Mardor, Soreq NRC, Yavne; M. Pekeler, C. Piel, ACCEL, Bergisch Gladbach; J. Rodnizki, L. Weissman, Soreq NRC, Yavne; P. vom Stein, ACCEL, Bergisch Gladbach","The SARAF CW 40 MeV Proton/Deuteron Accelerator",26 30,
mo204,"W. Barth, GSI, Darmstadt","The Injector Systems of the FAIR Project",31 35,
mo301,"R.C. Webber, G. Apollinari, J.-P. Carneiro, I.G. Gonin, B.M. Hanna, S. Hays, T.N. Khabiboulline, G. Lanfranco, R.L. Madrak, A. Moretti, T.H. Nicol, Fermilab, Batavia; P.N. Ostroumov, ANL, Argonne; T.M. Page, E. Peoples, H. Piekarz, L. Ristori, G.V. Romanov, C.W. Schmidt, J. Steimel, Fermilab, Batavia; W.M. Tam, IUCF, Bloomington, Indiana; I. Terechkine, R.L. Wagner, D. Wildman, Fermilab, Batavia","Overview of the High Intensity Neutrino Source Linac R&D Program at Fermilab",36 40,
mo302,"A. Schempp, IAP, Frankfurt am Main","Overview of Recent RFQ Projects",41 45,
mop001,"A. Bechtold, U. Bartz, IAP, Frankfurt am Main; G. Clemente, GSI, Darmstadt; M. Heilmann, P. Kolb, H. Liebermann, O. Meusel, D. Mäder, H. Podlech, U. Ratzinger, A. Schempp, C. Zhang, IAP, Frankfurt am Main","A Coupled RFQ-Drift Tube Combination for FRANZ",46 48,
mop002,"O. Meusel, A. Bechtold, L.P. Chau, M. Heilmann, H. Podlech, U. Ratzinger, K. Volk, C. Wiesner, IAP, Frankfurt am Main","Injector Development for High Intensity Proton Beams at Stern-Gerlach-Zentrum",49 51,
mop003,"H. Yoshikawa, JAEA, Ibaraki-ken; S.F. Fukuta, MELCO SC, Tsukuba; H. Ikeda, Visual Information Center, Inc., Ibaraki-ken; T. Ishiyama, KEK/JAEA, Ibaraki-Ken; Y.I. Itoh, Y. Kato, M. Kawase, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Sakaki, JAEA, Tokai-mura; H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S.S. Sawa, Total Saport System Corp., Naka-gun, Ibaraki; G.B. Shen, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Suzuki, JAEA, Ibaraki-ken; H. Takahashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Performance of the Control System for the J-PARC Linac",52 54,
mop004,"K. Hasegawa, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Anami, KEK, Ibaraki; H. Asano, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; E. Chishiro, JAEA, Ibaraki-ken; Z. Fang, Y. Fukui, KEK, Ibaraki; T. Hori, JAEA, Ibaraki-ken; K. Ikegami, KEK, Ibaraki; T. Ito, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Kawamura, KEK, Ibaraki; T. Kobayashi, Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; F. Naito, KEK, Ibaraki; Y. Namekawa, J-PARC, KEK & JAEA, Ibaraki-ken; K. Nanmo, KEK, Ibaraki; H. Oguri, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Ohkoshi, J-PARC, KEK & JAEA, Ibaraki-ken; H. Suzuki, JAEA, Ibaraki-ken; H. Tanaka, KEK, Ibaraki; A. Ueno, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Yamaguchi, KEK, Ibaraki; M. Yamazaki, JAEA, Ibaraki-ken","Operating Experience of the J-PARC Linac",55 57,
mop005,"Y.-S. Cho, I.-S. Hong, J.-H. Jang, D.I. Kim, H.S. Kim, H.-J. Kwon, B.-S. Park, K.T. Seol, Y.-G. Song, S.P. Yun, KAERI, Daejon","Beam Test Results of the PEFP 20 MeV Proton Accelerator at KAERI",58 60,
mop006,"V.V. Paramonov, RAS/INR, Moscow","Stability of Normal Conducting Structures Operation with High Average Heat Loading",61 63,
mop007,"M. Vretenar, C. Carli, R. Garoby, F. Gerigk, K. Hanke, A.M. Lombardi, S. Maury, C. Rossi, CERN, Geneva","Status of the LINAC4 Project at CERN",64 66,
mop008,"M. Vretenar, Y. Cuvet, G. De Michele, F. Gerigk, CERN, Geneva; E. Kenzhbulatov, A. Kryuchkov, BINP SB RAS, Novosibirsk; M.Y. Naumenko, RFNC-VNIITF, Snezhinsk, Chelyabinsk region; M. Pasini, S. Ramberger, CERN, Geneva; E. Rotov, A.G. Tribendis, BINP SB RAS, Novosibirsk; R. Wegner, CERN, Geneva","Development of a Cell-Coupled Drift Tube Linac (CCDTL) for Linac4",67 69,
mop009,"A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon; S.M.H. Al Sari, Imperial College of Science and Technology, Department of Physics, London; J. Alonso, Fundación Tekniker, Elbr (Guipuzkoa); J.J. Back, University of Warwick, Coventry; F.J. Bermejo, Bilbao, Faculty of Science and Technology, Bilbao; M.A. Clarke-Gayther, STFC/RAL/ISIS, Chilton, Didcot, Oxon; R. Enparantza, Fundación TEKNIKER, Eibar (Gipuzkoa); D.C. Faircloth, STFC/RAL, Chilton, Didcot, Oxon; D.J.S. Findlay, STFC/RAL/ISIS, Chilton, Didcot, Oxon; C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; S. Jolly, A. Kurup, Imperial College of Science and Technology, Department of Physics, London; S.R. Lawrie, STFC/RAL/ISIS, Chilton, Didcot, Oxon; D.A. Lee, Imperial College of Science and Technology, Department of Physics, London; J. Lucas, Elytt Energy, Madrid; J. Pasternak, STFC/RAL, Chilton, Didcot, Oxon; D.C. Plostinar, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; J.K. Pozimski, STFC/RAL, Chilton, Didcot, Oxon; P. Romano, STFC/RAL/ISIS, Chilton, Didcot, Oxon; P. Savage, Imperial College of Science and Technology, Department of Physics, London; P. Wise, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Status of the RAL Front End Test Stand",70 72,
mop010,"R.L. Madrak, Fermilab, Batavia; A.K.L. Dymokde-Bradshaw, J.D. Hares, P.A. Kellett, Kentech Instruments Ltd., Wallingford, Oxfordshire; D. Wildman, Fermilab, Batavia","A Fast Chopper for the Fermilab High Intensity Neutrino Source (HINS)",73 75,
mop011,"M. Popovic, C.M. Ankenbrandt, Fermilab, Batavia; R.A. Baartman, TRIUMF, Vancouver; I.B. Enchevich, R.P. Johnson, Muons, Inc, Batavia; A. Moretti, S. Nagaitsev, Fermilab, Batavia; M.L. Neubauer, Muons, Inc, Batavia; T.J. Peterson, Fermilab, Batavia; R.A. Rimmer, JLAB, Newport News, Virginia; G.V. Romanov, N. Solyak, V.P. Yakovlev, K. Yonehara, Fermilab, Batavia","An 8 GeV CW Linac With High Potential Beam Power",76 78,
mop012,"W.M. Tam, G. Apollinari, T.N. Khabiboulline, R.L. Madrak, A. Moretti, L. Ristori, G.V. Romanov, J. Steimel, Fermilab, Batavia; W.M. Tam, IUCF, Bloomington, Indiana; R.C. Webber, D. Wildman, Fermilab, Batavia","High Power Test of Room Temperature Spoke Cavities for HINS at Fermilab",79 81,
mop013,"I. Terechkine, G. Apollinari, J. DiMarco, Y. Huang, D.F. Orris, T.M. Page, R. Rabehl, M.A. Tartaglia, J.C. Tompkins, Fermilab, Batavia","Focusing Solenoids for the HINS Linac Front End",82 84,
