fr1a01,"F. Marti [FRIB, East Lansing, Michigan, USA] ","Heavy Ion Strippers",1050 1054,
fr1a02,"R. Gobin [CEA/IRFU, Gif-sur-Yvette, France] N. Chauvin, O. Delferriere (O. Delferrière), O. Tuske, D. Uriot [CEA/DSM/IRFU, France] ","Light Ion ECR Sources State of the Art for Linacs",1055 1058,
fr1a04,"M. Marchetto, F. Ames, B. Davids, R.E. Laxdal, A.C. Morton [TRIUMF, Vancouver, Canada] ","In Flight Ion Separation using a Linac Chain",1059 1063,
fr1a05,"P.N. Ostroumov, Z.A. Conway, M.P. Kelly, A. Kolomiets, S.V. Kutsaev, B. Mustapha [ANL, Argonne, USA] J. Rodnizki [Soreq NRC, Yavne, Israel] ","SARAF Phase II P/D 40 MeV Linac Design Studies",1064 1068,
fr2a01,"K. Hasegawa [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Recovery of the J-PARC Linac from the Earthquake",1069 1073,
mo1a01,"D. Berkovits, A. Arenshtam, Y. Ben Aliz, Y. Buzaglo, O. Dudovich, Y. Eisen, I. Eliyahu, G. Feinberg, I. Fishman, I. Gavish, I.G. Gertz, A. Grin, S. Halfon, D. Har-Even, Y.F. Haruvy, T. Hirsch, D. Hirschmann, Z. Horvitz, B. Kaizer, D. Kijel, A. Kreisel, G. Lempert, J. Luner, I. Mardor, A. Perry, E. Reinfeld, J. Rodnizki, G. Shimel, A. Shor, I. Silverman, L. Weissman, E. Zemach [Soreq NRC, Yavne, Israel] ","Operational Experience and Future Goals of the SARAF Linac at SOREQ",100 104,
mo1a02,"W. Decking [DESY, Hamburg, Germany] ","Status of the European XFEL – Constructing the 17.5 GeV Superconducting Linear Accelerator",105 109,
mo1a03,"V.P. Yakovlev, C.M. Ginsburg [Fermilab, Batavia, USA] ","SRF Linac Technology Development at Fermilab",110 114,
mo2a02,"J. Galambos, A.V. Aleksandrov, M.A. Plum, A.P. Shishlo [ORNL, Oak Ridge, Tennessee, USA] E. Laface [ESS, Lund, Sweden] V.A. Lebedev [Fermilab, Batavia, USA] ","Increased Understanding of Beam Losses from the SNS Linac Proton Experiment",115 119,
mo3a01,"G. Clemente, W.A. Barth, L. Groening, S. Mickat, B. Schlitt, W. Vinzenz [GSI, Darmstadt, Germany] R. M. Brodhage, M. Busch, F.D. Dziuba, H. Podlech, U. Ratzinger [IAP, Frankfurt am Main, Germany] ","Development of H-mode Linacs for the FAIR Project",120 124,
mo3a02,"N. Sakamoto, M. Fujimaki, H. Hasebe, Y. Higurashi, O. Kamigaito, H. Okuno, K. Suda, T. Watanabe, K. Yamada [RIKEN Nishina Center, Wako, Japan] R. Koyama [SHI Accelerator Service Ltd., Tokyo, Japan] ","Commissioning of a New Injector for the RIKEN RI-Beam Factory",125 129,
mo3a03,"O. Meusel, L.P. Chau, M. Heilmann, H. Podlech, U. Ratzinger, K. Volk, C. Wiesner [IAP, Frankfurt am Main, Germany] ","FRANZ – Accelerator Test Bench and Neutron Source",130 132,
mo3a04,"M. Kitaguchi [Kyoto University, Research Reactor Institute, Osaka, Japan] Y. Arimoto, H.M. Shimizu [KEK, Ibaraki, Japan] P.W. Geltenbort [ILL, Grenoble, France] S. Imajo [Kyoto University, Kyoto, Japan] Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] Y. Seki [RIKEN Nishina Center, Wako, Japan] T. Yoshioka [Kyushu University, Fukuoka, Japan] ","Accelerator/Decelerator of Slow Neutrons",133 137,
mopb001,"F.-J. Decker, W.S. Colocho, N. Lipkowitz, Y. Nosochkov, J. Sheppard, H. Smith, Y. Sun, M.-H. Wang, G.R. White, U. Wienands, M. Woodley, G. Yocky [SLAC, Menlo Park, California, USA] ","Emittance Control for Different FACET Beam Setups in the SLAC Linac",174 176,
mopb002,"T. Kamitani, M. Akemoto, D.A. Arakawa, Y. Arakida, A. Enomoto, S. Fukuda, K. Furukawa, Y. Higashi, T. Higo, H. Honma, N. Iida, M. Ikeda, E. Kadokura, K. Kakihara, H. Katagiri, M. Kurashina, S. Matsumoto, T. Matsumoto, H. Matsushita, S. Michizono, K. Mikawa, T. Miura, F. Miyahara, T. Mori, K. Nakao, T. Natsui, Y. Ogawa, S. Ohsawa, T. Shidara, A. Shirakawa, H. Sugimoto, T. Suwada, T. Takatomi, T. Takenaka, Y. Yano, K. Yokoyama, M. Yoshida, L. Zang, X. Zhou [KEK, Ibaraki, Japan] D. Satoh [TIT, Tokyo, Japan] ","Positron Injector Linac Upgrade for SuperKEKB",177 179,
mopb003,"B. Constance, R. Corsini, D. Gamba, P.K. Skowronski (P. Skowroński) [CERN, Geneva, Switzerland] ","Recent Improvements to the Control of the CTF3 High-Current Drive Beam",180 182,
mopb004,"G. Burt, T.N. Abram, P.K. Ambattu, C. Lingwood [Cockcroft Institute, Lancaster University, Lancaster, United Kingdom] I. Burrows, T. Hartnett, J.P. Hindley, C.J. White [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] P.A. Corlett, A.R. Goulden, P.A. McIntosh, K.J. Middleman, Y.M. Saveliev, R.J. Smith [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","Design and Operation of a Compact 1 MeV X-band Linac",183 185,
mopb005,"T. Inagaki, C. Kondo, Y. Otake, T. Sakurai [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","High Gradient Operation of 8 GeV C-Band Accelerator in SACLA",186 188,
mopb007,"D. Huang, Q. Gu, M. Zhang [SINAP, Shanghai, People's Republic of China] ","Study of Microbunching Instabilitity in the Linac of the Shanghai Soft X-Ray Free Electron Laser Facility",189 191,
