frioa06,"E. Gschwendtner [CERN, Geneva, Switzerland] ","AWAKE: Advanced Proton Driven Plasma Wakefield Acceleration Experiment at CERN",1196 1201,
friob01,"Y. Socol [Falcon Analytics, Netanya, Israel] ","Positive Trends in Radiation Risk Assessment and Consequent Opportunities for Linac Applications",1202 1206,
friob02,"A. Degiovanni, U. Amaldi [TERA, Novara, Italy] A. Degiovanni [CERN, Geneva, Switzerland] ","Proton and Carbon Linacs for Hadron Therapy",1207 1212,
friob03,"J.-P. Revol [iThEC, Geneva, Switzerland] ","Prospects for Accelerator-Driven Thorium Systems",1213 1218,
moioa01,"S. Stapnes [CERN, Geneva, Switzerland] ","Linear Collider Studies",99 98,
moioa02,"A.M. Lombardi [CERN, Geneva, Switzerland] ","Commissioning of the Low-Energy Part of Linac4",6 10,
moiob01,"M. Spata [JLab, Newport News, Virginia, USA] ","Early Commissioning Experience and Future Plans for the 12 GeV Continuous Electron Beam Accelerator Facility",11 15,
moiob02,"C. Vaccarezza, D. Alesini, M. Bellaveglia, R. Boni, E. Chiadroni, G. Di Pirro, M. Ferrario, A. Gallo, G. Gatti, A. Ghigo, B. Spataro, P. Tomassini [INFN/LNF, Frascati (Roma), Italy] A. Bacci, D.T. Palmer, V. Petrillo, A.R. Rossi, L. Serafini [Istituto Nazionale di Fisica Nucleare, Milano, Italy] A. Cianchi [Università di Roma II Tor Vergata, Roma, Italy] I.V. Drebot [Universita' degli Studi di Milano e INFN, Milano, Italy] A. Giribono, A. Mostacci, L. Palumbo [Rome University La Sapienza, Roma, Italy] C. Ronsivalle [ENEA C.R. Frascati, Frascati (Roma), Italy] ","Optimizing RF Linacs as Drivers for Inverse Compton Sources: the ELI-NP Case",16 20,
moiob03,"M. Yoshida, N. Iida, S. Kazama, T. Natsui, Y. Ogawa, S. Ohsawa, L. Zang, X. Zhou [KEK, Ibaraki, Japan] ","Generation and Acceleration of Low-Emittance, High-Current Electron Beams for SuperKEKB",21 25,
moiob04,"I.S. Ko, J.H. Han [PAL, Pohang, Kyungbuk, Republic of Korea] ","Current Status of PAL-XFEL",26 30,
moioc01,"R.E. Laxdal, F. Ames, R.A. Baartman, I.V. Bylinskii, Y.-C. Chao, D. Dale, K. Fong, E.R. Guetre, P. Kolb, S.R. Koscielniak, A. Koveshnikov, M.P. Laverty, Y. Ma, M. Marchetto, L. Merminga, A.K. Mitra, N. Muller, R.R. Nagimov, T. Planche, W.R. Rawnsley, V.A. Verzilov, Z.Y. Yao, Q. Zheng, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Status of Superconducting Electron Linac Driver for Rare Ion Beam Production at TRIUMF",31 35,
