froan1,"S. Peggs, H. Danared, M. Eshraqi, H. Hahn, A. Jansson, M. Lindroos, A. Ponton, K. Rathsman, G. Trahern [ESS, Lund, Sweden] S. Bousson [IPN, Orsay, France] R. Calaga [BNL, Upton, Long Island, New York, USA] G. Devanz, R.D. Duperrier [CEA/DSM/IRFU, France] J. Eguia [Fundación TEKNIKER, Eibar (Gipuzkoa), Spain] S. Gammino [INFN/LNS, Catania, Italy] S.P. Møller [ISA, Aarhus, Denmark] C. Oyon [SPRI, Bilbao, Spain] R.J.M.Y. Ruber [Uppsala University, Uppsala, Sweden] T. Satogata [JLAB, Newport News, Virginia, USA] ","The European Spallation Source",2549 2551,
froan2,"D. Leitner [NSCL, East Lansing, Michigan, USA] M. Couder, M. Wiescher [Notre Dame University, Notre Dame, Iowa, USA] A. Hodgkinson, A. Lemut, J.S. Saba [LBNL, Berkeley, California, USA] M. Leitner [FRIB, East Lansing, Michigan, USA] ","DIANA, a Next Generation Deep Underground Accelerator Facility",2552 2554,
froan3,"A. Zelenski, G. Atoian, J. Ritter, D. Steski, V. Zubets [BNL, Upton, Long Island, New York, USA] V.I. Davydenko, A.V. Ivanov, V.V. Kolmogorov [BINP SB RAS, Novosibirsk, Russia] ","High-Intensity, High-Brightness Polarized and Unpolarized Beam Production in Charge- Exchange Collisions",2555 2557,
froan4,"J. Yang, K. Kan, Y. Murooka, N. Naruse, K. Tanimura, Y. Yoshida [ISIR, Osaka, Japan] J. Urakawa [KEK, Ibaraki, Japan] ","Femtosecond RF Gun Based MeV Electron Diffraction",2558 2560,
frobn2,"R.C. York, G. Machicoane [NSCL, East Lansing, Michigan, USA] S. Assadi, G. Bollen, T . Glasmacher, W. Hartung, M.J. Johnson, F. Marti, E. Pozdeyev, M.J. Syphers, E. Tanke, J. Wei, X. Wu, Q. Zhao [FRIB, East Lansing, Michigan, USA] ","Technical Challenges in Design and Construction of FRIB",2561 2565,
frobn3,"S. Nagaitsev [Fermilab, Batavia, USA] ","Project X - New Multi Megawatt Proton Source at Fermilab",2566 2569,
frobn4,"M. Marchetto [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Commissioning of the 20MV Superconducting Linac Upgrade at TRIUMF",2570 2574,
frobs1,"A. Hutton, A. Carpenter [JLAB, Newport News, Virginia, USA] ","World-wide Experience with SRF Facilities",2575 2579,
frobs3,"M. Liepe, G.H. Hoffstaetter, S. Posen, J. Sears, V.D. Shemelin, M. Tigner, N.R.A. Valles, V. Veshcherevich [CLASSE, Ithaca, New York, USA] ","Progress on Superconducting RF for the Cornell Energy-Recovery-Linac",2580 2582,
frobs4,"J. Rose, W.K. Gash, B. Holub, Y. Kawashima, H. Ma, N.A. Towne, M. Yeddulla [BNL, Upton, Long Island, New York, USA] ","NSLS-II RF Systems",2583 2585,
frobs5,"C.M. Ginsburg, T.T. Arkan, S. Barbanotti, H. Carter, M.S. Champion, L.D. Cooley, C.A. Cooper, M.H. Foley, M. Ge, C.J. Grimm, E.R. Harms, A. Hocker, R.D. Kephart, T.N. Khabiboulline, J.R. Leibfritz, A. Lunin, J.P. Ozelis, Y.M. Pischalnikov, A.M. Rowe, W. Schappert, D.A. Sergatskov, A.I. Sukhanov, G. Wu [Fermilab, Batavia, USA] ","1.3 GHz Superconducting RF Cavity Program at Fermilab",2586 2588,
frobs6,"W. Xu, I. Ben-Zvi, R. Calaga, H. Hahn, E.C. Johnson, J. Kewisch [BNL, Upton, Long Island, New York, USA] ","High Current SRF Cavity Design for SPL and eRHIC",2589 2591,
