fco106,"T. L. Larrieu, M.E. Joyce, M. Keesee, C.J. Slominski, D.L. Turner [JLab, Newport News, Virginia, USA] ","The Role of the CEBAF Element Database in Commissioning the 12 GeV Accelerator Upgrade",158 160,
fco201,"R. Bacher [DESY, Hamburg, Germany] ","Renovating and Upgrading the Web2cToolkit Suite: A Status Report",231 233,
fco202,"V. Mauch, M. Bonn, S.A. Chilingaryan, A. Kopmann, W. Mexner, D. Ressmann [KIT, Karlsruhe, Germany] ","OpenGL-Based Data Analysis in Virtualized Self-Service Environments",234 236,
fco203,"I. Kriznar (I. Križnar) [Cosylab, Ljubljana, Slovenia] E. Hertle, E. Huttel, W. Mexner, A.-S. Mueller (A.-S. Müller), N.J. Smale [KIT, Eggenstein-Leopoldshafen, Germany] S. Marsching [Aquenos GmbH, Baden-Baden, Germany] ","Making it all Work for Operators",237 239,
fco204,"R. Girardot, A. Buteau, M. Ounsy, K.S. Saintin, G. Viguier [SOLEIL, Gif-sur-Yvette, France] ","How the COMETE Framework Enables the Development of GUI Applications Connected to Multiple Data Sources",240 242,
fco206,"S. Rubio-Manrique, F. Becheri, G. Cuni (G. Cuní), D. Fernandez-Carreiras, C. Pascual-Izarra, Z. Reszela [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","PANIC, a Suite for Visualization, Logging and Notification of Incidents",243 245,
fpo001,"T. Dritschler, S.A. Chilingaryan, T. Farago (T. Faragó), A. Kopmann, M. Vogelgesang [KIT, Eggenstein-Leopoldshafen, Germany] ","InfiniBand interconnects for high-throughput data acquisition in a TANGO environment",161 163,
fpo002,"C.M. Caselle, B.M. Balzer, M. Brosi, S.A. Chilingaryan, T. Dritschler, V. Judin, A. Kopmann, A.-S. Mueller (A.-S. Müller), L. Petzold, J. Raasch, L. Rota, M. Siegel, N.J. Smale, J.L. Steinmann, M. Vogelgesang, M. Weber, S. Wuensch [KIT, Eggenstein-Leopoldshafen, Germany] ","Picosecond Sampling Electronics for Terahertz Synchrotron Radiation",164 166,
fpo006,"N. Kamikubota, N. Yamamoto [KEK, Ibaraki, Japan] T. Iitsuka, S.Y. Yoshida [Kanto Information Service (KIS), Accelerator Group, Ibaraki, Japan] ","Integration of Independent Radiation Monitoring System with Main Accelerator Control",167 169,
fpo008,"G. Liu, C. Li, J.G. Wang, K. Xuan [USTC/NSRL, Hefei, Anhui, People's Republic of China] K. Yang, K. Zheng [National Instruments China, Shanghai, People's Republic of China] ","LabVIEW PCAS Interface for NI CompactRIO",170 172,
fpo009,"J.G. Wang, C. Li, G. Liu, K. Xuan [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","HLS Power Supply Control System Based on Virtual Machine",173 175,
fpo010,"S.S. Serednyakov [BINP SB RAS, Novosibirsk, Russia] ","The Software Tools and Capabilities of Diagnostic System for Stability of Magnet Power Supplies at Novosibirsk Free Electron Laser",176 178,
fpo011,"S. Rubio-Manrique, G. Cuni (G. Cuní), D. Fernandez-Carreiras, Z. Reszela, A. Rubio [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","PyPLC, a Versatile PLC-to-PC Python Interface",179 181,
fpo012,"J.T.G. Wilson [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] ","A Real-Time Data Logger for the MICE Superconducting Magnets",182 184,
fpo013,"Y.B. Yan, Y.B. Leng [SINAP, Shanghai, People's Republic of China] Z.C. Chen, H.L. Geng, L.W. Lai [SSRF, Shanghai, People's Republic of China] ","Beam Data Logging System Base on NoSQL Database at SSRF",185 187,
fpo014,"M. Montis, S. Fantinel, M.G. Giacchini [INFN/LNL, Legnaro (PD), Italy] M.A. Bellato [INFN- Sez. di Padova, Padova, Italy] ","New Data Archive System for SPES Project Based on EPICS RDB Archiver with PostgreSQL Backend",188 190,
fpo015,"P.A. Maslov, M. Komel, K. Zagar (K. Žagar) [Cosylab, Ljubljana, Slovenia] ","Device Control Database Tool (DCDB)",191 192,
fpo016,"N. Kikuzawa, Y. Kato, A. Yoshii [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] H. Ikeda, N. Ouchi [JAEA, Ibaraki-ken, Japan] ","Status of Operation Data Archiving System Using Hadoop/HBase for J-PARC",193 195,
fpo017,"S. Rauch, R. Baer (R. Bär), M. Thieme [GSI, Darmstadt, Germany] ","Managing Multiple Function Generators for FAIR",196 197,
fpo018,"K. Cerff, D. Haas, J. Jakel, M. Schmitt [KIT, Eggenstein-Leopoldshafen, Germany] ","Setup and Diagnostics of Motion Control at ANKA Beamlines",198 200,
fpo019,"K. Nishiyama [Japan Atomic Energy Agency (JAEA), International Fusion Energy Research Center (IFERC), Rokkasho, Kamikita, Aomori, Japan] R. Gobin [CEA/IRFU, Gif-sur-Yvette, France] J. Knaster, A. Marqueta Barbero, Y. Okumura [IFMIF/EVEDA, Rokkasho, Japan] T. Kojima, T. Narita, H. Sakaki, H. Takahashi [JAEA, Aomori, Japan] ","FPGA Utilization in the Accelerator Interlock System (About the MPS Development in the LIPAc)",201 203,
fpo022,"M. Kreider, J. Davies, V. Grout [Glyndŵr University, Wrexham, United Kingdom] R. Baer (R. Bär), D.H. Beck, M. Kreider, W.W. Terpstra [GSI, Darmstadt, Germany] ","New developments on the FAIR Data Master",204 206,
fpo024,"J.N. Bai [IAP, Frankfurt am Main, Germany] R. Baer (R. Bär), D.H. Beck, T. Ferrand, M. Kreider, D. Ondreka, C. Prados, S. Rauch, W.W. Terpstra, M. Zweig [GSI, Darmstadt, Germany] ","First Idea on Bunch to Bucket Transfer for FAIR",207 209,
fpo026,"D. Haas, S.A. Chilingaryan, A. Kopmann, W. Mexner, D. Ressmann [KIT, Eggenstein-Leopoldshafen, Germany] ","ADEI and Tango Archiving System – A Convenient Way to Archive and Represent Data",210 212,
fpo028,"N. Suradet, Ch. Dhammatong, S. Klinkhieo, P. Klysubun, C.P. Preecha [SLRI, Nakhon Ratchasima, Thailand] ","Web Based Machine Status Display for the Siam Photon Source",213 215,
fpo029,"S. Aytac [DESY, Hamburg, Germany] ","Redesign of Alarm Monitoring System Application "BeamlineAlarminfoClient" at DESY",216 218,
fpo030,"Y.-S. Cheng, J. Chen, P.C. Chiu, K.T. Hsu, C.H. Huang, C.H. Kuo, C.Y. Liao, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Control System Software Environment and Integration for the TPS",219 221,
fpo031,"G.K. Sahoo, P.K. Bartkiewicz, A. Kling, B. Pawlowski [DESY, Hamburg, Germany] ","Power Supplies Transient Recorders for Post-Mortem Analysis of BPM Orbit Dumps at Petra-III",222 224,
fpo032,"C.Y. Liao, Y.-S. Cheng, K.T. Hsu, K.H. Hu, C.H. Kuo, D. Lee, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","TPS Screen Monitor User Control Interface",225 227,
fpo034,"A. Vondrous, T. Jejkal, W. Mexner, D. Ressmann, R. Stotzka [KIT, Eggenstein-Leopoldshafen, Germany] ","Beamline Data Management at the Synchrotron ANKA",228 230,
tco101,"R. Mueller (R. Müller), J. Fitzek, H.C. Hüther [GSI, Darmstadt, Germany] G. Kruk [CERN, Geneva, Switzerland] ","Benefits, Drawbacks and Challenges During a Collaborative Development of a Settings Management System for CERN and GSI",126 128,
tco102,"B.S.K. Srivastava, R.K. Agrawal [RRCAT, Indore (M.P.), India] P. Fatnani [Raja Ramanna Centre For Advanced Technology, Indore, India] ","Eplanner Software for Machine Activities Management",129 131,
tco103,"M. Plesko (M. Pleško), F. Amand [Cosylab, Ljubljana, Slovenia] ","Recent Highlights from Cosylab",132 134,
tco201,"R. Baer (R. Bär), F. Ameil [GSI, Darmstadt, Germany] ","Managing the FAIR Control System Development",135 137,
tco202,"P. Fatnani, A. Bansal [Raja Ramanna Centre For Advanced Technology, Indore, India] R.K. Agrawal, K.G. Barpande, A. Chauhan, S. Gangopadhyay, P. Gothwal, A.M. Gupta, M. Janardhan, B.N. Merh, R. Mishra, C.P. Navathe, K. Saifee, M. Seema, Y.M. Sheth, B.S.K. Srivastava, R. Yadav [RRCAT, Indore (M.P.), India] ","Status of Indus-2 Control System",138 140,
tco205,"R. Tanaka, T. Matsushita, T. Sugimoto, R. Tanaka [JASRI/SPring-8, Hyogo-ken, Japan] T. Fukui [RIKEN SPring-8 Center, Innovative Light Sources Division, Hyogo, Japan] ","Conceptual Design of the Control System for SPring-8-II",141 143,
tco207,"P. Duval, H. Wu [DESY, Hamburg, Germany] J. Bobnar [Cosylab, Ljubljana, Slovenia] ","Common Device Interface 2.0",144 146,
tco301,"W.W. Terpstra, D.H. Beck, M. Kreider [GSI, Darmstadt, Germany] ","Inexpensive Scheduling in FPGAs",147 149,
tco303,"P.A. Maslov, K.A. Meyer, K. Zagar (K. Žagar) [Cosylab, Ljubljana, Slovenia] ","TestBed - Automated Hardware-in-the-Loop Test Framework",150 151,
tco304,"M. Kreider [Glyndŵr University, Wrexham, United Kingdom] R. Baer (R. Bär), D.H. Beck, A. Hahn, M. Kreider, C. Prados, S. Rauch, W.W. Terpstra, M. Zweig [GSI, Darmstadt, Germany] J.N. Bai [IAP, Frankfurt am Main, Germany] ","Launching the FAIR Timing System with CRYRING",152 154,
tco305,"C.E. Peters, M.A. Power [ANL, Argonne, Illinois, USA] ","TCP/IP Control System Interface Development Using Microchip* Brand Microcontrollers",155 157,
wco101,"M. Killenberg, L.M. Petrosyan, Ch. Schmidt [DESY, Hamburg, Germany] T. Kozak, P. Predki (P. Prędki), J. Wychowaniak [TUL-DMCS, Lodz, Poland] S. Marsching [Aquenos GmbH, Baden-Baden, Germany] M. Mehle, T. Sunik, K. Zagar (K. Žagar) [Cosylab, Ljubljana, Slovenia] A. Piotrowski [FastLogic Sp. z o.o., Lodz, Poland] ","Drivers and Software for MicroTCA.4",99 98,
wco102,"V. Rapp [GSI, Darmstadt, Germany] W. Sliwinski [CERN, Geneva, Switzerland] ","Controls Middleware for FAIR",4 6,
wco103,"C. Scafuri, S. Cleva [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Integration of New Power Supply Controllers in the Existing Elettra Control System",7 9,
wco201,"S.A. Chilingaryan, C.M. Caselle, T. Dritschler, T. Farago (T. Faragó), A. Kopmann, U. Stevanovic, M. Vogelgesang [KIT, Eggenstein-Leopoldshafen, Germany] ","Computing Infrastructure for Online Monitoring and Control of High-throughput DAQ Electronics",10 12,
wco202,"D. Ressmann, A. Kopmann, V. Mauch, W. Mexner, A. Vondrous [KIT, Eggenstein-Leopoldshafen, Germany] ","Data Management at the Synchrotron Radiation Facility ANKA",13 15,
wco203,"M.R. Clausen, T. Boeckmann, J. Hatje, O. Korth, J. Penning, H.R. Rickens, B. Schoeneburg [DESY, Hamburg, Germany] ","Profibus in Process Controls",16 18,
wco204,"M. Ishii, M. Kago [JASRI/SPring-8, Hyogo-ken, Japan] T. Fukui [RIKEN SPring-8 Center, Innovative Light Sources Division, Hyogo, Japan] T. Maruyama [RIKEN/SPring-8, Hyogo, Japan] T. Ohshima [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] M. Yoshioka [SES, Hyogo-pref., Japan] ","A Prototype Data Acquisition System of Abnormal RF Waveform at SACLA",19 21,
wco205,"K. Okada, T. Abe, Y. Furukawa, T. Hatsui, Y. Joti, T.K. Kameshima, T. Matsumoto, T. Sugimoto, R. Tanaka, M. Yamaga [JASRI/SPring-8, Hyogo-ken, Japan] M. Yabashi [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Upgrade of SACLA DAQ System Adapts to Multi-Beamline Operation",22 24,
wco206,"Z. Reszela, G. Cuni (G. Cuní), C.M. Falcón Torres, D. Fernandez-Carreiras, G. Jover-Mañas, J. Klora, C. Pascual-Izarra, M. Rosanes Siscart [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] T.M. Coutinho [ESRF, Grenoble, France] ","Sardana – A Python Based Software Package for Building Scientific Scada Applications",25 27,
wco207,"M. Musardo, D.A. Harder, P. He, C.A. Kitegi, T. Tanabe [BNL, Upton, New York, USA] ","A New Data Acquisition Software and Analysis for Accurate Magnetic Field Integral Measurement at BNL Insertion Devices Laboratory",28 30,
wpo001,"R. Tanner, S. Hu, G. Wright [CLS, Saskatoon, Saskatchewan, Canada] E. D. Matias [Mighty Oaks, Victoria, BC, Canada] ","Integrating Siemens PLCs and EPICS over Ethernet at the Canadian Light Source",31 33,
wpo003,"D. Proft, F. Frommberger, W. Hillert [ELSA, Bonn, Germany] ","Setup of a History Storage Engine Based on a Non-Relational Database at ELSA",34 36,
wpo004,"R. Baer (R. Bär), D.H. Beck, C. Betz, J. Fitzek, S. Jülicher, U. Krause, M. Thieme, R. Vincelli [GSI, Darmstadt, Germany] ","News from the FAIR Control System under Development",37 39,
wpo005,"H.C. Hüther, J. Fitzek, R. Mueller (R. Müller), D. Ondreka [GSI, Darmstadt, Germany] ","Progress and Challenges during the Development of the Settings Management System for FAIR",40 42,
wpo006,"S. Matthies, H. Bräuning, A. Schwinn [GSI, Darmstadt, Germany] S. Deghaye [CERN, Geneva, Switzerland] ","FESA3 Integration in GSI for FAIR",43 45,
wpo007,"C. Betz, T. Hackler, E. Momper, D. Sanchez Valdepenas, C.S. Schweizer, H. Simon, M. Stern, M. Zaera-Sanz [GSI, Darmstadt, Germany] ","The FAIR R3B Prototype Cryogenics Control System",46 48,
wpo008,"M. Wiebel [GSI, Darmstadt, Germany] ","An Extensible Equipment Control Library for Hardware Interfacing in the FAIR Control System",49 51,
wpo009,"S.M. Meykopff [DESY, Hamburg, Germany] ","An Optics-Suite and -Server for the European XFEL",52 54,
