froaau01,"R.D. Kephart, Fermilab, Batavia","Project X",887 887,
froaau02,"R.C. York, G. Bollen, C. Compton, NSCL, East Lansing, Michigan; A.C. Crawford, FRIB, East Lansing, Michigan; M. Doleans, T . Glasmacher, W. Hartung, F. Marti, J. Popielarski, J.J. Vincent, J. Wlodarczak, X. Wu, A. Zeller, Q. Zhao, NSCL, East Lansing, Michigan","FRIB: A New Accelerator Facility for the Production of Rare Isotope Beams",888 894,
froaau03,"G.H. Hoffstaetter, CLASSE, Ithaca, New York","A 5 GeV, 100 mA ERL Based on CW SRF",895 895,
froaau04,"K. Umemori, T. Furuya, E. Kako, S. Noguchi, H. Sakai, M. Satoh, KEK, Ibaraki; M. Sawamura, JAEA/ERL, Ibaraki; K. Shinoe, ISSP/SRL, Chiba; T. Shishido, T. Takahashi, K. Watanabe, Y. Yamamoto, KEK, Ibaraki","Compact ERL Linac",896 901,
froaau05,"P. Bosland, CEA, Gif-sur-Yvette","The Superconducting Prototype LINAC for IFMIF",902 906,
froaau06,"S.R. Koscielniak, F. Ames, R.A. Baartman, P.G. Bricault, A. Bylinskii, Y.-C. Chao, K. Fong, R.E. Laxdal, M. Marchetto, L. Merminga, A.K. Mitra, I. Sekachev, V.A. Verzilov, V. Zvyagintsev, TRIUMF, Vancouver","e- Linac for RIB",907 912,
frobau01,"J. Bisognano, UW-Madison/SRC, Madison, Wisconsin","Future SRF-Linac Based Light Sources: Initiatives and Issues",913 917,
frobau02,"M. Lindroos, ESS-S, Lund; C. Oyon, ESS Bilbao, Bilbao; S. Peggs, ESS-S, Lund","The ESS SC Linear Accelerator",918 923,
frobau03,"M. Pasini, CERN, Geneva; M. Pasini, Instituut voor Kern- en Stralingsfysica, K. U. Leuven, Leuven","HIE-Isolde: The Superconducting RIB Linac at CERN",924 929,
frobau04,"R. Garoby, CERN, Geneva","SPL at CERN",930 933,
frobau05,"N. Ouchi, JAEA/LINAC, Ibaraki-ken","J-PARC Upgrade",934 940,
frobau07,"K. Yokoya, KEK, Ibaraki","ILC",941 941,
mooaau01,"K. Honkavaara, B. Faatz, J. Feldhaus, DESY, Hamburg; J. Roßbach, Uni HH, Hamburg; S. Schreiber, R. Treusch, DESY, Hamburg","Status of the Free-Electron Laser User Facility FLASH",99 98,
mooaau02,"H. Weise, DESY, Hamburg","The European XFEL Based on Superconducting Technology",6 10,
moobau01,"E.R. Harms, T.T. Arkan, Fermilab, Batavia; W. Decking, M. Dohlus, DESY, Hamburg; H.T. Edwards, M.H. Foley, A. Hocker, Fermilab, Batavia; M. Hüning, K. Jensch, DESY, Hamburg; T.N. Khabiboulline, Fermilab, Batavia; G. Kreps, DESY, Hamburg; M.W. McGee, D.V. Mitchell, Fermilab, Batavia; W.-D. Möller, DESY, Hamburg; A.M. Rowe, N. Solyak, Fermilab, Batavia; E. Vogel, DESY, Hamburg","Third Harmonic System at Fermilab/FLASH",11 16,
moobau02,"J.P. Preble, J. Hogan, F. Marhauser, R.A. Rimmer, H. Wang, JLAB, Newport News, Virginia","Jlab Upgrade and High Current Cavity Developments",17 19,
moobau03,"A. Arnold, J. Teichert, FZD, Dresden","Overview of Superconducting Photoinjectors",20 26,
moobau04,"M. Liepe, CLASSE, Ithaca, New York","High-current ERL Injector",27 33,
moobau05,"P.A. McIntosh, R. Bate, C.D. Beard, R.K. Buckley, S.R. Buckley, P.A. Corlett, A.R. Goulden, A.J. Moss, J.F. Orrett, S.M. Pattalwar, Y.M. Saveliev, R.J. Smith, S.L. Smith, A.E. Wheelhouse, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","SRF System Operation of the ALICE ERL Facility at Daresbury",34 40,
moobau06,"I. Ben-Zvi, BNL, Upton, Long Island, New York","ERL Prototype at BNL",41 41,
moocau01,"J.E. Chen, NSFC, Beijing; K.X. Liu, K. Zhao, PKU/IHIP, Beijing","TESLA Technology in China",42 45,
moocau02,"D. Proch, DESY, Hamburg","Impact of CARE-SRF on FLASH/XFEL and Other Projects",46 50,
moocau03,"D. Barna, University of Tokyo, Tokyo","Superconducting PAUL Trap for Antiprotons",51 51,
moocau04,"J.D. Fuerst, ANL, Argonne","The ATLAS Energy Upgrade Cryomodule",52 56,
moocau05,"O.K. Kester, D. Bazin, C. Benatti, J. Bierwagen, G. Bollen, S. Bricker, S. Chouhan, C. Compton, K. Davidson, J. DeLauter, M. Doleans, T . Glasmacher, W. Hartung, M.J. Johnson, F. Marti, J. Ottarson, J. Popielarski, L. Popielarski, M. Portillo, D. Sanderson, S. Schwarz, N. Verhanovitz, J.J. Vincent, J. Wlodarczak, X. Wu, J. Yurkon, A. Zeller, Q. Zhao, NSCL, East Lansing, Michigan","The MSU/NSCL Re-Accelerator ReA3",57 61,
moodau01,"J. Mammosser, ORNL, Oak Ridge, Tennessee","SNS & Upgrade",62 65,
moodau02,"H. Hayano, KEK, Ibaraki","STF Status and Plans",66 66,
moodau03,"T. Junquera, IPN, Orsay","SPIRAL2",67 73,
moodau04,"I. Mardor, D. Berkovits, Soreq NRC, Yavne; K. Dunkel, RI Research Instruments GmbH, Bergisch Gladbach; I. Gertz, A. Grin, S. Halfon, G. Lempert, A. Nagler, Soreq NRC, Yavne; M. Pekeler, RI Research Instruments GmbH, Bergisch Gladbach; A. Perry, Soreq NRC, Yavne; C. Piel, RI Research Instruments GmbH, Bergisch Gladbach; J. Rodnizki, L. Weissman, Soreq NRC, Yavne; P. vom Stein, RI Research Instruments GmbH, Bergisch Gladbach","The SARAF CW 40 MeV Proton/Deuteron Accelerator",74 80,
moodau05,"R.E. Laxdal, R.J. Dawson, TRIUMF, Vancouver; R. Edinger, PAVAC, Richmond, B.C.; K. Fong, A. Grassellino, M.P. Laverty, M. Marchetto, A.K. Mitra, T.C. Ries, I. Sekachev, Q. Zheng, V. Zvyagintsev, TRIUMF, Vancouver","ISAC-II: Status of the 20 MV Upgrade",81 87,
thoaau01,"J. Mondal, BARC, Mumbai; G. Ciovati, P. Kneisel, JLAB, Newport News, Virginia; K.C. Mittal, BARC-EBC, Mumbai; R. Myneni, JLAB, Newport News, Virginia","Characterization of Ingot Material for SRF Cavity Production",455 461,
thoaau02,"D. Reschke, DESY, Hamburg","Basic Studies for Process Parameter Developmenst for EP/HPR/Snow Cleaning",462 462,
thoaau03,"V. Palmieri, S.M. Deambrosis, INFN/LNL, Legnaro, Padova; G. Mondin, Univ. degli Studi di Padova, Padova; V. Rampazzo, INFN/LNL, Legnaro, Padova; D. Rizzetto, Univ. degli Studi di Padova, Padova; V. Rupp, F. Stivanello, INFN/LNL, Legnaro, Padova","Niobium Electropolishing by Ionic Liquids: What Are the Naked Facts?",463 465,
