frioa01,"R. Calaga, E. Jensen [CERN, Geneva, Switzerland] ","LHC Crab Cavity .Progress and Outlook",1161 1164,
frioa02,"Q. Wu [BNL, Upton, Long Island, New York, USA] ","Developing Quarter Wave SRF Cavities for Hadron Colliders",1165 1169,
frioa03,"J.D. Mammosser [JLab, Newport News, Virginia, USA] P. Dhakal, J. Henry, R.A. Rimmer, H. Wang, K.M. Wilson [JLAB, Newport News, Virginia, USA] J.F. Fuerst, J.P. Holzbauer, J.S. Kerby, A. Nassiri, G.J. Waldschmidt, G. Wu, Y. Yang [ANL, Argonne, USA] F. He [PKU, Beijing, People's Republic of China] Z. Li [SLAC, Menlo Park, California, USA] ","Fabrication and Testing of Deflecting Cavities for APS",1170 1175,
frioa04,"S.U. De Silva, J.R. Delayen [ODU, Norfolk, Virginia, USA] ","Superconducting RF-Dipole Deflecting and Crabbing Cavities",1176 1182,
friob01,"Z.A. Conway, G.L. Cherry, S.M. Gerbick, M. Kedzie, M.P. Kelly, S.H. Kim, S.V. Kutsaev, R.C. Murphy, B. Mustapha, P.N. Ostroumov, T. Reid [ANL, Argonne, USA] ","SRF Cavities for Future Ion Linacs",1183 1186,
friob02,"L. Ristori, M.H. Awida, P. Berrutti, C.M. Ginsburg, I.V. Gonin, T.N. Khabiboulline, M. Merio, T.H. Nicol, D. Passarelli, A.M. Rowe, D.A. Sergatskov, A.I. Sukhanov, V.P. Yakovlev [Fermilab, Batavia, USA] ","Development and Performance of 325 MHz Single Spoke Resonators for Project X",1187 1192,
friob03,"S.S. Som, P. Bhattacharyya, A. Dutta Gupta, S. Ghosh, A. Mandal, S. Seth [VECC, Kolkata, India] ","Development of 650 MHz Cavities for the GeV Proton Accelerator in Project X",1193 1197,
friob04,"O. Capatina, G. Arnau-Izquierdo, S. Atieh, I. Aviles Santillana, R. Bonomi, S. Calatroni, J.K. Chambrillon, R. Garoby, F. Gerigk, M. Guinchard, T. Junginger, M. Malabaila, L. Marques Antunes Ferreira, S. Mikulas, V. Parma, T. Renaglia, K.M. Schirm, T. Tardy, M. Therasse, A. Vacca, N. Valverde Alonso, A. Vande Craen [CERN, Geneva, Switzerland] F. Pillon [Kraftanlagen Nukleartechnik GmbH, Heidelberg, Germany] ","CERN Developments for 704 MHz Superconducting Cavities",1198 1211,
frioc01,"P. Duchesne, S. Bousson, S. Brault, P. Duthil, G. Olry, D. Reynet [IPN, Orsay, France] S. Molloy [ESS, Lund, Sweden] ","Design of the 352 MHz, Beta 0.50, Double-Spoke Cavity for ESS",1212 1217,
frioc02,"G. Devanz, P. Bosland, M. Desmons, P. Hardy, F. Leseigneur, M. Luong, F. Peauger, J. Plouin, D. Roudier [CEA/DSM/IRFU, France] N. Bazin [CEA/IRFU, Gif-sur-Yvette, France] G. Costanza [Lund University, Lund, Sweden] G. Olivier [IPN, Orsay, France] ","ESS Elliptical Cavities and Cryomodules",1218 1222,
moioa01,"M. Leitner, B. Bird, F. Casagrande, S. Chouhan, C. Compton, J.L. Crisp, K. Elliott, A. Facco, A.D. Fox, M. Hodek, M.J. Johnson, G. Kiupel, I.M. Malloch, D. Miller, S.J. Miller, D. Morris, D. Norton, R. Oweiss, J.P. Ozelis, J. Popielarski, L. Popielarski, A.P. Rauch, R.J. Rose, K. Saito, M. Shuptar, N.R. Usher, G.J. Velianoff, D.R. Victory, J. Wei, J. Whitaker, K. Witgen, T. Xu, Y. Xu, O. Yair, S. Zhao [FRIB, East Lansing, USA] ","The FRIB Project at MSU",99 98,
moioa02,"R. Ferdinand, P.-E. Bernaudin, M. Di Giacomo [GANIL, Caen, France] P. Bosland [CEA/IRFU, Gif-sur-Yvette, France] Y. Gómez Martínez [LPSC, Grenoble Cedex, France] G. Olry [IPN, Orsay, France] ","Status and Challenges of Spiral2 SRF Linac",11 17,
