srf91a01,"C.L. Bohn, J.R. Delayen, W.L. Kennedy, P.M. Markovitch, G.L. Nichols, C.T. Roche, L. Sagalovsky, K.W. Shepard, G.P. Zinkhann, ANL, Argonne","Status of RF Superconductivity at Argonne National Laboratory",
srf91a02,"B. Almeida, M. Augustine, D. Beasley, R. Bennett, J. Brawley, J. Brock, U.H. Brown, R. Bundy, I.E. Campisi, B. Carpenter, S. Cook, K. Crawford, I. Daniels, R. Dawes, L. Doolittle, S. Downey, M. Drury, H.F. Dylla, Th. Elliott, L. Evans, E. Feldl, K. Finger, J. Fisher, W.F. Folsom, E. Folts, C. Goodman, A. Guerra, E. Hanson, J. Heckman, A. Heidt, T. Howell, C. Hughes, F. Humphry, B. Jones, K. Jordan, J.P. Kelley, P. Kneisel, P. Kushnick, T. Lee, B. Lewis, C. Liang, J. Lilley, K. Macha, D. Machie, J. Mammosser, T. Mann, G. Marble, J. Marshall, L. Martin, J. Mazyck, S. Morgan, B. Moss, G.R. Myneni, V. Nguyen, R. Nichols, P. Nydam, J. Pace, J. Parkinson, J. Pauley, H.L. Phillips, T. Powers, J. Preble, C. Reece, J.D. Riel, J. Robb, K. Saito, W. Schneider, A. Sibley, Karl Smith, Kimberly Smith, M. Spata, D. Stitts, E. Stitts, J. Strong, L. Summers, G. Sundeen, R. Sundelin, J. Susta, J. Takacs, B.M. Thornton, L. Turlington, B. Umphlett, J. Van Dyke, J. Wall, L. Wells, H. Whitehead, Leonard Williams, Linda Williams, S. Williams, M. Wiseman, K. Yopp, CEBAF, Newport News, Virginia","RF Superconductivity at CEBAF",
srf91a03,"G. Cavallari, C. Arnaud, M. Barranco-Luque, C. Benvenuti, Ph. Bernard, D. Bloess, D. Boussard, P. Brown, S. Calatroni, E. Chiaveri, E. Ciapala, W. Erdt, P. Frandsen, F. Genesio, G. Geschonke, D. Güsewell, E. Haebel, W. Hartung, C. Hauviller, N. Hilleret, H.P. Kindermann, G. Orlandi, G. Passardi, E. Peschardt, V. Rödel, J. Tückmantel, W. Weingarten, G. Winkler, CERN, Geneva","Status Report on SC RF Cavities at CERN",
srf91a04,"J. Kirchgessner, P. Barnes, C. Chen, T. Flynn, J. Graber, W. Hartung, H. Heinrichs, D. Moffat, R. Noer, H. Padamsee, D. Rubin, J. Sears, Q.S. Shu, P. Smith, M. Tigner, D.L. Zu, Cornell University, Ithaca, New York","Superconducting RF Activities at Cornell University",
srf91a05,"A. Matheisen, B. Dwersteg, G. Enderlein, K. Hoffmann, W.-D. Möller, D. Proch, D. Renken, J. Sekutowicz, DESY, Hamburg","Laboratory Activities on SC Cavities at DESY",
srf91b01,"S. Tazzari, INFN/LNF, Frascati (Roma)","ARES: The INFN Project",
srf91b02,"A. Facco, A. Lombardi, V. Palmieri, A.M. Porcellato, K. Rudolph, J.S. Sokolowski, L. Badan, G. Bassato, A. Battistella, M. Bellato, G. Bisoffi, G.P. Buso, S. Canella, M. Cavenago, F. Cervellera, F. Chiurlotto, A. Dainelli, P. Favaron, G. Fortuna, S. Ghosh, M.F. Moisio, R. Pengo, F. Poletto, M. Poggi, INFN/LNL, Legnaro, Padova","Status of RF Superconductivity at Laboratori Nazionali di Legnaro",
srf91b03,"S.I. Bibko, M.M. Karliner, I.K. Sedlyarov, Y.I. Semenov, A.G. Tribendis, V.G. Veshtcherevich, V.N. Volkov, V.P. Yakovlev, INP, Novosibirsk","50 MeV Superconducting Electron Linear Accelerator",
srf91b04,"S. Takeuchi, JAERI, Ibaraki","Superconducting RF Activities at JAERI",
srf91b05,"S. Mitsunobu, K. Akai, K. Asano, T. Furuya, K. Hara, K. Hosoyama, A. Kabe, E. Kako, Y. Kijima, Yuji Kojima, Yuzo Kojima, K. Kubo, H. Nakai, S. Noguchi, T. Ogitsu, M. Ohara, K. Ohkubo, K. Saito, Y. Sakamoto, T. Shishido, T. Tajima, T. Takahashi, KEK, Ibaraki","Superconducting RF Activities at KEK",
srf91b06,"G. Spalek, H.A. Thiessen, LANL, Los Alamos, New Mexico","PILAC: A Pion Linac Facility for 1 GeV Pion Physics at LAMPF",
srf91b07,"C. Chen, F. Chen, Y. Dai, N. Li, W. Liu, J. Song, G. Wang, L. Wang, B. Zhang, K. Zhao, IHIP, Beijing","Superconducting RF Activities at Peking University",
srf91b08,"J. Auerhammer, H. Genz, H.-D. Gräf, V. Huck, C. Lüttge, A. Richter, T. Rietdorf, P. Schardt, E. Spamer, K. Rühl, A. Stascheck, F. Thomas, O. Titze, J. Töpper, H. Weise, TH Darmstadt, Darmstadt","Latest of the Superconducting Darmstadt Electron Accelerator S-DALINAC",
srf91b09,"A. Ferchau, T. Grundey, P. Pecher, P. Schütz, U. Trinks, TU München, Garching","The Superconducting Cavities for the TRITRON",
srf91c01,"K. Akai, KEK, Ibaraki","Performance of SRF Systems in Storage Rings",
srf91c02,"H. Padamsee, P. Barnes, C. Chen, W. Hartung, J. Kirchgessner, D. Moffat, R. Ringrose, D. Rubin, Y. Samed, D. Saraniti, J. Sears, Q.S. Shu, M. Tigner, Cornell University, Ithaca, New York","Design Challenges for High Current Storage Rings",
srf91c03,"P. Kneisel, CEBAF, Newport News, Virginia","Improvements in Materials and Fabrication - Large Scale Production and Testing",
srf91c04,"C. Benvenuti, CERN, Geneva","Superconducting Coatings for Accelerating RF Cavities: Past, Present, Future",
srf91d01,"B. Bonin, CEA-Saclay, Gif-sur-Yvette; R.W. Röth, University of Wuppertal, Wuppertal","Q-Degradation of Niobium Cavities due to Hydrogen Contamination",
srf91d02,"D. Moffat, P. Barnes, T. Flynn, J. Graber, L. Hand, W. Hartung, T. Hayes, J. Kirchgessner, J. Knobloch, R. Noer, H. Padamsee, D. Rubin, J. Sears, Cornell University, Ithaca, New York","Studies on the Nature of Field Emission Sites",
srf91d03,"N. Klein, FZJ, Jülich","High Tc Materials for Microwave Applications: Update on Activities, Progress and Trends",
srf91d04,"H.-D. Gräf, TH Darmstadt, Darmstadt","Experience with Control of Frequency, Amplitude and Phase",
srf91d05,"E. Haebel, CERN, Geneva","Couplers, Tutorial and Update",
