fra002,"G.R. Neil, JLAB, Newport News","High Power FELs Driven by RF Superconducting Linacs",593 601,
fra003,"D. Trines, DESY, Hamburg","TESLA Project Overview",605 609,
fra005,"H. Burkhardt, CERN, Geneva","ELFE at CERN",602 604,
fra006,"H. Padamsee, Cornell University, Ithaca, New York","SRF for Muon Colliders",587 592,
moa001,"P. Brown, O. Brunner, A. Butterworth, E. Ciapala, H. Frischholz, G. Geschonke, E. Peschardt, J. Sladen, CERN, Geneva","Performance of the LEP 200 Superconducting RF System",99 98,
moa002,"S. Calatroni, C. Benvenuti, P. Darriulat, M.A. Peck, A.-M. Valente, C.A. Van't Hof, CERN, Geneva","High-Q, High Gradient Niobium-Coated Cavities at CERN",6 9,
moa003,"R. Pardo, G.P. Zinkann, ANL, Argonne","Long-Term Operating Experience for the ATLAS Superconducting Resonators",10 14,
moa004,"C.E. Reece, JLAB, Newport News","Overview of CEBAF Operations and SRF-Related Activities at Jefferson Lab",15 18,
moa005,"D. Proch, DESY, Hamburg","Activities with Superconducting Cavities at DESY",19 23,
moa006,"S. Belomestnykh, P. Barnes, E. Chojnacki, R. Ehrlich, R.L. Geng, D. Hartill, R. Kaplan, J. Knobloch, H. Padamsee, S. Peck, P. Quigley, J. Reilly, D. Rubin, D. Sabol, J. Sears, V. Veshcherevich, G. Werner, Cornell University, Ithaca, New York","Operating Experience with Superconducting RF at CESR and Overview of Other SRF Related Activities at Cornell University",24 30,
mop001,"T. Furuya, K. Akai, K. Hara, K. Hosoyama, A. Kabe, Y. Kojima, S. Mitsunobu, Y. Morita, H. Nakai, T. Tajima, KEK, Ibaraki","Recent Status of the Superconducting Cavities for KEKB",31 36,
mop003,"J. Le Duff, LAL, Orsay","RF Superconductivity Activities at LAL",37 40,
mop004,"M. Fouaidy, IN2P3-CNRS, Orsay","SRF Activities at IPN Orsay",41 45,
mop005,"F.L. Krawczyk, R. Bibeau, B. Campbell, D. Chan, M. Cola, K. Cummings, R. Edwards, G. Ellis, D.C. Gautier, R.C. Gentzlinger, J.G. Gioia, W.B. Haynes, D. Katonak, J.P. Kelley, R.E. Lujan, M.A. Madrid, R.R. Mitchell, D. Montoya, E. Newman, W. Roybal, E.N. Schmierer, A. Shapiro, B.G. Smith, R. Valicenti, J. Waynert, LANL, Los Alamos, New Mexico; B. Rusnak, S. Shen, LLNL, Livermore, California; R.P. Walsh, National High Magnetic Field Laboratory, Tallahassee, Florida","Status of the LANL Activities in the Field of RF Superconductivity",46 49,
mop006,"A.M. Porcellato, V. Andreev, G. Bassato, G.P. Bezzon, G. Bisoffi, F. Chiurlotto, M. Comunian, A. Facco, A. Lombardi, I. Kulik, M.F. Moisio, A. Pisent, V. Palmieri, S.Y. Stark, W. Venturini, V. Zviagintsev, INFN/LNL, Legnaro, Padova","Research and Development in the Field of SCRF at INFN-LNL",50 53,
