FRAMA01,"P. Pierini, INFN/LASA, Segrate (MI)","The Accelerator Activities of the EUROTRANS Programme",852 856,
FRBMA01,"N. Lockyer, University of Pennsylvania, Philadelphia, Pennsylvania","Particle Colliders and the Quest for Revealing the Hidden Nature of Space and Time",99 98,
FRXMA01,"H. Suk, M.S. Hur, KERI, Changwon; J.-H. Jang, KAERI, Daejon; J.-U. Kim, S.H.Yoo. Yoo, KERI, Changwon","Progress of the Laser-Plasma Acceleration Research at KERI",832 834,
FRXMA02,"J.R. Delayen, S. Chattopadhyay, Jefferson Lab, Newport News, Virginia","Advances in ERLs and Microwave Superconductivity for Lepton Accelerators, Colliders and Light Sources",99 98,
FRXMA03,"J. Urakawa, KEK, Ibaraki","Achievement of ATF and its Future Plans",837 841,
FRYMA01,"F.J. Willeke, DESY, Hamburg","Experiences With The Hera Lepton-Proton Collider",842 846,
FRYMA02,"H.-H. Braun, CERN, Geneva","Towards a Multi TeV Linear Collider; Drive Beam Generation with CTF3",847 851,
MOOPMA01,"D. Reschke, DESY, Hamburg","Challenges in ILC SCRF Technology",26 30,
MOOPMA02,"C. Pagani, INFN/LASA, Segrate (MI)","Overview of Regional Infrastructure for SCRF Development",31 35,
MOOPMA03,"L. Merminga, Jefferson Lab, Newport News, Virginia","Technological Challanges of ERLs",99 98,
MOOPMA04,"Y. Morita, K. Akai, K. Ebihara, T. Furuya, K. Hara, T. Honma, K. Hosoyama, A. Kabe, KEK, Ibaraki; T. Kanekiyo, Hitachi Ltd., Hitachi Research Laboratory, Ibaraki-ken; Y. Kojima, S. Mitsunobu, H. Nakai, K. Nakanishi, KEK, Ibaraki; K. Okubo, MHI, Kobe; M. Ono, KEK, Ibaraki; M.M. Rahman, University of Chittagong, Chittagong; K. Sennyu, MHI, Kobe; Y. Yamamoto, KEK, Ibaraki","Crab Cavity Development",36 40,
MOOPMA05,"Y. Suetsugu, H. Hisamatsu, K.-I. Kanazawa, K. Shibata, M. Shirai, KEK, Ibaraki","Ramp;D on Vacuum Components for High-Current Accelerators",41 45,
MOXMA01,"F. Naito, KEK, Ibaraki","Present Status of J-PARC",99 98,
MOXMA02,"M.A. Plum, ORNL, Oak Ridge, Tennessee","Commisioning Experience of SNS",6 10,
MOYMA01,"R. Hajima, JAEA/ERL, Ibaraki","Overview of Energy-Recovery Linacs",11 14,
MOYMA02,"S. Schreiber, DESY, Hamburg","Results from the free-electron laser FLASH",16 16,
MOYMA03,"T. Shintake, RIKEN Spring-8 Harima, Hyogo","Status and Perspective of XFEL Projects in the World",99 98,
MOZMA01,"B.C. Barish, CALTECH, Pasadena, California; K. Yokoya, KEK, Ibaraki","Report on ILC",99 98,
MOZMA02,"K. Yokoya, KEK, Ibaraki","ILC Parameters Rationale and Challenges",99 98,
MOZMA03,"S. Machida, STFC/RAL/ASTeC, Chilton, Didcot, Oxon","Status of FFAG Developments",21 25,
THC2MA01,"S. An, Y.-S. Cho, B.H. Choi, KAERI, Daejon","Design of The PEFP Low Beta Cryomodule",564 566,
THC2MA02,"A. Puntambekar, M. Bagre, V. Jain, M.G. Karmarkar, P. Khare, S. Kotaiah, RRCAT, Indore (M.P.); G. Mugnai, R. Wolf, CERN, Geneva","Experiences with the Manufacturing, Testing and Quality Control of Large Number of Superconducting Magnets",567 569,
THC2MA03,"K. Umemori, T. Furuya, KEK, Ibaraki; H. Sakai, ISSP/SRL, Chiba; S. Sakanaka, KEK, Ibaraki; M. Sawamura, JAEA/ERL, Ibaraki; K. Shinoe, ISSP/SRL, Chiba; T. Suwada, T. Takahashi, KEK, Ibaraki","Design of L-band Superconducting Cavity for the Energy Recovery Linacs",570 572,
THC3H101,"V. Auslender, A.A. Bryazgin, V.G. Cheskidov, B.L. Faktorovich, V. Gorbunov, I.V. Gornakov, V.E. Nekhaev, A.D. Panfilov, A.I. Sidorov, V.O. Tkachenko, A.F.A. Tuvik, L.A. Voronin, BINP SB RAS, Novosibirsk","Status of the Industrial RF-accelerators in BINP",622 624,
THC3H102,"M.P. Dehnel, P.T. Jackle, M. Roeder, T.M. Stewart, J.E. Theroux, D-Pace, Nelson, British Columbia","Practical Considerations in the Design of a High Current Commercial H-minus Cyclotron",625 627,
THC3H103,"G. Dolbilov, JINR, Dubna, Moscow Region","The Compact Induction Circular Accelerator for Radiation Technologies",628 629,
THC3MA01,"P. Klysubun, S. Cheedket, G.G. Hoyes, C. Kwankasem, M. Oyamada, S. Rugmai, S. Rujirawat, NSRC, Nakhon Ratchasima","Operation and Recent Developments at the Siam Photon Source",607 609,
THC3MA02,"G. Vignola, A. Amro, M. Attal, H. Azizi, A. Kaftoosian, F. Makahleh, M.M. Shehab, H. Tarawneh, S. Varnasseri, SESAME, Amman","SESAME Status",610 612,
THC3MA03,"S.L. Kramer, J. Bengtsson, S. Krinsky, V. Litvinenko, S. Ozaki, BNL, Upton, Long Island, New York","NSLS-II Design: A Novel Approach to Light Source Design",613 615,
THC3MA04,"S.V. Miginsky, BINP SB RAS, Novosibirsk; D. Kayran, BNL, Upton, Long Island, New York; B.A. Knyazev, E.I. Kolobanov, V.V. Kotenkov, V.V. Kubarev, G. Kulipanov, A.V. Kuzmin, A.S. Lakhtychkin, A.N. Matveenko, L.E. Medvedev, L.A. Mironenko, A.D. Oreshkov, A.V. Ovchar, V.M. Popik, T.V. Salikova, M.A. Scheglov, S.S. Serednyakov, O.A. Shevchenko, A.N. Skrinsky, N. Vinokurov, BINP SB RAS, Novosibirsk","Status of the Novosibirsk High Power Terahertz FEL",616 618,
THC3MA05,"S. Suzuki, T. Asaka, JASRI/SPring-8, Hyogo-ken; Y. Hisaoka, T. Matsubara, T. Mitsui, Y. Shoji, NewSUBARU/SPring-8, Laboratory of Advanced Science and Technology for Industry (LASTI), Hyogo","Bunch Compression using the Transport Line and Short Bunch revolving in NewSUBARU",619 621,
THPMA004,"A.K. Mitra, Z.T. Ang, I.V. Bylinskii, K. Fong, R.E. Laxdal, J. Lu, R.L. Poirier, V. Zviagintsev, TRIUMF, Vancouver","RF Amplifiers and Structures for ISAC/TRIUMF",631 633,
THPMA005,"Y. Otake, RIKEN Spring-8 Harima, Hyogo; T. Fukui, N. Hosoda, JASRI/SPring-8, Hyogo-ken; M. Kitamura, H. Maesaka, RIKEN Spring-8 Harima, Hyogo; T. Ohata, T. Ohshima, JASRI/SPring-8, Hyogo-ken; T. Shintake, RIKEN Spring-8 Harima, Hyogo","SCSS RF Control Toward 5712 MHz Phase Accuracy of One Degree",634 636,
THPMA008,"M. Masuzawa, Y. Suetsugu, R. Sugahara, KEK, Ibaraki","Field Measurement Results of the Quadrupole Magnets for ATF2",637 639,
THPMA010,"N. Li, SLAC, Menlo Park, California","Structures of Quadrupole Magnet Core",640 642,
THPMA013,"R.S. Shinde, Gaud,V.K. Gaud, S. Kotaiah, Kumar,S. Kumar, R.K. Mishra, Pandey, M.M. Pandey, Pareek,P. Pareek, RRCAT, Indore (M.P.)","Effect of Eddy Current in Magnetic Lamination on Pulsed Septum Magnet Response",643 645,
THPMA014,"S. Konjeti, S. Das, RRCAT, Indore (M.P.); M.K. Ghosh, BHU, Varanasi; M.G. Karmarkar, P.K. Kulshreshtha, K. Ruwali, K. Swarna, RRCAT, Indore (M.P.)","Mechanical Stability of Open-type Quadrupole Magnets for a 2.5 GeV SRS (Indus-2)",646 648,
THPMA015,"P. Shrivastava, P. Mohania, J. Mulchandani, Y.W. Wahnmode, RRCAT, Indore (M.P.)","Performance of 6 MW Peak, 25kW Average Power Microwave System for 10 MeV, 10 kW Electron LINAC",649 651,
THPMA016,"A. Roy, T. Bhattacharjee, R.B. Bhole, U. Bhunia, Chaddha, N. Chaddha, J. Debnath, M.K. Dey, A. Dutta, C. Mallik, C.N. Nandi, Z.A. Naser, G.P. Pal, S. Pal, S. Paul, J. Pradhan, DAE/VECC, Calcutta","Median Plane Magnetic Field Mapping for Superconducting Cyclotron (SCC) in VECC",652 654,
THPMA017,"A. De, S. Saha, S.K. Thakur, DAE/VECC, Calcutta","Mathematical Model for Fast and Slow Dumping of K-500 Superconducting Cyclotron Magnet",655 657,
THPMA020,"P.R. Sarma, DAE/VECC, Calcutta","Ideal Coil-Shape for Perfect Field in Superconducting Sextupole Magnets",658 660,
THPMA022,"M.K. Dey, R.K. Bhandari, U. Bhunia, J. Chaudhuri, A. Dutta, A. Dutta Gupta, C. Mallik, S. Murali, J. Pradhan, S. Saha, S.S. Sur, DAE/VECC, Calcutta","Design of the Proposed 250 Mev Superconducting Cyclotron Magnet",661 663,
THPMA023,"T.J. Shen, H.G. Chen, C.L. Guo, Z.M. Hu, D.M. Li, R. Li, H. Liu, S.L. Lu, X. Wang, W.F. Wu, R.N. Xu, S.M. Zhu, SINAP, Shanghai","Construction of SSRF Magnet Power Supply System",664 665,
THPMA024,"K.-H. Park, J. Choi, C.W. Chung, S.-H. Jeong, PAL, Pohang, Kyungbuk; B.-K. Kang, POSTECH, Pohang, Kyungbuk; D.E. Kim, PAL, Pohang, Kyungbuk","Implementation of High Precision Magnet Power Supply using the DSP",666 668,
THPMA028,"S. Bandyopadhyay, M. Das, DAE/VECC, Calcutta","Regulation Scheme for Precision Magnet Power Supply",669 670,
THPMA032,"Y.P. Singh, S. Kotaiah, A.C. Thakurta, RRCAT, Indore (M.P.)","Active Filter for Harmonic Mitigation for Magnet Power Supplies of INDUS-II",671 673,
THPMA033,"K.M. Ha, J.H. Kim, PAL, Pohang, Kyungbuk","Digital Power Supply Development at the PLS",674 676,
THPMA035,"J.H. Jeon, B.H. Chung, Dankook University, Seoul; K.-H. Chung, KAPRA, Cheorwon; J.S. Hong, Dankook University, Seoul; S.K. Ko, University of Ulsan, Ulsan; S.J. Noh, Dankook University, Seoul","High Power Modulator For Klystron of Proton Accelerator",99 98,
THPMA036,"A. Kasliwal, R. Banwari, S. Kotaiah, T.G. Pandit, A. Upadhyay, RRCAT, Indore (M.P.)","Utilizing Multiplier Stack's Reflected Parasitic Capacitance to Achieve ZVS Operation of Resonant Inverter for 750 keV DC Accelerator",677 678,
THPMA039,"R. Banwari, A. Kasliwal, S. Kotaiah, A. Kumar, T.G. Pandit, P.R. Peteti, A. Upadhyay, RRCAT, Indore (M.P.)","300 kV/ 6 kW Power Supply System for Self-shielded Low Energy DC Accelerator at RRCAT Indore",679 681,
THPMA043,"K.C. Mittal, S. Acharya, R. Agarwal, R. Barnwal, D.P. Chakravarthy, A.S. Chawala, A.R. Chindarkar, S.R. Ghodke, B.S. Israel, A. Jain, D. Jayaprakash, M. K. Kumar, M.K. Kumar, R. L. Mishra, K.V. Nagesh, K. Nanu, M.K. Pandey, G.P. Puthran, R.N. Rajan, S.R. Raul, A.K. Ray, P.C. Saroj, D.K. Sharma, V. Sharma, R. Shilendra, S.K. Suneet, S.B. Supriya, D.P. Suryaprakash, BARC, Mumbai","Development of 3 MeV, 30 kW DC Electron Accelerator at EBC, Kharghar",682 684,
THPMA045,"S.R. Tiwari, M. Borage, K. Swarna, RRCAT, Indore (M.P.)","Analysis and Design of Parallel Resonant Network Power Supply for a Rapid Cycling Synchrotron",685 687,
