cyc63a01,"R. S. Livingston, ORNL, Oak Ridge","Survey of Operating Sector-Focused Cyclotrons",
cyc63a02,"H. A. Grunder, F. B. Selph, LRL, Berkeley","Operation of the Berkeley 88 - Inch Cyclotron",
CYC63A03,"A. A. Garren, L. Smith, LRL, Berkeley","Diagnosis and Correction of Beam Behaviour in an Isochronous Cyclotron",
cyc63a04,"H. Steimel, AEG Research, Frankfurt","The Relativistic Isochronous Cyclotron at Karlsruhe",
cyc63a05,"J. J. Kraushaar, D. A. Lind, M. E. Rickey, W. R. Smythe, University of Colorado, Boulder, Colorado","Operating Experience with the University of Colorado Cyclotron",
CYC63A06,"W. C. Parkinson, R. S. Tickle, University of Michigan, Ann Arbor, Michigan","Preliminary Operational Experience with the University of Michigan 83- Inch Sector - Focused Cyclotron",
cyc63a07,"N. F. Verster, W. Bähler, A. J.J. Franken, J. Geel, H. L. Hagedoorn, P. Kramer, J. Zwanenburg, Philips Research Laboratories, Eindhoven","The Philips AVF Prototype Cyclotron",
cyc63b01,"J. A. Martin, ORNL, Oak Ridge","Beam Extraction from Sector - Focused Cyclotrons",
cyc63b02,"J. A. Martin, F. M. Russell, E. G. Richardson Jr., H. L. Dickerson, ORNL, Oak Ridge","Beam Extraction from Analogue II",
cyc63b03,"H. A. Grunder, F. B. Selph, H. Atterling, LRL, Berkeley","Operating Experience with the Berkeley 88 - Inch Electrostatic Deflector",
cyc63b04,"H. Kim, G. H. MacKenzie, W. B. Powell, P. J. Waterton, University of Birmingham, Birmingham","Operation of the Regenerative Extraction System on the University of Birmingham 40 - Inch Cyclotron",
cyc63b05,"G. T. de Kruiff, N. F. Verster, Philips Research Laboratories, Eindhoven","A Modified Regenerative Extractor System for a Synchro - Cyclotron",
cyc63c01,"A. Zucker, ORNL, Oak Ridge","Sector - Focused Cyclotrons for Nuclear Physics Research",
cyc63c02,"G. Bernardini, CERN, Geneva","Physics of Meson Factories",
cyc63c03,"J. W. Verba, W. Kündig, A. C. Paul, J. R. Richardson, B. T. Wright, UCLA, Los Angeles","Negative Ion Acceleration and Related Measurements",
cyc63c04,"J. Thirion, Centre d'Etudes Nucléaires de Saclay, Gif - Sur - Yvette","Polarized Particles in Cyclotrons",
cyc63c05,"T. K. Khoe, L. C. Teng, ANL, Argonne","Depolarization Process in Sector - Focusing Cyclotrons",
cyc63c06,"L. Dick, Ph. Lévy, J. Vermeulen, CERN, Geneva","Characteristics of the CERN Polarized Proton Source",
