A-01,"F.G. Resmini, INFN-Milano, Milan, Italy","Summary Talk on Cyclotrons (Invited paper)",19 26,
a-02,"R.E. Pollock, Indiana University, Bloomington, Indiana, USA","Status Report on the Indiana University Cyclotron Facility (Invited paper)",27 32,
a-03,"H.A. Willax, SIN, Villigen, Switzerland","Status Report on SIN (Invited paper)",33 40,
a-04,"J.R. Richardson, TRIUMF, Vancouver, British Columbia, Canada","The Status of TRIUMF (Invited paper)",41 48,
a-05,"H. Beger, F. Blythe, G. Le Dallic, H. Lustig, E.G. Michaelis, N. Vogt-Nilsen, CERN, Geneva, Switzerland","Report on the CERN SC Improvement Programme (Invited paper)",49 56,
a-06,"R.C. Cohen, Y. Au, G. Dugan, W. Fleisher, R.C. Hawrylak, M.M. Holland, J. Rainwater, J. Shill, D.W. Storm, F.G. Tinta, R.C. Werbin, Nevis Laboratories, Columbia University, Irvington, New York, USA","Status of the Nevis Synchro-Cyclotron (Invited paper)",57 61,
a-07,"Yu.N. Denisov, JINR, Dubna, USSR","Cyclotrons of the JINR Laboratory of Nuclear Problems (Invited paper)",62 67,
a-08,"K.H. Maier, Hahn-Meitner-Institut, Berlin, Federal Republic of Germany","Status of the VICKSI Project (Invited paper)",68 75,
a-09,"Y. Hirao, University of Tokyo, Tokyo, Japan","Cyclotron Facilities in Japan (Invited paper)",76 79,
a-10,"Y. Jongen, G. Ryckewaert, University of Louvain-la-Neuve, Louvain-la-Neuve, Belgium","Status Report of Cyclone",80 83,
a-11,"C. Ambasankaran, S. Chatterjee, A.S. Divatia, N.K. Ganguly, S.R. Gowariker, S. Mukherjee, D.Y. Phadke, S.S. Ramamurty, C.B.S. Rao, A.P. Thatte, C. Viswandham, Bhabha Atomic Research Centre, Calcutta, India","Status of the 224-cm Variable Energy Cyclotron at Calcutta",84 87,
a-12,"D.T. Tran, D. Calandroni, A. Dupuis, B. Grémont, B. Hurt, J. Kervizic, G. Meyrand, CGR-MeV, Orsay, France","Some Characteristics from Orléans and Liège Cyclotrons",88 91,
a-13,"K. Euler, F. Hinterberger, P. Meyer, P. von Rossen, H.U. Schmidt, A. Scholzen, B. Schüller, H. Wahl, Universität Bonn, Bonn, Federal Republic of Germany","Bonn Cyclotron Progress Report",92 94,
a-14,"M. Kondo, I. Miura, T. Yamazaki, H. Ejiri, A. Shimizu, M. Inoue, K. Hosono, T. Saito, Y. Nagai, H. Sakai, N. Matsuoka, S. Yamabe, Osaka University, Osaka, Japan","The Osaka University RCNP 230-cm Isochronous Cyclotron",95 98,
a-15,"A. Laisné, Institut de Physique Nucléaire, Orsay, France","The Orsay 200-MeV Synchro-Cyclotron",99 102,
a-16,"Y. Hirao, M. Fujita, M. Furuya, T. Honma, H. Ogawa, Y. Sakurada, K. Sato, M. Sekiguchi, T. Tanabe, T. Yamada, T. Yamazaki, N. Yamazaki, University of Tokyo, Tokyo, Japan","The INS 176-cm Sector Focusing Cyclotron",103 106,
a-17,"S. Chojnacki, Warsaw University, Warsaw, Poland","General Design Features of the Warsaw University 200-cm Isochronous Heavy-Ion Cyclotron",107 107,
b-01,"The GANIL Study Group, GANIL, Orsay, France","GANIL: A proposal for a French Heavy-Ion Laboratory (Invited paper)",111 116,
b-02,"W.L. Rautenbach, University of Stellenbosch, Stellenbosch, South Africa; A.H. Botha, Council for Scientific and Industrial Research, Pretoria, South Africa","Proposal for a South African National Accelerator Facility for Physics and Medicine",117 122,
b-03,"U. Schryber, S. Adam, B. Berkes, D. Collins, W. Joho, P. Lanz, M. Olivo, SIN, Villigen, Switzerland","A Proposed New Injector for the SIN Ring Cyclotron",123 126,
b-04,"S. Dahlgren, A. Asberg, A. Ingemarsson, S. Kullander, B. Lundström, P.U. Renberg, K. Ståhl, H. Tyrén, University of Uppsala, Uppsala, Sweden","Conversion Studies for the Uppsala Synchro-Cyclotron",127 131,
b-05,"E. Baron, M.P. Bourgarel, P. Mandrillon, GANIL, Orsay, France","The GANIL Injector",132 134,
b-06,"R.J. Burleigh, D.J. Clark, W.S. Flood, LBL, Berkeley, California, USA","150-MeV Proton Medical Cyclotron Design Study",135 138,
c-01,"K.L. Erdman, TRIUMF, Vancouver, British Columbia, Canada","Special Aspects of Cyclotron RF-systems (Invited paper)",141 145,
c-02,"H. Beger, A. Fiebig, C.E. Hill, R. Hohbach, F. Nitsch, S. Talas, CERN, Geneva, Switzerland","Design, Construction and Operation of the New CERN SC RF System",146 150,
c-03,"F.G. Tinta, Nevis Laboratories, Columbia University, Irvington, New York, USA","Multipacting-Related Processes and RF Breadkown Protection by Using Bias Pulsing at the Nevis Synchro-Cyclotron",151 155,
c-04,"A.H. Botha, Council for Scientific and Industrial Research, Pretoria, South Africa; J.J. Kritzinger, Southern University Nuclear Institute, Faure, South Africa","Design of an RF-System for an Open-Sector Cyclotron",156 159,
c-05,"C. Pagani, G. Varisco, INFN-Milano, Milan, Italy; G. Marinone, M. Puglisi, Università di Pavia, Pavia, Italy","Results of a New Passive RF Stabilizing System",160 162,
c-06,"C. Bieth, A. Joubert, G. Rastoix, J. Riedel, GANIL, Orsay, France","The GANIL Acceleration System",163 166,
c-07,"R.H.M. Gummer, R.L. Poirier, M. Zach, TRIUMF, Vancouver, British Columbia, Canada","TRIUMF RF System - Initial Operating Problems and their Solutions",167 170,
c-08,"P.S. Miller, E. Kashy, Michigan State University, East Lansing, Michigan, USA","Absolute Calibration of Dee Voltage by X-Ray Endpoint",171 174,
c-09,"A. Fiebig, R. Hohbach, CERN, Geneva, Switzerland","Principles and Performance of the Cee Beam Stretching System at CERN SC 2",175 179,
c-10,"Ph. Guidée, Institut de Physique Nucléaire, Orsay, France; J. Peyromaure, GERMA, Saclay, France","A New Approach for High-Power Solid-State Drivers Used for Wide-Band RF Acceleration",180 183,
c-11,"O. Szavits, D. Brombach, SIN, Villigen, Switzerland","The SIN Fast Magnetic Field Measuring System",184 186,
c-12,"E. Braunersreuther, B. Hedin, D. Lehm, P. Skarek, N. Vogt-Nilsen, CERN, Geneva, Switzerland","Measurement and Shimming of the Improved CERN Synchro-Cyclotron Magnet",187 190,
c-13,"B. Berkes, D. Brombach, SIN, Villigen, Switzerland","Magnet System of the SIN Ring Injector Cyclotron",191 192,
c-14,"H.N. Jungwirth, L.D. Bruins, A.H. Botha, J.L. Pabot, Council for Scientific and Industrial Research, Pretoria, South Africa","Design of Magnets for an Open-Sector Cyclotron",193 196,
