abc-01,"B.W. Allardyce, CERN, Geneva, Switzerland","The CERN Synchrocyclotron Today",55 58,
abc-02,"C.A. Ludemann, J.B. Ball, R.M. Beckers, E.D. Hudson, R.S. Lord, J.A. Martin, W.T. Milner, S.W. Mosko, N.F. Ziegler, ORNL, Oak Ridge, Tennessee, USA; T.P. Cleary, World Information and Technology Systems Corporation, Willowdale, Ontario, Canada","Initial Operation of ORIC with Tandem Injection",59 62,
abc-03,"H. Chang, H. Cai, M. Chen, W. Gao, J. Gu, J. Wei, C. Yao, G. Yi, J. Zhang, Institute of Nuclear Research, Academia Sinica, Shanghai, China","Status of the INR Cyclotron",63 67,
abc-04,"A. Jain, A.S. Divatia, R.C. Sethi, Bhabha Atomic Research Centre, Calcutta, India","Beam Development on the Variable Energy Cyclotron at Calcutta",69 73,
abc-05,"S. Chatterjee, Y. Bahadur, B.B. Bhattacharjee, D.S. Bhattacharya, D.K. Bose, J. Chaudhury, S.N. Chintalapudi, S.K. Das, T.K. De, R. Dey, A.S. Divatia, N.K. Ganguly, A. Jain, P.K. Khemka, K. Kundu, S.K. Mitra, B. Mukhopadhyay, N.K. Mukhopadhyay, S.K. Pardhasaradhi, R. Ramakrishnan, S.S. Ramamurthy, R.C. Sethi, R.P. Sharma, S.D. Tiwari, M.D. Trivedi, Bhabha Atomic Research Centre, Calcutta, India","Operation and Utilization of the Variable Energy Cyclotron at Calcutta",75 79,
abc-06,"M. Lieuvin, Institut des Sciences Nucléaires, Grenoble, France","SARA - Grenoble Status Report",81 88,
abc-07,"I. Miura, Y. Fujita, M. Fujiwara, K. Hosono, M. Inoue, T. Itahashi, M. Kondo, T. Saito, A. Shimizu, T. Yamazaki, Osaka University, Osaka, Japan","Advance in the Proposed RCNP Ring Cyclotron",89 93,
abc-08,"L.A. Sarkisyan, Moscow State University, Moscow, USSR","Acceleration of the High-Current Beams of Heavy Ions up to 1-2 GeV/Nucleon in the Ring Cyclotron",95 97,
abi-01,"M. Gouttefangeas, J. Fermé, The GANIL Group, GANIL, Caen, France","Status Report on GANIL",3 11,
abi-02,"H. Kamitsubo, RIKEN, Saitama, Japan","IPCR Separated Sector Cyclotron with K=540",13 22,
abi-03,"B.W. Wei, Institute of Modern Physics, Lanzhou, China","Present Status of HIRFL",23 32,
