a01,"J.A. Martin, ORNL, Oak Ridge, Tennessee, USA","Invited Paper: The International Cyclotron Conferences - Twenty-Five Years of Progress",99 98,
a02,"A. Joubert, . GANIL Group, GANIL, Caen, France","Invited Paper: Status Report on the GANIL Facility",3 10,
a03,"P.S. Miller, NSCL, East Lansing, Michigan, USA","Invited Paper: The MSU Superconducting Cyclotron Program",11 19,
b01,"S. Adam, M. Humbel, W. Joho, SIN, Villigen, Switzerland","Beam Dynamical Aspects of the SIN Injector II",20 23,
b02,"T. Yamazaki, K. Hosono, M. Inoue, Y. Kadota, I. Miura, Osaka University, Osaka, Japan; M. Fuki, Okayama University of Science, Okayama, Japan","Beam Dynamics for a Proposed RCNP Ring Cyclotron",24 27,
b03,"X.-F. Zao, K.-S. Chen, J. Zhang, Institute of Nuclear Research, Shanghai, China","The Design, Transmission Matrix and Beam Emittance for the INR Cyclotron Beam-Extraction System",28 31,
b04,"J.I.M. Botman, M.K. Craddock, C.J. Kost, TRIUMF, Vancouver, B.C., Canada","Transfer Matrix Techniques for Ring Cyclotron Sector Shapes",32 35,
b05,"A. Goto, N. Nakanishi, Y. Yano, RIKEN, Saitama, Japan","Computer Simulations of Accelerated Particles in the RIKEN SSC",36 39,
b06,"R. Baartman, G.H. Mackenzie, TRIUMF, Vancouver, B.C., Canada; M.M. Gordon, NSCL, East Lansing, Michigan, USA","Amplitude Growth from the Rapid Traversal of a Half-Integer Resonance",40 43,
b07,"F. Marti, H.G. Blosser, M.M. Gordon, NSCL, East Lansing, Michigan, USA","Effect of Orbit Centering and Magnet Imperfections on Beam Properties in a Superconducting Cyclotron",44 47,
b08,"J. Griffin, F. Marti, NSCL, East Lansing, Michigan, USA","Third Harmonic Central Region for the K500-K800 Superconducting Cyclotrons",48 51,
b09,"B.F. Milton, H.G. Blosser, NSCL, East Lansing, Michigan, USA","Starting Time Effects on the Axial Emittance of the MSU Cyclotron",52 54,
b10,"B.F. Milton, M. Fowler, J.A. Kuchar, R.M. Ronningen, NSCL, East Lansing, Michigan, USA","Design of a Beam Phase Measurement and Selection System for the MSU K500 Cyclotron",55 58,
b11,"D.L. Friesel, J.W. Stetson, Indiana University, Bloomington, Indiana, USA","Orbit Centering Studies of the IUCF Injector and Main Stage Cyclotrons",59 62,
b12,"S.J. Burger, A.H. Botha, G.F. Burdzik, Z.B. du Toit, G.S.Z. Guasco, H. Keller, L. Stawiszynski, National Accelerator Centre, Faure, Republic of South Africa","The Electrolytic Tank Facility at the NAC",63 66,
b13,"S.J. Burger, P.J. Celliers, Z.B. du Toit, G.S.Z. Guasco, L.M. Roels, H.A. Smit, National Accelerator Centre, Faure, Republic of South Africa","On the Design of the Central Region of an 8 MeV Injector Cyclotron",67 70,
b14,"E. Acerbi, F. Alessandria, L. Rossi, University of Milan  INFN Milan, Milan, Italy","Possible Movements of the Milan Superconducting Coils Under the Influence of Mechanical Stresses",71 74,
b15,"E. Acerbi, F. Aghion, G. Baccaglioni, M. Mora, L. Rossi, University of Milan  INFN Milan, Milan, Italy","Magnetic Procedures for the Assembly of Superconducting Coils at the Milan Cyclotron Laboratory",75 78,
b16,"A.F. Zeller, J.C. DeKamp, M.J. Dubois, J.A. Nolen, R.T. Swanson, NSCL, East Lansing, Michigan, USA","Design and Construction of a Low Current, Cryogenically Efficient Beam Line Quadrupole",79 81,
b17,"R. Burge, G. Dennison, D. Dohan, TRIUMF, Vancouver, B.C., Canada","Precision NMR Measurement of the TRIUMF Cyclotron Magnetic Field",82 84,
b18,"D.E. Lobb, P.A. Reeve, TRIUMF, Vancouver, B.C., Canada","A Proposed Superferric Combined Function Magnet",85 88,
b19,"A. Laisné, D. Potaux, IPN, Orsay, France","Possible Pole Geometry Determination Method for an Isochronous Superconducting Cyclotron",89 93,
b20,"Z.B. du Toit, L.M. Roels, H.N. Jungwirth, A.H. Botha, National Accelerator Centre, Faure, Republic of South Africa","Calculated and Measured Magnetic Fields for the Injector Cyclotron at the NAC",94 97,
b21,"D. Lawton, H.G. Blosser, J.M. Moskalik, G.A. Stork, NSCL, East Lansing, Michigan, USA","Mechanical Design Features of the MSU K800 Cyclotron Superconducting Coil",98 98,
b22,"L.H. Harwood, D. Johnson, NSCL, East Lansing, Michigan, USA","A Model for Calculating in Two Dimensions a Magnet with Repetitive Structure in the Third Dimension",99 100,
