i-01,"I. Miura, A. Ando, K. Hatanaka, K. Hosono, H. Ikegami, T. Itahashi, M. Kibayashi, M. Kondo, H. Ogata, T. Saito, A. Shimizu, K. Tamura, M. Uraki, T. Yamazaki, Osaka University, Osaka, Japan; J. Abe, Sumitomo Heavy Industries, Ehime, Japan","Commissioning of the RCNP Ring Cyclotron (Invited Paper)",3 10,
i-02,"G.G. Gulbekyan, V. Bekhterev, O. Borisov, B. Gikal, A. Ivanenko, I. Kolesov, V.B. Kutner, A. Morduev, Yu.Ts. Oganessian, JINR, Dubna, Russia","New Development at the JINR Heavy Ion Cyclotron Facility (Invited Paper)",11 21,
i-03,"E. Liukkonen, University of Jyväskylä, Jyväskylä, Finland","New K130 Cyclotron at Jyväskylä (Invited Paper)",22 27,
i-04,"Th. Stammbach, PSI, Villigen, Switzerland","Experience with the High Current Operation of the PSI Cyclotron Facility (Invited Paper)",28 35,
i-05,"J. Stetson, NSCL, East Lansing, Michigan, USA; S. Adam, M. Humbel, W. Joho, Th. Stammbach, PSI, Villigen, Switzerland","The Commissioning of PSI Injector 2 for High Intensity, High Quality Beams",36 39,
i-06,"H.W. Schreuder, IPN, Orsay, France","AGOR: Recent Achievements (Invited Paper)",40 46,
i-07,"G. Spinney, CERN, Geneva, Switzerland","Thoughts on Decommissioning the CERN Synchro Cyclotron",47 49,
i-08,"A.I. Muminov, Institute of Nuclear Physics, Tashkent, Republic of Uzbekistan; M.F. Vorogushin, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, St. Petersburg, Russia","Parameters, Present State and Application Perspectives of the U-250 Cyclotron",50 53,
i-09,"M. Bajard, GANIL, Caen, France","GANIL Status Report",54 57,
i-10,"N.K. Abrosimov, S.A. Artamonov, P.V. Chervyakov, S.P. Dmitriev, V.A. Eliseev, V.P. Fominenko, E.M. Ivanov, G.F. Mikheev, Yu.T. Mironov, A.S. Pokrovskii, G.A. Riabov, V.A. Smolin, G.L. Sokolov, V.A. Volchenkov, A.A. Vorobiev, Petersburg Nuclear Physics Institute, Gatchina, Russia; P.V. Bogdanov, B.D. Ershov, V.S. Kuligin, V.N. Moshkin, V.G. Mudrolyubov, Yu.I. Stogov, A.P. Strokach, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, St. Petersburg, Russia","Gatchina Isochronous Cyclotron",58 61,
i-11,"M. Fruneau, S. Albrand, D. Barnéoud, J.L. Belmont, G. Bizouard, J.L. Bouly, G. Campillo, M. Guisset, G. Laborie, Université Joseph Fourier, Grenoble, France","Status Report of SARA",62 66,
i-12,"W. Bräutigam, H. Beuscher, R. Brings, H.G. Böge, R. Maier, M. Rogge, P. Wucherer, FZJ, Jülich, Germany","Commissioning of the Injector Complex of COSY-Jülich",67 70,
i-13,"A.A. Arzumanov, V. Batischev, V. Berger, V. Gerasimov, M. Gorcovets, Kazakhstan Academy of Sciences, Alma-Ata, Republic of Kazakhstan","Current Status and Future Project of Cyclotron Laboratory in Alma-Ata",71 73,
i-14,"B.W. Wei, F. Ye, Institute of Modern Physics, Lanzhou, People's Republic of China","Initial Operation of HIRFL",74 77,
i-15,"F. Ye, M. Guo, Z. Ma, Q. Qiao, Y. Wang, Q. Yin, X. Zhu, Institute of Modern Physics, Lanzhou, People's Republic of China","Upgrading the SFC",78 81,
i-16,"M. Loiselet, N. Postiau, G. Ryckewaert, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","Status Report of Cyclone",82 85,
i-17,"P. Miller, T.A. Antaya, F. Marti, D. Poe, B. Sherrill, J. Stetson, J. Winger, NSCL, East Lansing, Michigan, USA; J.A. Nolen, ANL, Argonne, Illinois, USA","Performance of the K1200 Cyclotron at MSU",86 89,
i-18,"F. Alessandria, G. Bellomo, A. Bosotti, C. De Martinis, D. Giove, P. Michelato, C. Pagani, L. Rossi, INFN/LASA, Segrate, Italy; L. Calabretta, G. Ciavola, G. Cuttone, M. Di Giacomo, S. Gammino, P. Gmaj, G. Raia, D. Rifuggiato, J. Sura, INFN/LNS, Catania, Italy","Status Report on the Heavy Ion Facility at LNS",90 94,
i-19,"J.L. Conradie, A.H. Botha, P.M. Cronje, R.E.F. Fenemore, H.N. Jungwirth, J.J. Kritzinger, W.A.G. Nel, D. Reitmann, L.M.M. Roels, P.F. Rohwer, H.A. Smit, National Accelerator Centre, Faure, Republic of South Africa","Development of the NAC Accelerator Facilities",95 98,
i-20,"S. Biri, J. Pálinkás, A. Valek, Institute of Nuclear Research of the Hungarian Academy of Sciences, Debrecen, Hungary","Heavy Ion Facility in ATOMKI",99 101,
i-21,"Y. Yano, RIKEN, Saitama, Japan","Recent Achievements at the RIKEN Ring Cyclotron",102 105,
i-22,"S. Holm, Uppsala University, Uppsala, Sweden","Status Report on the Gustaf Werner Cyclotron in Uppsala",106 109,
ii-01,"V. Bechtold, FZK, Karlsruhe, Germany","Commercially Available Compact Cyclotrons for Isotope Production (Invited Paper)",110 114,
ii-02,"T. Grey-Morgan, Cyclotron Isotopes Manufacturing, Buckinghamshire, England; R.E. Hubbard, Medi + Physics Inc., Arlington Heights, Illinois, USA","The Operation of Cyclotrons Used for Radiopharmaceutical Production",115 118,
ii-03,"K. Arakawa, T. Agematsu, M. Fukuda, I. Ishibori, T. Karasawa, T. Nara, Y. Nakamura, S. Okumura, R. Tanaka, W. Yokota, JAERI, Gunma, Japan; A. Shimizu, Osaka University, Osaka, Japan; Y. Hayashi, K. Ishii, T. Satoh, T. Tachikawa, Sumitomo Heavy Industries, Ehime, Japan","Construction and First Year's Operation of the JAERI AVF Cyclotron",119 122,
