A-01,"H.W. Schreuder, KVI, Groningen, The Netherlands","Invited Paper: AGOR: Initial Beam Tests, Transport and Commissioning",6 11,
a-02,"L. Calabretta, A. Amato, G. Attinà, M. Cafici, A. Caruso, G. Cuttone, G. De Luca, S. Gammino, P. Gmaj, E. Migneco, S. Pace, S. Passarello, S. Pulvirenti, G. Raia, D. Rifuggiato, A. Rovelli, G. Sarta, M. Sedita, A. Spartà, F. Speziale, J. Sura, INFN/LNS, Catania, Italy; E. Acerbi, F. Alessandria, G. Baccaglioni, G. Bellomo, C. Birattari, A. Bosotti, C. De Martinis, E. Fabrici, D. Giove, W. Giussani, P. Michelato, C. Pagani, L. Rossi, G. Varisco, INFN/LASA  University of Milan, Segrate, Milan, Italy","Invited Paper: Commissioning of the K800 INFN Cyclotron",12 19,
a-03,"U. Trinks, TU München, Garching, Germany","Invited Paper: The Superconducting Separated-Orbit Cyclotron TRITRON",20 27,
a-04,"Z.B. Du Toit, A.H. Botha, S.J. Burger, P.J. Celliers, J.L. Conradie, J.C. Cornell, J.L.G. Delsink, J.G. De Villiers, R.E.F. Fenemore, D.T. Fourie, H.N. Jungwirth, A. Müller, P.F. Rohwer, W.F. Van Heerden, D.M. Van Rooyen, National Accelerator Centre, Faure, Republic of South Africa","Commissioning of the Injector Cyclotron for Polarised and Heavy Ions at NAC",28 31,
b-01,"U. Schryber, S. Adam, T. Blumer, J. Cherix, H.R. Fitze, H. Frei, D. George, G. Heidenreich, M. Humbel, I. Jirousek, W. Joho, M. Märki, C. Markovits, A. Mezger, M. Olivo, L. Rezzonico, U. Rohrer, P.K. Sigg, T. Stammbach, PSI, Villigen, Switzerland","Invited Paper: High Power Operation of the PSI-Accelerators",32 38,
b-02,"E. Baron, . GANIL Staff, GANIL, Caen, France","Invited Paper: Upgrading the GANIL Facilities for High-Intensity Heavy Ion Beams (T.H.I. Project)",39 44,
b-03,"F. Marti, H.G. Blosser, T. Grimm, D.A. Johnson, D. Lawton, M.M. Gordon, P. Miller, J. Vincent, X.Y. Wu, R.C. York, A.F. Zeller, NSCL, East Lansing, Michigan, USA","High Intensity Operation of a Superconducting Cyclotron",45 48,
b-04,"K. Hosono, S. Ano, K. Hatanaka, T. Itahashi, M. Kibayashi, I. Miura, T. Saito, K. Sato, A. Shimizu, K. Takahisa, H. Tamura, K. Tamura, M. Uraki, T. Yamazaki, Osaka University, Osaka, Japan","Operating Status of the RCNP Separated Sector Cyclotron",49 52,
b-05,"B. Sinha, Bhabha Atomic Research Centre, Variable Energy Cyclotron Centre, Calcutta, India","The Superconducting Cyclotron Project K500 at Calcutta Cyclotron Centre",53 56,
b-06,"K. Arakawa, T. Agematsu, M. Fukuda, I. Ishibori, Y.F. Nakamura, T. Nara, S. Okumura, W. Yokota, JAERI, Gunma, Japan","Status Report on JAERI-AVF Cyclotron",57 60,
b-07,"G. Dutto, E.W. Blackmore, J. Carey, K. Fong, R. Helmer, T. Hodges, A. Hurst, R.E. Laxdal, C.D.P. Levy, M. Mouat, D. Pearce, R. Poirier, Y. Yin, A.N. Zelenski, TRIUMF, Vancouver, B.C., Canada","Recent Performance of the TRIUMF Cyclotron and Status of the Facility",61 65,
b-08,"P. Heikkinen, E. Liukkonen, University of Jyväskylä, Jyväskylä , Finland","K130 Cyclotron - The First Years of Full Operation",66 69,
b-09,"H. Homeyer, HMI, Berlin, Germany","ISL-Berlin, an Ion Beam Laboratory for Applications",70 73,
b-10,"F. Loyer, . GANIL Staff, GANIL, Caen, France","Status Report on the GANIL Renovation Program",74 77,
b-11,"B. Martin, W. Busse, H. Homeyer, W. Pelzer, HMI, Berlin, Germany; A. Schempp, O. Engels, F. Marhauser, University of Frankfurt, Frankfurt, Germany","A New Injector Concept: The RFQ-Cyclotron Combination at ISL-Berlin",78 81,
b-12,"N. Nescaron;kovicacute;, D.V. Altiparmakov, P. Beliccaron;ev, B. Bojovicacute;, P. Bojovicacute;, A. Dobrosavljevicacute;, N. Makisimovicacute;, V. Vujovicacute;, VINCcaron;A Institute of Nuclear Sciences, Belgrade, Yugoslavia","Status Report on the VINCY Cyclotron",82 85,
b-13,"V. Karasyuk, G. Kurkin, P. Kuznetsov, V. Marusov, V. Parkhomchuk, G. Silvestrov, T. Sokolova, V. Turkin, T. Vsevolozhskaya, Institute of Nuclear Physics, Novosibirsk, Russia","H Cyclotron for Charge-Exchange Injection into a Synchrotron",86 91,
b-14,"G.W. East, Indiana University, Bloomington, Indiana, USA","Facility Status Update of IUCF",92 94,
b-15,"G. Gulbekian, . JINR Cyclotrons Group, JINR, Dubna, Russia","Status of the Flerov Laboratory of Nuclear Reactions JINR Heavy Ion Cyclotrons",95 98,
bnqt-01,"D. Reitmann, National Accelerator Centre, Faure, Republic of South Africa","A Brief History of South Africa's Cyclotrons",3 5,
c-01,"B.F. Milton, TRIUMF, Vancouver, B.C., Canada","Invited Paper: Commercial Compact Cyclotrons in the '90s",99 106,
c-02,"M. Chen, G. Chen, D. Li, X. Lu, L. Shen, S. Xu, Y. Zhang, Institute of Nuclear Research, Academia Sinica, Shanghai, China; W. Zhou, X'ian Academia Sinica, X'ian, China","A New Type of Mini Cyclotron as Accelerator Mass Spectrometer",107 110,
c-03,"D.J. Clark, K. Halbach, W.B. Kunkel, K.N. Leung, C.Y. Li, A.T. Young, LBNL, Berkeley, California, USA","A Compact Permanent Magnet Cyclotron for Accelerator Mass Spectrometry",111 114,
c-04,"Y. Jongen, D. Vandeplassche, P. Cohilis, Ion Beam Applications SA, Louvain-la-Neuve, Belgium","High Intensity Cyclotrons for Radioisotope Production, or The Comeback of the Positive Ions",115 119,
c-05,"M. Abs, J.C. Amélia, J.-L. Bol, M. De Leenheer, M. Ghyoot, J.-L. Delvaux, Y. Jongen, M. Ladeuze, G. Lannoye, J.-L. Morelle, M. Pinchart, M. Schuwer, S. Zaremba, Ion Beam Applications SA, Louvain-la-Neuve, Belgium","The IBA PET-Dedicated Cyclotrons: Main Features and Improvements",120 123,
c-06,"E.M. Conard, Particle Accelerator Consultants, Dion-Valmont, Belgium; D.W. Arnott, S. Parcell, National Medical Cyclotron, Camperdown, Australia","1 mA 30 MeV Proton Beams for Radionuclide Production",124 127,
c-07,"S.M. Haji-Saeid, H. Afarideh, A. Amirabadi, Nuclear Research Center for Agriculture and Medicine, Karadj, Iran","The NRCAM Cyclotron Facilities",128 131,
c-08,"M.F. Vorogushin, V. Glukhikh, B. Tronov, Yu.P. Vakhrushin, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, St. Petersburg, Russia","Status of Cyclotron Design in the Efremov Institute",132 135,
d-01,"P.Yu. Apel, JINR, Dubna, Russia","Invited Paper: Polymeric Materials Research with Cyclotrons",136 143,
d-02,"M.F. Stroosnijder, Joint Research Centre, Ispra (Va), Italy","The Application of a Cyclotron in Materials Research at the IAM of the European Commission",144 147,
d-03,"A.V. Demyanov, Institute for Nuclear Research, Kiev, Ukraine","Application of 235U+ Ion Beams for Increasing the Safety of Operation in Nuclear Reactors for Atomic Power Station (APS)",148 149,
d-04,"A.A. Ogloblin, Kurchatov Institute, Moscow, Russia","Radioactive Beams for Material Engineering",150 153,
d-05,"G. Laguzzi, R. Bisconti, G. Macchi, M.F. Stroosnijder, Joint Research Centre, Ispra (Va), Italy","Deuteron Activation of Chromium for Thin Layer Activation Studies",154 156,
d-06,"S. Tazawa, Sumitomo Heavy Industries Examination  Inspection, Toyo-shi, Japan; H. Muraoka, T. Nozaki, Purex Inc., Yokohama, Japan","Industrial Use of a Sub-Compact Cyclotron",157 160,
e-01,"P.K. Sigg, J. Cherix, H.R. Fitze, H. Frei, M. Märki, U. Schryber, PSI, Villigen, Switzerland","Invited Paper: High Beam Power RF-Systems for Cyclotrons",161 168,
e-02,"T. Saito, I. Miura, M. Uraki, Osaka University, Osaka, Japan","The Flat-Topping System for the RCNP Ring Cyclotron",169 172,
e-03,"C.M. Lyneis, D.J. Clark, Z.Q. Xie, LBNL, Berkeley, California, USA","LBNL 88-Inch Cyclotron Improvements",173 176,
e-04,"T. Kuo, R. Baartman, G. Dutto, K. Jayamanna, R.E. Laxdal, M. McDonald, B.F. Milton, R. Poirier, L. Root, P.W. Schmor, H.R. Schneider, N.R. Stevenson, W. Uzat, D. Yuan, TRIUMF, Vancouver, B.C., Canada","On the Development of 2 mA RF H Beams for Compact Cyclotrons",177 180,
e-05,"A. Schempp, University of Frankfurt, Frankfurt, Germany","Invited Paper: RF-Quadrupole Injectors for Cyclotrons",181 185,
e-06,"J. Dietrich, FZJ, Jülich, Germany","Invited Paper: Recent Beam Diagnostic Techniques",186 193,
e-07,"B. Launé, IPN, Orsay, France; . SPIRAL Group, GANIL, Caen, France","The Diagnostics System for the SPIRAL R.I.B. Facility",194 197,
e-08,"O.C. Dermois, K. Gerbens, J.M. Schippers, J. Zijlstra, KVI, Groningen, The Netherlands","Non intercepting Beam-Current and Position Monitors for the AGOR Beamlines",198 201,
e-09,"A. Goto, Y. Batygin, T. Chiba, M. Hemmi, E. Ikezawa, N. Inabe, T. Kageyama, O. Kamigaito, M. Kase, S. Kohara, Y. Miyazawa, T. Nakagawa, Y. Yano, RIKEN, Saitama, Japan","Construction of a New Pre-Injector System for the RILAC",202 205,
e-10,"J.Y. Tang, X.Q. Zhao, Institute of Modern Physics, Lanzhou, China","New Design of the SFC Central Region",206 209,
e-11,"D.V. Altiparmakov, M.V. Markovic, S.S. Tomic, VINCcaron;A Institute of Nuclear Sciences, Belgrade, Yugoslavia; N.A. Morozov, JINR, Dubna, Russia","Computer Modeling of the Isochronous Field in the VINCY Cyclotron",210 213,
