frwaud01,"N. Shurkhno, A.O. Sidorin, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] T. Katayama [GSI, Darmstadt, Germany] R. Stassen [FZJ, Jülich, Germany] ","Stochastic Cooling Experiments at Nuclotron and Application to NICA Collider",165 169,
frwaud02,"F. Nolden [GSI, Darmstadt, Germany] ","Fokker-Planck Approach to the Description of Transverse Stochastic Cooling",170 174,
frwaud03,"D. Barker, C. Dimopoulou, C. Peschke [GSI, Darmstadt, Germany] L. Thorndahl [CERN, Geneva, Switzerland] ","Design of the Palmer Pickup for Stochastic Pre-Cooling of Hot Rare Isotopes at the CR",175 178,
frxaud02,"A.G. Kobets, E.V. Ahmanova, P. Horodek, I.N. Meshkov, O. Orlov, A.A. Sidorin [JINR, Dubna, Moscow Region, Russia] M.K. Eseev [NAFU, Arkhangelsk, Russia] ","Lepta - the Facility for Fundamental and Applied Research",179 181,
fryaud01,"Y. Yamaguchi, Y. Abe [RIKEN, Saitama, Japan] F. Suzaki, M. Wakasugi [RIKEN Nishina Center, Wako, Japan] ","Commissioning of the Rare-RI Ring at RIKEN RI Beam Factory",182 186,
mopf02,"A. Hofmann, K. Aulenbacher, M.W. Bruker, J. Dietrich, T. Weilbach [HIM, Mainz, Germany] V.V. Parkhomchuk, V.B. Reva [BINP SB RAS, Novosibirsk, Russia] ","The Green Energy Turbine as Turbo Generator for Powering the HV-Solenoids at a Relativistic Electron Cooler",29 31,
mopf03,"G. Stancari, A.V. Burov, V.A. Lebedev, S. Nagaitsev, E. Prebys, A. Valishev [Fermilab, Batavia, Illinois, USA] ","Electron Lenses and Cooling for the Fermilab Integrable Optics Test Accelerator",32 35,
mopf05,"J. Gerity, P.M. McIntyre [Texas Aamp;M University, College Station, USA] ","A Cooling Storage Ring for an Electron-Ion Collider",36 38,
mopf06,"B.A. Kootte, B. Barquest, U. Chowdhury, J. Even, M. Good, A.A. Kwiatkowski, D. Lascar, K.G. Leach, A. Lennarz, D.A. Short [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] M. Alanssari [Universitaet Muenster, Physikalisches Institut, Muenster, Germany] C. Andreoiu [SFU, Burnaby, BC, Canada] J. Bale, J. Dilling, A. Finlay, A.A. Gallant, E. Leistenschneider [UBC  TRIUMF, Vancouver, British Columbia, Canada] D. Frekers [Institut für Kernphysik, Westfälische Wilhelms-Universität Münster, Münster, Germany] G. Gwinner [University of Manitoba, Manitoba, Canada] R. Klawitter [Heidelberg University, Physics Institute, Heidelberg, Germany] T.T. Li [UW/Physics, Waterloo, Ontario, Canada] A.J. Mayer [University of Calgary, NW Calgary, Alberta, Canada] R. Schupp [MPI, Muenchen, Germany] ","Quantification of the Electron Plasma in TItan's Cooler Penning Trap",39 42,
mopf07,"J.G. Acosta, L.M. Cremaldi, T.L. Hart, S.J. Oliveros, D.J. Summers [UMiss, University, Mississippi, USA] D.V. Neuffer [Fermilab, Batavia, Illinois, USA] ","Final Muon Ionization Cooling Channel using Quadrupole Doublets for Strong Focusing",43 47,
mopf08,"M.W. Bruker, K. Aulenbacher, J. Dietrich, A. Hofmann, T. Weilbach [HIM, Mainz, Germany] ","Secondary Electron Measurements at the HIM Electron Cooler Test Set-Up",48 50,
mopf09,"F. Nolden [GSI, Darmstadt, Germany] J.X. Wu [IMP/CAS, Lanzhou, People's Republic of China] ","Signals from a Beam Performing Betatron Oscillations Using an Electrostatic Electrode Model with Rectangular Boundaries",51 54,
mopf10,"K. Yonehara, V.A. Lebedev [Fermilab, Batavia, Illinois, USA] J.A. Maloney [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Design Beam Diagnostic System for Optical Stochastic Cooling at IOTA Ring",55 58,
mopf12,"S. Abeyratne, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] B. Erdelyi [ANL, Argonne, USA] ","N-body Code to Demonstrate Electron Cooling",59 62,
mopf13,"Y.L. Huang [IMP/CAS, Lanzhou, People's Republic of China] R.A. Rimmer, H. Wang, S. Wang [JLab, Newport News, Virginia, USA] ","Taper and Tuner Scheme of a Multi-Frequency Cavity for the Fast Kicker Resonator in MEIC Electron Circular Cooler Ring",63 66,
mowaud03,"D.M. Kaplan [Illinois Institute of Technology, Chicago, Illinois, USA] ","Overview of Muon Cooling",99 98,
moxaud02,"V.B. Reva, M.I. Bryzgunov, V.V. Parkhomchuk [BINP SB RAS, Novosibirsk, Russia] V. Kamerdzhiev, T. Katayama, R. Stassen, H. Stockhorst [FZJ, Jülich, Germany] ","Experimental Observation of Longitudinal Electron Cooling of DC and Bunched Proton Beam at 2425 MeV/c at COSY",10 14,
moyaud02,"R. Stassen, B. Breitkreutz, G. Schug, H. Stockhorst [FZJ, Jülich, Germany] ","Stochastic Cooling of Heavy Ions in the HESR",15 19,
moyaud03,"H. Stockhorst, B. Lorentz, R. Maier, D. Prasuhn, R. Stassen [FZJ, Jülich, Germany] T. Katayama [Nihon University, Narashino, Chiba, Japan] ","Stochastic Cooling System for HESR - Theoretical and Simulation Studies",20 24,
moyaud04,"C. Dimopoulou, D. Barker, R.M. Böhm, R. Hettrich, W. Maier, C. Peschke, A. Stuhl, S. Wunderlich [GSI, Darmstadt, Germany] L. Thorndahl [CERN, Geneva, Switzerland] ","Stochastic Cooling Developments for the Collector Ring at FAIR",25 28,
thwcr02,"S.M. Cousineau, T.V. Gorlov, Y. Liu, A.A. Menshov, M.A. Plum, A. Rakhman [ORNL, Oak Ridge, Tennessee, USA] K. Aulenbacher [IKP, Mainz, Germany] ","The SNS Laser Stripping Injection Experiment and its Implications on Beam Accumulation",140 144,
thwcr04,"B.T. Freemire, Y. Torun [IIT, Chicago, Illinois, USA] D.L. Bowring, A. Moretti, A.V. Tollestrup, K. Yonehara [Fermilab, Batavia, Illinois, USA] A.V. Kochemirovskiy [University of Chicago, Chicago, Illinois, USA] D. Stratakis [BNL, Upton, Long Island, New York, USA] ","RF Technologies for Ionization Cooling Channels",145 149,
thyaud02,"D.V. Neuffer, Y.I. Alexahin [Fermilab, Batavia, Illinois, USA] ","Front End and HFOFO Snake for a Muon Facility",150 154,
thzaud01,"J. Wei [FRIB, East Lansing, Michigan, USA] X.-P. Li [Skyworks Solutions, Inc., Newbury Park. California, USA] H. Okamoto [HU/AdSM, Higashi-Hiroshima, Japan] ","Crystalline Beam Studies with Andy Sessler",155 164,
tupf01,"S.J. Oliveros, J.G. Acosta, L.M. Cremaldi, D.J. Summers [UMiss, University, Mississippi, USA] ","Cooling for a High Luminosity 100 TeV Proton Antiproton Collider",97 100,
tupf02,"H. Zhang, J. Chen, R. Li [JLab, Newport News, Virginia, USA] H. Huang, L. Luo [ODU, Norfolk, Virginia, USA] ","Development of the Electron Cooling Simulation Program for MEIC",101 103,
tupf04,"T.A. Mohayai [IIT, Chicago, Illinois, USA] ","The MICE Demonstration of Ionization Cooling",104 107,
tupf07,"S. Wunderlich, R.M. Böhm, C. Dimopoulou, W. Maier, R. Menges, C. Peschke [GSI, Darmstadt, Germany] ","Progress of the RF-System Developments for Stochastic Cooling at the FAIR Collector Ring",108 111,
tupf08,"M.I. Bryzgunov, A.V. Bubley, V.A. Chekavinskiy, I.A. Gusev, A.V. Ivanov, M.N. Kondaurov, V.M. Panasyuk, V.V. Parkhomchuk, D.N. Pureskin, A.A. Putmakov, V.B. Reva, D.V. Senkov, D.N. Skorobogatov [BINP SB RAS, Novosibirsk, Russia] V.B. Reva [NSU, Novosibirsk, Russia] ","High Efficiency Electron Collector for the High Voltage Electron Cooling System of COSY",112 115,
tupf09,"G.H. Wei, F. Lin, V.S. Morozov, H. Zhang [JLab, Newport News, Virginia, USA] ","Decoupling and Matching of Electron Cooling Section in the MEIC Ion Collider Ring",116 119,
tupf10,"J. Guo, H. Wang [JLab, Newport News, Virginia, USA] ","Harmonic Stripline Kicker for MEIC Bunched Beam Cooler",120 122,
