FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
FRXBPA01,"F.J. Willeke, DESY, Hamburg","HERA and the Next Generation of Lepton-ion Colliders",
FRXCPA01,"S.D. Claudet, CERN, Geneva","Design, Construction, Installation and First Commissioning Results of the LHC Cryogenic System",
FRYAPA01,"S. Rossi, CNAO Foundation, Milan","Developments in Proton and Light-ion Therapy",
FRYBPA01,"C. Pellegrini, UCLA, Los Angeles, California","Overview of Single Pass Free Electron Lasers",
FRYCPA01,"S. Chiocchio, MPI/IPP, Garching","ITER and International Scientific Collaboration",
MOPCH001,"M. Frichembruder, R. Pakter, F.B. Rizzato, IF-UFRGS, Porto Alegre","Modeling Coherence Decay in Broad Band Triplet Interaction",
MOPCH002,"G. Lambert, M. Bougeard, W. Boutu, P. Breger, B. Carré, CEA, Gif-sur-Yvette; O.V. Chubar, M.-E. Couprie, SOLEIL, Gif-sur-Yvette; D. Garzella, CEA, Gif-sur-Yvette; T. Hara, H. Kitamura, RIKEN Spring-8 Harima, Hyogo; M. Labat, H. Merdji, P. Monchicourt, CEA, Gif-sur-Yvette; D. Nutarelli, LAC, Orsay; P. Salieres, CEA, Gif-sur-Yvette; T. Shintake, RIKEN Spring-8 Harima, Hyogo","Seeding the FEL of the SCSS Phase 1 Facility with the 13th Laser Harmonic of a Ti: Sa Laser Produced in Gas",
MOPCH003,"O. Tcherbakoff, M. Bougeard, P. Breger, B. Carré, CEA, Gif-sur-Yvette; M.-E. Couprie, SOLEIL, Gif-sur-Yvette; A. Doria, ENEA C.R. Frascati, Frascati (Roma); D. Garzella, CEA, Gif-sur-Yvette; L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); M. Labat, G. Lambert, H. Merdji, P. Monchicourt, P. Salieres, CEA, Gif-sur-Yvette","Seeding SPARC Facility with Harmonic Generation in Gases: Preliminary Tests of the Harmonic Generation in Gas Chamber",
MOPCH004,"M. Labat, CEA, Gif-sur-Yvette; M.-E. Couprie, SOLEIL, Gif-sur-Yvette; T. Hara, RIKEN Spring-8 Harima, Hyogo; M. Hosaka, M. Katoh, UVSOR, Okazaki; G. Lambert, RIKEN Spring-8, Hyogo; A. Mochihashi, UVSOR, Okazaki; D. Nutarelli, LAC, Orsay; M. Shimada, UVSOR, Okazaki; Y. Takashima, Nagoya University, Nagoya; J. Yamazaki, UVSOR, Okazaki","Coherent Harmonic Generation Experiment on UVSOR-II Storage Ring",
MOPCH005,"M.-E. Couprie, C. Bruni, SOLEIL, Gif-sur-Yvette; B. Carré, CEA, Gif-sur-Yvette; O.V. Chubar, SOLEIL, Gif-sur-Yvette; D. Garzella, M. Jablonka, M. Labat, G. Lambert, CEA, Gif-sur-Yvette; A. Loulergue, SOLEIL, Gif-sur-Yvette; J.-R. Marquès, LULI, Palaiseaux; F. Meot, P. Monot, A. Mosnier, CEA, Gif-sur-Yvette; L. Nahon, SOLEIL, Gif-sur-Yvette; D. Nutarelli, LAC, Orsay; J.-M. Ortega, CLIO/ELYSE/LCP, Orsay","The ARC-EN-CIEL FEL Proposal",
MOPCH006,"J.P. Berthet, F. Glotin, J.-M. Ortega, CLIO/ELYSE/LCP, Orsay; W. Salah, The Hashemite University, Zarka","Beam Adaptation at the Infrared FEL, CLIO",
MOPCH007,"J. Bahrdt, H.-J. Baecker, W.F. Frentrup, A. Gaupp, K. Goldammer, A. Meseck, M. Scheer, BESSY GmbH, Berlin; S. Werin, MAX-lab, Lund","Undulators for a Seeded HGHG-FEL Test Bench at MAX-lab",
MOPCH008,"K. Goldammer, B.C. Kuske, A. Meseck, BESSY GmbH, Berlin","Considerations for Double Pulse Lasing from the BESSY-FEL",
MOPCH009,"J. Knobloch, BESSY GmbH, Berlin","The BESSY 2nd Generation Soft X-ray FEL User Facility",
MOPCH010,"F. Marhauser, BESSY GmbH, Berlin","High Power Tests of a High Duty Cycle, High Repetition Rate RF Photoinjector Gun for the BESSY FEL",
MOPCH011,"A. Azima, DESY, Hamburg; A.L. Cavalieri, MPQ, Garching, Munich; S. Düsterer, J. Feldhaus, DESY, Hamburg; D. Fritz, Michigan University, Ann Arbor, Michigan; H. Schlarb, DESY, Hamburg; K. Sengstock, Uni HH, Hamburg","Jitter Measurement by Spatial Electro-optical Sampling at the Flash Free Electron Laser",
MOPCH012,"H. Kapitza, P. Göttlicher, N. Heidbrook, H. Schlarb, DESY, Hamburg","FEL Disturbance by Ambient Magnetic Field Changes",
MOPCH013,"M. Roehrs, C. Gerth, M. Huening, H. Schlarb, DESY, Hamburg","Slice Emittance Measurements at FLASH",
MOPCH014,"M. Roehrs, C. Gerth, M. Huening, H. Schlarb, DESY, Hamburg","Energy-time Correlation Measurements Using a Vertically Deflecting RF Structure",
MOPCH015,"I. Zagorodnov, M. Dohlus, T. Limberg, DESY, Hamburg","Impact of Undulator Wakefileds and Tapering on European X-ray FEL Performance",
MOPCH016,"H. Delsim-Hashemi, Uni HH, Hamburg; O. Grimm, DESY, Hamburg; J. Rossbach, Uni HH, Hamburg; H. Schlarb, B. Schmidt, DESY, Hamburg; P. Schmüser, Uni HH, Hamburg; A.F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Bunch Compression Monitor",
MOPCH018,"F. Curbis, E. Allaria, G. De Ninno, ELETTRA, Basovizza, Trieste","Macro-Pulse Generation in a Storage-Ring Free-Electron Laser: A Single-Particle Plus FEL Numerical Approach",
MOPCH019,"G. D'Auria, P. Craievich, P. Delgiusto, S. Di Mitri, ELETTRA, Basovizza, Trieste; L.R. Doolittle, LBNL, Berkeley, California; M. Ferianis, M.M. Milloch, G.C. Pappas, G. Penco, ELETTRA, Basovizza, Trieste; A. Ratti, LBNL, Berkeley, California; M. Trovo, ELETTRA, Basovizza, Trieste","Baseline Design of the Linac Upgrade for Fermi",
MOPCH020,"G. De Ninno, E. Allaria, B. Diviacco, ELETTRA, Basovizza, Trieste; W.M. Fawley, LBNL, Berkeley, California; W. Graves, MIT, Middleton, Massachusetts; G. Penn, LBNL, Berkeley, California","Design and Optimization of the FERMI @ Elettra FEL Layout",
MOPCH021,"C.J. Bocchetta, E. Allaria, D. Bulfone, ELETTRA, Basovizza, Trieste; J.N. Corlett, LBNL, Berkeley, California; M. Cornacchia, SLAC, Menlo Park, California; P. Craievich, G. D'Auria, M.B. Danailov, G. De Ninno, S. Di Mitri, B. Diviacco, ELETTRA, Basovizza, Trieste; P. Emma, SLAC, Menlo Park, California; W.M. Fawley, LBNL, Berkeley, California; M. Ferianis, A. Gambitta, A. Gomezel, ELETTRA, Basovizza, Trieste; W. Graves, F.O. Ilday, F.X. Kaertner, MIT, Cambridge, Massachusetts; E. Karantzoulis, ELETTRA, Basovizza, Trieste; S.M. Lidia, LBNL, Berkeley, California; F. Parmigiani, Università Cattolica-Brescia, Brescia; G. Penco, ELETTRA, Basovizza, Trieste; G. Penn, A. Ratti, J.W. Staples, LBNL, Berkeley, California; M. Trovo, ELETTRA, Basovizza, Trieste; D. Wang, MIT, Middleton, Massachusetts; R.B. Wilcox, A. Zholents, LBNL, Berkeley, California","FERMI @ Elettra: Conceptual Design for a Seeded Harmonic Cascade FEL for EUV and Soft X-rays",
MOPCH022,"G. De Ninno, E. Allaria, ELETTRA, Basovizza, Trieste; W.M. Fawley, LBNL, Berkeley, California; W. Graves, MIT, Middleton, Massachusetts; G. Penn, LBNL, Berkeley, California","Time-resolved quot;Start-to-endquot; FEL Simulation Results for the FERMI @ Elettra Project",
MOPCH024,"L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); D. Alesini, INFN/LNF, Frascati (Roma); S. Ambrogio, ENEA C.R. Frascati, Frascati (Roma); M.E. Biagini, R. Boni, INFN/LNF, Frascati (Roma); M. Bougeard, B. Carré, CEA, Gif-sur-Yvette; M. Castellano, INFN/LNF, Frascati (Roma); F. Ciocci, ENEA C.R. Frascati, Frascati (Roma); A. Clozza, INFN/LNF, Frascati (Roma); M.-E. Couprie, SOLEIL, Gif-sur-Yvette; G. Dattoli, ENEA C.R. Frascati, Frascati (Roma); A. Dipace, ENEA Portici, Portici (Napoli); A. Doria, ENEA C.R. Frascati, Frascati (Roma); A. Drago, M. Ferrario, V. Fusco, INFN/LNF, Frascati (Roma); G.P. Gallerano, ENEA C.R. Frascati, Frascati (Roma); A. Gallo, INFN/LNF, Frascati (Roma); D. Garzella, CEA, Gif-sur-Yvette; A. Ghigo, INFN/LNF, Frascati (Roma); E. Giovenale, ENEA C.R. Frascati, Frascati (Roma); M. Labat, G. Lambert, CEA, Gif-sur-Yvette; M. Mattioli, Università di Roma I La Sapienza, Roma; H. Merdji, CEA, Gif-sur-Yvette; M. Migliorati, INFN/LNF, Frascati (Roma); P. Musumeci, Università di Roma I La Sapienza, Roma; M. Nisoli, Politecnico/Milano, Milano; L. Palumbo, INFN/LNF, Frascati (Roma); M. Petrarca, Università di Roma I La Sapienza, Roma; L. P. Poletto, Univ. degli Studi di Padova, Padova; M. Quattromini, A. Renieri, C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); E. Sabia, ENEA Portici, Portici (Napoli); P. Salieres, CEA, Gif-sur-Yvette; C. Sanelli, INFN/LNF, Frascati (Roma); G. Sansone, Politecnico/Milano, Milano; L. Serafini, INFN-Milano, Milano; F. Sgamma, INFN/LNF, Frascati (Roma); I.P. Spassovsky, ENEA C.R. Frascati, Frascati (Roma); B. Spataro, INFN/LNF, Frascati (Roma); S. Stagira, Politecnico/Milano, Milano; O. Tcherbakoff, CEA, Gif-sur-Yvette; S. Tomassini, INFN/LNF, Frascati (Roma); G. T. Tondello, Univ. degli Studi di Padova, Padova; C. Vaccarezza, C. Vicario, INFN/LNF, Frascati (Roma); S. de Silvestri, Politecnico/Milano, Milano","Future Seeding Experiments at SPARC",
MOPCH025,"M. Boscolo, INFN/LNF, Frascati (Roma); I. Boscolo, F. Castelli, S. Cialdi, INFN-Milano, Milano; M. Ferrario, INFN/LNF, Frascati (Roma); P. Musumeci, INFN-Roma, Roma; C. Vaccarezza, INFN/LNF, Frascati (Roma)","Laser Comb: Simulations of Pre-modulated E- Beams at the Photocathode of a High Brightness RF Photoinjector",
