,"D. Degele","The e-p Collider HERA",3 9,
,"K. Blasche, B. Franczak","The Heavy Ion Synchrotron SIS",9 14,
,"G. H. Rees","Review of High Energy pp Colliders",17 22,
,"E. Keil","Review of High Energy e<sup></sup>e<sup>-</sup> Colliders",22 27,
,"M. Prome","Review of Continuous Beam Electron Machines",27 32,
,"A. Ropert","The Status of the ESRF",35 40,
,"E. Jaeschke","BESSY-II, a State of the Art Synchrotron Light Source for Berlin-Adlershof",43 46,
,"P. W. van Amersfoort, R. J. Bakker, D. A. Jaroszynski, D. Oepts, C. A. J. van der Geer, A. F. G. van der Meer","Lasing with FELIX",46 49,
,"H. Genz, H.-D. Graef, J. Horn, V. Huck, K. D. Hummel, M. Knirsch, C. Luettge, K. Ruehl, A. Richter, T. Rietdorf, P. Schardt, E. Spamer, A. Stiller, J. Toepper, F. Thomas, O. Titze, H. Weise","Operational Experience and Results from the S-DALINAC",49 52,
,"J. M. Cavedon, B. Aune, Ph. Bredy, S. Buhler, S. Chel, M. Desmons, J. Gastebois, F. Gougnaud, J. F. Gournay, M. Jablonka, J. M. Joly, T. Junquera, F. P. Juster, E. Klein, Ph. Leconte, A. Mosnier, B. Phung, H. Safa","An Accelerator for Testing Superconducting RF Structures",52 54,
,"P. Brown, E. Ciapala, G. Geschonke, E. Peschardt","Operation of Superconducting Cavities in LEP",54 57,
,"T. Shishido, K. Akai, E. Kako, K. Kubo, S. Noguchi","Operating Status of the TRISTAN Superconducting RF System",57 60,
,"M. E. Biagini,  and the DAPhiNE Project Team","DAPhiNE Status Report",60 63,
,"R. Bailey, T. Bohl, F. Bordry, H. Burkhardt, P. Collier, K. Cornelis, B. Desforges, A. Faugier, V. Hatton, M. Lamont, J. Miles, H. Schmickler, G. de Rijk","Three Years Operational Experience with LEP",63 66,
,"L. Arnaudon, S. Myers, R. Olsen, E. Peschardt","Transverse Feedback and LEP Performance",66 69,
,"D. Boehne","Future Accelerator Projects and Collaboration with Industry",71 74,
,"V. P. Suller","Review of the Status of Synchrotron Radiation Storage Rings",77 82,
,"A. Jackson, W. Hassenzahl, M. Meddahi","Ideas for Future Synchrotron Light Sources",82 86,
