FRX01A,"P. Bryant","Developments in the Design of Proton and Ion Accelerators for Medical Use",
FRX02A,"G. Kraft, . et al","First Patient Treatment at GSI with Heavy Ions",
FRX03A,"R.A. Jameson, H. Katsuta, H. Maekawa, M. Martone, A. Moeslang, M.J. Rennich, T.E. Shannon, V. Teplyakov","IFMIF International Fusion Materials Irradiation Facility:  A High Intensity Deuteron Beam Application",
FRX04A,"G.R. Neil","Thomas Jefferson National Laboratory FEL Industrial Applications",
MOO01A,"K. Elsener, G. Fidecaro, M. Gyr, W. Herr, J. Klem, U. Mikkelsen, E. Weisse","What Did We Learn from the Extraction Experiments with Bent Crystals at the CERN SPS?",
MOO02A,"N. Catalan Lasheras, G. Ferioli, J.B. Jeanneret","A Collimation Experiment with Protons at 120 GeV",
MOP01A,"H. Bongers, D. Habs, O. Kester, H. Podlech, R. Rao, . Ratzinger, U, R. Repnow, K. Rudolph, A. Schempp, D. Schwalm, T. Sieber, R. von Hahn","The REX-ISOLDE Linac",
MOP01B,"A. Boggia, G. Brautti, A.P. Errico, A. Rain204, V. Valentino, V. Variale","Study of a Trapped Ion Source",
MOP01C,"O. Bruning","Optics Solutions for the Combined Experimental and Injection Regions in the LHC",
MOP01D,"A. Enomoto, . et al","Commissioning of the KEKB 8-GeV e- /3.5-GeV e Injector Linac",
MOP01E,"Y. Iwashita, A. Noda","Massless Septum with Hybrid Magnet",
MOP01F,"R.H.A. Farias, L. Jahnel, L. Lin, A.R.D. Rodrigues, P.F. Tavares","Design of a Booster for the Brazilian Synchrotron Light Source LNLS",
MOP01G,"R. Chaput, M.A. Tordeux","Present design of ELIOS electron linac injector of SOLEIL SR ring",
MOP01H,"R. Baartman, P. Bricault, G. Dutto, K. Fong, K. Jayamanna, R. Laxdal, M. MacDonald, A. Mitra, R. Poirier, L. Root, P. Schmor, B. Uzat, J., Rawnsley, W. Welz","Testing the ISAC LEBT and 35 MHz RFQ in an Intermediate Configuration    ",
MOP01J,"E. Bulyak, V. Kurilko","Coherency of Magnetic-Bremsstrahlung Emitters and Prospects for the X-ray FELs",
MOP01K,"B. Bogdanovitch, N. Len, A. Nesterovitch","A Space Accelerator Station for Planet Substance Analysis",
MOP01L,"T. Bizen, Y. Hiramatsu, Y. Miyahara, A. Nakamura, T. Shimada","Driving Mechanism of an APPLE-2 Type Variable Polarizing Undulator for the Gap and Phase Variation",
