moco-a01,"H. W. Zhao, L. T. Sun, IMP, Lanzhou","Recent Results and Operation at 18 GHz with SECRAL",99 98,
moco-a02,"D. Leitner, J. Y. Benitez, D. R. Dietderich, R. Hannaford, M. Leitner, C. M. Lyneis, S. Prestemon, D. S. Todd, LBNL, Berkeley, California","Status Report and Recent Developments with VENUS",2 7,
moco-b01,"T. Nakagawa, RIKEN Nishina Center, Wako, Saitama","New 28 GHz SC-ECRIS for RIKEN RI Beam Factory Project",8 12,
moco-b02,"J. H. Andrä, Westfaelische Wilhelms-Universität Muenster, Muenster; B. Albers, A. Heinen, L. Hupe, M. Kahnt, L. Nowack, H. W. Ortjohann, A. Taschner, Ch. Vitt, S. Wolosin, Institut fur Kernphysik, Westfalische Wilhelms-Universitat Munster, Munster","Continuous and Pulsed Operation of a Highly Efficient 18 GHz Plateau-ECRIS",13 13,
moco-b03,"P. A. Zavodszky, D. Cole, M. Doleans, G. Machicoane, F. Marti, X. Wu, NSCL, East Lansing, Michigan","Brightness Studies of the Ion Beams Produced by SUSI - The Source for Ions",14 17,
moco-b04,"H. A. Koivisto, T. Ropponen, M. Savonen, V. A. Toivanen, JYFL, Jyvaskyla","Ion Beam Research and Development Work at JYFL",18 22,
moco-b05,"L. T. Sun, IMP, Lanzhou","The High Charge State All-Permanent Magnet ECRIS Operated on 320 kV HV Platform",23 26,
moco-c01,"T. Uchida, Toyo University, Kawagoe-shi, Saitama; T. Asaji, Tateyama Machine Co. Ltd., Toyama-shi; S. Biri, ATOMKI, Debrecen; Y. Kato, Osaka University, Suita; A. Kitagawa, NIRS, Chiba-shi; H. Minezaki, Toyo University, Kawagoe-shi, Saitama; M. Muramatsu, NIRS, Chiba-shi; K. Tanaka, Tateyama Machine Co. Ltd., Toyama-shi; Y. Yoshida, Toyo University, Kawagoe-shi, Saitama","The Bio-Nano-ECRIS Project: A New ECR Ion Source at Toyo University to Produce Endohedral Fullerenes",27 31,
moco-c02,"C. I. Szabo, D. Attia, A. Gumberidze, P. Indelicato, LKB, Paris; E. Lamour, INSP, PARIS; E.-O. Le Bigot, LKB, Paris; J. Merot, C. Prignet, J.-P. Rozet, INSP, PARIS; S. Schlesser, LKB, Paris; M. Trassinelli, D. Vernhet, INSP, PARIS; S. J.C. do Carmo, Coimbra University, Coimbra","Experiments with Highly Charged Ions at the Paris ECR Ion Source, SIMPA",32 37,
moco-c03,"P. Kumar, D. Kanjilal, P. S. Lakshmy, G. Rodrigues, IUAC, New Delhi","ECRIS on High Voltage Platform for Engineering and Modifications of Materials",38 40,
moco-c04,"S. Biri, ATOMKI, Debrecen; Cs. Hegedüs, University Debrecen, Debrecen; I. Ivan, Z. Juhasz, ATOMKI, Debrecen; S. Kokenyesi, I. Mojzes, J. Palinkas, University Debrecen, Debrecen; B. Sulik, ATOMKI, Debrecen","Application of the ATOMKI-ECRIS for Materials Research and Prospects of the Medical Utilization",41 47,
