moao01,"C.M. Lyneis [LBNL, Berkeley, California, USA] ","Scaling Laws in Electron Cyclotron Resonance Ion Sources",99 98,
mobo02,"D. Xie, G.L. Sabbi, D.S. Todd [LBNL, Berkeley, California, USA] W. Lu [IMP/CAS, Lanzhou, People's Republic of China] ","Possible Optimizations of Existing Magnet Structures for the Next Generation of ECRIS",5 9,
mobo04,"Y. Higurashi, H. Haba, M. Kidera, T. Nakagawa, J. Ohnishi, K. Ozeki [RIKEN Nishina Center, Wako, Japan] ","Recent Developments of RIKEN 28 GHz SC-ECRIS",10 13,
moco01,"D. Mascali, C. Altana, G. Castro, L. Celona, S. Gammino, O. Leonardi, M. Mazzaglia, D. Nicolosi, R. Reitano, F.P. Romano, G. Sorbello, G. Torrisi [INFN/LNS, Catania, Italy] M. Mazzaglia, R. Reitano [Universita Degli Studi Di Catania, Catania, Italy] F.P. Romano [IBAM-CNR, Catania, Italy] G. Sorbello [University of Catania, Catania, Italy] ","Innovative Schemes of Plasma Heating for Future Multiply-Charged Ions Sources: Modeling and Experimental Investigation",14 17,
moco03,"O.A. Tarvainen, T. Kalvas, H. A. Koivisto, R.J. Kronholm, J.P. Laulainen, J. Orpana [JYFL, Jyvaskyla, Finland] I. Izotov, D. Mansfeld, V. Skalyga [IAP/RAS, Nizhny Novgorod, Russia] V. Toivanen [CERN, Geneva, Switzerland] ","Cavity Tuning Experiments with the JYFL 14 GHz ECRIS",18 22,
moco04,"J.Y. Benitez, C.M. Lyneis, L. Phair, D.S. Todd, D. Xie [LBNL, Berkeley, California, USA] ","Recent Bremsstrahlung Measurements from the Superconducting Electron Cyclotron Resonance Ion Source VENUS",23 29,
modo01,"R. Rácz, S. Biri [ATOMKI, Debrecen, Hungary] C. Caliri, G. Castro, S. Gammino, D. Mascali, L. Neri, F.P. Romano [INFN/LNS, Catania, Italy] J. Palinkas (J. Pálinkás) [DU, Debrecen, Hungary] F.P. Romano [IBAM-CNR, Catania, Italy] ","Structural Information on the ECR Plasma by X-ray Imaging",30 34,
mofo01,"L. Maunoury, O. Bajeat, C. Barthe-Dejean, P. Delahaye, M. Dubois, R. Frigot, P. Jardin, A. Jeanne, O. Kamalou, P. Lecomte, O. Osmond, G. Peschard, A. Savalle [GANIL, Caen, France] J. Angot, T. Lamy, P. Sole [LPSC, Grenoble Cedex, France] ","SPIRAL1 Charge Breeder: Performances and Status",35 38,
thao01,"D. Xie, J.Y. Benitez, C.M. Lyneis, D.S. Todd [LBNL, Berkeley, California, USA] W. Lu [IMP/CAS, Lanzhou, People's Republic of China] ","Recent production of intense high charge ion beams with VENUS",141 145,
tuao01,"L. Celona, L. Allegra, A. Amato, G. Calabrese, A.C. Caruso, G. Castro, F. Chines, G. Gallo, S. Gammino, O. Leonardi, A. Longhitano, G. Manno, S. Marletta, D. Mascali, A. Massara, A. Maugeri, M. Mazzaglia, L. Neri, S. Passarello, G. Pastore, A. Seminara, A. Spartà, G. Torrisi, S. Vinciguerra [INFN/LNS, Catania, Italy] S. Di Martino, P. Nicotra [Si.A.Tel SRL, Catania, Italy] ","The Proton Source for the European Spallation Source (PS-ESS): Installation and Commissioning at INFN-LNS",39 42,
tuao04,"L.T. Sun, X. Fang, Y.C. Feng, J.W. Guo, H.Y. Ma, L.Z. Ma, Y.M. Ma, Z. Shen, W. Wu, T. Yang, Y. Yang, W.H. Zhang, X.Z. Zhang, B. Zhao, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","SECRAL II Ion Source Development and the First Commissioning at 28 GHz",43 47,
