fribcc001,"E. Wang [BNL, Upton, Long Island, New York, USA] K. Aulenbacher [HIM, Mainz, Germany] ","ERL17 Workshop, WG1 Summary: Injectors",77 78,
fribcc002,"S.A. Bogacz [JLab, Newport News, Virginia, USA] D. Schulte [CERN, Geneva, Switzerland] ","ERL17 Workshop, WG2 Summary: Optics, Beam Dynamics and Instrumentation",79 79,
fribcc003,"G.H. Hoffstaetter [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] A. Stocchi [LAL, Orsay, France] ","ERL17 Workshop, WG3 Summary: Test Facilities Around the World",80 80,
fribcc004,"I. Ben-Zvi [BNL, Upton, Long Island, New York, USA] F. Gerigk [CERN, Geneva, Switzerland] ","ERL17 Workshop, WG4 Summary: Superconducting RF",81 82,
fribcc005,"P.A. McIntosh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] I.V. Konoplev [JAI, Oxford, United Kingdom] ","ERL17 Workshop, WG5 Summary: Applications",83 84,
moiacc002,"T. Konomi, Y. Honda, E. Kako, Y. Kobayashi, S. Michizono, T. Miyajima, H. Sakai, K. Umemori, S. Yamaguchi, M. Yamamoto [KEK, Ibaraki, Japan] R. Matsuda [Mitsubishi Heavy Industries Ltd. (MHI), Takasago, Japan] T. Yanagisawa [MHI-MS, Kobe, Japan] ","Development of SRF Gun Applying New Cathode Idea Using a Transparent Superconducting Layer",99 98,
moidcc002,"N.A. Vinokurov, V.M. Borin, I.V. Davidyuk, O.I. Deichuli, E.N. Dementyev, B.A. Dovzhenko, Ya.V. Getmanov, Ya.I. Gorbachev, B.A. Knyazev, E.I. Kolobanov, A.A. Kondakov, V.R. Kozak, E.V. Kozyrev, S.A. Krutikhin, V.V. Kubarev, G.N. Kulipanov, E.A. Kuper, I.V. Kuptsov, G.Y. Kurkin, L.E. Medvedev, O.I. Meshkov, S.V. Motygin, A.A. Murasev, V.N. Osipov, V.K. Ovchar, V.M. Petrov, A.M. Pilan, V.M. Popik, V.V. Repkov, T.V. Salikova, M.A. Scheglov, I.K. Sedlyarov, S.S. Serednyakov, O.A. Shevchenko, A.N. Skrinsky, S.V. Tararyshkin, V.G. Tcheskidov, A.G. Tribendis, P. Vobly, V. Volkov [BINP SB RAS, Novosibirsk, Russia] I.V. Davidyuk, Ya.V. Getmanov, B.A. Knyazev, E.V. Kozyrev, S.S. Serednyakov, N.A. Vinokurov [NSU, Novosibirsk, Russia] V.L. Dorokhov [BINP, Novosibirsk, Russia] A.G. Tribendis [NSTU, Novosibirsk, Russia] ","Novosibirsk ERL Facility",33 39,
moidcc006,"M. Arnold, C. Burandt, J. Pforr, N. Pietralla [TU Darmstadt, Darmstadt, Germany] C. Eschelbach, M. LÃ¶sler [Frankfurt University of Applied Sciences, Frankfurt am Main, Germany] T. Kuerzeder (T. Kürzeder) [HIM, Mainz, Germany] ","ERL Mode of S-DALINAC: Design and Status",40 44,
mopspp004,"V. Bechthold, K. Aulenbacher, M.A. Dehn, S. Friederich [IKP, Mainz, Germany] K. Aulenbacher [HIM, Mainz, Germany] ","Investigation of K2CsSb Photocathodes",4 8,
mopspp005,"S. Friederich, K. Aulenbacher [IKP, Mainz, Germany] ","The Small Thermalized Electron Source at Mainz (STEAM)",9 12,
mopspp006,"L.M. Hein, K. Aulenbacher, V. Bechthold, M.A. Dehn, S. Friederich, C. Matejcek [IKP, Mainz, Germany] ","SPOCK - a Triode DC Electron Gun With Variable Extraction Gradient",13 16,
mopspp007,"B. Ledroit, K. Aulenbacher [IKP, Mainz, Germany] ","Beam Dynamics and Collimation Following MAGIX at MESA",17 19,
mopspp008,"C. Matejcek, K. Aulenbacher, S. Friederich, L.M. Hein [IKP, Mainz, Germany] ","Low Energy Beam Transport System for MESA",20 25,
mopspp009,"C.P. Stoll, F. Hug, D. Simon [IKP, Mainz, Germany] ","Beam Break Up Simulations for the MESA Accelerator",26 28,
mopspp015,"N. Nishimori [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] R. Hajima, R. Nagai, M. Sawamura [QST, Tokai, Japan] ","Development of a Multialkali Photocathode DC Gun for High Current Operation",29 32,
thibcc005,"S. Orth, D. Domont-Yankulova, H. Klingbeil [TEMF, TU Darmstadt, Darmstadt, Germany] ","Development of an ERL RF Control System",70 73,
thiccc002,"A. Khan, O. Boine-Frankenheim [Institut Theorie Elektromagnetischer Felder, TU Darmstadt, Darmstadt, Germany] K. Aulenbacher [IKP, Mainz, Germany] ","Study of Microbunching Instability in MESA",74 76,
tuiacc001,"C. Tennant, S.V. Benson, J.R. Boyce, J.L. Coleman, D. Douglas, S.L. Frierson, J. Gubeli, C. Hernandez-Garcia, K. Jordan, C. Keith, R.A. Legg, M.D. McCaughan, T. Satogata, M. F. Spata, M.G. Tiefenback, S. Zhang [JLab, Newport News, Virginia, USA] R. Alarcon, D. Blyth, R.A. Dipert, L. Ice, G. Randall, B.N. Thorpe [Arizona State University, Tempe, USA] J. Balewski, J.C. Bernauer, J.C. Bessuille, R. Corliss, R.F. Cowan, C. Epstein, P.F. Fisher, I. Friscic (I. Friščić), D.K. Hasell, E. Ihloff, J. Kelsey, Y.-J. Lee, R. Milner, P. Moran, D. Palumbo, S. Steadman, C. Tschalaer (C. Tschalär), C. Vidal, Y. Wang [MIT, Cambridge, Massachusetts, USA] T. Cao, B. Dongwi, P. GuÃ¨ye, N. Kalantarians, M. Kohl, A. Liyanage, J. Nazeer [Hampton University, Hampton, Virginia, USA] R. Cervantes, A. Deshpande, N. Feege [Stony Brook University, Stony Brook, USA] K. Dehmelt [SUNY SB, Stony Brook, New York, USA] P.E. Evtushenko [HZDR, Dresden, Germany] M. Garcon (M. Garçon) [CEA/DRF/IRFU, Gif-sur-Yvette, France] B. Surrow [Temple University, Philadelphia, USA] ","LERF - New Life for the Jefferson Lab FEL",45 48,
tuidcc001,"S.A. Bogacz [JLab, Newport News, Virginia, USA] ","PERLE - Beam Optics Design",49 51,
tuidcc004,"J.S. Berg, S.J. Brooks, F. Meot (F. Méot), D. Trbojevic, N. Tsoupas [BNL, Upton, Long Island, New York, USA] J.A. Crittenden, Y. Li, C.E. Mayes [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","CBETA FFAG Beam Optics Design",52 57,
weiacc003,"F. Meot (F. Méot), I. Ben-Zvi, Y. Hao, C. Liu, M.G. Minty, V. Ptitsyn, G. Robert-Demolaize, T. Roser, P. Thieberger, N. Tsoupas, C. Xu, W. Xu [BNL, Upton, Long Island, New York, USA] M.E. Bevins, S.A. Bogacz, D. Douglas, C.J. Dubbe (C.J. Dubbé), T.J. Michalski, Y. Roblin, T. Satogata, M. F. Spata, C. Tennant, M.G. Tiefenback [JLab, Newport News, Virginia, USA] ","ER@CEBAF, a 7 GeV, 5-Pass, Energy Recovery Experiment",58 58,
weibcc004,"C. Tennant, S.V. Benson, D. Douglas, R. Li [JLab, Newport News, Virginia, USA] C.-Y. Tsai [SLAC, Menlo Park, California, USA] ","Studies of CSR and Microbunching at the Jefferson Laboratory ERLs",59 64,
weiccc004,"D. Kayran, Z. Altinbas, D. Bruno, M.R. Costanzo, A.V. Fedotov, D.M. Gassner, X. Gu, L.R. Hammons, P. Inacker, J.P. Jamilkowski, J. Kewisch, C.J. Liaw, C. Liu, K. Mernick, T.A. Miller, M.G. Minty, V. Ptitsyn, T. Rao, J. Sandberg, S. Seletskiy, P. Thieberger, J.E. Tuozzolo, E. Wang, Z. Zhao [BNL, Upton, Long Island, New York, USA] ","First Results of Commissioning DC Photo-Gun for RHIC Low Energy Electron Cooler (LEReC)",65 69,
