FRAIS01,"M.S.H. Hutson, G. Edwards","Advances in the Physical Understanding of Laser Surgery at 6.45 microns",
FRAOS03,"S. Suzuki, K"" Awazu, K. Ishii, T. Kanai, Y. Naito","Picked FEL Micro Pulse for Nano-Second Interaction with Bio-Molecule",
FRAOS04,"r.h.a. Austin, B. Redlich, A.F.G. van der Meer, a.x. Xie","Coherent Protein Dynamics Explored at FELIX",
FRBIS01,"S. Schwarz","The European X-ray Free Electron Laser Project at DESY",
FRBIS02,"G.P. Gallerano, S.G. Biedron","Overview of Terahertz Radiation Sources",
MOAIS03,"L.H. Yu","R&D Experiments at BNL to Address the Associated Issues in the Cascading HGHG Scheme",
MOAIS04,"P. Michel, R.W. Dekorsy, P. Evtushenko, F.G. Gabriel, E.G. Grosse, M.H. Helm, M.K. Krenz, U. Lehnert, W. Seidel, D.W. Wohlfarth, A.W. Wolf, R.W. Wuensch","First Lasing at the ELBE mid-IR FEL",
MOBIS01,"T. Shintake","Overview of Single Pass FEL Designs Technical Suggestions for Stability Improvement",
MOBOS02,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","Scheme for Generation of Single 100 GW 300-as Pulse in the X-ray SASE FEL with the Use of a Few Cycles Optical Pulse from Ti:sapphire Laser System",
MOBOS03,"Y.-C. Chae, M. Erdmann, J.W. Lewellen, A. H. Lumpkin, S.V. Milton","An Experimental Study of the Beam-Steering Effect on the FEL Gain at LEUTL's Segmented Undulators",
MOCOS03,"Y. Pinhasi, Yu. Lurie, G. A. Pinhasi, A. Yahalom","Backward Wave Excitation and Generation of Oscillations in Distributed Gain Media and Free-Electron Lasers in the Absence of Feedback",
MOCOS05,"M.D. Dohlus, T.L. Limberg","CSRtrack: Faster Calculation of 3-D CSR Effects",
MOPOS03,"M. Abo-Bakr, M.v. Hartrott, J. Knobloch, B. Kuske, A.M. Meseck","Start-To-End Injector and Linac Tolerance Studies for the BESSY FEL",
MOPOS04,"D. Krämer","A Multistage HGHG-Scheme for the BESSY Soft X-ray FEL Multiuser Facility",
MOPOS05,"B. Kuske, M. Abo-Bakr, A.M. Meseck","Impact Studies of bunch parameter variations on the performance of the BESSY HGHG FEL",
MOPOS06,"A.M. Meseck, M. Abo-Bakr, B. Kuske","The Influence of the Seed Pulse Shape on the Output Performance of the BESSY Multi-stage HGHG-FEL",
MOPOS07,"J.-P. Carneiro, B. Faatz, K. Floettmann","Velocity Bunching Simulation for the DESY VUV FEL",
MOPOS08,"G. A. Geloni, E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","A 3D Self-Consistent, Analytical Model for Longitudinal Plasma Oscillation in a Relativistic Electron Beam",
MOPOS09,"G. A. Geloni, E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","Benchmark of ASTRA with Analytical Solution for the Longitudinal Plasma Oscillation Problem",
MOPOS10,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","The Potential for the Development of the X-ray Free Electron Laser: Generation of SASE Radiation",
MOPOS11,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","Attosecond X-ray Source for Light-Triggered Time-Resolved Experiments Associated with the X-ray SASE FEL",
MOPOS12,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","The Potential for the Development of the X-ray Free Electron Laser: Multi-User Photon Distribution System for XFEL Laboratory",
MOPOS14,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","Sub-Terawatt Mode of Operation of X-ray SASE FEL",
MOPOS15,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","Design Formulas for VUV and X-Ray FELs",
MOPOS16,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","The Free Electron Laser Klystron Amplifier Concept",
MOPOS17,"E.L. Saldin, E.A. Schneidmiller, M.V. Yurkov","The Potential for Extending the Spectral Range Accessible to the European X-ray Free Electron Laser in the Direction of Longer Wavelengths",
MOPOS18,"Y. Kim, M.H. Cho, Y. Kim, I. S. Ko, W. Namkung, J. S. Oh, D. Son","Start-To-End Simulations for PAL XFEL Project",
MOPOS21,"G. Lambert, B. Carré, M.-E. Couprie, A. Doria, D. Garzella, L. Giannessi, H. Hara, H. Kitamura, Y. Mairesse, P. Salières, T. Shintake","Seeding High Gain Harmonic Generation with Laser Harmonics Produced in Gases",
MOPOS22,"J. T. Donohue, J. L. Rullier","Off-Axis Orbits in Realistic Helical Wigglers: Fixed Points and Time Averaged Dynamical Variables",
MOPOS23,"J. T. Donohue","Analytic Electron Trajectories in an Extremely Relativistic Helical Wiggler: an Application to the Proposed SLAC E166 Experiment.",
MOPOS25,"S.D.M. Di Mitri, R.J. Bakker, C.J. Bocchetta, P. Craievich, G. D'Auria, gdn. De Ninno, B. Diviacco, L.T.Z. Tosi, V.V. Verzilov","Electron beam simulations for the FERMI project at ELETTRA",
