PLT03,"D. H. Bilderback, Cornell University, Department of Physics, Ithaca, New York","Energy Recovery Linac Experimental Challenges",
PLT04,"F. J. Gruener, S. Becker, T. Eichner, LMU, München; M. Geissler, MPQ, Garching, Munich; D. Habs, LMU, München; J. Meyer-ter-Vehn, MPQ, Garching, Munich; S. Reiche, UCLA, Los Angeles, California; U. Schramm, R. Sousa, LMU, München","Design Considerations for Table-Top FELs",
PLT14,"S. Khan, Uni HH, Hamburg","Short Radiation Pulses in Storage Rings",
PLT31,"K. C. Harkay, ANL, Argonne, Illinois; A. Ropert, ESRF, Grenoble","Summary of WG1 -- Storage Ring Based Radiation Sources",
POS01,"M. Belgroune, E. Al-Dmour, G. Benedetti, CELLS, Bellaterra (Cerdanyola del Vallès); D. Bertwistle, ALBA, Bellaterra; J. Bordas, E. Boter, B. Calcagno, J. Campmany, D. Carles, C. Colldelram, M. Cornelis, M. Custido, M. De Lima, D. Einfeld, A. Falone, S. Ferrer, CELLS, Bellaterra (Cerdanyola del Vallès); T. F. Günzel, ALBA, Bellaterra; H. Hassanzadegan, U. Iriso, J. Klora, CELLS, Bellaterra (Cerdanyola del Vallès); J. Marcos, ALBA, Bellaterra; R. Martin, L. Miralles, M. Muñoz, L. Nikitina, I. Nikitine, CELLS, Bellaterra (Cerdanyola del Vallès); A. Olmos, ALBA, Bellaterra; J. Pasquaud, X. Permanyer, M. Pont, F. Pérez, CELLS, Bellaterra (Cerdanyola del Vallès); M. Q. Quispe, ALBA, Bellaterra; J. Redo, F. Rey, L. Ribo, C. Ruget, CELLS, Bellaterra (Cerdanyola del Vallès); A. Salom, ALBA, Bellaterra; F. Sanchez, R. Trivino, CELLS, Bellaterra (Cerdanyola del Vallès)","Status of the ALBA Project",
WG101,"V. M. Tsakanov, M. Ivanyan, Y. L. Martirosyan, CANDLE, Yerevan","Beam Physics Issues in CANDLE Synchrotron Light Source Project",
WG112,"Y. Kawashima, JASRI/SPring-8, Hyogo-ken","Proposal of a Synchrotron Radiation Facility to Supply Ultraviolet Light, X-Ray, MeV-photon, GeV-photon and Neutron",
WG313,"S. Di Mitri, M. Cornacchia, P. Craievich, ELETTRA, Basovizza, Trieste; P. Emma, Z. Huang, SLAC, Menlo Park, California; G. Penco, M. Trovo, ELETTRA, Basovizza, Trieste; D. Wang, MIT, Middleton, Massachusetts; J. Wu, SLAC, Menlo Park, California; A. Zholents, LBNL, Berkeley, California","Beam Physics Highlights of the FERMI@ELETTRA Project",
WG322,"C. Vaccarezza, INFN/LNF, Frascati (Roma)","Status of the SPARX FEL Project",
WG324,"V. M. Tsakanov, G. A. Amatuni, CANDLE, Yerevan; R. Brinkmann, W. Decking, DESY, Hamburg","Single Bunch Emittance Preservation in XFEL Linac",
WG333,"B. Sheehy, Sheehy Scientific Consulting, Wading River, New York; J. A. Clarke, D. J. Dunning, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; B. W.J. McNeil, USTRAT/SUPA, Glasgow; N. Thompson, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","High Harmonic Seeding and the 4GLS XUV-FEL",
WG343,"C. Maroli, Universita' degli Studi di Milano, Milano; A. Bacci, INFN/LASA, Segrate (MI); M. Ferrario, INFN/LNF, Frascati (Roma); V. Petrillo, Universita' degli Studi di Milano, Milano; L. Serafini, INFN-Milano, Milano","Production of Coherent X-Rays with a Free-Electron Laser Based on Optical Wiggler",
WG403,"C. Kim, J. Choi, J. Y. Huang, I. S. Ko, Y. W. Parc, J. H. Park, S. J. Park, PAL, Pohang, Kyungbuk","Laser System of Photocathode RF Gun in Pohang Accelerator Laboratory",
WG422,"Y. Kawashima, JASRI/SPring-8, Hyogo-ken","Proposal of a Photocathode Impulse-Gun and Followed by Impulse Accelerating Structures to Produce Low Emittance Electron Beam",
WG512,"H. Delsim-Hashemi, Uni HH, Hamburg; O. Grimm, B. Schmidt, DESY, Hamburg; P. Schmüser, Uni HH, Hamburg","Longitudinal Diagnostics with THz Radiation",
WG517,"P. Krejcik, SLAC, Menlo Park, California","X-ray Pulse Length Characterization Using the Surface Magneto Optic Kerr Effect",
