fra1pl01,"T.O. Raubenheimer [SLAC, Menlo Park, California, USA] W. Decking [DESY, Hamburg, Germany] L. Giannessi [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] L. Giannessi [ENEA C.R. Frascati, Frascati (Roma), Italy] H.-S. Kang [PAL, Pohang, Kyungbuk, Republic of Korea] ","Summary Report: Linac-Based Light Sources",199 201,
fra1pl02,"R.P. Walker [DLS, Oxfordshire, United Kingdom] Y. Li [BNL, Upton, Long Island, New York, USA] Q. Qin [IHEP, Beijing, People's Republic of China] ","Summary of Working Group B: Ring-Based Light Sources",202 204,
moa2pl03,"J.D. Fuerst, E. Gluskin, Q.B. Hasse, Y. Ivanyushenkov, M. Kasa, I. Kesgin, Y. Shiroyanagi [ANL, Argonne, Illinois, USA] ","Review of New Developments in Superconducting Undulator Technology at the APS",99 98,
mop1wa02,"T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","The LCLS-II-HE, A High Energy Upgrade of the LCLS-II",6 11,
mop1wb01,"I.V. Agapov, R. Brinkmann, Y.-C. Chae, X.N. Gavaldà, J. Keil, R. Wanzenberg [DESY, Hamburg, Germany] ","Lattice Design for PETRA IV: Towards a Diffraction-Limited Storage Ring",12 16,
mop1wb03,"N. Higashi, K. Harada, T. Honda, Y. Kobayashi, N. Nakamura [KEK, Ibaraki, Japan] K. Hirano [Hiroshima University, Graduate School of Science, Higashi-Hiroshima, Japan] ","Current and Future of Storage Ring Based Light Sources in KEK",17 21,
mop2wb01,"Y. Jiao, X. Cui, Z. Duan, Y.Y. Guo, D. Ji, J.Y. Li, X.Y. Li, Y.M. Peng, Q. Qin, S.K. Tian, J.Q. Wang, N. Wang, Y. Wei, G. Xu, H.S. Xu, F. Yan, C.H. Yu, Y.L. Zhao [IHEP, Beijing, People's Republic of China] ","Accelerator Physics Studies for the High Energy Photon Source (HEPS) in Beijing",22 24,
mop2wb04,"Z.H. Bai, L. Wang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Study of Multi-bend Achromat Lattices for the HALS Diffraction-limited Storage Ring",25 27,
tha1wa03,"S.B. van der Geer, M.J. de Loos [Pulsar Physics, Eindhoven, The Netherlands] I. Setija, P.W. Smorenburg [ASML Netherlands B.V., Veldhoven, The Netherlands] P.H. Williams [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","GPT-CSR: A New Simulation Code for CSR Effects",157 159,
tha1wc01,"S. Di Mitri [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] J.A.G. Akkermans, I. Setija [ASML Netherlands B.V., Veldhoven, The Netherlands] D. Douglas [JLab, Newport News, Virginia, USA] C. Pellegrini [SLAC, Menlo Park, California, USA] G. Penn, M. Placidi [LBNL, Berkeley, California, USA] ","Compact Arc Compressor for FEL-Driven Compton Light Source and ERL-Driven UV FEL",183 186,
