moa1pl01,"H. Bartosik [CERN, Geneva, Switzerland] ","Challenges in Understanding Space Charge Dynamics",99 98,
moa1pl02,"G. Rumolo [CERN, Geneva, Switzerland] ","Beam Dynamics Challenges for the LHC and Injector Upgrades",8 13,
moa1pl03,"G. Bellodi [CERN, Geneva, Switzerland] ","Linac4 Commissioning Status and Challenges to Nominal Operation",14 19,
mop1wa01,"H. Hotchi [JAEA/J-PARC, Tokai-mura, Japan] ","J-PARC RCS: Effects of Emittance Exchange on Injection Painting",20 25,
mop1wb02,"C.C. Peters, D. Curry, G.D. Johns, T.B. Southern [ORNL RAD, Oak Ridge, Tennessee, USA] A.V. Aleksandrov, W. Blokland, B. Han, T.A. Justice, S.-H. Kim, M.A. Plum, A.P. Shishlo, M.P. Stockli, J.Y. Tang, R.F. Welton [ORNL, Oak Ridge, Tennessee, USA] ","Understanding the Source and Impact of Errant Beam Loss in the Spallation Neutron Source (SNS) Super Conducting Linac (SCL)*",48 53,
mop1wb03,"A.V. Shemyakin, J.-P. Carneiro, B.M. Hanna, V.A. Lebedev, L.R. Prost, A. Saini, V.E. Scarpine [Fermilab, Batavia, Illinois, USA] C.J. Richard [NSCL, East Lansing, Michigan, USA] V.L. Sista [BARC, Mumbai, India] ","Experimental Study of Beam Dynamics in the PIP-II MEBT Prototype",54 59,
mop2wa01,"V.A. Lebedev [Fermilab, Batavia, Illinois, USA] ","Beam Physics Limitations for Damping of Instabilities in Circular Accelerators",26 31,
mop2wa03,"M. Schenk, X. Buffat, L.R. Carver, K.S.B. Li, E. Métral [CERN, Geneva, Switzerland] A. Maillard [ENS, Paris, France] ","Experiments and Theory on Beam Stabilization with Second-Order Chromaticity",32 37,
mop2wa04,"K.S.B. Li, H. Bartosik, M.S. Beck, E.R. Bjørsvik, W. Höfle, G. Kotzian, T.E. Levens, M. Schenk [CERN, Geneva, Switzerland] J.E. Dusatko, J.D. Fox, C.H. Rivetta [SLAC, Menlo Park, California, USA] M. Schenk [EPFL, Lausanne, Switzerland] O. Turgut [Stanford University, Stanford, California, USA] ","Recent Results from the Wideband Feedback System Tests at the SPS and Future Plans",38 42,
mop2wa05,"D. Amorim, S. A. Antipov, N. Biancacci, X. Buffat, L.R. Carver, E. Métral [CERN, Geneva, Switzerland] ","Simulation and Measurement of the TMCI Threshold in the LHC",43 47,
mop2wb01,"Y. Liu [KEK/JAEA, Ibaraki-Ken, Japan] A. Miura [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] T. Miyao [KEK, Ibaraki, Japan] M. Otani, T. Shibata [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","60 mA Beam Study in J-PARC Linac",60 63,
mop2wb02,"G. Bellodi, S. Benedetti, D. Kuchler (D. Küchler), F.J.C. Wenander [CERN, Geneva, Switzerland] V. Toivanen [GANIL, Caen, France] ","Simulation and Measurement Campaigns for Characterization and Performance Improvement of the CERN Heavy Ion Linac3",64 69,
mop2wb03,"Y.K. Batygin, R.W. Garnett, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","Emittance Growth and Beam Losses in LANSCE Linear Accelerator",70 74,
tha1wd01,"Y. Mori [Kyoto University, Research Reactor Institute, Osaka, Japan] ","Experience and Perspective of FFAG Accelerator",342 346,
tha1wd03,"M. Tomizawa, Y. Arakaki, T. Kimura, S. Murasugi, R. Muto, K. Okamura, Y. Shirakabe, E. Yanaoka [KEK, Ibaraki, Japan] ","Status and Beam Power Ramp-Up Plans of the Slow Extraction Operation at J-Parc Main Ring",347 351,
tha1wd04,"K. Hanke, S.C.P. Albright, R. Alemany-Fernandez (R. Alemany-Fernández), H. Bartosik, E. Chapochnikova, H. Damerau, G.P. Di Giovanni, B. Goddard, A. Huschauer, V. Kain, A. Lasheen, M. Meddahi, B. Mikulec, G. Rumolo, R. Scrivens, F. Tecker [CERN, Geneva, Switzerland] ","High-Brightness Challenges for the Operation of the CERN Injector Complex",352 356,
tha1we02,"A. Oeftiger [CERN, Geneva, Switzerland] ","Requirements and Results for Quadrupole Mode Measurements",393 398,
tha1we03,"A. Sounas, M. Gasior (M. Gąsior), T. Lefevre (T. Lefèvre) [CERN, Geneva, Switzerland] ","BPM Technologies for Quadrupolar Moment Measurements",399 403,
tha1we04,"T. Papaevangelou [CEA/IRFU, Gif-sur-Yvette, France] H. Alves, S. Aune, J. Beltramelli, Q. Bertrand, T. Bey, B. Bolzon, N. Chauvin, M. Combet, D. Desforge, M. Desmons, Y. Gauthier, E. Giner-Demange, A. Gomes, F. Gougnaud, F. Harrault, F. J. Iguaz Gutierrez, T.J. Joannem, M. Kebbiri, C. Lahonde-Hamdoun, P. Le Bourlout, Ph. Legou, O. Maillard, A. Marcel, C. Marchand, Y. Mariette, J. Marroncle, V. Nadot, M. Oublaid, G. Perreu, O. Piquet, B. Pottin, Y. Sauce, J. Schwindling, L. Segui, F. Senee (F. Senée), R. Touzery, G. Tsiledakis, O. Tuske, D. Uriot [IRFU, CEA, University Paris-Saclay, Gif-sur-Yvette, France] I. Dolenc Kittelmann, R.J. Hall-Wilton, C. Höglund, L. Robinson, T.J. Shea, P. Svensson [ESS, Lund, Sweden] V. Gressier [IRSN, Saint-Paul-Lez-Durance, France] K. Nikolopoulos [Birmingham University, Birmingham, United Kingdom] M. Pomorski [CEA/DRT/LIST, Gif-sur-Yvette Cedex, France] ","ESS nBLM: Beam Loss Monitors based on Fast Neutron Detection",404 409,
tha2wd01,"R. Steerenberg, J. Wenninger [CERN, Geneva, Switzerland] ","Operation Challenges and Performance of the LHC During Run II",357 361,
tha2wd03,"H. J. Choi, J.H. Han, H.-S. Kang, S.H. Kim, H.-G. Lee, S.B. Lee [PAL, Pohang, Kyungbuk, Republic of Korea] ","Real-Time Measurement of Fluctuations of Building Floor and Installed Devices of Large Scientific Equipment",362 365,
tha2we02,"M. Sapinski, R. Singh, D.M. Vilsmeier [GSI, Darmstadt, Germany] J.W. Storey [CERN, Geneva, Switzerland] ","Application of Machine Learning for the IPM-Based Profile Reconstruction",410 415,
thp1wb01,"A. Kasugai, T. Akagi, T. Ebisawa, Y. Hirata, R. Ichimiya, K. Kondo, S. Maebara, K. Sakamoto, T. Shinya, M. Sugimoto [QST, Aomori, Japan] P. Abbon, N. Bazin, B. Bolzon, N. Chauvin, S. Chel, R. Gobin, J. Marroncle, B. Renard [CEA/DSM/IRFU, France] L. Antoniazzi, L. Bellan, D. Bortolato, M. Comunian, E. Fagotti, F. Grespan, M. Montis, A. Palmieri, A. Pisent [INFN/LNL, Legnaro (PD), Italy] P.-Y. Beauvais, H. Dzitko, D. Gex, A. Jokinen, G. Phillips [F4E, Germany] P. Cara, R. Heidinger, I. Moya [Fusion for Energy, Garching, Germany] D. Jimenez-Rey (D. Jiménez-Rey), I. Kirpitchev, J. Molla (J. Mollá), P. Méndez, I. Podadera, D. Regidor, M. Weber, C. de la Morena [CIEMAT, Madrid, Spain] J. Knaster, A. Marqueta, G. Pruneri, F. Scantamburlo [IFMIF/EVEDA, Rokkasho, Japan] ","Commissioning Status of Linear IFMIF Prototype Accelerator (LIPAc)",366 368,
thp1wc01,"D.E. Johnson, C.M. Bhat, S. Chaurize, K.L. Duel, T.R. Johnson, P.R. Karns, W. Pellico, B.A. Schupbach, K. Seiya, D. Slimmer [Fermilab, Batavia, Illinois, USA] ","MEBT Laser Notcher (Chopper) for Booster Loss Reduction",416 421,
thp1wc02,"P.K. Saha, H. Harada, M. Kinsho, A. Miura, M. Yoshimoto [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] Y. Irie, I. Yamane [KEK, Ibaraki, Japan] Y. Michine, H. Yoneda [University of Electro-communications, Tokyo, Japan] ","Status of Proof-of-Principle Demonstration of 400 MeV H-Stripping to Proton by Using Only Lasers at J-PARC",422 427,
thp1wc03,"A.V. Shemyakin, C.M. Baffes, J.-P. Carneiro, B.E. Chase, A.Z. Chen, J. Einstein-Curtis, D. Frolov, B.M. Hanna, V.A. Lebedev, L.R. Prost, G.W. Saewert, A. Saini, D. Sun [Fermilab, Batavia, Illinois, USA] C.J. Richard [NSCL, East Lansing, Michigan, USA] D. Sharma [RRCAT, Indore (M.P.), India] ","Design of 162-MHz CW Bunch-by-Bunch Chopper and Prototype Testing Results",428 433,
thp2wb01,"I. Hofmann [GSI, Darmstadt, Germany] I. Hofmann [TEMF, TU Darmstadt, Darmstadt, Germany] ","Revisiting the Longitudinal 90 Degree Limit for Superconducting Linear Accelerators",369 372,
thp2wb02,"S.H. Moon, M. Chung [UNIST, Ulsan, Republic of Korea] ","High-Intensity Beam Dynamics Simulation of the IFMIF-like Accelerators",373 376,
thp2wb03,"R. De Prisco, R. Zeng [ESS, Lund, Sweden] K. Czuba, T.P. Lesniak (T.P. Leśniak), R. Papis, D. Sikora, M. Zukocinski (M. Żukociński) [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] ","Influence of the Cavity Field Flatness and Effect of the Phase Reference Line Errors on the Beam Dynamics of the ESS Linac",377 382,
thp2wb04,"Z. Li [SCU, Chengdu, People's Republic of China] ","Longitudinal Dynamics of Low Energy Superconducting Linac",383 386,
thp2wb05,"Y.L. Cheon, M. Chung [UNIST, Ulsan, Republic of Korea] ","Halo Formation of the High Intensity Beams in a Periodic Solenoidal Fields",387 392,
thp2wc01,"R.L. Madrak, J.E. Dey, K.L. Duel, M.R. Kufer, J. Kuharik, A.V. Makarov, R.D. Padilla, W. Pellico, J. Reid, G.V. Romanov, M. Slabaugh, D. Sun, C.-Y. Tan, I. Terechkine [Fermilab, Batavia, Illinois, USA] ","The FNAL Booster Second Harmonic RF Cavity",434 439,
thp2wc02,"P. Baudrenghien [CERN, Geneva, Switzerland] T. Mastoridis [CalPoly, San Luis Obispo, California, USA] ","LLRF Studies for HL-LHC Crab Cavities",440 445,
thp2wc03,"I.A. Ivanenko, J. Franko, G.G. Gulbekyan, I.V. Kalagin, N.Yu. Kazarinov [JINR, Dubna, Moscow Region, Russia] ","The Choosing of Magnetic Structure of Isochronous Cyclotron DC-130 for Applied Research",446 450,
tua1wc01,"L. Weissman, D. Berkovits, B. Kaizer, J. Luner, D. Nusbaum, A. Perry, J. Rodnizki, A. Shor, I. Silverman [Soreq NRC, Yavne, Israel] A. Bechtold [NTG Neue Technologien GmbH  Co KG, Gelnhausen, Germany] ","Installation and Commissioning of the Upgraded SARAF 4-rods RFQ",75 79,
