moal02,"Ã. Andersson, J. Breunlin, B.N. Jensen, R. Lindvall, E. Mansten, D. Olsson, J. Sundberg, P.F. Tavares, S. Thorin [MAX IV Laboratory, Lund University, Lund, Sweden] ","Diagnostics at the Max IV 3 GeV Storage Ring During Commissioning",99 98,
moal03,"M. Tobiyama, M. Arinaga, J.W. Flanagan, H. Fukuma, H. Ikeda, H. Ishii, K. Mori, E. Mulyani, M. Tejima [KEK, Ibaraki, Japan] G. Bonvicini [Wayne State University, Detroit, Michigan, USA] E. Mulyani [Sokendai, Ibaraki, Japan] G.S. Varner [University of Hawaii, Honolulu,, USA] ","Beam Commissioning of SuperKEKB Rings at Phase 1",6 10,
mobl01,"C. Kim, S.Y. Baek, H. J. Choi, J.H. Hong, H.-S. Kang, G. Kim, J.H. Kim, I.S. Ko, S.J. Lee, G. Mun, B.G. Oh, B.R. Park, D.C. Shin, Y.J. Suh, H. Yang [PAL, Pohang, Kyungbuk, Republic of Korea] ","Diagnostic Systems for the PAL-XFEL Commissioning",11 13,
mobl02,"D. Lipka, A. Affeldt, A. Awwad, N. Baboi, B. Barret, B. Beutner, F. Brinker, W. Decking, A. Delfs, M. Drewitsch, O. Frank, C. Gerth, V. Gharibyan, O. Hensler, M. Hoeptner, M. Holz, K.K. Knaack, F. Krivan, I. Krouptchenkov, J. Kruse, G. Kube, B. Lemcke, T. Lensch, J. Liebing, T. Limberg, B. Lorbeer, J. Lund-Nielsen, S.M. Meykopff, B. Michalek, J. Neugebauer, Re. Neumann, Ru. Neumann, D. Noelle (D. Nölle), M. Pelzer, G. Petrosyan, Z. Pisarov, P. Pototzki, G. Priebe, K.R. Rehlich, D. Renner, V. Rybnikov, G. Schlesselmann, F. Schmidt-Foehre (F. Schmidt-Föhre), M. Scholz, L. Shi, P.A. Smirnov, H. Sokolinski, C. Stechmann, M. Steckel, R. Susen, H. Tiessen, S. Vilcins, T. Wamsat, N. Wentowski, M. Werner, Ch. Wiebers, J. Wilgen, K. Wittenburg, R. Zahn, A. Ziegler [DESY, Hamburg, Germany] R. Baldinger, R. Ditter, B. Keil, W. Koprek, R. Kramert, G. Marinkovic, M. Roggli, M. Stadler, D.M. Treyer [PSI, Villigen PSI, Switzerland] A. Ignatenko [DESY Zeuthen, Zeuthen, Germany] A. Kaukher [XFEL.EU, Hamburg, Germany] O. Napoly, C. Simon [CEA/DSM/IRFU, France] ","First Experience with the Standard Diagnostics at the European XFEL Injector",14 19,
mobl04,"K. Fuchsberger, G.H. Hemelsoet [CERN, Geneva, Switzerland] ","LHC Online Chromaticity Measurement - Experience After One Year of Operation",20 23,
mocl02,"B.F. Roberts, M.H. Pablo [Electrodynamic, Albuquerque, New Mexico, USA] M.M. Ali [ODU, Norfolk, Virginia, USA] E. Forman, J.M. Grames, F.E. Hannon, R. Kazimi, W. Moore, M. Poelker [JLab, Newport News, Virginia, USA] ","Harmonically Resonant Cavity as a Bunch Length Monitor",24 26,
mopg01,"M.T. Gundogan, O. Yavas (Ö. Yavaş) [Ankara University, Faculty of Engineering, Tandogan, Ankara, Turkey] A.A. Aydin, E. Kasap [Gazi University, Faculty of Arts and Sciences, Teknikokullar, Ankara, Turkey] C. Kaya (Ç. Kaya) [Ankara University, Accelerator Technologies Institute, Golbasi / Ankara, Turkey] ","Design, Production and Tests of Button Type BPM for TAC-TARLA IR FEL Facility",27 30,
mopg03,"K. Tian, J.J. Sebek, J.L. Vargas [SLAC, Menlo Park, California, USA] ","Investigation of Transverse Beam Instability Induced by an In-vacuum Undulator at SPEAR3",31 34,
mopg05,"C. Belver-Aguilar, M.J. Barnes [CERN, Geneva, Switzerland] ","Transient Studies of the Stripline Kicker for Beam Extraction from CLIC Damping Rings",35 38,
mopg06,"N. Sereno, N.D. Arnold, A.R. Brill, H. Bui, J. Carwardine, G. Decker, B. Deriy, L. Emery, R.I. Farnsworth, T. Fors, R.T. Keane, F. Lenkszus, R.M. Lill, D.R. Paskvan, A.F. Pietryla, H. Shang, S.E. Shoaf, S. Veseli, J. Wang, S. Xu, B.X. Yang [ANL, Argonne, Illinois, USA] ","First Beam Tests of the APS MBA Upgrade Orbit Feedback Controller",39 42,
