FR101,"N. Yamamoto (KEK)","Recent Activities toward Worldwide Remote Operations of Accelerators",
FR112,"E. Sombrowski, O. Hensler, R. Kammering, K. Rehlich (DESY) A. Petrosyan (YPI, DESY)","First Experiences with a Central Error Server Using Web Services",
FR113,"K. Zagar, J. Stefan (JSI and Cosylab)","Security Considerations in Distributed Control Systems",
FR201,"K. Kurihara, JT-60  Team (JAERI)","Status and Prospect of JT-60 Plasma Control System for Advanced Tokamak Discharge Scenarios",
MO101,"J. Chiba, K. Furukawa, N. Kamikubota, T. Katoh, H. Nakagawa, K. Niki, J. Odagiri, Y. Takeuchi, N. Yamamoto (KEK) M. Furuse, Y. Kato, H. Sakaki, H. Takahashi, F. Tamura, M. Tanaka, H. Yoshikawa, K. Watanabe (JAERI)","Present Status of the J-PARC Control System",
MO102,"P. Van Arsdall, R. Bryant, R. Carey, D. Casavant, R. Demaret, O. Edwards, W. Ferguson, J. Krammen, L. Lagin, D. Larson, A. Lee, P. Ludwigsen, M. Miller, E. Moses, R. Nyholm, R. Reed, R. Shelton, C. Wuest (LLNL)","The National Ignition Facility: Status of the Integrated Computer Control System",
MO103,"W. Salter (CERN)","Status of the LHC Experiment's Control Systems",
MO201,"D. Casavant, R. Carey, B. Cline, L. Lagin, P. Ludwigsen, U. Reddi, P. Van Arsdall (LLNL)","Testing and Quality Assurance of the Control System during NIF Commissioning",
MO202,"D.P. Gurd, W.R. DeVan (ORNL) L. Dalesio (LANL) L. Hoff (BNL) S.A. Lewis (LBNL)","First Experience with Handover and Commissioning of the SNS Control System",
MO213,"P. Ninin, B. Denis (CERN)","The",
MO214,"G. Milcinski, J. Dovc, J. Kamenik, A. Kmet, I. List, M. Plesko, K. Zagar (JSI and Cosylab)","E-Management and Quality Assurance",
MO601,"D. Bulfone, V. Forchi', M. Lonza, L. Zambon (Sincrotrone Trieste) M. Dehler (PSI)","Bunch-by-Bunch Control of Instabilities with the ELETTRA/SLS Digital Feedback Systems",
MO612,"J.B. Lister (CRPP)","The Evolution of Feedback Control in Tokamaks",
