FOAA01,"S. Narasimhan, UARC, Moffet Field","Automated Diagnosis of Physical Systems",701 705,
FOAA02,"T. Fukui, N. Hosoda, RIKEN, Hyogo; K. Imai, OPtical Comb, Inc., Yokohama; M. K. Kitamura, RIKEN Spring-8 Harima, Hyogo; M. Kourogi, OPtical Comb, Inc., Yokohama; H. Maesaka, RIKEN, Hyogo; M. Musya, University of electro-communications, Tokyo; T. Ohata, JASRI/SPring-8, Hyogo-ken; T. Ohshima, T. Shintake, RIKEN, Hyogo; K. Tamasaku, Y. Otake, RIKEN Spring-8 Harima, Hyogo","Timing and LLRF System of Japanese XFEL to Realize Femto-Second Stability",706 710,
FOAA03,"P. Alvarez, J. C. Bau, S. Deghaye, I. Kozsar, J. Serrano, J. H. Lewis, CERN, Geneva","The CERN LHC Central Timing, a Vertical Slice",711 713,
FOAB01,"W. Blokland, K. C. Goetz, T. A. Pelaia, T. J. Shea, ORNL, Oak Ridge, Tennessee","Imaging System Integration at the SNS",714 716,
FOAB02,"D. K. Liu, L. Y. Yu, C. X. Yin, SINAP, Shanghai","Digital Phase Control System for SSRF Linac",717 719,
FOAB03,"A. C. Grippo, K. Jordan, S. W. Moore, D. W. Sexton, J. Yan, Jefferson Lab, Newport News, Virginia","Ethernet Based Embedded IOC for FEL Control Systems",720 722,
FOPA01,"A. Buteau, SOLEIL, Gif-sur-Yvette; J. M. Chaize, ESRF, Grenoble; D. Fernandez-Carreiras, J. Klora, ALBA, Bellaterra (Cerdanyola del Vallès); T. Kracht, DESY, Hamburg; N. L. Leclercq, SOLEIL, Gif-sur-Yvette; M. Lonza, ELETTRA, Basovizza, Trieste; J. M. Meyer, ESRF, Grenoble; M. O. Ounsy, SOLEIL, Gif-sur-Yvette; F. Poncet, ESRF, Grenoble; C. Scafuri, ELETTRA, Basovizza, Trieste; E. T. Taurel, P. V. Verdier, A. Gotz, ESRF, Grenoble","Future of Tango",723 727,
FOPA02,"L. R. Dalesio, SLAC, Menlo Park, California; J. O. Hill, LANL, Los Alamos, New Mexico; K.-U. Kasemir, ORNL, Oak Ridge, Tennessee; T. Korhonen, PSI, Villigen; M. R. Kraimer, ANL, Argonne, Illinois; M. R. Clausen, DESY, Hamburg","EPICS -- Future Plans",728 732,
FOPA03,"P. K. Bartkiewicz, S. W. Herb, DESY, Hamburg; S. Weisse, DESY Zeuthen, Zeuthen; H. Wu, P. Duval, DESY, Hamburg","The TINE Control System, Overview and Status",733 735,
FOPA04,"S. A. Lewis, SLAC, Menlo Park, California","Elements of Control System Longevity",736 738,
FOPA05,"L. Geoffroy, Maatel, Voreppe; R. Sabjan, R. Stefanic, Cosylab, Ljubljana","EPICS to TANGO Translator",739 741,
