fra001,"M. Boyes, SLAC, Menlo Park, California; T. A. Pelaia, ORNL, Oak Ridge, Tennessee","Introducing CAML II",922 924,
fra002,"G. Carcassi, BNL, Upton, Long Island, New York","A REST service for IRMIS3",925 927,
fra003,"B. Copy, CERN, Geneva","Service Oriented Status Monitoring for DIP Middleware",928 930,
fra004,"R. Kammering, K. Rehlich, J. Strampe, DESY, Hamburg","E-logbook Reloaded - or the Renovation of DESYs Electronic Logbook",931 933,
fra005,"T. K. Lam, P. Hathaway, N. Hauser, N. Xiong, ANSTO, Menai, New South Wales","GumTree Decoded",934 936,
fra006,"N. Wang, S. G. Shasharina, Tech-X, Boulder, Colorado","Evaluating the OMG Data Distribution Service (DDS) for Accelerator Control Systems",937 939,
isac,N/A,N/A,99 98,
mob001,"W.-D. Klotz, H. Dave, F. Di Maio, H. K. Gulati, C. Hansalia, ITER, St Paul lez Durance; D. Joonekindt, Atos Origin, Meylan; J. Y. Journeaux, K. Mahajan, L. Scibile, D. Stepanov, A. Wallander, I. Yonekawa, ITER, St Paul lez Durance","ITER Controls Design Status",99 98,
mob002,"J. J. Dupas, J. I. Nicoloso, CEA, Arpajon; J. C. Picon, F. P. Signol, CESTA, Le Barp","Status Report of the LMJ (Laser Mégajoule) Control System",99 98,
mob003,"Q. King, CERN, Geneva","Status of the LHC Power Converter Controls",4 6,
mob004,"R. Bacher, DESY, Hamburg","Commissioning of the New Control Systems for the PETRA3 Accelerator Complex at DESY",7 9,
mob005,"R. Gomez-Reino, CERN, Geneva; G. Bauer, MIT, Cambridge, Massachusetts; B. Beccati, CERN, Geneva; U. Behrens, DESY, Hamburg; K. Biery, Fermilab, Batavia; J. Branson, UCSD, La Jolla, California; E. Cano, CERN, Geneva; H. Cheung, Fermilab, Batavia; M. Ciganek, S. Cittolin, J. A. Coarasa, C. Deldicque, CERN, Geneva; S. Erhan, UCLA, Los Angeles, California; D. Gigi, F. Glege, J. Gutleber, CERN, Geneva; D. Hatton, DESY, Hamburg; Y. L. Hwong, J. F. Laurens, CERN, Geneva; C. Loizides, MIT, Cambridge, Massachusetts; J. A. Lopez-Perez, Fermilab, Batavia; F. Meijers, E. Meschi, CERN, Geneva; A. Meyer, DESY, Hamburg; R. K. Mommsen, Fermilab, Batavia; R. Moser, CERN, Geneva; V. O'Dell, Fermilab, Batavia; L. Orsini, CERN, Geneva; C. Paus, MIT, Cambridge, Massachusetts; A. Petrucci, M. Pieri, UCSD, La Jolla, California; A. Racz, H. Sakulin, CERN, Geneva; M. Sani, UCSD, La Jolla, California; C. Schwick, CERN, Geneva; J. F. Serrano Margaleff, MIT, Cambridge, Massachusetts; D. Shpakov, Fermilab, Batavia; M. Simon, CERN, Geneva; K. Sumorok, MIT, Cambridge, Massachusetts; M. Zanetti, CERN, Geneva","The Compace Muon Solenoid Detector Control System",10 12,
moc001,"Z. Geng, G. Ayvazyan, M. K. Grecki, S. Simrock, DESY, Hamburg","LLRF System Requirement Engineering for the European XFEL",13 15,
moc002,"F. P. Signol, CESTA, Le Barp; P. J. Betremieux, J. J. Dupas, J. I. Nicoloso, CEA, Arpajon; J. C. Picon, CESTA, Le Barp","Strategy for the Integration of the LMJ (Laser Megajoule) Control System",16 18,
moc003,"P. Betinelli, M. Abdelbaki, Y.-M. Abiven, J. Bisou, F. Blache, D. Corruble, P. Monteiro, G. Renaud, J. P. Ricaud, SOLEIL, Gif-sur-Yvette","SOLEIL Control and Acquisition Hardware Installation and Maintenance Management",19 21,
moc004,"K. S. White, S. M. Hartman, K.-U. Kasemir, ORNL, Oak Ridge, Tennessee; I. Verstovsek, Cosylab, Ljubljana","Controls Request Tracker",99 98,
moc005,"F. Di Maio, J. Y. Journeaux, W.-D. Klotz, K. Mahajan, P. Makijarvi, D. Stepanov, N. Utzel, A. Wallander, ITER, St Paul lez Durance","Development of the ITER CODAC Core Systems",22 24,
moc006,"R. Karban, L. Andolfato, M. Zamparelli, ESO, Garching bei Muenchen","Towards Model Re-usability for the Development of Telescope Control Systems",25 27,
mod001,"L. R. Carmichael, A. Warner, Fermilab, Batavia","A Generic Finite State Machine Framework for the ACNET Control System",28 30,
mod002,"P. Duval, P. K. Bartkiewicz, S. W. Herb, M. Lomperski, DESY, Hamburg; S. Weisse, DESY Zeuthen, Zeuthen","TINE Release 4.1: Responding to the User's Needs",31 33,
mod003,"S. Weisse, DESY Zeuthen, Zeuthen; P. Duval, DESY, Hamburg; D. Melkumyan, DESY Zeuthen, Zeuthen","TINE Video System: Proceedings on Redesign",34 36,
mod004,"T. Wilksen, A. Agababyan, G. Grygiel, O. Hensler, R. Kammering, V. Kocharyan, L. M. Petrosyan, K. Rehlich, V. Rybnikov, DESY, Hamburg","Evolution of the FLASH DAQ System",37 39,
mod005,"K. Zagar, Cosylab, Ljubljana; L. R. Dalesio, BNL, Upton, Long Island, New York; M. R. Kraimer, ANL, Argonne; M. Sekoranja, Cosylab, Ljubljana","Evolution of the EPICS Channel Access Protocol",40 42,
mod006,"G. Wright, C. Angel, C. Finlay, E. Matias, CLS, Saskatoon, Saskatchewan","Migrating Control Servers and Applications to Virtual Machines",43 45,
tha001,"E. T. Taurel, ESRF, Grenoble","Tango Kernel Status and Evolution",630 632,
tha002,"D. R.S. Di Calafiori, ETH, Zurich; P. Adzic, VINCA, Belgrade; A. B. Brett, Fermilab, Batavia; F. Cavallari, INFN-Roma, Roma; E. Di Marco, Rome University La Sapienza, Roma; G. Dissertori, ETH, Zurich; R. Gomez-Reino, CERN, Geneva; A. Inyakin, University of Minnesota, Minneapolis, Minnesota; D. Jovanovic, VINCA, Belgrade; G. Leshev, UW-Madison/PD, Madison, Wisconsin; P. Milenovic, VINCA, Belgrade; X. Pons, CERN, Geneva; T. Punz, ETH, Zurich; J. Puzovic, VINCA, Belgrade; S. Zelepoukine, UW-Madison/PD, Madison, Wisconsin","The CMS ECAL Detector Control System",633 635,
tha003,"T. G. Gray, R. P. Mannix, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Using Windows XP Embedded Based Systems in a Control System",636 637,
tha005,"S. Deghaye, M. Arruat, D. Garcia Quintas, M. Gourber-Pace, G. Kruk, O. Kulikova, V. V. Lezhebokov, S. Pasinelli, M. Peryt, C. Roderick, E. Roux, M. Sobczak, R. R. Steerenberg, J. P. Wozniak, Z. Zaharieva, CERN, Geneva","CERN Proton Synchrotron Complex High-Level Controls Renovation",638 640,
tha006,"K. Rehlich, DESY, Hamburg","New Hardware and Software Developments for the XFEL",641 643,
thb001,"D. Fairley, S. Allison, S. Chevtsov, P. Chu, F.-J. Decker, P. Emma, J. C. Frisch, T. M. Himel, K. H. Kim, P. Krejcik, T. E. Lahey, H. Loos, P. Natampalli, S. Peng, D. Rogind, H. Shoaee, T. Straumann, G. R. White, E. Williams, J. Wu, S. Zelazny, SLAC, Menlo Park, California","Beam-based Feedback for the Linac Coherent Light Source",644 646,
thb002,"F. Tamura, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Yoshii, KEK/JAEA, Ibaraki-Ken","Stabilization of Beam Extraction Timing in J-PARC RCS",647 649,
thb003,"M. T. Heron, M. G. Abbott, J. A. Dobbing, Diamond, Oxfordshire; S. Duncan, University of Oxford, Oxford; G. Rehm, J. Rowland, I. Uzun, Diamond, Oxfordshire","Diamond Light Source Electron Beam Position Feedback: Design, Realization and Performance",650 652,
thb004,"J. M. Koch, F. Epaud, G. Gautier, E. Plouviez, F. Uberto, ESRF, Grenoble","New Fast Orbit Feedback Architecture Based on Libera Brilliance Devices for the ESRF Storage Ring",653 655,
thb005,"M. Justus, R. Jainsch, T. Kirschke, U. Lehnert, P. Michel, W. Seidel, FZD, Dresden","Primary and Secondary Beam Stabilization at the ELBE Accelerator Facility",656 658,
thb006,"K. Kobayashi, T. Nakamura, JASRI/SPring-8, Hyogo-ken","New Automatic Bunch Current Sensitive Fast Attenuator for RF Front-end of Bunch-by-Bunch Feedback System at SPring-8",659 661,
thc001,"P. Golonka, CERN, Geneva","Towards 3D Human-Machine-Interfaces: Generic 3DViewer Extension for the Control Systems Displays at CERN",662 666,
thc002,"J. Hatje, M. R. Clausen, M. Moeller, H. R. Rickens, DESY, Hamburg","Control System Studio - Integrated Operating, Configuration and Development",667 669,
thc003,"V. Baggiolini, R. Alemany-Fernandez, R. Gorbonosov, D. Khasbulatov, M. Lamont, CERN, Geneva","A Sequencer for the LHC Era",670 672,
thc004,"S. Zelazny, S. Chevtsov, P. Chu, D. Fairley, P. Krejcik, P. Natampalli, D. Rogind, G. R. White, SLAC, Menlo Park, California","Orbit Display's Use of the Physics Application Framework for LCLS",673 675,
thc005,"T. Nakatani, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Aoyagi, Japan Atomic Energy Agancy, Taito-ku Tokyo; A. Arai, S. Harjo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Hosoya, Ibaraki University, Ibaraki; Y. Inamura, T. Ito, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; R. Kadono, KEK, Ibaraki; R. K. Kajimoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Morishima, S. Muto, KEK, Ibaraki; H. Nakagawa, T. Ohhara, JAEA, Ibaraki-ken; O. Otomo, J. Suzuki, S. Torii, Y. Yasu, KEK, Ibaraki; M. Yonemura, Ibaraki University, Hitachi, Ibaraki","The Implementation of the Software Framework in J-PARC/MLF",676 678,
thd001,"K. S. Saintin, A. Buteau, V. H. Hardion, M. Ounsy, SOLEIL, Gif-sur-Yvette","Integrating High Level Applications and Software Components Using a SCADA Tool",904 906,
thd002,"J. M.C. Chaize, ESRF, Grenoble; A. Hahto, TUT, Tampere; L. Hardy, ESRF, Grenoble; J. Mattila, TUT, Tampere; D. Robinson, ESRF, Grenoble","A Mobile Platform for Remote Inspection Inside ESRF Tunnel",907 909,
thd003,"E. Blanco, F. B. Bernard, P. Gayet, H. Milcent, CERN, Geneva","UNICOS: An Open Framework",910 912,
thd004,"A. Veeramani, National Instruments, Austin; W. Blokland, ORNL, Oak Ridge, Tennessee; T. F. Debelle, National Instruments, Austin; R. Dickson, A. P. Zhukov, ORNL, Oak Ridge, Tennessee","Options for Interfacing EPICS to COTS Hardware Through LabVIEW",913 915,
thd005,"J.-I. Odagiri, S. Araki, K. Furukawa, KEK, Ibaraki; K. Kameda, Yokogawa, Tokyo; N. Kamikubota, A. Kiyomichi, KEK, Tsukuba; M. Komiyama, RIKEN Nishina Center, Wako; K. Mikawa, KEK, Ibaraki; S. Motohashi, Kanto Information Service (KIS), Accelerator Group, Ibaraki; S. Murasugi, KEK, Ibaraki; N. Nagura, Nippon Advanced Technology Co. Ltd., Ibaraki-prefecture; H. Nakagawa, KEK, Ibaraki; T. Nakamura, MELCO SC, Tsukuba; T. T. Nakamura, KEK, Ibaraki; T. Natsui, H. Shiratsu, Yokogawa, Tokyo; M. Takagi, Kanto Information Service (KIS), Accelerator Group, Ibaraki; A. Uchiyama, SHI Accelerator Service ltd., Tokyo; S. Yamada, N. Yamamoto, KEK, Ibaraki","Application of EPICS on F3RP61 to Accelerator Control",916 918,
thd006,"R. B. Nussbaumer, D. Dale, T. Howland, H. Hui, R. Keitel, K. Langton, M. LeRoss, J. E. Richards, B. Shaw, E. Tikhomolov, TRIUMF, Vancouver","Cryogenics Controls in the ISAC-II Superconducting RF Accelerator",919 921,
thp001,"C. A. Lobo, CMV, Vitoria","Holographic Plasma Control Program",99 98,
thp002,"V. H. Gyurjyan, D. Abbott, W. G. Heyes, E. Jastrzembski, JLAB, Newport News, Virginia; B. Moffitt, Thomas Jefferson National Accelerator Facility (JLAB), Newport News, Virginia; C. Timmer, E. J. Wolin, JLAB, Newport News, Virginia","A Multi-Agent System for Building Large-Scale, Distributed, Hierarchical Control Systems",679 681,
thp003,"T. Bhattacharjee, R. B. Bhole, N. Chaddha, S. Pal, A. Roy, DAE/VECC, Calcutta","Distributed Control System in VEC & SCC - an Experience with EPICS",99 98,
thp004,"F. Epaud, ESRF, Grenoble","ESRF's New Beam Position System for the Storage Ring using Libera Brilliance Devices",682 684,
thp005,"R. N. Fernandes, D. P. Spruce, ESRF, Grenoble","BsxCuBE: a Control System for BioSAXS Experiments",99 98,
thp006,"J. Liu, H. L. Shi, C. H. Wang, J. C. Wang, X. L. Wang, IHEP Beijing, Beijing","The Control System for BEPCII Superconducting Magnet",99 98,
thp007,"H. L. Shi, J. Tang, C. H. Wang, IHEP Beijing, Beijing","Power Supply Control Prototype Based on RTEMS",685 687,
thp008,"V. K. Gorbunov, RAS/INR, Moscow","Control System for the MMF Experimental Area",99 98,
thp009,"U. K. Pedersen, M. G. Abbott, M. T. Heron, N. P. Rees, Diamond, Oxfordshire; M. Rivers, ANL, Argonne","Developments in the Integration of Video Into EPICS on Diamond Light Source",688 690,
thp010,"S. M. Hartman, ORNL, Oak Ridge, Tennessee","Control System Availability for the Spallation Neutron Source",691 693,
thp011,"M. G. Abbott, G. Rehm, I. Uzun, Diamond, Oxfordshire","The Diamond Light Source Control System Interface to the Libera Beam Position Monitors",694 696,
thp012,"R. Mueller, J. Fitzek, D. Ondreka, GSI, Darmstadt","Evaluation of the LHC Software Architecture for Data Supply and Setting Management within the FAIR Control System",697 699,
thp013,"A. Nyul, K. Cwalina, D. K. Kramer, C. Pignard, T. Wijnands, L. Wright, CERN, Geneva","Controls Software for the LHC Radiation Monitoring System",700 702,
thp014,"D. T. Touchard, P. Gillette, GANIL, Caen; J.-F. Gournay, CEA, Gif-sur-Yvette; C. H. Haquin, E. Lecorche, E. Lemaitre, P. Lermine, GANIL, Caen; Y. Lussignol, P. Mattei, CEA, Gif-sur-Yvette; L. Philippe, GANIL, Caen","The Spiral2 Command Control Software Organisation and Management.",703 705,
thp015,"Y. L. Hwong, CERN, Geneva; G. Bauer, MIT, Cambridge, Massachusetts; B. Beccati, CERN, Geneva; U. Behrens, DESY, Hamburg; K. Biery, Fermilab, Batavia; J. Branson, UCSD, La Jolla, California; E. Cano, CERN, Geneva; H. Cheung, Fermilab, Batavia; M. Ciganek, S. Cittolin, J. A. Coarasa, C. Deldicque, CERN, Geneva; S. Erhan, UCLA, Los Angeles, California; D. Gigi, F. Glege, R. Gomez-Reino, J. Gutleber, CERN, Geneva; D. Hatton, DESY, Hamburg; J. F. Laurens, CERN, Geneva; C. Loizides, MIT, Cambridge, Massachusetts; J. A. Lopez-Perez, Fermilab, Batavia; F. Ma, MIT, Cambridge, Massachusetts; F. Meijers, E. Meschi, CERN, Geneva; A. Meyer, DESY, Hamburg; R. K. Mommsen, Fermilab, Batavia; R. Moser, CERN, Geneva; V. O'Dell, Fermilab, Batavia; L. Orsini, CERN, Geneva; C. Paus, MIT, Cambridge, Massachusetts; A. Petrucci, M. Pieri, UCSD, La Jolla, California; A. Racz, H. Sakulin, CERN, Geneva; M. Sani, UCSD, La Jolla, California; C. Schwick, CERN, Geneva; J. F. Serrano Margaleff, MIT, Cambridge, Massachusetts; D. Shpakov, Fermilab, Batavia; M. Simon, CERN, Geneva; K. Sumorok, A. S. Yoon, MIT, Cambridge, Massachusetts; M. Zanetti, CERN, Geneva","An Analysis of the Control Hierarchy Modelling of the CMS Detector Control System",706 708,
thp016,"D. Fernandez-Carreiras, F. Becheri, S. Blanch, T. Coutinho, G. Cuni, J. Klora, C. Pascual-Izarra, S. Rubio-Manrique, R. Suñé, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Alba, A Tango Based Control System in Python",709 711,
thp017,"P. H. Owens, STFC/DL, Daresbury, Warrington, Cheshire","A Control System Upgrade for the Daresbury MEIS Facility",99 98,
thp018,"R. Dickson, ORNL RAD, Oak Ridge, Tennessee; W. Blokland, A. P. Zhukov, ORNL, Oak Ridge, Tennessee","EPICS Channel Access Implementation in LabVIEW",712 714,
thp020,"G. R. White, S. Chevtsov, P. Chu, D. Fairley, E. Grunhaus, R. D. Hall, P. Krejcik, G. S. McIntyre, D. Rogind, R. C. Sass, H. Shoaee, S. Zelazny, SLAC, Menlo Park, California","AIDA, An Architecture for Distributed Accelerator Data at SLAC",715 717,
thp021,"W. Zhang, S. Gou, G. H. Li, W. F. Liu, W. M. Qiao, Y. P. Wang, Y. J. Yuan, IMP, Lanzhou","Virtual Accelerator Control System",99 98,
thp022,"A. Kazakov, KEK, Ibaraki","Testing EPICS Redundant IOC and IO on ATCA",99 98,
thp023,"R. B. Chavan, K. Dixit, BARC-EBC, Mumbai; B. S. Israel, BARC, Mumbai; K. C. Mittal, BARC-EBC, Mumbai; K. Nanu, R. N. Rajan, BARC, Mumbai; V. Yadav, BARC-EBC, Mumbai","Fiber Optic Control for Electron Gun Power Supplies of 3MeV DC Accelerator",99 98,
thp024,"A. A. Maltsev, JINR, Dubna, Moscow Region; M. V. Maltseva, TENZOR, Dubna, Moscow region","About the Opportunity to Use Solid-State Photo Multipliers for not Destroying Synchrotron Diagnostics of High Energy Proton Beams",99 98,
thp025,"A. A. Maltsev, JINR, Dubna, Moscow Region","The Scyntillation Solid-State Detector for Complex Control and Diagnostics System of Subcritical Electronuclear Installation",99 98,
thp026,"A. Araz, U. Bonnes, R. Eichhorn, F. Hug, M. Konrad, A. Richter, TU Darmstadt, Darmstadt","Development of an FPGA Based RF Control System For the S-DALINAC",718 720,
thp027,"D. E. Berkaev, O. V. Belikov, P. B. Cheblakov, A. S. Kasaev, V. R. Kozak, F. V. Podgorny, A. S. Stankevich, BINP SB RAS, Novosibirsk","Control System for Injection Channels of VEPP-2000 Collider",721 723,
thp028,"D. E. Berkaev, P. B. Cheblakov, A. N. Kirpotin, I. Koop, V. R. Kozak, E. A. Kuper, A. P. Lysenko, A. S. Medvedko, Yu. A. Rogovsky, P. Yu. Shatunov, Y. M. Shatunov, BINP SB RAS, Novosibirsk","VEPP-2000 Collider Control System",724 726,
thp030,"M. Drochner, A. Erven, L. Fleischhauer-Fuss, J. Heinen, H. Kleines, D. Korolkov, S. Mattauch, M. Monkenbusch, M. Wagener, FZJ, Jülich","New Developments for the JCNS Neutron Scattering Instruments",727 729,
thp031,"T. Matsumoto, T. Kudo, T. Masuda, R. Tanaka, JASRI/SPring-8, Hyogo-ken","Upgrade of RF Control System at SPring-8",730 732,
thp032,"A. C. Mezger, D. Anicic, M. Gasche, T. Korhonen, H. Lutz, PSI, Villigen","Upgrading the PROSCAN Control System to EPICS: A Success Story",733 735,
thp034,"P. Duval, P. K. Bartkiewicz, S. W. Herb, M. Lomperski, DESY, Hamburg; S. Weisse, DESY Zeuthen, Zeuthen","TINE Release 4.1: Responding to the User's Needs",736 738,
thp035,"S. E. Karnaev, D. Bolkhovityanov, S. I. Mishnev, O. A. Plotnikova, A. G. Shamov, BINP SB RAS, Novosibirsk","Automation of the Experiment on the VEPP-4 Facility",99 98,
thp036,"L. R. Dalesio, D. Dohan, BNL, Upton, Long Island, New York; R. Lange, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Elektronen-Speicherring BESSY II, Berlin","A Proposal for Introspection In EPICS",739 740,
thp038,"D. Schirmer, O. Kopitetzki, P. Towalski, DELTA, Dortmund","First Experience with the Introduction of Virtualization Techniques into the DELTA Control System",741 743,
thp040,"A. C. Caruso, F. Consoli, INFN/LNS, Catania; A. Longhitano, ALTEK, San Gregorio (CATANIA); A. Spartà, INFN/LNS, Catania; L. Xia, CIAE, Beijing","New PC-Based Control for the RF System at INFN/LNS",744 746,
thp042,"G. Di Pirro, F. A. Anelli, M. Bellaveglia, E. Chiadroni, INFN/LNF, Frascati (Roma); A. Cianchi, Università di Roma II Tor Vergata, Roma; L. Cultrera, D. Filippetto, S. Fioravanti, E. Pace, INFN/LNF, Frascati (Roma); M. Quattromini, V. Surrenti, ENEA C. R. Frascati, Frascati (Roma)","The SPARC Control System",747 749,
thp043,"E. Pace, G. Di Pirro, S. Fioravanti, INFN/LNF, Frascati (Roma)","PostgreSQL Usage within the SPARC Control System",750 752,
