frxgbd1,"A. Apollonio, L. Ponce, O. Rey Orozko, R. Schmidt, A.P. Siemko, B. Todd, J.A. Uythoven, A.P. Verweij, D. Wollmann, M. Zerlauth [CERN, Geneva, Switzerland] ","Reliability and Availability of Particle Accelerators: Concepts, Lessons, Strategy",5014 5018,
frxgbd2,"V.V. Gambaryan, A.A. Starostenko [BINP SB RAS, Novosibirsk, Russia] A.A. Starostenko [NSU, Novosibirsk, Russia] ","Fast Kicker for High Current Beam Manipulation: Experimental Facility",5019 5021,
frxgbd3,"A. Miura, K. Moriya [JAEA/J-PARC, Tokai-mura, Japan] T. Miyao [KEK, Ibaraki, Japan] ","Application of Carbon Nanotube Wire for Beam Profile Measurement of Negative Hydrogen Ion Beam",5022 5025,
frxgbd4,"Leshenok D. Leshenok, E.A. Bekhtenev [NSU, Novosibirsk, Russia] E.A. Bekhtenev, G.V. Karpov, S.A. Nikitin, O.A. Plotnikova [BINP SB RAS, Novosibirsk, Russia] ","Observation of Saw-Tooth Effect Orbit in the VEPP-4 M Collider",5026 5028,
frxgbe2,"D. L. Rubin, A.T. Chapelain [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] S. Charity, J. Price [The University of Liverpool, Liverpool, United Kingdom] J.D. Crnkovic, W. Morse, V. Tishchenko [BNL, Upton, Long Island, New York, USA] F.E. Gray [Regis University, Denver, USA] J. E. Mott [BUphy, Boston, Massachusetts, USA] W. Wu [UMiss, University, Mississippi, USA] ","Muon Beam Dynamics and Spin Dynamics in the g-2 Storage Ring",5029 5034,
frxgbe3,"T.A. Mohayai [IIT, Chicago, Illinois, USA] ","First Demonstration of Ionization Cooling in MICE",5035 5040,
frxgbf1,"Y. Kondo, K. Hasegawa, T. Morishita [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] S. Bae, H. Choi, S. Choi, B. Kim, H.S. Ko [SNU, Seoul, Republic of Korea] Y. Fukao, K. Futatsukawa, N. Kawamura, T. Mibe, Y. Miyake, M. Otani, K. Shimomura, T. Yamazaki, M. Yoshida [KEK, Tsukuba, Japan] N. Hayashizaki [RLNR, Tokyo, Japan] T. Iijima, Y. Sue [Nagoya University, Graduate School of Science, Chikusa-ku, Nagoya, Japan] H. Iinuma, Y. Nakazawa [Ibaraki University, Ibaraki, Japan] K. Ishida [RIKEN Nishina Center, Wako, Japan] Y. Iwashita [Kyoto ICR, Uji, Kyoto, Japan] Y. Iwata [NIRS, Chiba-shi, Japan] R. Kitamura [University of Tokyo, Tokyo, Japan] S. Li [The University of Tokyo, Graduate School of Science, Tokyo, Japan] G.P. Razuvaev [Budker INP  NSU, Novosibirsk, Russia] N. Saito [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Re-Acceleration of Ultra Cold Muon in J-PARC Muon Facility",5041 5046,
frxgbf3,"L.T. Sun [IMP/CAS, Lanzhou, People's Republic of China] ","Perspectives in High Intensity Heavy Ion Sources for Future Heavy Ion Accelerators",5047 5052,
mopmf001,"S. Ogur, K. Oide, Y. Papaphilippou, F. Zimmermann [CERN, Geneva, Switzerland] D.N. Shatilov [BINP SB RAS, Novosibirsk, Russia] ","Bunch Schedules for the FCC-ee Pre-injector",79 82,
mopmf002,"O. Etisken [Ankara University, Faculty of Sciences, Ankara, Turkey] F. Antoniou, Y. Papaphilippou [CERN, Geneva, Switzerland] A.K. Ciftci (A.K. Çiftçi) [Izmir University of Economics, Balçova/Izmir, Turkey] ","Pre-Booster Ring Considerations for the FCC e+e- Injector",83 86,
