a01,"L. Rosen, LASL, Los Alamos, New Mexico, USA","Relevance of Linacs",2 3,
a02,"D.E. Nagle, LASL, Los Alamos, New Mexico, USA","Status and Performance of LAMPF",4 11,
b01,"K. Batchelor, BNL, Upton, New York, USA","Operation of the BNL 200-MeV Linac",12 16,
b02,"C.D. Curtis, E.R. Gray, P.V. Livdahl, C.W. Owen, M.F. Shea, D.E. Young, National Accelerator Laboratory, Batavia, Illinois, USA","Operating Experience with the NAL 200-MeV Linac",17 24,
b03,"D. Böhne, GSI, Darmstadt, Germany","Status Report on the UNILAC-Project",25 32,
b04,"D.J. Warner, CERN, Geneva, Switzerland","Accelerator Research and Development with the CERN 3 MeV Linac",33 40,
b05,"R. Chasman, K. Batchelor, N. Fewell, BNL, Upton, New York, USA","Calculations and Measurements on Reduction of the Energy Spread and the Variation in Mean Energy of the 200-MeV Linac Beam at Brookhaven",41 46,
b06,"R. Chasman, K. Batchelor, N. Fewell, R. Witkover, BNL, Upton, New York, USA","The Dependence of Transverse Emittance Growth on the Quadrupole Focussing Strength in the Brookhaven 200-MeV Linac",47 50,
c01,"K.R. Crandall, LASL, Los Alamos, New Mexico, USA","Transverse Beam Matching Using Wire Scanners",51 53,
c02,"N. Fewell, R. Witkover, BNL, Upton, New York, USA","Beam Diagnostics at the BNL 200 MeV Linac",54 62,
c03,"E.F. Parker, ANL, Argonne, Illinois, USA","Recent Measurement of the ZGS Injector Beam Characteristics",63 66,
c04,"F.B. Selph, D.A. Spence, R.R. Stevenson, LBL, Berkeley, California, USA","Results of Beam Measurements at the SuperHILAC",67 72,
c05,"R.R. Stevens, Jr., B.C. Goplen, J.E. Stovall, LASL, Los Alamos, New Mexico, USA","Beam Transport Studies on the Proton Beam Line in the Injector Complex of LAMPF",73 79,
c06,"D.W. Mueller, LASL, Los Alamos, New Mexico, USA","RMS Emittance and the LAMPF Beam",80 81,
d01,"P.B. Wilson, SLAC, Stanford, California, USA","Current Status of Superconducting Accelerator Technology",82 89,
d02,"B.T. Matthias, University of California, San Diego, California, USA","Magnetization Curves of Superconductors - Type I, Type II and Type III",90 92,
e01,"A. Brandelik, A. Citron, P. Flécher, J.L. Fricke, R. Hietschold, G. Hochschild, G. Hornung, G. Krafft, W. Kühn, M. Kuntze, B. Piosczyk, E. Sauter, D. Schulze, L. Szecsi, J.E. Vetter, K.W. Zieher, FZK, Karlsruhe, Germany; H. Klein, A. Schempp, University of Frankfurt, Frankfurt am Main, Germany","First Operation of a Superconducting Proton Accelerator",93 97,
e02,"C. Lyneis, M. McAshan, V. Nguyen, Stanford University, Stanford, California, USA","Recent Measurements of S-Band and L-Band Cavities at Stanford",98 102,
e03,"T. Niewodniczanski, E. Malwitz, GSI, Darmstadt, Germany","Mechanical Design Features of the UNILAC",103 113,
e04,"V.G. Andreev, V.M. Belugin, V.G. Kulman, E.A. Mirochnik, B.M. Pirozhenko, Radiotechnical Institute, Moscow, USSR","Study of High-Energy Proton Linac Structures",114 118,
e05,"A.P. Fedotov, B.I. Bondarev, V.V. Kushin, B.P. Murin, L.Yu. Solovyev, Radiotechnical Institute, Moscow, USSR","Focusing by Longitudinal Magnetic Field in a High-Energy Proton Linear Accelerator",119 121,
F01,"K.R. Crandall, R.A. Jameson, D. Morris, D. Swenson, LASL, Los Alamos, New Mexico, USA","The dt Turn-On Procedure",122 125,
f02,"L.R. Suelzle, E.E. Chambers, Stanford University, Stanford, California, USA","Beam Performance of the Superconducting Injector for the Stanford Linear Electron Accelerator",126 130,
f03,"K. Mittag, H.D. Schwarz, H.A. Schwettman, Stanford University, Stanford, California, USA","Beam Breakup in a Superconducting Electron Accelerator",131 139,
f04,"S.O. Schriber, L.W. Funk, E.A. Heighway, Atomic Energy of Canada, Chalk River, Ontario, Canada","Beam Tests with S-Band Standing Wave Accelerators Using On-Axis Couplers",140 144,
f05,"J.E. Vetter, J.L. Fricke, B. Piosczyk, FZK, Karlsruhe, Germany","A Summary of Measurements on Superconducting Helically Loaded Resonators",145 150,
f06,"J.L. Fricke, B. Piosczyk, J.E. Vetter, FZK, Karlsruhe, Germany","Measurements on the First Section of the Superconducting Proton Linac at Karlsruhe",151 155,
g01,"D. Schulze, A. Brandelik, R. Hietschold, G. Hochschild, A. Hornung, F. Spielböck, L. Szecsi, FZK, Karlsruhe, Germany","RF Control of Superconducting Helically Loaded Cavities",156 162,
